trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13212,6,236,400,2024-07-11T23:36:53.000Z,7,C806202232524723,National Bank of Kuwait,"Qena Governorate, Maadi, Salah Salem St.",Italy,Egypt,Bill Payment,USD,805160713,10331,19.9,178.43,91.13,15496.5,Deposit,Successful
23212,534,953,129,2025-04-21T14:23:53.000Z,7,C678757909875798,Riyad Bank,"Giza Governorate, Imbaba, Champollion St.",Australia,Spain,Salary,EUR,820990148,6664,55.48,327.68,71.96,9996.0,Transfer,Successful
38212,1499,449,252,2020-04-12T18:24:56.000Z,6,C808940928289505,Banque du Caire,"Hurghada Governorate, Agouza, El-Tahrir St.",Lebanon,Egypt,Bill Payment,USD,651776988,8853,15.29,116.65,76.9,13279.5,Withdrawal,Rejected
8212,301,216,346,2026-03-11T04:01:57.000Z,5,C748476858100347,National Commercial Bank (NCB),"New Valley Governorate, El-Haram, Emad El-Din St.",USA,Egypt,Transfer,EGP,984189680,16449,37.79,195.52,97.72,24673.5,Deposit,Successful
28212,105,423,179,2023-02-17T01:47:11.000Z,3,C446655821261280,Arab Jordan Investment Bank,"Suez Governorate, Sheikh Zayed, El-Haram St.",Spain,Egypt,Salary,USD,544661445,9871,69.66,118.14,96.44,14806.5,Withdrawal,Successful
18212,1237,319,382,2019-12-27T19:51:31.000Z,3,C889994034113615,Lotfy Eid Hilal Tawfik,"Fayyum Governorate, Hadayek El-Qobba, Port Said St.",UAE,Egypt,Shopping,USD,710296958,2479,39.59,397.91,28.21,3718.5,Withdrawal,Rejected
43212,1892,1861,498,2022-07-29T19:25:37.000Z,4,C382654206534700,Faisal Islamic Bank of Egypt,"Cairo Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",UAE,Canada,Salary,EGP,650548798,13421,26.44,207.02,78.82,20131.5,Transfer,Successful
3212,757,70,369,2023-07-04T18:51:18.000Z,5,C856143429582067,Riyad Bank,"New Valley Governorate, Shubra, El-Safwa St.",Italy,Spain,Transfer,USD,604054726,6766,77.97,21.18,84.05,10149.0,Transfer,Successful
33212,341,1110,85,2017-04-25T18:37:29.000Z,3,C611866300607589,Faisal Islamic Bank of Egypt,"Asyut Governorate, Ain Shams, Champollion St.",USA,Germany,Shopping,EGP,411702868,8101,37.02,328.29,72.42,12151.5,Transfer,Successful
48212,151,1855,249,2017-04-22T02:19:02.000Z,3,C512679426621703,Nadia Shahin Mansour Mansour,"Giza Governorate, Nasr City, El-Azhar St.",Saudi Arabia,Egypt,Shopping,EUR,419011250,5731,10.75,114.41,85.87,8596.5,Deposit,Rejected
13213,593,1082,141,2023-08-24T07:59:42.000Z,2,C357838415738806,Fransabank,"Zagazig Governorate, Sheikh Zayed, El-Bustan St.",USA,Egypt,Bill Payment,USD,693603926,15308,98.53,55.32,77.6,22962.0,Deposit,Rejected
18213,1954,718,34,2026-05-19T14:52:03.000Z,6,C787352358564416,Arab Bank,"Asyut Governorate, Boulak, El-Mohandiseen St.",Egypt,Egypt,Salary,EGP,706676253,5209,95.32,341.54,97.41,7813.5,Withdrawal,Rejected
38213,1144,1328,4,2020-11-15T11:25:59.000Z,6,C693168243393635,Riyad Bank,"Tanta Governorate, El-Obour City, Mohamed Naguib St.",Saudi Arabia,Egypt,Bill Payment,USD,533745595,5715,100.03,471.78,84.19,8572.5,Deposit,Rejected
28213,1047,958,33,2016-10-20T21:31:44.000Z,7,C985076951470436,Arab National Bank,"Sohag Governorate, El-Tagammu El-Khames, El-Gomhoreya St.",Jordan,Egypt,Shopping,EGP,697397649,10290,35.2,215.12,70.95,15435.0,Withdrawal,Successful
23213,886,1946,46,2018-01-17T08:56:47.000Z,4,C528050097611506,Banque Saudi Fransi,"Aswan Governorate, Faisal, Salah Salem St.",Canada,Egypt,Bill Payment,USD,484730624,13378,11.25,61.57,70.13,20067.0,Deposit,Successful
8213,1225,313,402,2020-01-31T21:13:37.000Z,7,C308909284322365,Commercial Bank of Dubai,"Alexandria Governorate, El-Marg, El-Alfy St.",UK,Egypt,Salary,USD,867262288,6902,81.43,109.27,89.01,10353.0,Deposit,Successful
43213,1973,1480,220,2016-08-28T06:59:30.000Z,1,C506430035566557,Arab Investment Bank,"Mansoura Governorate, Boulak, Adly St.",Lebanon,Egypt,Bill Payment,EGP,758399401,447,39.1,321.12,32.38,670.5,Withdrawal,Rejected
33213,1032,1903,70,2017-01-21T18:31:07.000Z,2,C325691013303594,Ahli United Bank Kuwait,"New Valley Governorate, Shubra, El-Batal Ahmed Abdel Aziz St.",Saudi Arabia,Egypt,Shopping,USD,525830217,5528,25.27,489.82,92.93,8292.0,Withdrawal,Rejected
3213,94,1187,398,2019-09-13T15:43:35.000Z,1,C312402527191760,Amira Mohamed Dahab Rashid,"Qena Governorate, Hadayek El-Qobba, Ramses St.",Australia,Egypt,Salary,EGP,213439891,19580,54.69,386.64,99.45,29370.0,Withdrawal,Successful
48213,1446,1217,462,2016-05-03T21:38:26.000Z,7,C487977676686992,Ahli Bank of Qatar,"Ismailia Governorate, El-Obour City, El-Mohandiseen St.",Egypt,Egypt,Transfer,EUR,751704261,2077,99.39,13.65,16.31,3115.5,Withdrawal,Rejected
