trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
18032,1586,1196,281,2026-03-21T01:24:15.000Z,1,C800236551731723,Lebanese French Bank (LFB),"Cairo Governorate, Faisal, Emad El-Din St.",USA,Egypt,Shopping,USD,962780799,18780,13.4,326.45,71.71,28170.0,Deposit,Successful
8032,1312,542,484,2015-04-27T12:27:00.000Z,2,C200515046986240,Housing and Development Bank (HDB),"Arish Governorate, El-Salam, El-Azhar St.",Australia,Egypt,Bill Payment,EGP,843257613,13782,71.05,410.39,98.93,20673.0,Deposit,Rejected
23032,217,1346,38,2020-05-13T14:13:54.000Z,7,C978271779781350,Abu Dhabi Islamic Bank (ADIB),"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",Canada,Egypt,Bill Payment,EGP,574413680,9096,107.14,388.12,87.5,13644.0,Deposit,Rejected
38032,79,1773,290,2015-06-30T15:59:45.000Z,1,C834352168435991,Saudi National Bank (SNB),"Qena Governorate, El-Sharabia, Abbas El-Akkad St.",UAE,Egypt,Shopping,EGP,825572315,15433,70.04,398.86,98.81,23149.5,Deposit,Rejected
28032,1628,731,468,2015-04-28T18:10:57.000Z,3,C751093587953715,Egyptian Arab Land Bank,"Fayyum Governorate, Zamalek, Abbas El-Akkad St.",Egypt,Egypt,Salary,EGP,322443995,14637,70.9,486.05,72.01,21955.5,Deposit,Successful
33032,1374,1078,84,2021-04-13T08:46:04.000Z,5,C929043271865290,Nabil Mansour Rashid Zidan,"Fayyum Governorate, Nasr City, El-Bustan St.",Australia,Australia,Salary,USD,718631340,703,44.85,103.31,21.0,1054.5,Transfer,Successful
48032,1391,273,182,2021-06-05T14:13:53.000Z,7,C456911683259702,Qatar National Bank (QNB),"Qena Governorate, Mohandiseen, Champollion St.",Jordan,Egypt,Shopping,EGP,310301760,16857,35.49,455.14,86.88,25285.5,Withdrawal,Successful
3032,649,948,215,2024-09-02T23:08:54.000Z,6,C661389930045793,National Commercial Bank (NCB),"Zagazig Governorate, Badr City, Sudan St.",Australia,UK,Shopping,EUR,117162751,678,92.25,219.27,23.58,1017.0,Transfer,Rejected
43032,722,785,221,2022-06-23T21:27:43.000Z,1,C902617225093529,Emirates NBD,"Alexandria Governorate, Nasr City, El-Ahrar St.",Italy,Spain,Salary,EUR,191002987,7435,95.04,478.49,87.67,11152.5,Transfer,Successful
13033,1286,1738,274,2026-02-22T20:18:58.000Z,5,C621774610429936,Ismail Abdel-Rahman Amer Hamdy,"Arish Governorate, Hadayek El-Qobba, El-Orouba St.",Egypt,Italy,Salary,EUR,814026329,8864,5.06,230.0,72.4,13296.0,Transfer,Successful
28033,659,1498,305,2016-02-16T02:39:57.000Z,4,C255413960411047,Fransabank,"Asyut Governorate, Dokki, El-Sheikh Rihan St.",Canada,Germany,Bill Payment,EUR,738243074,17873,39.67,94.19,84.23,26809.5,Transfer,Rejected
