trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12673,1304,1847,104,2025-10-15T01:24:16.000Z,4,C490409849625473,Riyad Bank,"Cairo Governorate, Sheikh Zayed, El-Ahrar St.",Saudi Arabia,Egypt,Shopping,USD,147897069,2171,75.09,112.24,15.18,3256.5,Withdrawal,Rejected
22673,494,409,22,2015-04-04T13:21:14.000Z,3,C864560783266746,Arab African International Bank (AAIB),"Fayyum Governorate, Garden City, Kasr El-Nil St.",Lebanon,Egypt,Shopping,EGP,557019743,3288,61.95,471.82,3.08,4932.0,Withdrawal,Successful
7673,1742,1084,146,2018-10-12T23:41:15.000Z,5,C546317409913017,National Bank of Egypt,"Asyut Governorate, Dokki, El-Batal Ahmed Abdel Aziz St.",Saudi Arabia,Egypt,Transfer,USD,745079854,3089,106.86,194.41,12.91,4633.5,Withdrawal,Successful
37673,1881,1814,308,2023-04-08T00:01:55.000Z,7,C515101361541600,Ahli United Bank Egypt,"Luxor Governorate, El-Basatin, Salah Salem St.",UK,Canada,Bill Payment,EUR,899902349,11774,34.4,481.27,76.72,17661.0,Transfer,Rejected
17673,473,1368,249,2021-03-09T00:25:52.000Z,2,C664937271780920,Ahli United Bank Kuwait,"Giza Governorate, Nasr City, El-Azhar St.",Saudi Arabia,Egypt,Transfer,USD,896785024,5986,38.23,53.63,72.61,8979.0,Withdrawal,Rejected
27673,1334,608,123,2024-03-24T23:09:01.000Z,5,C734739982297255,Lebanese French Bank (LFB),"Sohag Governorate, El-Haram, Champollion St.",Canada,Egypt,Bill Payment,EUR,318416137,303,4.33,331.95,30.68,454.5,Withdrawal,Successful
42673,618,385,4,2018-08-03T00:12:18.000Z,1,C695730384855546,QNB Al Ahli,"Tanta Governorate, El-Obour City, Mohamed Naguib St.",Lebanon,Australia,Salary,EUR,955730540,2149,5.98,192.17,38.65,3223.5,Transfer,Rejected
47673,1430,1408,419,2020-05-08T09:23:00.000Z,6,C982975343371816,Al Baraka Bank Egypt,"Marsa Matrouh Governorate, 6th of October, El-Azhar St.",Jordan,Egypt,Salary,EUR,149069410,17952,65.56,467.21,70.32,26928.0,Withdrawal,Rejected
32673,1711,158,52,2025-08-03T22:49:19.000Z,1,C329850720109519,Emad Naguib Amer Hamdy,"Marsa Matrouh Governorate, Mohandiseen, Champollion St.",Germany,France,Shopping,EGP,839289806,11438,68.16,373.99,76.56,17157.0,Transfer,Rejected
2673,1208,469,307,2020-04-02T13:19:39.000Z,2,C100936842700236,First Abu Dhabi Bank Egypt,"Cairo Governorate, Agouza, El-Bustan St.",Spain,Egypt,Transfer,EGP,840723477,4099,11.7,142.18,2.76,6148.5,Deposit,Rejected
12674,1340,246,313,2024-12-14T11:14:35.000Z,5,C952505783711093,Fransabank,"Damanhur Governorate, Sheikh Zayed, Port Said St.",Saudi Arabia,Egypt,Transfer,EGP,436165927,2191,70.61,363.74,15.72,3286.5,Withdrawal,Successful
37674,442,1059,180,2017-09-28T15:13:00.000Z,6,C171127102991288,Nour Zaher Tantawy Ibrahim,"Qena Governorate, Imbaba, Adly St.",Canada,Germany,Salary,EGP,896034418,5594,106.11,76.35,99.68,8391.0,Transfer,Rejected
22674,784,802,340,2023-11-05T13:49:18.000Z,3,C699005303241457,Arab Jordan Investment Bank,"Sohag Governorate, Mohandiseen, Talaat Harb St.",Canada,Egypt,Transfer,USD,902337872,2171,15.68,349.46,4.0,3256.5,Deposit,Successful
7674,211,714,113,2025-12-26T16:06:26.000Z,7,C896741283569786,Mashreq Bank,"Beni Suef Governorate, Madinaty, Makram Ebeid St.",USA,Egypt,Shopping,USD,487439986,16746,0.08,274.61,95.99,25119.0,Withdrawal,Successful
27674,683,1247,107,2023-06-14T11:37:36.000Z,6,C694838882071287,Gamal Hilal Khalil Fawzy,"New Valley Governorate, Sheikh Zayed, El-Safwa St.",Jordan,Egypt,Bill Payment,EGP,575864433,9087,34.09,65.96,98.47,13630.5,Deposit,Rejected
17674,957,1186,169,2020-03-13T14:14:14.000Z,6,C274685159958678,Shereen Wahba Tantawy Sobhi,"Damietta Governorate, New Cairo, Abbas El-Akkad St.",Australia,Egypt,Bill Payment,EGP,598729679,2711,99.58,394.55,23.86,4066.5,Deposit,Successful
47674,1512,1049,447,2023-10-09T23:54:55.000Z,2,C568576165381227,Egyptian Arab Land Bank,"Fayyum Governorate, Maadi, Adly St.",Saudi Arabia,Egypt,Bill Payment,EGP,729389707,17584,88.81,277.81,74.38,26376.0,Deposit,Successful
32674,1135,567,293,2018-04-13T04:13:44.000Z,1,C580683453177054,Egyptian Arab Land Bank,"Marsa Matrouh Governorate, El-Obour City, Gamal Abdel Nasser St.",UK,Egypt,Transfer,EUR,437844464,9600,42.2,410.87,92.38,14400.0,Withdrawal,Rejected
2674,1172,199,21,2023-10-09T00:07:44.000Z,1,C799777407958323,Arab African International Bank (AAIB),"Shubra El-Kheima Governorate, Madinaty, Abbas El-Akkad St.",Lebanon,Egypt,Salary,USD,871684430,19645,1.06,368.52,88.26,29467.5,Deposit,Rejected
42674,1817,846,352,2018-01-03T09:41:33.000Z,7,C866259941037511,Faisal Islamic Bank of Egypt,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Cleopatra St.",Lebanon,Egypt,Salary,USD,987958565,11530,62.93,128.06,92.35,17295.0,Withdrawal,Rejected
