trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
4409,1111,1594,268,2024-07-21T10:25:11.000Z,5,C875886026144648,Banque du Caire,"Port Said Governorate, El-Obour City, El-Tahrir St.",Germany,Egypt,Shopping,EGP,363478023,15228,52.15,28.33,72.52,22842.0,Withdrawal,Rejected
34409,1864,1758,263,2021-01-06T07:43:14.000Z,7,C337310147241820,Banque Saudi Fransi,"Giza Governorate, 6th of October, Salah Salem St.",Lebanon,Egypt,Bill Payment,USD,531956172,6331,33.56,41.96,81.26,9496.5,Withdrawal,Successful
44409,1947,1842,452,2017-10-29T00:07:09.000Z,1,C958586950308847,Emirates NBD,"Luxor Governorate, Agouza, El-Nasr St.",USA,Canada,Bill Payment,EUR,425281861,6261,116.99,365.63,91.96,9391.5,Transfer,Rejected
49409,1496,1162,403,2018-05-21T05:19:22.000Z,1,C722323854232849,National Bank of Kuwait,"Shubra El-Kheima Governorate, Agouza, Ramses St.",Egypt,Germany,Shopping,USD,613081772,524,58.53,252.9,19.67,786.0,Transfer,Successful
14410,1954,718,325,2025-05-21T10:26:35.000Z,6,C547916949778140,Bank Misr,"Port Said Governorate, Madinaty, El-Bustan St.",UAE,Egypt,Bill Payment,EGP,452986114,4246,91.15,383.69,12.2,6369.0,Withdrawal,Successful
19410,1718,1465,119,2019-12-24T06:34:46.000Z,4,C189330030712808,Riyad Bank,"Luxor Governorate, Hadayek El-Qobba, Champollion St.",UAE,Egypt,Bill Payment,USD,688280508,5104,108.8,262.1,98.58,7656.0,Withdrawal,Successful
39410,831,776,49,2016-08-23T23:54:35.000Z,5,C382142459848666,Commercial International Bank (CIB),"Damanhur Governorate, New Cairo, Abbas El-Akkad St.",Italy,Egypt,Transfer,EUR,985629641,3184,97.86,193.54,0.51,4776.0,Withdrawal,Successful
29410,1099,217,159,2016-02-04T08:15:59.000Z,7,C471732866802821,Bank of Alexandria,"Alexandria Governorate, Omraneya, El-Azhar St.",Saudi Arabia,Egypt,Transfer,USD,902373263,11545,107.11,98.02,88.22,17317.5,Deposit,Successful
9410,121,1105,80,2018-01-26T08:15:17.000Z,2,C393211985632098,Deutsche Bank,"Damietta Governorate, Garden City, El-Mohandiseen St.",UAE,Egypt,Salary,EUR,140206869,15139,63.15,3.54,73.14,22708.5,Deposit,Successful
24410,1466,896,138,2024-07-30T15:06:01.000Z,2,C457388142716581,Fransabank,"Cairo Governorate, El-Shorouk, Ramses St.",Australia,Egypt,Transfer,EGP,251169278,13560,3.0,449.28,93.74,20340.0,Withdrawal,Successful
4410,161,1976,238,2019-06-02T10:43:04.000Z,7,C516242829659396,Al Baraka Bank Egypt,"Minya Governorate, Matareya, Corniche El-Nil St.",Saudi Arabia,Egypt,Shopping,EUR,233232078,18500,37.7,444.93,90.09,27750.0,Withdrawal,Successful
