trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13751,1304,1224,477,2026-03-06T21:23:58.000Z,3,C722946969488437,Emirates NBD Egypt,"Alexandria Governorate, Ain Shams, Corniche El-Nil St.",Jordan,Egypt,Shopping,EGP,956568026,1989,23.64,480.98,19.52,2983.5,Deposit,Rejected
38751,1616,1862,468,2015-07-08T21:46:05.000Z,1,C349573843732428,QNB Al Ahli,"Fayyum Governorate, Zamalek, Abbas El-Akkad St.",Lebanon,Egypt,Salary,EUR,371608731,4471,15.64,70.41,34.0,6706.5,Withdrawal,Rejected
18751,1752,1125,195,2018-09-12T17:53:07.000Z,2,C432333691999377,Banque du Caire,"Arish Governorate, El-Marg, Corniche El-Nil St.",Germany,Egypt,Bill Payment,EUR,467399987,19968,31.91,56.45,92.12,29952.0,Withdrawal,Rejected
28751,1384,1276,432,2025-12-30T21:26:53.000Z,6,C436988670008822,Jordan Ahli Bank,"Arish Governorate, Heliopolis, Corniche El-Nil St.",Italy,Egypt,Shopping,EGP,958394886,10954,98.85,139.4,89.55,16431.0,Deposit,Rejected
8751,548,1230,114,2022-12-31T23:28:18.000Z,3,C587427785900348,Ahli Bank of Qatar,"Marsa Matrouh Governorate, Faisal, El-Mohandiseen St.",Lebanon,Italy,Shopping,EGP,627124198,2763,49.18,430.27,32.73,4144.5,Transfer,Rejected
23751,1536,35,500,2020-03-05T05:31:43.000Z,1,C622314811561759,Saudi National Bank (SNB),"Luxor Governorate, El-Sharabia, Emad El-Din St.",USA,Egypt,Salary,EUR,809778434,5701,18.36,31.07,99.59,8551.5,Withdrawal,Rejected
33751,1521,116,367,2016-02-26T10:41:21.000Z,2,C527520606244468,Al Rajhi Bank,"Zagazig Governorate, Omraneya, El-Azhar St.",Jordan,Egypt,Bill Payment,EUR,359950110,11352,91.47,458.58,70.08,17028.0,Withdrawal,Rejected
48751,1092,442,124,2023-06-20T14:03:34.000Z,3,C385571562835026,First Abu Dhabi Bank (FAB),"Arish Governorate, Rehab City, Port Said St.",Canada,Canada,Transfer,EGP,504599335,4353,74.82,173.37,26.8,6529.5,Transfer,Successful
43751,1469,745,462,2016-04-30T17:28:11.000Z,6,C277727224190582,Amira Hamdy Gaber Ibrahim,"Ismailia Governorate, El-Obour City, El-Mohandiseen St.",USA,Canada,Salary,EGP,872085609,12531,40.46,476.26,83.03,18796.5,Transfer,Successful
3751,1015,1660,350,2017-05-06T01:44:29.000Z,5,C614103064866768,Housing and Development Bank (HDB),"Ismailia Governorate, Boulak, Champollion St.",UAE,Egypt,Shopping,EGP,112486411,15591,14.72,8.23,78.03,23386.5,Deposit,Rejected
13752,683,1290,227,2016-11-16T17:29:17.000Z,4,C877161159231032,Arab National Bank,"Shubra El-Kheima Governorate, El-Haram, El-Azhar St.",UK,Egypt,Salary,USD,502012939,8891,61.48,35.6,95.65,13336.5,Deposit,Rejected
28752,1470,1752,432,2017-07-20T20:51:17.000Z,6,C323811122618550,Arab Investment Bank,"Arish Governorate, Heliopolis, Corniche El-Nil St.",Lebanon,Egypt,Salary,USD,795572100,10139,119.76,86.49,83.22,15208.5,Withdrawal,Successful
