trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
30936,952,285,456,2015-06-16T08:51:50.000Z,2,C392663982673019,Al Rajhi Bank,"Port Said Governorate, El-Salam, El-Gomhoreya St.",Spain,Egypt,Shopping,USD,236894220,4751,70.19,339.28,4.8,7126.5,Deposit,Successful
45936,943,1887,303,2023-02-19T18:24:14.000Z,4,C425195444026173,Arab National Bank,"Suez Governorate, Omraneya, El-Alfy St.",UAE,Egypt,Salary,EUR,999836817,4039,49.78,308.07,1.25,6058.5,Withdrawal,Rejected
936,901,141,309,2016-01-12T13:16:52.000Z,5,C737332637195787,First Abu Dhabi Bank Egypt,"Suez Governorate, Dokki, Adly St.",Spain,Italy,Transfer,EGP,276099431,14006,89.28,389.53,96.4,21009.0,Transfer,Successful
40936,57,1244,273,2020-05-12T18:17:39.000Z,4,C580500407855629,Banque Saudi Fransi,"Mansoura Governorate, Boulak, Champollion St.",Canada,Egypt,Transfer,USD,284339781,975,113.89,462.8,20.08,1462.5,Withdrawal,Successful
10937,1782,653,167,2024-02-25T19:27:34.000Z,7,C709554732390828,First Abu Dhabi Bank Egypt,"Sohag Governorate, Agouza, El-Galaa St.",Spain,Germany,Shopping,EUR,806262403,18707,4.65,15.49,77.44,28060.5,Transfer,Rejected
20937,1561,86,82,2020-07-30T12:17:44.000Z,5,C610179465327179,Gulf Bank Kuwait,"Zagazig Governorate, El-Obour City, El-Galaa St.",Germany,Australia,Salary,USD,683159727,3495,4.68,358.43,24.7,5242.5,Transfer,Rejected
35937,190,544,24,2021-05-19T01:15:38.000Z,3,C807915570481418,Gulf Bank Kuwait,"Damanhur Governorate, Matareya, Talaat Harb St.",UK,Egypt,Shopping,USD,940134728,9478,14.17,430.98,98.6,14217.0,Deposit,Rejected
5937,1938,416,89,2024-07-03T15:35:35.000Z,3,C633166345345390,Kuwait Finance House,"Aswan Governorate, Mohandiseen, Emad El-Din St.",Jordan,Egypt,Transfer,EGP,408222793,1737,14.32,331.01,35.67,2605.5,Deposit,Rejected
25937,1591,876,445,2022-04-02T00:28:46.000Z,5,C326474710548159,BLOM Bank,"Tanta Governorate, El-Shorouk, El-Galaa St.",Saudi Arabia,Egypt,Salary,USD,190583298,5169,65.05,11.79,74.74,7753.5,Withdrawal,Successful
15937,51,1493,234,2015-11-03T04:02:13.000Z,6,C428462943089262,BLOM Bank,"Ismailia Governorate, El-Obour City, Cleopatra St.",Canada,Germany,Transfer,EGP,208980603,13850,55.2,499.56,72.49,20775.0,Transfer,Successful
30937,1569,1457,399,2017-08-06T16:01:58.000Z,6,C855697658662123,Abu Dhabi Islamic Bank (ADIB),"Qena Governorate, Faisal, El-Azhar St.",Canada,Egypt,Shopping,EGP,850768957,16665,101.85,72.71,72.42,24997.5,Withdrawal,Successful
937,90,1037,496,2015-08-18T09:45:00.000Z,1,C173463885070192,Housing and Development Bank (HDB),"New Valley Governorate, Dokki, Merghany St.",Saudi Arabia,Egypt,Transfer,EUR,727012943,597,95.39,407.77,14.02,895.5,Withdrawal,Rejected
45937,332,534,241,2022-01-17T15:23:37.000Z,6,C512642673433488,Arab African International Bank (AAIB),"Arish Governorate, Dokki, El-Tahrir St.",Germany,Egypt,Salary,EUR,148510120,5608,18.72,499.33,95.61,8412.0,Deposit,Rejected
40937,1548,1944,137,2019-12-11T22:52:13.000Z,2,C509183043948915,Arab Jordan Investment Bank,"Asyut Governorate, Nasr City, El-Galaa St.",Saudi Arabia,Egypt,Transfer,EGP,983986513,19546,64.61,54.99,90.99,29319.0,Withdrawal,Rejected
10938,1821,1650,159,2022-02-06T23:34:28.000Z,2,C898132756058008,Banque du Caire,"Alexandria Governorate, Omraneya, El-Azhar St.",USA,Italy,Salary,EUR,793187142,4494,104.33,134.43,19.34,6741.0,Transfer,Successful
25938,633,1262,97,2020-05-29T19:09:21.000Z,2,C983738052471286,Faisal Islamic Bank of Egypt,"Minya Governorate, New Cairo, El-Tahrir St.",Egypt,Egypt,Transfer,EUR,830729954,2492,24.02,235.02,13.08,3738.0,Deposit,Successful
