trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13392,1930,1177,491,2022-11-06T21:28:11.000Z,1,C646617359263948,Arab National Bank,"Qena Governorate, Zamalek, Adly St.",France,UK,Transfer,USD,224815272,2875,104.41,482.89,27.25,4312.5,Transfer,Rejected
8392,1593,188,420,2017-03-28T07:29:31.000Z,6,C365306059570704,Al Baraka Bank Egypt,"Beni Suef Governorate, Mohandiseen, Cleopatra St.",Australia,Egypt,Transfer,EGP,445695667,6934,94.94,128.22,90.61,10401.0,Withdrawal,Rejected
38392,64,372,40,2021-10-20T21:39:33.000Z,7,C225015443322729,National Bank of Egypt,"Mansoura Governorate, Mohandiseen, Emad El-Din St.",USA,Egypt,Shopping,USD,293393572,4854,27.87,318.57,30.32,7281.0,Withdrawal,Successful
18392,603,650,469,2018-03-19T13:26:29.000Z,7,C136832692617441,Qatar National Bank (QNB),"Luxor Governorate, Badr City, Sudan St.",Italy,Germany,Bill Payment,USD,719375959,14948,73.53,150.97,92.31,22422.0,Transfer,Successful
28392,332,534,406,2017-01-08T08:23:23.000Z,6,C461583303216717,Qatar National Bank (QNB),"Mansoura Governorate, Mohandiseen, El-Orouba St.",Australia,Italy,Salary,EGP,314629289,609,26.43,13.77,39.4,913.5,Transfer,Successful
23392,719,41,89,2025-12-23T13:11:42.000Z,3,C660050452885261,Bank Audi,"Aswan Governorate, Mohandiseen, Emad El-Din St.",UAE,Egypt,Shopping,EUR,563223280,10444,11.61,331.95,87.2,15666.0,Withdrawal,Rejected
43392,60,1826,370,2026-05-19T09:51:29.000Z,1,C318142339053364,Bank Misr,"Damanhur Governorate, Boulak, Cleopatra St.",Spain,Germany,Bill Payment,USD,626028136,15941,29.49,275.8,78.17,23911.5,Transfer,Rejected
33392,460,1982,69,2023-03-14T01:34:31.000Z,2,C563341330070526,Emirates NBD Egypt,"Beni Suef Governorate, Madinaty, Talaat Harb St.",Jordan,France,Bill Payment,USD,124048558,13323,73.22,162.77,82.41,19984.5,Transfer,Successful
48392,339,1478,491,2015-09-13T22:17:08.000Z,4,C293878865772977,National Bank of Kuwait,"Qena Governorate, Zamalek, Adly St.",Italy,Canada,Bill Payment,USD,926439851,17157,88.95,50.58,77.34,25735.5,Transfer,Rejected
3392,1388,874,129,2021-10-04T15:07:50.000Z,2,C542866571984399,Citibank,"Giza Governorate, Imbaba, Champollion St.",Canada,Australia,Bill Payment,EUR,539824967,9069,23.66,486.11,79.79,13603.5,Transfer,Rejected
13393,1937,844,243,2015-08-12T08:20:44.000Z,1,C367188437521568,QNB Al Ahli,"Zagazig Governorate, El-Obour City, Merghany St.",USA,Egypt,Salary,EGP,695445952,8172,3.56,434.71,90.28,12258.0,Withdrawal,Successful
18393,1924,1586,262,2025-05-21T08:05:12.000Z,7,C745413990904015,Banque Saudi Fransi,"Arish Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",USA,Egypt,Salary,EGP,728210815,14232,6.09,352.81,86.66,21348.0,Deposit,Successful
8393,746,1897,446,2018-01-20T07:19:19.000Z,6,C949625674898408,First Abu Dhabi Bank (FAB),"Tanta Governorate, Rehab City, El-Azhar St.",Italy,Egypt,Bill Payment,EUR,707549762,7095,1.87,355.19,98.21,10642.5,Withdrawal,Successful
23393,173,1930,85,2016-10-18T05:10:55.000Z,2,C716858944895576,Arab National Bank,"Asyut Governorate, Ain Shams, Champollion St.",Canada,UK,Salary,USD,293349745,13746,17.14,248.83,84.61,20619.0,Transfer,Successful
28393,1793,1383,38,2019-05-19T21:20:36.000Z,5,C600324199990412,Lebanese French Bank (LFB),"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",USA,Egypt,Bill Payment,USD,266321855,7992,73.49,302.44,95.79,11988.0,Withdrawal,Rejected
38393,1434,240,470,2021-03-01T16:22:54.000Z,2,C431220568725565,Mashreq Bank,"Damietta Governorate, Shubra, El-Gomhoreya St.",Lebanon,France,Transfer,EGP,706763167,16519,86.37,27.56,87.51,24778.5,Transfer,Successful
