trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
17255,469,1921,180,2022-06-11T11:31:54.000Z,9,C266277194407497,Arab African International Bank (AAIB),"Qena Governorate, Imbaba, Adly St.",Spain,Egypt,Shopping,EUR,897120823,10693,58.49,454.33,81.15,16039.5,Withdrawal,Successful
12255,658,1484,115,2023-01-01T05:16:42.000Z,4,C618271874193582,Emirates NBD,"Aswan Governorate, Maadi, Abbas El-Akkad St.",Italy,Egypt,Shopping,EUR,890740860,8435,36.41,82.09,89.97,12652.5,Deposit,Successful
37254,1180,564,372,2022-01-10T17:11:03.000Z,3,C727322225629780,National Bank of Kuwait,"New Valley Governorate, El-Shorouk, El-Ahrar St.",UK,Italy,Transfer,EGP,639440809,17920,40.64,340.61,88.53,26880.0,Transfer,Rejected
32256,16,1493,166,2015-01-24T22:43:43.000Z,11,C670671311354400,Saudi National Bank (SNB),"Giza Governorate, Ain Shams, El-Batal Ahmed Abdel Aziz St.",USA,Egypt,Transfer,USD,994811510,2066,2.42,109.19,6.13,3099.0,Withdrawal,Successful
2256,1566,1507,214,2024-03-17T13:54:52.000Z,3,C885305308358571,Commercial Bank of Qatar,"Beni Suef Governorate, Badr City, El-Gomhoreya St.",UK,Egypt,Bill Payment,EUR,685309626,1196,1.21,88.0,0.86,1794.0,Deposit,Successful
22255,1415,1489,288,2020-02-06T22:20:11.000Z,5,C339275192760046,Kuwait Finance House,"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",UK,Egypt,Bill Payment,EGP,818479087,18721,34.8,335.49,75.22,28081.5,Withdrawal,Rejected
42258,1106,610,190,2025-08-09T06:59:33.000Z,1,C846699622513743,Qatar National Bank (QNB),"Cairo Governorate, Garden City, El-Nasr St.",Canada,Egypt,Bill Payment,USD,101699896,7060,82.99,320.4,93.35,10590.0,Withdrawal,Successful
47257,1516,1679,120,2025-06-01T08:14:45.000Z,2,C797974856290299,Ayman Helal Gaber Farhat,"Damanhur Governorate, El-Shorouk, El-Batal Ahmed Abdel Aziz St.",UK,Egypt,Shopping,EGP,355292332,13498,6.7,342.21,76.02,20247.0,Deposit,Rejected
12256,1722,604,264,2025-08-29T12:23:28.000Z,6,C358300289977162,Emirates NBD,"Alexandria Governorate, Nasr City, El-Tahrir St.",Egypt,USA,Shopping,USD,748902397,2836,35.34,240.54,35.99,4254.0,Transfer,Successful
27257,172,1744,358,2022-04-27T03:16:12.000Z,5,C670544262530917,Arab African International Bank (AAIB),"Arish Governorate, Omraneya, Mohamed Naguib St.",Egypt,UK,Shopping,USD,799290470,9552,15.68,230.29,76.35,14328.0,Transfer,Successful
7256,1578,189,471,2023-04-13T02:06:02.000Z,5,C741725839419260,Saudi National Bank (SNB),"Ismailia Governorate, New Cairo, Gamal Abdel Nasser St.",USA,Egypt,Shopping,EGP,292732015,9018,34.07,354.15,99.15,13527.0,Deposit,Successful
17256,511,475,231,2022-05-29T17:24:19.000Z,1,C390268055523749,Arab African International Bank (AAIB),"Alexandria Governorate, Omraneya, Kasr El-Nil St.",France,Egypt,Transfer,EGP,793405607,18181,13.07,2.06,84.4,27271.5,Withdrawal,Rejected
32257,696,394,275,2024-12-16T13:46:59.000Z,11,C101738184373758,National Bank of Egypt,"New Valley Governorate, Rehab City, El-Batal Ahmed Abdel Aziz St.",USA,Egypt,Salary,EUR,319656491,11443,110.78,261.09,98.06,17164.5,Withdrawal,Successful
37255,1274,1628,145,2016-01-10T02:38:28.000Z,1,C444492913925692,Wael Bishara Sayed Ismail,"Shubra El-Kheima Governorate, El-Obour City, El-Mohandiseen St.",Spain,Spain,Shopping,EGP,544324741,1741,117.2,294.14,32.38,2611.5,Transfer,Successful
37256,748,947,57,2021-07-12T11:55:09.000Z,2,C714453731381103,Al Rajhi Bank,"Ismailia Governorate, Imbaba, El-Nasr St.",Germany,Egypt,Shopping,USD,217158015,1027,7.0,386.0,23.46,1540.5,Withdrawal,Successful
2257,749,816,310,2021-03-13T20:48:25.000Z,1,C848938130284317,Saudi National Bank (SNB),"Mansoura Governorate, Mohandiseen, El-Nasr St.",Saudi Arabia,Egypt,Transfer,USD,553798098,12945,30.41,278.53,72.28,19417.5,Deposit,Successful
22256,397,798,289,2022-06-12T18:20:53.000Z,3,C563053660967482,Jordan Ahli Bank,"Cairo Governorate, Mohandiseen, El-Orouba St.",Lebanon,Egypt,Salary,EGP,514557068,8985,107.97,182.0,85.99,13477.5,Withdrawal,Rejected
47258,1576,1790,91,2026-04-29T23:53:19.000Z,6,C927238952107918,Arab Bank,"Mansoura Governorate, El-Shorouk, Talaat Harb St.",France,Egypt,Bill Payment,USD,727422369,12368,77.98,111.81,80.77,18552.0,Deposit,Successful
7257,573,451,118,2019-05-10T01:09:39.000Z,9,C276209505785692,Ahli United Bank Kuwait,"Minya Governorate, Mohandiseen, El-Galaa St.",Canada,Spain,Shopping,USD,159151111,13590,31.25,150.37,97.68,20385.0,Transfer,Successful
42259,1932,1483,123,2021-06-16T12:26:53.000Z,3,C925450468544651,Lebanese French Bank (LFB),"Sohag Governorate, El-Haram, Champollion St.",Saudi Arabia,Egypt,Salary,EGP,406541178,10197,84.15,290.31,75.96,15295.5,Deposit,Successful
27258,1631,1469,165,2024-02-22T00:51:17.000Z,3,C655942009366740,National Bank of Kuwait,"Asyut Governorate, El-Shorouk, El-Azhar St.",Australia,Egypt,Bill Payment,EGP,546830287,9112,63.03,348.35,96.42,13668.0,Withdrawal,Rejected
17257,965,1871,456,2018-06-02T05:35:41.000Z,4,C616310570760139,Ahli United Bank Kuwait,"Port Said Governorate, El-Salam, El-Gomhoreya St.",UK,Egypt,Transfer,EUR,960496598,13289,42.72,424.46,78.11,19933.5,Deposit,Successful
12257,873,1191,274,2017-06-01T11:43:28.000Z,8,C354372629633664,National Commercial Bank (NCB),"Arish Governorate, Hadayek El-Qobba, El-Orouba St.",USA,Canada,Bill Payment,USD,921558965,8095,11.32,40.65,72.39,12142.5,Transfer,Rejected
32258,1761,1571,181,2015-01-06T03:13:28.000Z,8,C776611827463261,Arab Jordan Investment Bank,"Marsa Matrouh Governorate, El-Sharabia, Abbas El-Akkad St.",Australia,UK,Bill Payment,EUR,902192774,5312,66.75,281.45,89.2,7968.0,Transfer,Successful
