trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19170,1304,395,192,2019-02-07T20:43:27.000Z,3,C155421087932370,BLOM Bank,"Alexandria Governorate, Faisal, Corniche El-Nil St.",Jordan,Egypt,Bill Payment,EUR,878328700,19894,44.92,81.01,81.28,29841.0,Withdrawal,Rejected
29170,1920,429,172,2024-04-19T00:47:31.000Z,1,C622570727828639,Arab National Bank,"Ismailia Governorate, Dokki, Champollion St.",Egypt,Italy,Bill Payment,EGP,823222162,6816,65.14,164.63,92.75,10224.0,Transfer,Successful
9170,1327,182,401,2017-06-23T23:52:43.000Z,5,C209246866420682,Khaled Zaher Metwaly Othman,"Beni Suef Governorate, El-Haram, Champollion St.",UAE,Australia,Salary,EUR,774536654,11456,101.83,191.85,91.29,17184.0,Transfer,Rejected
39170,1786,413,190,2020-11-03T11:07:28.000Z,2,C738980035610195,Bank of Alexandria,"Cairo Governorate, Garden City, El-Nasr St.",Canada,Egypt,Salary,EGP,165286827,3150,70.02,423.74,39.89,4725.0,Withdrawal,Rejected
24170,556,1655,371,2023-06-13T14:34:16.000Z,3,C697585379372107,Mashreq Bank,"Qena Governorate, Shubra, Merghany St.",Saudi Arabia,Egypt,Bill Payment,USD,405999471,13249,117.95,163.84,71.36,19873.5,Deposit,Successful
49170,494,409,311,2024-10-23T05:18:14.000Z,2,C637924406987285,Banque Saudi Fransi,"Fayyum Governorate, Madinaty, El-Batal Ahmed Abdel Aziz St.",Egypt,Egypt,Shopping,EGP,477851697,10279,4.5,390.29,74.06,15418.5,Withdrawal,Rejected
34170,1349,679,118,2017-03-03T21:34:24.000Z,4,C754157236912185,First Abu Dhabi Bank Egypt,"Minya Governorate, Mohandiseen, El-Galaa St.",Germany,Egypt,Salary,EUR,355925506,3536,42.69,167.97,18.15,5304.0,Withdrawal,Successful
4170,1575,1372,259,2021-03-15T13:45:08.000Z,7,C302332056669543,Arab Jordan Investment Bank,"Marsa Matrouh Governorate, El-Salam, Talaat Harb St.",Australia,Egypt,Shopping,USD,547126929,15410,77.14,20.69,75.97,23115.0,Deposit,Rejected
44170,862,657,2,2020-12-09T23:37:42.000Z,4,C930925947538208,QNB Al Ahli,"Arish Governorate, Matareya, El-Batal Ahmed Abdel Aziz St.",Jordan,Australia,Salary,EUR,405642932,5895,36.53,128.93,91.92,8842.5,Transfer,Rejected
14171,417,389,426,2020-05-16T13:11:04.000Z,4,C450998984484673,Gulf Bank Kuwait,"Tanta Governorate, El-Marg, Kasr El-Nil St.",Canada,Egypt,Shopping,USD,598381332,17463,74.88,440.39,70.09,26194.5,Withdrawal,Successful
24171,790,1761,276,2025-07-28T06:01:28.000Z,6,C803484615752355,National Bank of Kuwait,"Port Said Governorate, Matareya, Mohamed Naguib St.",France,Egypt,Transfer,EGP,119099858,7898,110.28,20.84,90.87,11847.0,Withdrawal,Rejected
39171,326,1011,261,2018-08-08T07:49:37.000Z,7,C249444509062004,Qatar National Bank (QNB),"Zagazig Governorate, Agouza, El-Alfy St.",Germany,Egypt,Shopping,EGP,803170145,13321,94.48,177.9,85.7,19981.5,Withdrawal,Successful
19171,1148,1702,273,2018-06-22T17:40:23.000Z,2,C856857205753445,Arab National Bank,"Mansoura Governorate, Boulak, Champollion St.",Spain,Egypt,Shopping,EGP,524364855,1925,34.04,322.54,20.13,2887.5,Deposit,Successful
29171,1937,844,406,2016-05-19T10:27:20.000Z,5,C121811735828495,Faisal Islamic Bank of Egypt,"Mansoura Governorate, Mohandiseen, El-Orouba St.",UK,Egypt,Shopping,USD,224227297,11094,75.67,366.38,85.77,16641.0,Withdrawal,Successful
9171,934,458,415,2024-01-26T23:25:33.000Z,6,C434443288558686,Qatar National Bank (QNB),"Zagazig Governorate, El-Marg, El-Gomhoreya St.",Saudi Arabia,Egypt,Bill Payment,EGP,297641081,5041,71.56,32.84,82.84,7561.5,Deposit,Rejected
34171,1511,778,63,2025-03-30T00:33:51.000Z,3,C704079107333266,Gulf Bank Kuwait,"New Valley Governorate, El-Haram, El-Haram St.",Egypt,Italy,Salary,EUR,401393562,14534,88.33,149.76,71.93,21801.0,Transfer,Successful
49171,22,1397,247,2022-07-02T15:01:12.000Z,7,C318416325867495,Qatar National Bank (QNB),"Damanhur Governorate, Rehab City, El-Sheikh Rihan St.",Jordan,Egypt,Salary,EUR,401851603,4915,45.45,208.93,19.67,7372.5,Deposit,Successful
44171,142,1277,499,2022-08-28T03:26:45.000Z,6,C841504180422647,Bank Audi,"Tanta Governorate, Hadayek El-Qobba, Talaat Harb St.",Lebanon,Egypt,Transfer,EUR,926180194,11504,44.82,1.42,80.58,17256.0,Deposit,Successful
4171,168,708,298,2025-11-18T14:27:15.000Z,5,C234432602916788,Youssef Rashid Shafik Saleh,"Port Said Governorate, Matareya, El-Galaa St.",USA,Egypt,Shopping,EGP,481205465,6931,70.27,385.91,76.27,10396.5,Withdrawal,Successful
14172,73,689,144,2023-02-06T21:43:56.000Z,2,C833772248122217,Al Rajhi Bank,"Minya Governorate, Omraneya, Abbas El-Akkad St.",Lebanon,Egypt,Salary,EGP,606829213,15703,62.24,219.63,99.14,23554.5,Withdrawal,Rejected
39172,1934,1785,148,2024-06-12T00:44:55.000Z,5,C556593892731990,Arab National Bank,"Marsa Matrouh Governorate, Faisal, Champollion St.",Egypt,France,Bill Payment,EUR,447312692,2896,87.01,71.47,23.13,4344.0,Transfer,Rejected
29172,1056,296,465,2019-10-08T23:28:30.000Z,1,C117223194693645,Egyptian Arab Land Bank,"New Valley Governorate, El-Salam, Ramses St.",UAE,Egypt,Salary,EUR,839943565,14781,108.2,272.14,97.98,22171.5,Withdrawal,Rejected
19172,485,973,466,2021-03-11T16:39:21.000Z,6,C244909718703707,Ahli United Bank Egypt,"Fayyum Governorate, El-Basatin, Port Said St.",Germany,Egypt,Salary,EGP,233262680,730,69.09,426.12,12.75,1095.0,Deposit,Successful
9172,1829,905,177,2020-12-04T17:47:40.000Z,4,C931457375781938,Arab African International Bank (AAIB),"Suez Governorate, Shubra, Talaat Harb St.",USA,Egypt,Transfer,EGP,110111664,9906,7.07,217.29,73.96,14859.0,Deposit,Successful
24172,1894,1096,95,2019-11-02T10:36:39.000Z,2,C900554335172408,Hussein Morsy Shahin Ismail,"Arish Governorate, 6th of October, Kasr El-Nil St.",France,Australia,Bill Payment,USD,383903403,12031,27.28,361.86,74.36,18046.5,Transfer,Successful
49172,1958,1529,322,2017-09-17T17:53:26.000Z,3,C113008089319065,Bassem Ramadan Nasser Nasser,"New Valley Governorate, El-Haram, El-Galaa St.",Egypt,Egypt,Transfer,EUR,600690781,12985,118.39,37.21,96.52,19477.5,Withdrawal,Successful
34172,586,1582,62,2016-11-20T08:47:41.000Z,6,C465928856118204,Hamdy Khalil Ismail Younis,"New Valley Governorate, Heliopolis, El-Alfy St.",UAE,Egypt,Bill Payment,EUR,735113835,16431,49.75,407.08,96.96,24646.5,Deposit,Successful
4172,1754,713,71,2015-05-18T10:54:59.000Z,5,C473145470772925,Commercial Bank of Qatar,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",France,Egypt,Transfer,EUR,723929681,2569,31.11,321.89,11.28,3853.5,Withdrawal,Successful
44172,339,1478,341,2024-02-14T07:16:17.000Z,6,C725868815247628,Bank of Alexandria,"Alexandria Governorate, Nasr City, Corniche El-Nil St.",Australia,Egypt,Salary,EGP,127483497,9132,90.76,322.55,82.73,13698.0,Deposit,Rejected
14173,834,46,470,2024-07-17T14:47:32.000Z,6,C102830557945986,Jordan Ahli Bank,"Damietta Governorate, Shubra, El-Gomhoreya St.",Jordan,Egypt,Transfer,USD,673368604,2516,46.14,470.63,15.07,3774.0,Deposit,Successful
9173,710,833,92,2019-12-22T03:43:15.000Z,7,C205151676681467,First Abu Dhabi Bank Egypt,"Port Said Governorate, Faisal, El-Galaa St.",France,Egypt,Transfer,USD,438470667,15525,74.35,292.57,75.88,23287.5,Deposit,Successful
24173,1781,1147,324,2015-05-01T21:40:53.000Z,3,C490714038660818,Banque Saudi Fransi,"Aswan Governorate, El-Shorouk, Champollion St.",UK,Egypt,Shopping,EGP,868665660,18514,4.79,206.32,74.94,27771.0,Withdrawal,Successful
19173,805,1463,203,2025-11-21T11:48:53.000Z,4,C891020646321884,Riyad Bank,"Shubra El-Kheima Governorate, El-Salam, Salah Salem St.",Jordan,Italy,Shopping,EUR,556263963,1993,10.43,117.6,24.51,2989.5,Transfer,Rejected
29173,184,485,250,2016-01-24T23:10:39.000Z,3,C545744995648454,Jordan Ahli Bank,"Asyut Governorate, Faisal, El-Ahrar St.",UAE,Egypt,Bill Payment,EUR,658374210,19915,18.87,176.21,90.18,29872.5,Withdrawal,Successful
39173,1476,298,184,2020-10-15T01:39:54.000Z,3,C575672602129193,Abu Dhabi Islamic Bank (ADIB),"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",Egypt,Italy,Salary,EGP,896798848,18682,105.33,43.63,89.58,28023.0,Transfer,Successful
49173,491,53,241,2020-02-05T09:24:01.000Z,4,C641623705965408,Housing and Development Bank (HDB),"Arish Governorate, Dokki, El-Tahrir St.",UK,Egypt,Transfer,USD,734831992,6142,10.06,30.31,78.87,9213.0,Withdrawal,Rejected
44173,1846,852,175,2019-08-12T06:08:06.000Z,2,C272726659992165,Mashreq Bank,"Alexandria Governorate, El-Shorouk, El-Sheikh Rihan St.",UK,Germany,Transfer,EGP,384340278,7146,52.51,99.6,88.09,10719.0,Transfer,Successful
4173,774,1078,232,2017-01-09T12:07:42.000Z,2,C662091803202523,Arab Investment Bank,"Damietta Governorate, Imbaba, El-Gomhoreya St.",Egypt,Egypt,Salary,EGP,322893765,2833,100.98,366.83,29.91,4249.5,Withdrawal,Rejected
34173,1277,1182,356,2020-12-06T07:21:18.000Z,7,C478677110773979,Ahli United Bank Egypt,"Port Said Governorate, Zamalek, Salah Salem St.",Germany,Egypt,Shopping,EUR,128195733,9152,92.46,21.77,84.11,13728.0,Withdrawal,Rejected
14174,847,405,327,2022-06-07T23:16:12.000Z,1,C480652060396952,Al Baraka Bank Egypt,"Damietta Governorate, Badr City, El-Batal Ahmed Abdel Aziz St.",Egypt,Egypt,Bill Payment,EUR,546528588,11581,78.47,8.48,94.77,17371.5,Deposit,Rejected
9174,103,1816,331,2018-05-16T19:46:49.000Z,6,C721922355003257,Commercial Bank of Qatar,"Sohag Governorate, El-Salam, Merghany St.",Egypt,Egypt,Bill Payment,EUR,278804701,15285,82.98,393.18,78.44,22927.5,Deposit,Successful
39174,613,1772,155,2016-09-26T16:03:34.000Z,2,C175003260475691,Byblos Bank,"Fayyum Governorate, Maadi, El-Ahrar St.",Jordan,Egypt,Shopping,EGP,312473638,7689,29.66,29.81,89.55,11533.5,Withdrawal,Rejected
19174,459,1387,260,2023-12-25T14:55:39.000Z,4,C288180787369235,Mashreq Bank,"Cairo Governorate, Dokki, El-Alfy St.",Canada,Egypt,Shopping,EUR,813149250,18984,35.87,157.78,77.4,28476.0,Withdrawal,Successful
29174,334,1613,63,2021-09-27T06:45:19.000Z,2,C528209237237523,First Abu Dhabi Bank Egypt,"New Valley Governorate, El-Haram, El-Haram St.",Jordan,Germany,Shopping,USD,604694267,11202,78.4,363.46,99.48,16803.0,Transfer,Successful
