trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12314,1207,711,403,2024-04-07T08:44:40.000Z,4,C384645259370054,Jordan Ahli Bank,"Shubra El-Kheima Governorate, Agouza, Ramses St.",USA,Egypt,Salary,USD,516345553,17756,71.04,411.3,73.8,26634.0,Withdrawal,Successful
27314,1180,564,485,2019-02-15T18:12:41.000Z,4,C360939219382540,Magdy Dahab Hilal Farhat,"Suez Governorate, New Cairo, El-Alfy St.",UAE,France,Bill Payment,USD,885075242,18513,113.27,170.07,89.74,27769.5,Transfer,Successful
22314,1433,918,69,2025-06-29T03:47:57.000Z,1,C400850860750259,First Abu Dhabi Bank Egypt,"Beni Suef Governorate, Madinaty, Talaat Harb St.",UAE,Egypt,Transfer,EUR,605365186,14587,75.53,243.5,98.92,21880.5,Withdrawal,Rejected
17314,191,14,230,2016-08-20T08:51:11.000Z,7,C118776573281987,BLOM Bank,"Ismailia Governorate, El-Shorouk, El-Galaa St.",Lebanon,Egypt,Bill Payment,EUR,446571884,7078,62.98,471.07,98.73,10617.0,Deposit,Successful
7314,1650,1270,282,2021-01-29T22:24:01.000Z,7,C105145928757895,Ahli United Bank Egypt,"Port Said Governorate, Agouza, Salah Salem St.",Australia,France,Shopping,EUR,276335612,13836,13.8,436.12,77.79,20754.0,Transfer,Successful
37314,454,869,336,2015-08-30T19:56:51.000Z,7,C270274387710537,Suez Canal Bank,"Asyut Governorate, El-Marg, Ramses St.",Egypt,Egypt,Shopping,EGP,265105799,1662,68.29,213.89,23.27,2493.0,Withdrawal,Successful
2314,1147,792,313,2026-05-03T00:52:34.000Z,3,C308113631062406,Riyad Bank,"Damanhur Governorate, Sheikh Zayed, Port Said St.",Australia,Egypt,Transfer,EUR,428669799,14332,117.55,20.84,72.54,21498.0,Deposit,Successful
32314,295,165,429,2023-07-07T11:19:15.000Z,4,C522084022412391,Arab National Bank,"Port Said Governorate, El-Basatin, Salah Salem St.",Canada,Australia,Bill Payment,USD,206454657,10057,35.71,132.39,89.03,15085.5,Transfer,Rejected
47314,1086,1875,407,2024-06-22T09:51:28.000Z,7,C542416975255369,Banque Saudi Fransi,"Tanta Governorate, Matareya, Champollion St.",Spain,Germany,Transfer,USD,129308131,5145,103.01,77.92,92.19,7717.5,Transfer,Successful
42314,939,199,341,2020-12-14T15:51:18.000Z,2,C975334848749127,Qatar National Bank (QNB),"Alexandria Governorate, Nasr City, Corniche El-Nil St.",Saudi Arabia,Egypt,Transfer,EUR,225959966,17558,79.31,348.12,83.5,26337.0,Deposit,Rejected
