trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
1088,1764,576,69,2015-12-13T15:26:53.000Z,7,C579395221606097,Gulf Bank Kuwait,"Beni Suef Governorate, Madinaty, Talaat Harb St.",Lebanon,Italy,Shopping,USD,947065332,1102,38.65,395.11,14.08,1653.0,Transfer,Successful
6089,702,1092,261,2021-01-19T17:56:03.000Z,5,C720504206013976,First Abu Dhabi Bank Egypt,"Zagazig Governorate, Agouza, El-Alfy St.",Canada,UK,Transfer,EUR,363417682,15825,57.54,403.89,71.19,23737.5,Transfer,Rejected
26089,205,1489,2,2022-01-07T10:38:23.000Z,5,C865678764927439,National Bank of Egypt,"Arish Governorate, Matareya, El-Batal Ahmed Abdel Aziz St.",UAE,Egypt,Shopping,USD,447386699,854,79.13,361.11,6.06,1281.0,Deposit,Rejected
31089,1394,221,119,2025-08-16T04:04:22.000Z,11,C151316342140227,Arab Bank,"Luxor Governorate, Hadayek El-Qobba, Champollion St.",Lebanon,Egypt,Bill Payment,EUR,150864642,8176,82.44,45.34,95.54,12264.0,Withdrawal,Successful
36088,628,1485,383,2023-11-18T19:56:01.000Z,9,C799598866919581,First Abu Dhabi Bank (FAB),"Port Said Governorate, Faisal, El-Batal Ahmed Abdel Aziz St.",Canada,Egypt,Bill Payment,EGP,589899135,1875,106.66,241.88,25.56,2812.5,Withdrawal,Rejected
21088,54,278,70,2021-11-28T12:31:27.000Z,9,C412951443407011,QNB Al Ahli,"New Valley Governorate, Shubra, El-Batal Ahmed Abdel Aziz St.",Saudi Arabia,Egypt,Shopping,USD,355004978,16506,119.25,328.99,77.83,24759.0,Deposit,Successful
41089,604,805,248,2015-08-09T15:31:35.000Z,10,C108332172454438,Yasmine Helal Bishara Abdel-Rahman,"Suez Governorate, Zamalek, El-Nasr St.",France,Egypt,Bill Payment,EUR,387475545,8329,111.97,73.49,70.61,12493.5,Withdrawal,Successful
46089,1786,413,273,2017-06-23T17:18:44.000Z,11,C600045158581139,National Commercial Bank (NCB),"Mansoura Governorate, Boulak, Champollion St.",France,Egypt,Bill Payment,EUR,951832635,15480,12.23,116.95,89.65,23220.0,Deposit,Successful
11089,942,1639,460,2017-02-22T07:54:32.000Z,7,C798165912171881,Bassem Fawzy Ibrahim Helal,"Marsa Matrouh Governorate, El-Obour City, Salah Salem St.",Jordan,Egypt,Shopping,EUR,284107893,3676,80.52,30.04,34.72,5514.0,Deposit,Rejected
16089,1427,1692,66,2025-07-19T07:00:56.000Z,6,C564363865381132,Al Baraka Bank Egypt,"Shubra El-Kheima Governorate, Maadi, Emad El-Din St.",France,France,Salary,EGP,819410951,7048,31.91,94.57,79.7,10572.0,Transfer,Rejected
21089,1248,1314,248,2025-05-16T23:45:36.000Z,1,C162932674415941,Commercial Bank of Qatar,"Suez Governorate, Zamalek, El-Nasr St.",Germany,Egypt,Salary,EUR,417399440,9895,39.99,96.2,94.76,14842.5,Deposit,Successful
36089,322,1461,319,2016-03-04T02:18:12.000Z,3,C862413368324937,Lebanese French Bank (LFB),"Shubra El-Kheima Governorate, El-Sharabia, Adly St.",Italy,Spain,Salary,EGP,611162227,3156,51.84,148.6,25.99,4734.0,Transfer,Successful
1089,826,1957,345,2025-12-14T03:10:43.000Z,2,C409688860059323,Jordan Ahli Bank,"Cairo Governorate, Omraneya, El-Safwa St.",Germany,Egypt,Bill Payment,USD,431581449,15251,61.59,352.79,72.25,22876.5,Deposit,Successful
26090,1278,1577,308,2017-06-27T13:43:52.000Z,6,C331395030940077,Arab National Bank,"Luxor Governorate, El-Basatin, Salah Salem St.",Spain,Egypt,Bill Payment,USD,164974962,11578,101.03,231.6,92.58,17367.0,Withdrawal,Successful
31090,176,1455,454,2023-04-04T00:24:21.000Z,7,C352549309106506,Jordan Ahli Bank,"Alexandria Governorate, El-Shorouk, El-Ahrar St.",Germany,Italy,Shopping,EGP,842918803,5077,77.88,38.71,98.67,7615.5,Transfer,Rejected
6090,691,1693,401,2022-06-30T00:50:58.000Z,8,C209507303974243,Al Baraka Bank Egypt,"Beni Suef Governorate, El-Haram, Champollion St.",France,Italy,Transfer,EGP,344767959,14661,91.62,428.81,74.28,21991.5,Transfer,Rejected
46090,74,411,101,2021-11-20T18:14:40.000Z,2,C500287100580268,Dubai Islamic Bank,"Qena Governorate, Boulak, El-Alfy St.",Saudi Arabia,Egypt,Transfer,EUR,566686472,5871,99.8,464.48,93.09,8806.5,Withdrawal,Rejected
41090,1298,512,310,2022-08-13T07:40:39.000Z,7,C673558291628370,Fransabank,"Mansoura Governorate, Mohandiseen, El-Nasr St.",Australia,France,Bill Payment,EGP,707706540,16781,108.66,291.05,72.84,25171.5,Transfer,Successful
1090,1884,920,156,2024-03-04T01:00:57.000Z,3,C269657544866250,Lebanese French Bank (LFB),"Cairo Governorate, Ain Shams, Emad El-Din St.",Jordan,Egypt,Bill Payment,USD,402980042,6756,23.1,316.2,85.58,10134.0,Deposit,Successful
36090,924,311,33,2023-10-10T03:55:23.000Z,7,C121873274713583,Commercial Bank of Dubai,"Sohag Governorate, El-Tagammu El-Khames, El-Gomhoreya St.",Australia,Australia,Shopping,USD,383691336,3688,64.96,197.75,1.63,5532.0,Transfer,Successful
11090,850,1509,230,2021-08-04T16:19:12.000Z,10,C268897613165828,Arab Investment Bank,"Ismailia Governorate, El-Shorouk, El-Galaa St.",USA,Egypt,Shopping,EGP,421718758,2018,111.11,377.79,11.09,3027.0,Deposit,Rejected
16090,1405,1411,55,2017-04-10T08:13:04.000Z,5,C225774947521113,Arab African International Bank (AAIB),"Hurghada Governorate, 6th of October, Merghany St.",Australia,Egypt,Salary,USD,599786647,2944,59.49,264.65,27.02,4416.0,Withdrawal,Successful
21090,1837,1382,27,2026-02-20T20:43:46.000Z,5,C878522461455477,Abu Dhabi Islamic Bank (ADIB),"Marsa Matrouh Governorate, El-Salam, Port Said St.",France,Spain,Bill Payment,USD,487442903,7119,107.33,433.74,75.07,10678.5,Transfer,Successful
31091,1574,99,247,2020-10-06T15:54:10.000Z,2,C266276720792367,Al Baraka Bank Egypt,"Damanhur Governorate, Rehab City, El-Sheikh Rihan St.",Egypt,Australia,Salary,EUR,572048419,19892,7.51,413.59,96.94,29838.0,Transfer,Successful
