trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
18631,1728,113,122,2017-07-28T09:37:23.000Z,7,C728222855715291,Salma Nofal Saleh Zaki,"Zagazig Governorate, Shubra, El-Safwa St.",Saudi Arabia,Egypt,Shopping,EGP,933492056,4950,23.25,454.09,13.57,7425.0,Deposit,Successful
8631,1946,533,21,2018-01-27T02:12:49.000Z,3,C592622743686822,Bank Audi,"Shubra El-Kheima Governorate, Madinaty, Abbas El-Akkad St.",Lebanon,Egypt,Transfer,EGP,490307283,19130,112.91,215.01,84.03,28695.0,Deposit,Rejected
38631,520,1130,403,2022-01-18T05:21:03.000Z,4,C954975717404262,Commercial International Bank (CIB),"Shubra El-Kheima Governorate, Agouza, Ramses St.",Lebanon,Egypt,Bill Payment,EGP,353949626,17884,95.46,405.52,91.9,26826.0,Withdrawal,Successful
23631,805,1463,395,2016-11-09T20:34:15.000Z,2,C241972369013864,Banque du Caire,"Marsa Matrouh Governorate, Faisal, El-Safwa St.",USA,UK,Bill Payment,EUR,495941951,16784,82.08,36.21,88.46,25176.0,Transfer,Successful
28631,1820,641,446,2017-04-09T03:37:40.000Z,3,C496913138638721,First Abu Dhabi Bank (FAB),"Tanta Governorate, Rehab City, El-Azhar St.",Saudi Arabia,Spain,Salary,USD,986215769,17026,96.27,267.0,88.51,25539.0,Transfer,Successful
3631,1169,927,54,2023-07-29T11:08:12.000Z,7,C330164380717072,Fransabank,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Spain,Italy,Transfer,USD,663227710,6448,101.09,79.68,92.23,9672.0,Transfer,Successful
43631,1322,1744,156,2026-05-10T01:50:24.000Z,6,C187016914732607,Emirates NBD,"Cairo Governorate, Ain Shams, Emad El-Din St.",Australia,USA,Bill Payment,EGP,487821503,2207,115.11,390.39,0.05,3310.5,Transfer,Successful
33631,352,1523,210,2015-11-06T14:43:52.000Z,4,C100185818993517,Jordan Ahli Bank,"Damanhur Governorate, 6th of October, Merghany St.",Australia,Egypt,Salary,EGP,399597720,19887,45.98,456.76,84.54,29830.5,Deposit,Rejected
48631,1670,1626,443,2017-05-20T11:17:25.000Z,1,C358916654940839,Saudi National Bank (SNB),"Damanhur Governorate, Heliopolis, El-Azhar St.",France,Spain,Shopping,EUR,418012550,17862,71.27,170.7,75.85,26793.0,Transfer,Rejected
13632,486,339,279,2021-12-09T21:44:51.000Z,4,C758814879962463,First Abu Dhabi Bank (FAB),"Tanta Governorate, Badr City, Emad El-Din St.",USA,Egypt,Bill Payment,EUR,468199778,5444,14.64,388.46,89.46,8166.0,Deposit,Rejected
23632,153,1000,174,2021-09-27T16:43:07.000Z,1,C564134089771337,National Bank of Kuwait,"Zagazig Governorate, Madinaty, Merghany St.",USA,Egypt,Salary,USD,417609072,6335,48.18,460.03,80.9,9502.5,Withdrawal,Rejected
38632,1145,1242,18,2017-06-01T14:29:44.000Z,7,C775007129010764,Commercial International Bank (CIB),"Minya Governorate, El-Salam, El-Alfy St.",France,Egypt,Shopping,EGP,842036403,18907,90.46,178.23,86.39,28360.5,Withdrawal,Rejected
8632,523,60,178,2024-05-10T07:42:35.000Z,7,C847901990739048,QNB Al Ahli,"Qena Governorate, Nasr City, Cleopatra St.",UK,USA,Salary,EGP,769771934,14193,79.01,282.72,85.76,21289.5,Transfer,Successful
28632,380,1126,356,2022-06-19T11:39:20.000Z,6,C964980201443192,Lebanese French Bank (LFB),"Port Said Governorate, Zamalek, Salah Salem St.",Egypt,Egypt,Salary,EUR,423656451,8468,11.6,72.76,88.05,12702.0,Withdrawal,Rejected
18632,1716,1471,435,2020-01-10T16:01:27.000Z,3,C390286084105920,Qatar National Bank (QNB),"Shubra El-Kheima Governorate, El-Salam, Champollion St.",Australia,Egypt,Shopping,USD,243932837,19609,83.74,363.43,71.49,29413.5,Withdrawal,Rejected
33632,1622,430,274,2017-08-20T12:51:18.000Z,2,C808934389175186,Arab African International Bank (AAIB),"Arish Governorate, Hadayek El-Qobba, El-Orouba St.",UK,Australia,Bill Payment,EGP,760051352,19611,117.03,496.61,93.69,29416.5,Transfer,Rejected
48632,1301,309,279,2017-07-09T16:27:37.000Z,5,C278389275426880,Commercial International Bank (CIB),"Tanta Governorate, Badr City, Emad El-Din St.",Saudi Arabia,Egypt,Bill Payment,USD,899799537,9003,117.36,241.77,91.19,13504.5,Deposit,Rejected
3632,1749,176,411,2025-02-26T22:20:35.000Z,4,C443919141592036,National Bank of Egypt,"Luxor Governorate, Zamalek, Corniche El-Nil St.",Saudi Arabia,Egypt,Salary,USD,811009689,13366,46.43,327.0,72.19,20049.0,Withdrawal,Successful
43632,1768,693,54,2021-06-23T07:33:37.000Z,1,C185410547079752,Sherif Nasser Farhat Nasser,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Egypt,Egypt,Bill Payment,EUR,560788306,17599,106.68,423.94,92.26,26398.5,Withdrawal,Successful
13633,1283,715,149,2016-03-03T04:11:06.000Z,1,C308960168354938,Jordan Ahli Bank,"Cairo Governorate, El-Salam, Port Said St.",Canada,Canada,Transfer,EGP,958279856,4104,102.78,381.03,10.55,6156.0,Transfer,Successful
23633,1247,1206,223,2018-12-04T23:39:03.000Z,2,C176631217250899,Commercial Bank of Dubai,"Ismailia Governorate, Nasr City, El-Nasr St.",Germany,USA,Salary,USD,768247679,18974,51.56,89.55,83.53,28461.0,Transfer,Successful
18633,1112,1529,287,2017-12-11T15:13:58.000Z,2,C509626681438116,Banque Saudi Fransi,"Zagazig Governorate, El-Obour City, Emad El-Din St.",UAE,Egypt,Bill Payment,EGP,924273749,4570,77.81,299.98,0.62,6855.0,Withdrawal,Successful
