trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13691,1386,645,232,2018-08-22T10:10:29.000Z,3,C289730212140092,Byblos Bank,"Damietta Governorate, Imbaba, El-Gomhoreya St.",UK,Egypt,Bill Payment,USD,487833733,7065,81.21,308.76,89.9,10597.5,Withdrawal,Successful
8691,920,192,375,2018-04-22T16:34:55.000Z,5,C288935215100084,Arab National Bank,"Minya Governorate, Shubra, El-Orouba St.",UK,Egypt,Bill Payment,EUR,480591169,295,88.19,494.63,18.63,442.5,Deposit,Successful
23691,430,444,429,2015-12-14T20:23:21.000Z,1,C779094279668666,Arab National Bank,"Port Said Governorate, El-Basatin, Salah Salem St.",France,Egypt,Transfer,EGP,855747878,15977,70.07,10.35,95.23,23965.5,Withdrawal,Rejected
38691,229,498,145,2021-12-19T18:58:44.000Z,6,C183918498419163,Dubai Islamic Bank,"Shubra El-Kheima Governorate, El-Obour City, El-Mohandiseen St.",France,Egypt,Shopping,USD,281120231,10200,69.47,471.67,96.78,15300.0,Deposit,Successful
18691,467,175,401,2020-03-16T20:32:32.000Z,4,C586166932825546,Kuwait Finance House,"Beni Suef Governorate, El-Haram, Champollion St.",Germany,Egypt,Transfer,EUR,766734835,12138,57.72,44.07,85.41,18207.0,Withdrawal,Rejected
28691,1815,1262,53,2016-05-13T12:33:11.000Z,3,C303218469794335,Banque Saudi Fransi,"Aswan Governorate, New Cairo, Emad El-Din St.",Australia,Italy,Bill Payment,EGP,634632579,8262,111.73,413.3,86.7,12393.0,Transfer,Rejected
33691,1111,1594,53,2017-07-07T18:41:42.000Z,6,C378563229864650,Dubai Islamic Bank,"Aswan Governorate, New Cairo, Emad El-Din St.",Australia,Egypt,Salary,USD,411104598,6466,98.13,422.56,76.51,9699.0,Withdrawal,Successful
3691,618,922,492,2022-06-22T03:18:13.000Z,2,C834781719644202,Riyad Bank,"Zagazig Governorate, Omraneya, Emad El-Din St.",Spain,Egypt,Bill Payment,USD,822941992,8515,57.44,92.92,82.72,12772.5,Deposit,Rejected
43691,1013,1822,346,2026-04-25T21:20:13.000Z,2,C193711389651614,Al Ahly Bank,"New Valley Governorate, El-Haram, Emad El-Din St.",UK,Egypt,Shopping,USD,610055669,7988,115.67,182.16,77.62,11982.0,Deposit,Successful
48691,753,1721,183,2021-10-24T22:18:06.000Z,2,C461479143150803,Al Baraka Bank Egypt,"Minya Governorate, El-Shorouk, El-Mohandiseen St.",USA,Germany,Transfer,USD,368666061,7163,74.84,36.49,82.07,10744.5,Transfer,Successful
13692,1070,1709,4,2017-02-18T07:00:18.000Z,7,C973702945550563,Nader Gaber Badr Morsy,"Tanta Governorate, El-Obour City, Mohamed Naguib St.",Spain,Egypt,Shopping,EGP,986371862,1082,51.69,284.19,30.56,1623.0,Deposit,Successful
18692,1045,1413,74,2025-05-31T08:25:29.000Z,7,C106790566202359,Egyptian Arab Land Bank,"Asyut Governorate, Rehab City, El-Haram St.",France,Egypt,Bill Payment,EGP,879535119,2357,76.28,437.2,37.65,3535.5,Withdrawal,Successful
8692,1026,1038,163,2016-10-01T03:51:55.000Z,3,C455954291715088,Egyptian Arab Land Bank,"Damanhur Governorate, 6th of October, El-Ahrar St.",Canada,Egypt,Shopping,EGP,541172254,19153,70.14,130.33,72.59,28729.5,Deposit,Successful
38692,1950,1110,152,2020-03-05T06:06:00.000Z,1,C369794537690784,BLOM Bank,"Arish Governorate, Omraneya, Salah Salem St.",Jordan,Canada,Transfer,USD,562641127,18658,49.95,222.43,84.59,27987.0,Transfer,Successful
