trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
8451,97,505,52,2021-07-08T06:12:40.000Z,3,C410155147370724,Egyptian Arab Land Bank,"Marsa Matrouh Governorate, Mohandiseen, Champollion St.",France,Germany,Transfer,EUR,668359168,16077,53.93,38.2,92.93,24115.5,Transfer,Rejected
23451,985,298,485,2020-08-18T03:33:52.000Z,7,C159229877157098,Fransabank,"Suez Governorate, New Cairo, El-Alfy St.",Canada,Egypt,Shopping,USD,261462059,546,25.51,167.01,21.65,819.0,Withdrawal,Rejected
18451,925,1305,33,2024-05-23T13:55:55.000Z,7,C947265765703892,Arab National Bank,"Sohag Governorate, El-Tagammu El-Khames, El-Gomhoreya St.",Jordan,USA,Bill Payment,USD,746229832,7298,60.51,448.23,93.72,10947.0,Transfer,Successful
38451,82,1165,127,2019-09-05T09:32:58.000Z,5,C869444090037587,Arab African International Bank (AAIB),"Giza Governorate, Rehab City, Salah Salem St.",UAE,Egypt,Shopping,EUR,697550041,16178,61.84,296.67,70.23,24267.0,Withdrawal,Rejected
3451,1967,826,452,2018-07-31T16:40:56.000Z,5,C462600262147986,Dina Khalil Ragab Younis,"Luxor Governorate, Agouza, El-Nasr St.",Egypt,Egypt,Salary,EUR,289720726,8721,78.65,282.3,90.97,13081.5,Withdrawal,Successful
33451,896,484,200,2026-03-19T21:10:34.000Z,6,C926721058796697,Barclays,"Zagazig Governorate, New Cairo, El-Gomhoreya St.",Germany,France,Salary,USD,354279054,18836,78.81,15.81,82.95,28254.0,Transfer,Rejected
48451,558,1558,42,2024-06-18T12:52:25.000Z,1,C433405086740026,Bank Audi,"Alexandria Governorate, Imbaba, El-Azhar St.",UK,Egypt,Shopping,USD,189381003,14955,7.53,180.74,83.62,22432.5,Deposit,Rejected
43451,607,1360,26,2022-11-07T06:12:51.000Z,4,C544801367374843,First Abu Dhabi Bank (FAB),"Luxor Governorate, 6th of October, El-Haram St.",Spain,Egypt,Transfer,EGP,538304600,4152,115.34,427.19,17.71,6228.0,Deposit,Rejected
13452,191,14,427,2019-12-09T03:37:34.000Z,5,C139634576096379,Housing and Development Bank (HDB),"Luxor Governorate, Heliopolis, El-Ahrar St.",UAE,Italy,Transfer,EUR,100024790,1859,42.3,148.94,39.26,2788.5,Transfer,Rejected
18452,1035,1001,404,2019-08-13T03:46:07.000Z,6,C303759945854667,Ahli United Bank Egypt,"Marsa Matrouh Governorate, El-Marg, Talaat Harb St.",USA,Egypt,Bill Payment,EUR,142434200,7597,97.83,171.68,98.19,11395.5,Withdrawal,Successful
8452,1190,994,383,2017-08-17T01:19:58.000Z,7,C958579494590275,Walid Wahba Hamdy Shahin,"Port Said Governorate, Faisal, El-Batal Ahmed Abdel Aziz St.",Spain,Egypt,Shopping,EGP,259239410,4851,39.79,250.27,1.28,7276.5,Deposit,Rejected
28452,18,1627,49,2024-03-09T15:19:02.000Z,6,C142143040382078,QNB Al Ahli,"Damanhur Governorate, New Cairo, Abbas El-Akkad St.",Saudi Arabia,USA,Bill Payment,USD,992122107,1006,28.44,241.68,12.3,1509.0,Transfer,Rejected
38452,1185,1798,161,2015-06-10T00:14:45.000Z,1,C734137725295688,Qatar National Bank (QNB),"Hurghada Governorate, Agouza, Champollion St.",Jordan,Egypt,Transfer,USD,348314792,4269,7.68,438.13,30.37,6403.5,Withdrawal,Rejected
23452,699,1036,271,2019-05-14T15:52:03.000Z,1,C123701862074871,Arab National Bank,"Fayyum Governorate, Garden City, El-Haram St.",Lebanon,Egypt,Bill Payment,USD,570432493,2757,10.96,354.21,15.76,4135.5,Deposit,Rejected
48452,325,410,106,2020-11-28T00:03:41.000Z,2,C902192311849154,Fransabank,"Damietta Governorate, Shubra, Gamal Abdel Nasser St.",France,USA,Transfer,USD,587227171,10851,48.81,163.86,79.21,16276.5,Transfer,Successful
43452,1956,267,338,2020-07-12T19:47:02.000Z,4,C267379748858630,Al Baraka Bank Egypt,"Sohag Governorate, Maadi, Abbas El-Akkad St.",Italy,Egypt,Shopping,EGP,344136456,14732,102.98,349.8,79.61,22098.0,Deposit,Successful
33452,344,429,193,2017-05-13T19:14:27.000Z,3,C371309353236206,Arab National Bank,"Aswan Governorate, El-Tagammu El-Khames, El-Haram St.",UK,France,Salary,USD,551534820,9186,61.72,439.84,98.57,13779.0,Transfer,Successful
3452,272,606,167,2021-04-27T13:56:56.000Z,5,C204363136516498,Saudi National Bank (SNB),"Sohag Governorate, Agouza, El-Galaa St.",Spain,Australia,Bill Payment,USD,115146292,416,17.64,350.22,36.09,624.0,Transfer,Successful
13453,1116,1328,289,2016-02-16T21:07:39.000Z,2,C317958255755334,Saudi National Bank (SNB),"Cairo Governorate, Mohandiseen, El-Orouba St.",Egypt,Egypt,Salary,EUR,905268704,9111,46.04,26.73,99.21,13666.5,Deposit,Rejected
18453,445,959,340,2020-08-06T03:53:24.000Z,2,C962845426493168,Arab National Bank,"Sohag Governorate, Mohandiseen, Talaat Harb St.",France,Egypt,Transfer,USD,262106478,14089,12.63,275.17,81.0,21133.5,Deposit,Rejected
28453,1669,174,174,2021-02-24T14:14:52.000Z,6,C632471401830130,Arab Jordan Investment Bank,"Zagazig Governorate, Madinaty, Merghany St.",UK,Egypt,Bill Payment,USD,106098385,6757,36.88,156.46,97.76,10135.5,Withdrawal,Rejected
8453,470,100,104,2019-06-17T02:30:53.000Z,3,C203966335909468,National Bank of Kuwait,"Cairo Governorate, Sheikh Zayed, El-Ahrar St.",France,Egypt,Bill Payment,EGP,760140470,1691,21.27,167.61,23.88,2536.5,Withdrawal,Rejected
