trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
9709,420,722,222,2017-10-24T03:33:21.000Z,7,C366232202045127,Fransabank,"Hurghada Governorate, Faisal, El-Galaa St.",Germany,Canada,Bill Payment,EGP,699007786,16160,108.24,170.19,90.5,24240.0,Transfer,Rejected
29709,558,1558,13,2016-02-29T07:20:06.000Z,6,C884457549323126,First Abu Dhabi Bank Egypt,"Giza Governorate, Matareya, Merghany St.",UK,Egypt,Transfer,USD,562101521,10501,117.81,108.81,77.28,15751.5,Withdrawal,Rejected
19709,235,1959,492,2024-01-06T15:56:39.000Z,6,C595198047227499,Saudi National Bank (SNB),"Zagazig Governorate, Omraneya, Emad El-Din St.",Italy,UK,Salary,EGP,600841116,8110,71.06,280.43,83.64,12165.0,Transfer,Successful
39709,1017,230,461,2019-11-25T21:46:39.000Z,2,C963606557702666,Emirates NBD,"Qena Governorate, El-Shorouk, Gamal Abdel Nasser St.",UAE,Egypt,Shopping,EUR,462629565,1745,95.64,325.89,21.74,2617.5,Deposit,Successful
24709,585,532,471,2021-04-03T13:16:27.000Z,4,C193159245858596,National Commercial Bank (NCB),"Ismailia Governorate, New Cairo, Gamal Abdel Nasser St.",USA,Egypt,Transfer,EGP,241437036,18891,48.09,55.95,76.86,28336.5,Withdrawal,Rejected
4709,1095,1513,304,2015-09-14T06:33:55.000Z,6,C299048463836566,Arab Jordan Investment Bank,"Damanhur Governorate, El-Obour City, Champollion St.",France,Egypt,Shopping,EGP,580111833,17719,115.69,91.13,72.25,26578.5,Deposit,Rejected
49709,948,692,459,2017-03-20T08:01:51.000Z,3,C544391371764654,Lebanese French Bank (LFB),"Alexandria Governorate, El-Marg, Abbas El-Akkad St.",UK,Egypt,Shopping,EUR,467644652,8460,101.97,465.51,83.01,12690.0,Deposit,Rejected
34709,857,1187,3,2021-10-18T09:58:15.000Z,1,C749743669979447,National Commercial Bank (NCB),"Alexandria Governorate, Boulak, El-Nasr St.",Germany,Egypt,Transfer,EGP,629274182,7130,82.74,355.76,76.27,10695.0,Withdrawal,Successful
44709,440,20,187,2018-10-27T08:37:29.000Z,2,C179616025840011,Commercial International Bank (CIB),"Fayyum Governorate, Zamalek, El-Sheikh Rihan St.",Saudi Arabia,Egypt,Salary,EUR,849853340,14837,27.33,227.11,87.17,22255.5,Withdrawal,Successful
14710,1811,1944,284,2016-09-07T00:20:36.000Z,1,C297932494763763,Arab Investment Bank,"Marsa Matrouh Governorate, Agouza, El-Gomhoreya St.",Jordan,UK,Shopping,EUR,716308325,18395,16.69,135.21,80.58,27592.5,Transfer,Successful
