trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
15501,1413,328,86,2018-12-24T21:51:32.000Z,4,C300592864367881,Ghada Wahba Hilal Ismail,"Minya Governorate, Madinaty, Makram Ebeid St.",Australia,Spain,Bill Payment,USD,875553013,15975,44.68,34.02,83.21,23962.5,Transfer,Rejected
35501,1608,1550,252,2025-06-08T00:09:42.000Z,2,C971660263241399,Ahli Bank of Qatar,"Hurghada Governorate, Agouza, El-Tahrir St.",Germany,Egypt,Salary,USD,578479941,19921,99.1,377.71,71.13,29881.5,Deposit,Rejected
10501,1166,393,493,2022-10-31T04:26:44.000Z,1,C962818073952042,Commercial International Bank (CIB),"Cairo Governorate, Maadi, Emad El-Din St.",Canada,Egypt,Bill Payment,EUR,371162518,3257,19.8,175.54,6.71,4885.5,Withdrawal,Rejected
501,1807,1839,465,2020-04-12T14:27:13.000Z,5,C439868664115682,Commercial Bank of Qatar,"New Valley Governorate, El-Salam, Ramses St.",Egypt,Egypt,Bill Payment,USD,462380508,15092,47.88,119.29,85.22,22638.0,Deposit,Rejected
20501,1517,1582,138,2015-06-17T05:00:33.000Z,2,C247713002183650,Ismail Abdel-Rahman Lotfy Othman,"Cairo Governorate, El-Shorouk, Ramses St.",Spain,Egypt,Shopping,USD,318701643,16286,61.98,112.79,73.17,24429.0,Deposit,Successful
5502,1662,1198,386,2016-06-16T04:51:06.000Z,1,C634299023068875,Emirates NBD,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",Canada,Egypt,Shopping,USD,618397508,19951,81.1,408.98,76.96,29926.5,Deposit,Successful
30502,1777,1292,282,2019-06-16T02:17:26.000Z,10,C454758773754565,BLOM Bank,"Port Said Governorate, Agouza, Salah Salem St.",Germany,USA,Transfer,USD,807622870,12880,95.33,329.19,79.75,19320.0,Transfer,Rejected
40502,1084,262,71,2022-12-31T17:16:32.000Z,4,C781284917929551,BLOM Bank,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",Canada,UK,Bill Payment,USD,551363380,13397,109.26,349.43,80.58,20095.5,Transfer,Successful
25502,1125,1144,386,2020-09-15T03:04:51.000Z,7,C172054738514761,Riyad Bank,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",UK,Egypt,Transfer,USD,391994121,3807,86.79,262.32,17.6,5710.5,Deposit,Successful
45502,57,86,86,2018-02-18T04:39:56.000Z,7,C262794841611819,Byblos Bank,"Minya Governorate, Madinaty, Makram Ebeid St.",UAE,USA,Salary,USD,607574691,8831,20.04,169.41,89.53,13246.5,Transfer,Successful
20502,532,240,451,2018-01-25T06:22:13.000Z,9,C296412043067393,Kuwait Finance House,"Giza Governorate, Badr City, El-Haram St.",Lebanon,Canada,Shopping,EGP,284519078,5941,77.32,487.29,75.86,8911.5,Transfer,Successful
35502,1244,1964,92,2017-04-27T18:10:50.000Z,4,C672621020004929,BLOM Bank,"Port Said Governorate, Faisal, El-Galaa St.",Spain,Egypt,Salary,USD,693002957,2828,97.27,340.82,16.97,4242.0,Withdrawal,Successful
15502,1813,1863,264,2016-12-18T03:33:17.000Z,8,C505144741378654,Ahli United Bank Kuwait,"Alexandria Governorate, Nasr City, El-Tahrir St.",Egypt,Spain,Salary,EUR,536057199,15456,64.45,326.48,90.59,23184.0,Transfer,Successful
10502,887,1636,23,2026-03-04T22:38:22.000Z,6,C537969158525701,Arab African International Bank (AAIB),"Aswan Governorate, Zamalek, El-Azhar St.",UK,USA,Salary,EGP,567278650,18240,89.14,63.2,99.42,27360.0,Transfer,Successful
502,348,1533,353,2020-10-15T11:12:00.000Z,6,C232268105521546,Fransabank,"Arish Governorate, Mohandiseen, Makram Ebeid St.",France,Egypt,Shopping,USD,877431310,12379,28.9,79.32,96.95,18568.5,Withdrawal,Successful
5503,1726,169,435,2022-03-21T23:36:10.000Z,5,C666424607271933,Al Ahly Bank,"Shubra El-Kheima Governorate, El-Salam, Champollion St.",France,Egypt,Transfer,EGP,380684143,1386,87.26,298.44,36.89,2079.0,Withdrawal,Rejected
25503,1335,415,387,2020-09-30T00:37:31.000Z,9,C902837045512331,Faisal Islamic Bank of Egypt,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",USA,Egypt,Transfer,EGP,522411351,18970,91.12,363.0,73.61,28455.0,Withdrawal,Successful
40503,1472,825,258,2019-11-11T07:22:13.000Z,1,C691910291211633,Ramzy Shafik Tawfik Mansour,"Qena Governorate, Rehab City, Ramses St.",USA,Spain,Transfer,EGP,330178434,4887,51.95,438.7,24.89,7330.5,Transfer,Successful
45503,1605,1573,320,2018-08-18T19:43:20.000Z,1,C979507005651450,National Bank of Kuwait,"Hurghada Governorate, El-Salam, Sudan St.",Saudi Arabia,Egypt,Salary,EGP,428427665,3579,29.85,272.93,31.78,5368.5,Withdrawal,Successful
30503,1704,325,188,2015-09-19T14:53:00.000Z,11,C730377800606492,Arab Jordan Investment Bank,"Beni Suef Governorate, Imbaba, El-Mohandiseen St.",Germany,Egypt,Bill Payment,EGP,306743900,16974,56.63,352.82,90.95,25461.0,Withdrawal,Successful
35503,159,256,199,2023-11-18T07:20:17.000Z,2,C960799933095883,Magdy Sobhi Ramadan Ragab,"Ismailia Governorate, 6th of October, Sudan St.",Italy,Australia,Salary,EGP,488406759,1394,112.29,198.31,8.3,2091.0,Transfer,Successful
503,995,583,100,2025-12-06T04:05:58.000Z,3,C494823102165688,Arab African International Bank (AAIB),"Beni Suef Governorate, Badr City, El-Orouba St.",Jordan,Australia,Salary,EGP,146576415,1559,36.08,138.83,3.88,2338.5,Transfer,Rejected
20503,570,150,171,2016-01-22T10:14:29.000Z,7,C383293001059524,Al Baraka Bank Egypt,"Alexandria Governorate, Sheikh Zayed, Cleopatra St.",Italy,Egypt,Shopping,EUR,179110858,9588,84.67,217.28,71.49,14382.0,Deposit,Rejected
10503,753,1721,209,2024-01-17T11:18:34.000Z,1,C831684004300507,National Bank of Kuwait,"Port Said Governorate, Hadayek El-Qobba, Cleopatra St.",UAE,USA,Salary,USD,140996765,6161,43.94,478.09,87.36,9241.5,Transfer,Successful
15503,945,26,262,2019-07-27T11:20:10.000Z,9,C489921669334418,Bank Misr,"Arish Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Germany,Egypt,Transfer,EGP,982358619,5177,75.79,164.77,88.93,7765.5,Withdrawal,Rejected
5504,754,749,180,2024-06-30T08:05:16.000Z,8,C279534820203118,Barclays,"Qena Governorate, Imbaba, Adly St.",Saudi Arabia,Egypt,Transfer,USD,385444200,8650,39.05,340.93,81.66,12975.0,Deposit,Successful
30504,161,1350,93,2020-08-04T12:42:38.000Z,6,C775060505452629,Abu Dhabi Islamic Bank (ADIB),"Suez Governorate, Rehab City, Salah Salem St.",UAE,Egypt,Transfer,EUR,946027573,6604,108.35,260.09,95.99,9906.0,Deposit,Successful
25504,800,629,111,2024-08-14T06:21:07.000Z,10,C383997059396527,Fransabank,"Tanta Governorate, 6th of October, El-Tahrir St.",Canada,Egypt,Transfer,EGP,808289597,13109,112.88,446.54,78.7,19663.5,Deposit,Successful
40504,1258,672,29,2019-06-24T15:46:00.000Z,9,C928078696019069,Fady Badr Hassan Bishara,"Mansoura Governorate, Rehab City, El-Safwa St.",France,Egypt,Salary,EGP,861660309,14359,29.34,231.25,89.86,21538.5,Withdrawal,Successful
45504,357,1547,28,2025-01-06T11:04:09.000Z,9,C780874457380928,Gulf Bank Kuwait,"Suez Governorate, Rehab City, El-Azhar St.",Australia,Egypt,Salary,EGP,136429795,8173,92.91,117.95,94.44,12259.5,Deposit,Successful
35504,1924,1586,160,2025-12-06T11:24:47.000Z,3,C948476780489058,First Abu Dhabi Bank Egypt,"Port Said Governorate, Heliopolis, El-Galaa St.",Saudi Arabia,Egypt,Shopping,EUR,110260672,2683,101.39,59.33,35.92,4024.5,Deposit,Rejected
504,1727,1749,314,2025-10-05T23:54:17.000Z,4,C251567537427900,QNB Al Ahli,"Asyut Governorate, El-Shorouk, Kasr El-Nil St.",Egypt,Egypt,Transfer,USD,784191605,10159,79.5,259.45,84.24,15238.5,Withdrawal,Successful
15504,1815,1345,305,2020-01-11T12:35:48.000Z,8,C147863508200806,Faisal Islamic Bank of Egypt,"Asyut Governorate, Dokki, El-Sheikh Rihan St.",Lebanon,Australia,Salary,USD,940025973,15529,104.97,126.98,98.33,23293.5,Transfer,Successful
20504,1933,819,425,2021-04-19T23:24:22.000Z,5,C532217721681101,Layla Ahmed Hassan Morsy,"Tanta Governorate, Madinaty, El-Galaa St.",Italy,Egypt,Salary,USD,977745196,15365,96.88,62.92,78.29,23047.5,Withdrawal,Successful
10504,1037,1508,176,2019-04-07T16:45:49.000Z,8,C209008779961898,Commercial International Bank (CIB),"Beni Suef Governorate, New Cairo, Kasr El-Nil St.",Jordan,Egypt,Salary,USD,878009643,12809,94.27,313.96,72.9,19213.5,Deposit,Rejected
30505,1123,72,352,2015-09-14T03:33:13.000Z,9,C324533971578222,Bank Audi,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Cleopatra St.",Spain,Spain,Salary,USD,340199602,1161,70.55,480.94,27.77,1741.5,Transfer,Successful
25505,1826,1845,272,2016-09-06T01:38:27.000Z,7,C948272495645589,Arab National Bank,"Damietta Governorate, El-Shorouk, Port Said St.",Spain,Egypt,Bill Payment,USD,973844813,4889,85.23,452.51,13.92,7333.5,Deposit,Successful
40505,956,1810,89,2020-10-22T03:56:04.000Z,1,C273485091542643,Arab Jordan Investment Bank,"Aswan Governorate, Mohandiseen, Emad El-Din St.",Egypt,Egypt,Bill Payment,EGP,492605612,1674,87.59,325.31,39.13,2511.0,Withdrawal,Successful
45505,378,931,429,2019-07-20T19:58:39.000Z,4,C383663735067717,Al Ahly Bank,"Port Said Governorate, El-Basatin, Salah Salem St.",Italy,Egypt,Shopping,EUR,467820184,8304,21.64,119.96,96.72,12456.0,Withdrawal,Successful
5505,1904,1447,408,2021-01-04T14:30:25.000Z,2,C509220513019758,Arab National Bank,"Damietta Governorate, Hadayek El-Qobba, El-Ahrar St.",UAE,Italy,Shopping,EGP,138484242,6706,80.05,446.64,94.62,10059.0,Transfer,Successful
505,1978,104,448,2023-08-14T04:53:55.000Z,5,C983999612432882,Emirates NBD Egypt,"Beni Suef Governorate, Matareya, El-Tahrir St.",Canada,Egypt,Bill Payment,USD,510016846,14122,106.85,108.35,72.56,21183.0,Withdrawal,Successful
15505,1896,1640,400,2018-03-08T14:36:08.000Z,9,C430219623983896,Gulf Bank Kuwait,"Qena Governorate, Maadi, Salah Salem St.",France,Egypt,Salary,USD,163182090,8194,87.6,44.59,90.94,12291.0,Withdrawal,Successful
20505,1098,160,287,2018-01-02T00:44:49.000Z,1,C512457935879109,Gulf Bank Kuwait,"Zagazig Governorate, El-Obour City, Emad El-Din St.",Germany,Egypt,Shopping,EUR,456087213,4068,66.7,433.43,31.34,6102.0,Withdrawal,Successful
35505,1384,1276,481,2020-07-10T04:21:44.000Z,5,C293328004264039,Saudi National Bank (SNB),"Hurghada Governorate, Garden City, El-Sheikh Rihan St.",Germany,Egypt,Shopping,EGP,355882734,17083,108.07,467.47,79.22,25624.5,Deposit,Rejected
10505,1268,1111,245,2016-06-05T23:07:04.000Z,8,C681888057838763,First Abu Dhabi Bank Egypt,"Aswan Governorate, Badr City, Abbas El-Akkad St.",France,Egypt,Transfer,EGP,853281390,8379,3.03,12.46,76.21,12568.5,Withdrawal,Successful
5506,292,1789,214,2021-07-20T12:44:32.000Z,11,C967032916274480,Mariam Qassem Metwaly Shahin,"Beni Suef Governorate, Badr City, El-Gomhoreya St.",USA,Egypt,Shopping,EGP,590557145,11609,28.8,346.69,99.22,17413.5,Deposit,Rejected
45506,286,1864,57,2021-07-04T05:15:02.000Z,3,C625130009955301,Commercial Bank of Dubai,"Ismailia Governorate, Imbaba, El-Nasr St.",UAE,Egypt,Transfer,EGP,696136699,17015,10.94,308.34,73.35,25522.5,Withdrawal,Rejected
40506,816,1570,30,2024-08-29T11:39:28.000Z,11,C464161007061942,Gulf Bank Kuwait,"Damanhur Governorate, Dokki, El-Ahrar St.",USA,Egypt,Salary,USD,895175964,1282,86.21,132.83,9.29,1923.0,Withdrawal,Rejected
25506,1874,272,164,2023-07-23T06:06:37.000Z,10,C352222264013469,Bank of Alexandria,"Sohag Governorate, Ain Shams, El-Gomhoreya St.",Lebanon,Egypt,Shopping,EGP,754500656,14480,68.72,339.34,76.32,21720.0,Withdrawal,Successful
30506,221,731,54,2018-08-19T13:52:51.000Z,3,C388586594007174,Commercial Bank of Dubai,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Egypt,Egypt,Salary,USD,678805802,4707,102.13,459.57,17.98,7060.5,Withdrawal,Successful
15506,1527,50,316,2020-09-10T03:14:19.000Z,1,C840387716425352,Faisal Islamic Bank of Egypt,"Damanhur Governorate, El-Tagammu El-Khames, Port Said St.",USA,Egypt,Shopping,EGP,548863733,6992,3.15,14.53,74.05,10488.0,Deposit,Successful
35506,1813,1863,141,2026-01-11T21:15:54.000Z,4,C292371248533139,Saudi National Bank (SNB),"Zagazig Governorate, Sheikh Zayed, El-Bustan St.",Italy,Egypt,Bill Payment,USD,243461735,4908,87.37,63.21,4.39,7362.0,Withdrawal,Successful
