trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
17169,801,1859,157,2023-09-15T18:54:51.000Z,7,C408657785422597,Emirates NBD Egypt,"Tanta Governorate, El-Salam, Emad El-Din St.",UK,Egypt,Salary,EUR,577365006,14448,30.04,149.79,95.85,21672.0,Withdrawal,Successful
27169,710,833,306,2022-09-25T23:40:54.000Z,6,C939892949475367,Fransabank,"Damanhur Governorate, El-Marg, Champollion St.",Spain,Egypt,Transfer,USD,820111718,9891,24.19,399.04,86.44,14836.5,Deposit,Rejected
7169,1710,326,160,2025-11-09T11:23:48.000Z,2,C872170046248180,Banque Saudi Fransi,"Port Said Governorate, Heliopolis, El-Galaa St.",Spain,Canada,Transfer,EUR,662855449,6252,7.9,279.85,78.02,9378.0,Transfer,Rejected
37169,1483,736,26,2018-01-10T13:31:34.000Z,5,C559457580954984,Arab Investment Bank,"Luxor Governorate, 6th of October, El-Haram St.",Germany,Egypt,Bill Payment,USD,839897055,12118,39.5,11.17,84.05,18177.0,Withdrawal,Rejected
22169,1079,1529,356,2018-11-07T18:56:30.000Z,2,C881742673156114,Arab Investment Bank,"Port Said Governorate, Zamalek, Salah Salem St.",UK,Egypt,Transfer,EUR,742649356,1109,40.0,297.32,10.4,1663.5,Deposit,Rejected
2169,1574,885,173,2018-07-16T15:49:40.000Z,1,C166349122596547,Jordan Ahli Bank,"New Valley Governorate, Badr City, El-Sheikh Rihan St.",USA,Egypt,Salary,EUR,786687927,10422,71.15,218.04,85.15,15633.0,Deposit,Rejected
42169,1478,1290,458,2019-09-16T14:06:44.000Z,2,C128722167448203,Lebanese French Bank (LFB),"Shubra El-Kheima Governorate, Sheikh Zayed, El-Ahrar St.",UK,Egypt,Shopping,EUR,109486989,11656,38.24,481.84,91.88,17484.0,Deposit,Rejected
32169,1556,1698,25,2023-11-28T16:02:22.000Z,4,C218059966912085,Ahli Bank of Qatar,"Shubra El-Kheima Governorate, El-Basatin, Cleopatra St.",USA,Egypt,Bill Payment,USD,247053263,6199,33.63,115.72,91.49,9298.5,Deposit,Successful
47169,119,1999,491,2026-04-08T23:42:40.000Z,7,C625792890418774,BLOM Bank,"Qena Governorate, Zamalek, Adly St.",Spain,Egypt,Salary,EUR,181925548,2432,83.19,324.08,37.1,3648.0,Deposit,Rejected
12170,634,799,24,2021-03-28T15:03:42.000Z,7,C879973136371100,Faisal Islamic Bank of Egypt,"Damanhur Governorate, Matareya, Talaat Harb St.",Egypt,Italy,Salary,EUR,364258672,4509,24.56,372.03,5.29,6763.5,Transfer,Rejected
