trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
43427,245,72,310,2017-01-04T04:21:28.000Z,8,C135197433558655,Ahli Bank of Qatar,"Mansoura Governorate, Mohandiseen, El-Nasr St.",Lebanon,Egypt,Salary,EGP,494053631,2159,35.39,381.3,12.12,3238.5,Withdrawal,Successful
8425,595,818,255,2024-01-09T16:17:27.000Z,6,C821891263611311,Commercial Bank of Dubai,"Damietta Governorate, El-Haram, El-Ahrar St.",Spain,Italy,Shopping,EUR,676451559,11324,107.08,148.16,85.57,16986.0,Transfer,Rejected
48425,1918,1135,252,2020-03-01T09:14:18.000Z,6,C478453485320953,Arab Jordan Investment Bank,"Hurghada Governorate, Agouza, El-Tahrir St.",Italy,Egypt,Bill Payment,EUR,579887432,14956,85.27,220.97,77.54,22434.0,Deposit,Successful
13424,1893,79,205,2023-05-27T03:07:55.000Z,4,C443787211547678,Riyad Bank,"Qena Governorate, 6th of October, Port Said St.",Saudi Arabia,Egypt,Bill Payment,USD,307295942,11481,3.28,325.12,82.65,17221.5,Withdrawal,Rejected
38424,251,1,302,2019-09-04T22:42:13.000Z,6,C864179025966649,Banque Saudi Fransi,"Hurghada Governorate, Agouza, El-Azhar St.",USA,Germany,Transfer,EGP,433668852,4027,58.34,397.63,19.54,6040.5,Transfer,Rejected
3425,433,9,228,2021-09-02T09:15:33.000Z,9,C621723692269265,BLOM Bank,"Hurghada Governorate, Sheikh Zayed, Mohamed Naguib St.",UK,Italy,Transfer,EGP,991036545,3454,114.17,82.73,8.36,5181.0,Transfer,Rejected
48426,1850,1548,260,2025-09-20T14:32:57.000Z,8,C646049266491192,First Abu Dhabi Bank Egypt,"Cairo Governorate, Dokki, El-Alfy St.",UAE,Egypt,Bill Payment,USD,681297465,5785,100.27,377.96,95.41,8677.5,Withdrawal,Successful
28426,1811,379,108,2025-11-23T15:37:57.000Z,6,C500440892853060,Al Baraka Bank Egypt,"Port Said Governorate, 6th of October, Champollion St.",Lebanon,Egypt,Shopping,EUR,655655140,2066,83.08,5.68,15.39,3099.0,Deposit,Successful
33426,1811,666,490,2017-04-20T16:33:20.000Z,4,C258183406831721,Saudi National Bank (SNB),"Sohag Governorate, El-Tagammu El-Khames, El-Mohandiseen St.",USA,Egypt,Transfer,USD,466610728,13244,65.85,144.34,74.42,19866.0,Deposit,Successful
43428,348,1533,414,2021-07-20T07:58:43.000Z,9,C327154600565466,National Bank of Egypt,"Damanhur Governorate, El-Obour City, Sudan St.",Canada,Egypt,Bill Payment,EGP,116642163,4878,100.64,291.93,10.05,7317.0,Withdrawal,Successful
8426,830,392,478,2016-08-31T10:48:44.000Z,1,C925335724800813,Nadia Farhat Khalil Tawfik,"Beni Suef Governorate, El-Haram, El-Haram St.",Jordan,Egypt,Shopping,USD,219800575,5829,39.5,334.99,71.13,8743.5,Withdrawal,Rejected
23424,1504,1593,172,2017-02-06T02:54:15.000Z,11,C232277171990174,Jordan Ahli Bank,"Ismailia Governorate, Dokki, Champollion St.",Spain,Egypt,Shopping,EGP,236944704,1048,52.25,445.55,25.76,1572.0,Deposit,Successful
