trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
28990,1322,1744,293,2024-02-15T18:34:27.000Z,7,C274375858724521,BLOM Bank,"Marsa Matrouh Governorate, El-Obour City, Gamal Abdel Nasser St.",Australia,Egypt,Shopping,USD,931109585,3330,64.46,26.88,19.47,4995.0,Deposit,Rejected
23990,226,1232,3,2017-06-01T16:31:15.000Z,6,C510436060758299,Al Rajhi Bank,"Alexandria Governorate, Boulak, El-Nasr St.",Jordan,Egypt,Transfer,EGP,306436873,10667,29.49,82.21,95.94,16000.5,Deposit,Rejected
38990,1914,1286,341,2024-05-14T21:51:55.000Z,5,C326725847787550,Ziad Abdel-Rahman Khalil Saad,"Alexandria Governorate, Nasr City, Corniche El-Nil St.",Canada,Egypt,Transfer,EGP,924182969,5527,103.3,72.31,93.19,8290.5,Withdrawal,Rejected
18990,379,630,29,2026-01-31T18:30:41.000Z,1,C803721819395916,Faisal Islamic Bank of Egypt,"Mansoura Governorate, Rehab City, El-Safwa St.",Canada,Egypt,Transfer,EGP,619589963,2074,95.91,49.06,2.52,3111.0,Deposit,Rejected
8990,844,991,131,2023-08-13T14:10:18.000Z,7,C600903800006122,Emirates NBD Egypt,"Hurghada Governorate, Imbaba, El-Orouba St.",Egypt,Egypt,Salary,USD,549931165,11815,33.28,236.04,93.79,17722.5,Withdrawal,Successful
33990,1514,1569,91,2019-01-02T00:17:26.000Z,3,C961185796269630,Arab Investment Bank,"Mansoura Governorate, El-Shorouk, Talaat Harb St.",Italy,Egypt,Transfer,EGP,573528143,14195,80.84,293.13,97.78,21292.5,Deposit,Successful
3990,469,1381,265,2016-01-14T13:13:14.000Z,2,C133292851809546,Arab National Bank,"Qena Governorate, Badr City, El-Batal Ahmed Abdel Aziz St.",Italy,Egypt,Shopping,USD,586567784,11222,5.33,51.65,97.6,16833.0,Deposit,Rejected
43990,198,412,325,2018-10-13T08:04:35.000Z,7,C238798074959361,Qatar National Bank (QNB),"Port Said Governorate, Madinaty, El-Bustan St.",France,UK,Salary,USD,679938438,11867,64.97,135.73,77.1,17800.5,Transfer,Rejected
48990,1660,496,219,2021-07-13T21:31:51.000Z,6,C469142031993394,Lebanese French Bank (LFB),"Beni Suef Governorate, Zamalek, El-Sheikh Rihan St.",France,Egypt,Bill Payment,USD,687528506,369,35.58,197.81,24.52,553.5,Withdrawal,Successful
13991,378,1883,386,2026-03-13T09:33:54.000Z,3,C859786281086011,Arab National Bank,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",Jordan,Egypt,Bill Payment,EUR,244215114,11455,103.53,5.38,78.3,17182.5,Withdrawal,Rejected
18991,466,990,399,2017-01-18T13:52:11.000Z,3,C961180282453031,National Commercial Bank (NCB),"Qena Governorate, Faisal, El-Azhar St.",Germany,Spain,Salary,EGP,231124788,11926,1.06,67.88,73.96,17889.0,Transfer,Rejected
8991,1631,1409,458,2025-05-16T12:48:56.000Z,5,C750336219185088,Mashreq Bank,"Shubra El-Kheima Governorate, Sheikh Zayed, El-Ahrar St.",Saudi Arabia,Egypt,Shopping,EGP,115771750,969,66.49,401.9,38.54,1453.5,Withdrawal,Successful
38991,5,1322,141,2020-01-24T04:05:28.000Z,2,C646691471893377,National Bank of Egypt,"Zagazig Governorate, Sheikh Zayed, El-Bustan St.",Italy,Egypt,Salary,EUR,653942567,7059,38.69,491.27,76.42,10588.5,Withdrawal,Successful
28991,1234,34,341,2017-08-11T14:16:26.000Z,7,C177192335637349,Amr Hamdy Saleh Okasha,"Alexandria Governorate, Nasr City, Corniche El-Nil St.",Saudi Arabia,Egypt,Transfer,EUR,921251021,15312,113.94,57.3,71.14,22968.0,Withdrawal,Successful
23991,1879,309,204,2017-10-09T10:03:44.000Z,4,C687583280956605,Egyptian Arab Land Bank,"Suez Governorate, Faisal, El-Safwa St.",Egypt,Egypt,Shopping,EUR,441454864,2687,40.29,27.88,36.8,4030.5,Deposit,Successful
3991,1936,879,62,2021-11-09T13:31:22.000Z,5,C651629191411754,First Abu Dhabi Bank Egypt,"New Valley Governorate, Heliopolis, El-Alfy St.",USA,Canada,Shopping,EUR,171935553,16047,49.3,137.81,95.09,24070.5,Transfer,Successful
48991,1713,595,235,2025-05-12T00:12:52.000Z,1,C838118490762684,Nour Ahmed Sayed Abdel-Rahman,"Shubra El-Kheima Governorate, Imbaba, El-Safwa St.",Australia,UK,Transfer,USD,252215028,19141,107.66,181.94,71.5,28711.5,Transfer,Rejected
33991,1340,246,451,2024-07-21T05:48:44.000Z,7,C368913365263919,Société Générale,"Giza Governorate, Badr City, El-Haram St.",Spain,Egypt,Shopping,EGP,625985210,3988,85.23,180.38,21.19,5982.0,Withdrawal,Rejected
43991,1532,1339,107,2019-12-28T05:14:32.000Z,1,C637770329298113,BNP Paribas,"New Valley Governorate, Sheikh Zayed, El-Safwa St.",Spain,France,Salary,USD,746903459,6886,52.7,438.25,85.6,10329.0,Transfer,Rejected
13992,1590,887,497,2018-06-18T11:36:36.000Z,5,C766210251760738,Dubai Islamic Bank,"Giza Governorate, Sheikh Zayed, El-Sheikh Rihan St.",UK,Egypt,Transfer,EGP,540933128,17608,4.73,191.15,91.3,26412.0,Withdrawal,Rejected
23992,1586,1196,154,2017-12-01T11:15:37.000Z,4,C459583802856477,Saudi National Bank (SNB),"Aswan Governorate, Mohandiseen, Sudan St.",Egypt,Egypt,Salary,EGP,269144532,1187,109.78,246.61,17.85,1780.5,Withdrawal,Successful
