trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19589,422,938,334,2018-11-19T05:50:55.000Z,5,C391932442790016,Egyptian Arab Land Bank,"Port Said Governorate, El-Salam, El-Azhar St.",Jordan,Egypt,Salary,USD,960241951,17357,113.78,343.65,75.29,26035.5,Deposit,Rejected
29589,1044,569,312,2023-11-14T06:20:00.000Z,2,C596154970199064,Banque du Caire,"Zagazig Governorate, Rehab City, Port Said St.",France,UK,Bill Payment,EUR,346721220,15300,40.57,23.46,82.53,22950.0,Transfer,Rejected
9589,638,321,100,2016-12-10T20:59:08.000Z,2,C943906591499478,Ahli United Bank Egypt,"Beni Suef Governorate, Badr City, El-Orouba St.",Italy,Egypt,Salary,EUR,667469938,15911,95.32,398.75,78.57,23866.5,Withdrawal,Rejected
24589,1561,423,481,2023-06-08T16:38:41.000Z,6,C725669273122745,Arab African International Bank (AAIB),"Hurghada Governorate, Garden City, El-Sheikh Rihan St.",Italy,Egypt,Transfer,EGP,695659383,8116,52.6,183.84,95.31,12174.0,Withdrawal,Rejected
39589,1742,1084,319,2025-12-26T14:13:14.000Z,1,C870310925439172,BLOM Bank,"Shubra El-Kheima Governorate, El-Sharabia, Adly St.",Canada,Egypt,Shopping,EGP,347767561,946,36.06,368.88,29.51,1419.0,Deposit,Successful
44589,647,581,191,2018-09-25T21:53:42.000Z,6,C956040257322646,Arab African International Bank (AAIB),"Tanta Governorate, Ain Shams, Merghany St.",Spain,USA,Transfer,EUR,958238870,18906,98.87,189.68,80.7,28359.0,Transfer,Successful
49589,1121,654,136,2020-12-15T04:00:06.000Z,4,C380741709330349,Saudi National Bank (SNB),"Marsa Matrouh Governorate, Nasr City, Kasr El-Nil St.",USA,Egypt,Salary,EGP,212107779,11200,35.4,415.34,75.2,16800.0,Deposit,Rejected
34589,1121,654,414,2015-10-29T22:51:10.000Z,2,C230851869663130,QNB Al Ahli,"Damanhur Governorate, El-Obour City, Sudan St.",UK,Egypt,Shopping,EUR,131076005,12018,92.76,411.91,72.24,18027.0,Deposit,Successful
4589,1239,1863,355,2022-06-05T04:54:26.000Z,4,C867128468026421,Ahli United Bank Kuwait,"Damietta Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",France,Egypt,Salary,EGP,189087762,13283,36.39,135.64,77.61,19924.5,Deposit,Successful
14590,1107,691,80,2025-08-23T12:51:49.000Z,1,C597953271359341,Ismail Ali Kamal Gomaa,"Damietta Governorate, Garden City, El-Mohandiseen St.",Jordan,Egypt,Bill Payment,EGP,664269262,7379,96.01,61.43,73.78,11068.5,Deposit,Rejected
9590,1796,174,180,2022-03-15T00:27:47.000Z,4,C479267712907455,Bank Misr,"Qena Governorate, Imbaba, Adly St.",Egypt,Egypt,Shopping,USD,533227779,8786,37.81,256.01,89.33,13179.0,Withdrawal,Successful
19590,717,1259,441,2025-01-18T22:28:52.000Z,3,C336839168040186,BNP Paribas,"Hurghada Governorate, Badr City, Talaat Harb St.",UAE,Egypt,Transfer,USD,137158824,3764,63.9,107.3,7.21,5646.0,Deposit,Successful
24590,270,1401,50,2015-01-12T11:04:08.000Z,7,C741273451585007,Ahli Bank of Qatar,"Fayyum Governorate, El-Obour City, Cleopatra St.",Canada,Egypt,Bill Payment,USD,832470818,14813,2.09,393.13,95.41,22219.5,Deposit,Rejected
39590,1832,1060,348,2020-03-21T06:19:58.000Z,1,C472843750498727,Riyad Bank,"Asyut Governorate, Heliopolis, El-Orouba St.",Egypt,Egypt,Shopping,USD,538488312,14746,112.31,111.97,76.61,22119.0,Withdrawal,Rejected
29590,1833,636,457,2019-12-17T11:45:15.000Z,6,C181550325441634,QNB Al Ahli,"Shubra El-Kheima Governorate, Shubra, Corniche El-Nil St.",Jordan,Egypt,Transfer,EUR,674065455,17133,97.72,388.52,80.35,25699.5,Withdrawal,Successful
49590,31,135,479,2025-02-20T01:01:21.000Z,4,C124889788167809,Mashreq Bank,"Asyut Governorate, El-Salam, Port Said St.",Lebanon,Italy,Bill Payment,USD,231667570,6430,103.77,35.96,97.0,9645.0,Transfer,Successful
34590,278,615,380,2017-06-08T04:45:20.000Z,7,C618018868078116,Ahli United Bank Egypt,"Shubra El-Kheima Governorate, El-Haram, Champollion St.",Italy,Egypt,Bill Payment,USD,880141134,4520,103.11,217.82,24.79,6780.0,Withdrawal,Successful
44590,1872,968,82,2023-07-05T03:22:18.000Z,2,C662025103807562,Commercial Bank of Dubai,"Zagazig Governorate, El-Obour City, El-Galaa St.",Spain,UK,Bill Payment,EGP,190131857,2667,69.81,496.7,35.35,4000.5,Transfer,Successful
4590,536,170,492,2026-04-08T15:46:22.000Z,2,C178797948750728,Al Baraka Bank Egypt,"Zagazig Governorate, Omraneya, Emad El-Din St.",Spain,Australia,Transfer,EGP,435896893,7699,87.11,3.89,87.68,11548.5,Transfer,Rejected
14591,890,1146,51,2024-09-10T01:30:35.000Z,3,C113418183718246,Ahli United Bank Egypt,"New Valley Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",Canada,Egypt,Salary,USD,697717299,19423,97.75,200.44,95.59,29134.5,Withdrawal,Successful
29591,926,893,318,2021-04-07T01:32:56.000Z,4,C784899311918014,Faisal Islamic Bank of Egypt,"Ismailia Governorate, Hadayek El-Qobba, El-Tahrir St.",UK,Egypt,Salary,USD,509082668,2959,11.93,30.01,7.91,4438.5,Deposit,Successful
24591,1076,1852,259,2015-08-02T18:43:08.000Z,6,C273235875808604,Jordan Ahli Bank,"Marsa Matrouh Governorate, El-Salam, Talaat Harb St.",France,Canada,Transfer,EGP,487084731,8858,91.95,470.09,97.01,13287.0,Transfer,Rejected
19591,909,575,311,2025-04-18T13:41:48.000Z,5,C813128969424597,Suez Canal Bank,"Fayyum Governorate, Madinaty, El-Batal Ahmed Abdel Aziz St.",Jordan,Australia,Salary,USD,359518692,14025,44.2,242.7,93.0,21037.5,Transfer,Successful
9591,1165,483,182,2015-03-30T14:37:36.000Z,7,C293005586756255,Fatima Hussein Ismail Naguib,"Qena Governorate, Mohandiseen, Champollion St.",UAE,Australia,Salary,EGP,509666348,13669,78.88,75.56,82.44,20503.5,Transfer,Successful
39591,1130,929,320,2019-05-08T00:14:32.000Z,6,C160667920913489,Byblos Bank,"Hurghada Governorate, El-Salam, Sudan St.",Lebanon,Australia,Shopping,EGP,555177619,2461,23.4,127.81,32.56,3691.5,Transfer,Successful
34591,1667,635,406,2021-06-23T15:11:51.000Z,1,C773329095067017,National Bank of Kuwait,"Mansoura Governorate, Mohandiseen, El-Orouba St.",Germany,Egypt,Transfer,EUR,201259657,19166,110.41,231.59,74.83,28749.0,Withdrawal,Rejected
49591,1695,1622,492,2021-11-19T23:48:54.000Z,4,C943111318669921,National Bank of Kuwait,"Zagazig Governorate, Omraneya, Emad El-Din St.",UK,Egypt,Shopping,EGP,604312479,8244,62.8,315.27,71.55,12366.0,Withdrawal,Rejected
4591,1983,617,270,2026-01-27T16:47:39.000Z,5,C578745720273010,Al Rajhi Bank,"Sohag Governorate, El-Basatin, El-Haram St.",France,UK,Salary,USD,782651836,9228,5.24,368.43,70.89,13842.0,Transfer,Successful
44591,712,437,51,2018-02-05T14:17:06.000Z,1,C915241778957156,Dubai Islamic Bank,"New Valley Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",France,Egypt,Salary,USD,853687587,7779,79.19,319.73,98.96,11668.5,Withdrawal,Successful
14592,1544,818,174,2018-08-08T12:29:51.000Z,1,C126975560899649,First Abu Dhabi Bank Egypt,"Zagazig Governorate, Madinaty, Merghany St.",Saudi Arabia,Egypt,Salary,EUR,611607500,9751,51.94,358.67,80.19,14626.5,Withdrawal,Rejected
9592,1874,272,317,2023-04-30T22:40:52.000Z,4,C349498574768839,Egyptian Arab Land Bank,"Aswan Governorate, Dokki, El-Galaa St.",UK,Egypt,Salary,EUR,763284050,2993,3.22,166.41,3.18,4489.5,Withdrawal,Successful
39592,1855,111,14,2016-03-18T05:06:25.000Z,7,C859721454367235,Byblos Bank,"Suez Governorate, Maadi, El-Orouba St.",USA,Egypt,Transfer,USD,412281417,2579,9.41,423.44,28.09,3868.5,Withdrawal,Rejected
29592,476,314,3,2022-08-19T16:05:45.000Z,5,C611459289452063,Bank Misr,"Alexandria Governorate, Boulak, El-Nasr St.",UK,Egypt,Salary,EGP,328132008,3802,23.82,190.73,33.54,5703.0,Withdrawal,Successful
19592,724,1313,418,2023-07-02T01:29:50.000Z,6,C148378415529464,Gulf Bank Kuwait,"Marsa Matrouh Governorate, Shubra, Merghany St.",Saudi Arabia,Egypt,Shopping,EGP,672096369,18043,44.98,369.36,76.72,27064.5,Deposit,Rejected
24592,1962,499,215,2025-11-13T06:00:32.000Z,6,C806460753356515,Mashreq Bank,"Zagazig Governorate, Badr City, Sudan St.",UK,Egypt,Bill Payment,EUR,291751686,11953,107.57,322.19,99.61,17929.5,Deposit,Successful
44592,350,1695,286,2016-01-05T09:47:49.000Z,5,C569948210717942,Byblos Bank,"Mansoura Governorate, El-Marg, Kasr El-Nil St.",Egypt,Spain,Transfer,USD,243785148,10139,90.69,196.79,99.53,15208.5,Transfer,Rejected
49592,316,732,221,2022-03-23T17:42:52.000Z,2,C777421929583385,Khaled Tantawy Khalil Bishara,"Alexandria Governorate, Nasr City, El-Ahrar St.",Lebanon,Egypt,Transfer,EUR,884479655,16418,113.07,228.53,91.51,24627.0,Deposit,Rejected
34592,1478,1290,44,2025-11-18T19:44:09.000Z,3,C317626733640289,Arab National Bank,"Asyut Governorate, Garden City, Kasr El-Nil St.",Canada,France,Bill Payment,EUR,649563287,9691,80.57,44.74,73.07,14536.5,Transfer,Rejected
4592,476,314,82,2025-03-23T17:58:36.000Z,4,C469634851074481,Doaa Sobhi Okasha Farouk,"Zagazig Governorate, El-Obour City, El-Galaa St.",UK,Egypt,Transfer,EUR,802001443,7694,44.76,445.47,76.68,11541.0,Deposit,Successful
14593,648,418,434,2022-01-08T00:21:13.000Z,6,C977845799282032,Arab Jordan Investment Bank,"Cairo Governorate, El-Tagammu El-Khames, El-Mohandiseen St.",Lebanon,Australia,Shopping,EUR,515876666,11976,37.61,440.24,91.4,17964.0,Transfer,Rejected
