trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13332,1504,1868,429,2025-06-09T05:43:57.000Z,3,C501635511334118,Heba Ismail Ahmed Ramadan,"Port Said Governorate, El-Basatin, Salah Salem St.",Spain,Canada,Transfer,USD,417238155,10891,98.22,121.95,75.55,16336.5,Transfer,Successful
23332,517,1633,159,2021-11-07T17:34:27.000Z,6,C970508416319704,Al Baraka Bank Egypt,"Alexandria Governorate, Omraneya, El-Azhar St.",Italy,Egypt,Salary,EGP,484382801,15439,71.76,124.86,89.95,23158.5,Deposit,Successful
38332,940,861,390,2024-01-21T16:48:01.000Z,3,C614274990478282,First Abu Dhabi Bank Egypt,"Damanhur Governorate, Rehab City, Champollion St.",Australia,Egypt,Bill Payment,EGP,737924077,8999,58.98,422.65,87.35,13498.5,Withdrawal,Successful
28332,468,1987,437,2022-10-16T17:48:26.000Z,7,C474371117701048,Al Ahly Bank,"Minya Governorate, Faisal, El-Tahrir St.",UAE,Egypt,Transfer,EUR,419991887,12063,18.98,388.79,76.88,18094.5,Deposit,Rejected
8332,247,774,99,2021-02-28T14:57:15.000Z,3,C358872490702108,Qatar National Bank (QNB),"Cairo Governorate, New Cairo, Kasr El-Nil St.",USA,Egypt,Salary,EGP,115190303,14596,14.68,30.74,71.01,21894.0,Deposit,Successful
18332,170,543,60,2022-03-27T07:22:39.000Z,2,C998316435423563,Sara Zaki Dahab Ragab,"Shubra El-Kheima Governorate, El-Salam, El-Tahrir St.",USA,Egypt,Transfer,EGP,672680094,12595,9.33,28.94,70.92,18892.5,Deposit,Successful
43332,115,1114,76,2021-12-20T13:58:19.000Z,5,C733147970988288,Ahli Bank of Qatar,"Asyut Governorate, El-Salam, Abbas El-Akkad St.",Egypt,Egypt,Transfer,USD,873993786,6279,85.78,360.14,97.37,9418.5,Withdrawal,Rejected
3332,468,1987,386,2019-07-21T02:42:36.000Z,6,C671820068379223,Commercial Bank of Qatar,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",Saudi Arabia,Egypt,Salary,EUR,906957583,13912,95.29,231.83,96.6,20868.0,Withdrawal,Rejected
48332,620,227,303,2017-06-25T08:06:13.000Z,1,C728570430151938,Commercial Bank of Qatar,"Suez Governorate, Omraneya, El-Alfy St.",UAE,Egypt,Salary,EGP,332783291,16661,84.54,474.08,76.03,24991.5,Withdrawal,Rejected
33332,778,903,364,2016-11-02T07:58:50.000Z,4,C500391195643959,Arab Jordan Investment Bank,"Sohag Governorate, Garden City, Makram Ebeid St.",Canada,USA,Shopping,USD,447271052,17176,111.53,432.67,90.37,25764.0,Transfer,Successful
13333,434,1059,462,2016-12-23T12:32:49.000Z,4,C548529756530023,Arab National Bank,"Ismailia Governorate, El-Obour City, El-Mohandiseen St.",Lebanon,Egypt,Salary,EGP,990218074,3431,62.71,218.69,1.77,5146.5,Deposit,Successful
23333,331,883,181,2026-04-14T08:20:51.000Z,4,C911265550497186,Al Rajhi Bank,"Marsa Matrouh Governorate, El-Sharabia, Abbas El-Akkad St.",Saudi Arabia,Egypt,Bill Payment,EGP,742330057,18315,96.54,22.72,89.19,27472.5,Withdrawal,Rejected
18333,1749,266,56,2016-10-28T05:30:58.000Z,1,C926397376919635,Emirates NBD,"Alexandria Governorate, El-Haram, El-Safwa St.",Jordan,Egypt,Salary,USD,131403036,5878,68.86,486.9,99.04,8817.0,Withdrawal,Rejected
8333,1355,1923,490,2022-11-23T10:33:51.000Z,7,C545305494018868,Credit Agricole,"Sohag Governorate, El-Tagammu El-Khames, El-Mohandiseen St.",Spain,USA,Shopping,EUR,670464022,14112,82.96,51.03,90.96,21168.0,Transfer,Rejected
38333,1234,1184,136,2018-12-09T14:28:14.000Z,6,C871445700213933,Al Rajhi Bank,"Marsa Matrouh Governorate, Nasr City, Kasr El-Nil St.",UK,Egypt,Shopping,EGP,931493114,7846,103.64,416.41,92.12,11769.0,Withdrawal,Successful
28333,299,1320,156,2016-09-27T04:48:50.000Z,5,C101682061785698,Commercial Bank of Dubai,"Cairo Governorate, Ain Shams, Emad El-Din St.",Jordan,Egypt,Bill Payment,EGP,783110713,13570,45.08,480.69,72.89,20355.0,Withdrawal,Successful
33333,698,859,11,2019-06-22T06:13:57.000Z,2,C525368654783653,Arab African International Bank (AAIB),"Hurghada Governorate, Imbaba, Mohamed Naguib St.",Germany,Egypt,Shopping,EGP,756039657,4712,38.52,126.65,9.17,7068.0,Withdrawal,Rejected
48333,251,952,108,2024-05-01T00:53:39.000Z,7,C149821330163505,National Bank of Kuwait,"Port Said Governorate, 6th of October, Champollion St.",Germany,Egypt,Salary,EGP,762109454,4357,119.09,292.22,30.2,6535.5,Deposit,Rejected
43333,694,1188,95,2018-03-11T13:25:23.000Z,7,C524336057363860,Arab National Bank,"Arish Governorate, 6th of October, Kasr El-Nil St.",UK,Italy,Transfer,EUR,942869873,4824,111.65,157.27,31.67,7236.0,Transfer,Successful
3333,31,223,375,2016-05-15T12:37:18.000Z,6,C826290412837072,Housing and Development Bank (HDB),"Minya Governorate, Shubra, El-Orouba St.",Germany,Egypt,Salary,EGP,822915535,7104,49.46,283.93,83.17,10656.0,Withdrawal,Rejected
13334,491,53,228,2024-09-07T08:09:53.000Z,7,C457490724871279,First Abu Dhabi Bank Egypt,"Hurghada Governorate, Sheikh Zayed, Mohamed Naguib St.",Australia,Egypt,Transfer,EGP,312332572,10507,72.22,426.96,85.18,15760.5,Withdrawal,Rejected
8334,263,373,290,2021-11-12T23:21:07.000Z,1,C625380254657936,Bank Misr,"Qena Governorate, El-Sharabia, Abbas El-Akkad St.",UK,Egypt,Salary,EUR,927736585,6000,34.19,35.76,89.78,9000.0,Withdrawal,Rejected
23334,51,1295,289,2020-05-03T07:25:27.000Z,3,C621906258379113,Emirates NBD,"Cairo Governorate, Mohandiseen, El-Orouba St.",Saudi Arabia,Egypt,Shopping,EUR,736162036,3199,87.99,1.41,38.31,4798.5,Withdrawal,Successful
38334,1678,1430,160,2024-03-18T09:52:24.000Z,6,C867800316373740,QNB Al Ahli,"Port Said Governorate, Heliopolis, El-Galaa St.",Germany,Italy,Bill Payment,USD,794546585,13340,93.66,123.48,94.06,20010.0,Transfer,Successful
28334,631,1981,61,2020-10-14T06:10:02.000Z,3,C130531792858037,Ahli United Bank Kuwait,"Cairo Governorate, Garden City, El-Sheikh Rihan St.",France,Egypt,Transfer,EUR,508544067,292,68.84,213.19,25.56,438.0,Deposit,Rejected
18334,1348,144,345,2024-08-08T07:01:59.000Z,2,C657700552305937,Banque Saudi Fransi,"Cairo Governorate, Omraneya, El-Safwa St.",France,UK,Bill Payment,EGP,690761389,4531,98.67,210.64,9.64,6796.5,Transfer,Successful
43334,1442,1219,381,2015-10-30T04:23:11.000Z,5,C132758054280817,Lebanese French Bank (LFB),"Marsa Matrouh Governorate, Boulak, El-Nasr St.",Italy,Egypt,Transfer,EGP,637681891,3338,61.45,464.28,0.14,5007.0,Withdrawal,Successful
48334,1297,1476,386,2020-06-25T21:21:03.000Z,3,C614249153968475,Hazem Tantawy Ramadan Hilal,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",Spain,Egypt,Shopping,USD,359707680,753,69.22,487.7,29.48,1129.5,Deposit,Successful
33334,236,859,41,2023-12-19T05:23:38.000Z,1,C225750506850567,Riyad Bank,"Sohag Governorate, Heliopolis, El-Alfy St.",USA,Egypt,Bill Payment,USD,365080898,11764,67.68,24.35,82.18,17646.0,Withdrawal,Rejected
3334,217,1346,41,2015-12-02T04:42:26.000Z,3,C935476473371388,Wael Naguib Ibrahim Badr,"Sohag Governorate, Heliopolis, El-Alfy St.",UK,Egypt,Transfer,EUR,815440009,7404,103.72,347.33,74.12,11106.0,Withdrawal,Rejected
13335,263,373,218,2024-04-04T05:56:42.000Z,1,C415503062102003,Bank Audi,"Minya Governorate, Badr City, Abbas El-Akkad St.",Spain,Egypt,Transfer,EGP,462169387,3329,7.97,49.55,16.53,4993.5,Deposit,Rejected
8335,796,1881,184,2021-07-27T20:28:34.000Z,5,C242597460509474,Suez Canal Bank,"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",Jordan,Egypt,Salary,EGP,249462128,19367,80.14,473.32,89.82,29050.5,Withdrawal,Successful
23335,366,140,268,2023-06-04T03:24:44.000Z,5,C522561272629930,Egyptian Arab Land Bank,"Port Said Governorate, El-Obour City, El-Tahrir St.",France,UK,Shopping,USD,791595319,5404,21.93,189.36,93.15,8106.0,Transfer,Rejected
38335,235,594,279,2022-10-05T17:22:20.000Z,1,C210132886793385,National Bank of Egypt,"Tanta Governorate, Badr City, Emad El-Din St.",Lebanon,Egypt,Salary,USD,662693450,17392,20.86,274.47,72.92,26088.0,Deposit,Successful
