trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19529,1405,913,244,2019-07-20T13:53:14.000Z,5,C994572763113464,Riyad Bank,"Suez Governorate, El-Haram, Cleopatra St.",UK,Egypt,Shopping,EUR,720196284,3934,33.9,339.76,16.94,5901.0,Deposit,Successful
39529,1225,313,386,2017-07-12T08:46:55.000Z,4,C371584225716360,Mashreq Bank,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",USA,Egypt,Bill Payment,USD,678806028,17922,58.85,412.16,81.34,26883.0,Withdrawal,Successful
24529,1798,976,341,2017-01-31T05:00:58.000Z,1,C298071010132607,Maged Tantawy Hassan Ibrahim,"Alexandria Governorate, Nasr City, Corniche El-Nil St.",Canada,Egypt,Salary,EGP,230634341,19069,45.24,379.43,85.02,28603.5,Deposit,Rejected
29529,1712,1610,171,2021-12-28T19:35:09.000Z,3,C202852089305003,Banque Saudi Fransi,"Alexandria Governorate, Sheikh Zayed, Cleopatra St.",Italy,Egypt,Transfer,EGP,758087205,16515,53.66,103.72,87.19,24772.5,Withdrawal,Rejected
9529,558,1558,492,2023-09-13T10:55:47.000Z,4,C320290811454287,Omar Saleh Sayed Eid,"Zagazig Governorate, Omraneya, Emad El-Din St.",UK,Egypt,Bill Payment,USD,458017408,10448,40.96,198.8,83.08,15672.0,Withdrawal,Rejected
49529,19,1561,231,2025-08-30T11:56:22.000Z,5,C486902160393647,Emirates NBD Egypt,"Alexandria Governorate, Omraneya, Kasr El-Nil St.",Germany,Egypt,Transfer,EUR,341966712,4622,6.32,79.46,5.35,6933.0,Deposit,Rejected
44529,1387,1520,250,2024-09-07T03:27:16.000Z,5,C202787267046147,Ahli United Bank Egypt,"Asyut Governorate, Faisal, El-Ahrar St.",Canada,Canada,Shopping,EUR,168267705,7693,88.03,1.28,95.28,11539.5,Transfer,Successful
4529,65,786,122,2023-11-02T00:05:53.000Z,6,C539898147424429,Dubai Islamic Bank,"Zagazig Governorate, Shubra, El-Safwa St.",Egypt,Egypt,Transfer,EUR,482316953,4421,1.11,290.39,25.73,6631.5,Deposit,Successful
34529,1851,1419,181,2015-07-30T01:35:35.000Z,2,C566244808917144,Bank Misr,"Marsa Matrouh Governorate, El-Sharabia, Abbas El-Akkad St.",UK,UK,Transfer,USD,822233832,5273,115.33,318.01,78.61,7909.5,Transfer,Successful
14530,294,757,334,2021-06-15T21:08:05.000Z,3,C183118216579137,Ahli United Bank Kuwait,"Port Said Governorate, El-Salam, El-Azhar St.",Jordan,Egypt,Salary,EGP,608302645,13027,87.09,9.01,87.7,19540.5,Deposit,Rejected
