trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12374,1101,28,144,2020-12-12T15:46:54.000Z,5,C298017350455189,Dubai Islamic Bank,"Minya Governorate, Omraneya, Abbas El-Akkad St.",Egypt,France,Transfer,USD,859509333,13919,37.2,292.08,99.93,20878.5,Transfer,Successful
7374,676,1749,323,2017-03-27T12:55:37.000Z,1,C698307582182598,Commercial International Bank (CIB),"New Valley Governorate, Nasr City, Merghany St.",Lebanon,Spain,Salary,EUR,782811445,8104,44.3,23.49,87.75,12156.0,Transfer,Successful
22374,672,193,34,2018-12-22T03:40:28.000Z,4,C418623610570110,Ahli United Bank Kuwait,"Asyut Governorate, Boulak, El-Mohandiseen St.",Lebanon,Spain,Salary,EGP,401558368,4919,83.32,378.68,13.67,7378.5,Transfer,Rejected
37374,1973,707,144,2025-05-03T16:35:26.000Z,6,C808468206283874,Gulf Bank Kuwait,"Minya Governorate, Omraneya, Abbas El-Akkad St.",UAE,Egypt,Transfer,EUR,235586714,13768,41.97,67.65,91.92,20652.0,Withdrawal,Successful
27374,488,787,61,2019-08-18T01:14:09.000Z,2,C842775891230367,Qatar National Bank (QNB),"Cairo Governorate, Garden City, El-Sheikh Rihan St.",Italy,Egypt,Transfer,EUR,264772111,4014,20.2,225.39,1.29,6021.0,Withdrawal,Successful
17374,1094,1747,82,2015-08-04T08:52:12.000Z,7,C436967595310110,Abu Dhabi Islamic Bank (ADIB),"Zagazig Governorate, El-Obour City, El-Galaa St.",Italy,Egypt,Salary,USD,845248840,3928,102.09,62.82,31.93,5892.0,Deposit,Successful
32374,716,552,361,2019-09-17T20:37:37.000Z,4,C208800641364394,Bank Misr,"Minya Governorate, Matareya, Champollion St.",Egypt,Spain,Bill Payment,EGP,365238198,692,58.38,312.19,19.48,1038.0,Transfer,Successful
2374,835,352,464,2025-03-01T15:15:40.000Z,1,C219559471052622,Arab Investment Bank,"Minya Governorate, Matareya, Champollion St.",Canada,USA,Transfer,USD,582816626,15023,31.0,467.24,87.88,22534.5,Transfer,Successful
47374,206,519,30,2017-06-26T22:07:53.000Z,4,C816495986195308,Emirates NBD Egypt,"Damanhur Governorate, Dokki, El-Ahrar St.",UAE,Egypt,Salary,USD,357806534,1134,13.6,468.56,6.24,1701.0,Deposit,Successful
42374,1581,1677,110,2019-03-12T07:31:48.000Z,5,C468403846178369,BLOM Bank,"Suez Governorate, Shubra, Gamal Abdel Nasser St.",Lebanon,Egypt,Bill Payment,USD,203364761,18968,87.34,70.92,85.96,28452.0,Deposit,Successful
12375,1962,1733,204,2015-10-02T05:20:20.000Z,6,C897792864699632,Abu Dhabi Islamic Bank (ADIB),"Suez Governorate, Faisal, El-Safwa St.",Spain,Egypt,Transfer,EGP,433216130,3188,48.78,219.0,2.09,4782.0,Withdrawal,Successful
