trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
18092,1336,626,132,2021-11-09T09:22:03.000Z,4,C385534750123096,Commercial International Bank (CIB),"Shubra El-Kheima Governorate, Shubra, El-Orouba St.",Jordan,Egypt,Transfer,EUR,608002356,10723,79.11,85.94,94.23,16084.5,Withdrawal,Successful
38092,240,1832,452,2025-03-23T20:24:02.000Z,2,C525766179064463,Abu Dhabi Islamic Bank (ADIB),"Luxor Governorate, Agouza, El-Nasr St.",UK,USA,Transfer,USD,883965309,8958,3.28,340.31,84.7,13437.0,Transfer,Successful
23092,776,513,146,2017-04-17T22:18:44.000Z,1,C884614017268809,Fransabank,"Asyut Governorate, Dokki, El-Batal Ahmed Abdel Aziz St.",USA,Egypt,Salary,EUR,827133999,8152,3.81,464.62,78.87,12228.0,Withdrawal,Successful
28092,1197,1969,467,2015-04-27T21:45:22.000Z,6,C681249017030578,Arab African International Bank (AAIB),"Giza Governorate, Faisal, El-Galaa St.",UAE,Germany,Salary,EGP,984449065,2501,98.38,213.78,3.4,3751.5,Transfer,Successful
8092,213,1350,74,2016-12-03T12:47:39.000Z,4,C785957029057681,Egyptian Arab Land Bank,"Asyut Governorate, Rehab City, El-Haram St.",Jordan,Egypt,Bill Payment,USD,206765841,7277,7.42,231.56,78.42,10915.5,Withdrawal,Successful
48092,915,1705,301,2015-06-29T10:19:48.000Z,6,C935023163971545,Housing and Development Bank (HDB),"Damietta Governorate, Heliopolis, El-Mohandiseen St.",France,Spain,Shopping,USD,109307690,3535,30.56,216.44,22.16,5302.5,Transfer,Successful
3092,1115,1773,106,2019-08-18T12:26:16.000Z,3,C750186504837388,First Abu Dhabi Bank Egypt,"Damietta Governorate, Shubra, Gamal Abdel Nasser St.",Germany,Egypt,Shopping,EGP,803379573,7153,69.24,219.45,72.19,10729.5,Deposit,Rejected
43092,1458,77,372,2023-09-11T17:36:18.000Z,1,C496156918552812,Al Rajhi Bank,"New Valley Governorate, El-Shorouk, El-Ahrar St.",Italy,Spain,Salary,EUR,197460560,16542,45.38,7.18,71.57,24813.0,Transfer,Successful
33092,89,705,223,2017-12-26T07:53:30.000Z,1,C632447144084529,Egyptian Arab Land Bank,"Ismailia Governorate, Nasr City, El-Nasr St.",Australia,Egypt,Shopping,USD,535698886,867,87.94,266.84,19.06,1300.5,Withdrawal,Rejected
13093,593,187,126,2021-04-17T20:55:45.000Z,1,C121498934706930,Al Baraka Bank Egypt,"Marsa Matrouh Governorate, 6th of October, Port Said St.",France,Egypt,Shopping,EGP,935289251,8378,12.48,383.05,97.19,12567.0,Withdrawal,Successful
23093,1282,1337,243,2019-03-21T22:47:05.000Z,4,C133995934577005,Arab Investment Bank,"Zagazig Governorate, El-Obour City, Merghany St.",Jordan,USA,Transfer,USD,483815200,7469,44.41,437.9,89.48,11203.5,Transfer,Rejected
28093,1836,951,179,2015-12-14T08:53:47.000Z,6,C221818861648636,Tamer Ibrahim Othman Sobhi,"Suez Governorate, Sheikh Zayed, El-Haram St.",UAE,Egypt,Shopping,EGP,552331246,4988,106.89,185.85,9.97,7482.0,Withdrawal,Rejected
18093,1447,1054,484,2016-11-16T17:45:18.000Z,7,C756763564353079,QNB Al Ahli,"Arish Governorate, El-Salam, El-Azhar St.",France,Egypt,Shopping,EUR,710498618,11478,60.57,476.05,77.06,17217.0,Withdrawal,Successful
8093,786,946,364,2024-09-25T08:27:48.000Z,5,C289966372190558,Arab Investment Bank,"Sohag Governorate, Garden City, Makram Ebeid St.",Australia,Egypt,Transfer,EUR,134573250,12569,92.77,455.27,84.33,18853.5,Deposit,Rejected
38093,814,295,319,2023-04-20T07:17:22.000Z,5,C893887732065929,First Abu Dhabi Bank (FAB),"Shubra El-Kheima Governorate, El-Sharabia, Adly St.",UAE,Egypt,Salary,EGP,633192414,5503,30.81,275.61,84.51,8254.5,Withdrawal,Successful
48093,821,268,176,2023-03-06T08:10:30.000Z,1,C415122005699300,Arab Investment Bank,"Beni Suef Governorate, New Cairo, Kasr El-Nil St.",Italy,Egypt,Bill Payment,EUR,891261051,15361,32.18,100.37,98.08,23041.5,Deposit,Rejected
3093,189,1741,374,2019-06-05T11:50:38.000Z,7,C390246739966964,Egyptian Arab Land Bank,"Beni Suef Governorate, Agouza, El-Safwa St.",Canada,Egypt,Shopping,EUR,635636731,13186,3.14,368.0,75.28,19779.0,Withdrawal,Successful
33093,1120,867,311,2021-04-06T04:05:49.000Z,6,C610211087475460,Hany Ragab Morsy Wahba,"Fayyum Governorate, Madinaty, El-Batal Ahmed Abdel Aziz St.",UAE,Egypt,Shopping,EUR,962010539,13410,23.96,332.15,86.29,20115.0,Withdrawal,Rejected
43093,1535,1708,409,2015-08-18T22:09:38.000Z,2,C489074940177919,Commercial Bank of Qatar,"Arish Governorate, Faisal, Kasr El-Nil St.",Australia,Italy,Shopping,USD,471329647,9453,67.6,433.22,98.27,14179.5,Transfer,Successful
13094,1582,1835,46,2019-03-14T23:29:46.000Z,1,C688327564090809,Dubai Islamic Bank,"Aswan Governorate, Faisal, Salah Salem St.",Lebanon,Canada,Transfer,USD,573045589,4524,69.74,267.09,32.31,6786.0,Transfer,Successful
18094,918,1840,252,2023-09-12T19:44:11.000Z,4,C681467783743142,Kuwait Finance House,"Hurghada Governorate, Agouza, El-Tahrir St.",UK,Egypt,Transfer,EGP,912044797,1027,85.27,483.16,0.03,1540.5,Withdrawal,Successful
8094,366,1880,452,2024-01-28T08:31:19.000Z,6,C319155717994740,Emirates NBD Egypt,"Luxor Governorate, Agouza, El-Nasr St.",Australia,Egypt,Salary,EGP,347102532,19488,25.52,467.86,84.18,29232.0,Withdrawal,Successful
28094,1794,614,60,2015-10-25T18:28:50.000Z,4,C413595565162617,Fransabank,"Shubra El-Kheima Governorate, El-Salam, El-Tahrir St.",Jordan,Italy,Bill Payment,EGP,761640100,6136,11.5,128.83,84.71,9204.0,Transfer,Rejected
23094,1714,1307,273,2015-05-17T05:11:32.000Z,2,C951105561326544,Kuwait Finance House,"Mansoura Governorate, Boulak, Champollion St.",France,Germany,Bill Payment,EUR,313684383,18722,96.9,453.01,98.24,28083.0,Transfer,Rejected
38094,243,61,63,2019-07-19T04:03:45.000Z,2,C691827783422020,Bank of Alexandria,"New Valley Governorate, El-Haram, El-Haram St.",USA,Egypt,Salary,EGP,111916476,15623,89.23,154.92,76.47,23434.5,Withdrawal,Successful
43094,596,1464,248,2022-05-24T13:34:09.000Z,1,C982028692258922,Banque du Caire,"Suez Governorate, Zamalek, El-Nasr St.",Australia,Egypt,Shopping,USD,522276063,13773,67.66,395.63,77.81,20659.5,Withdrawal,Successful
33094,431,1710,384,2026-03-28T03:07:33.000Z,2,C912580350630624,National Bank of Egypt,"Beni Suef Governorate, El-Sharabia, El-Bustan St.",Spain,Egypt,Bill Payment,EUR,926227356,7866,1.83,49.48,82.3,11799.0,Deposit,Rejected
3094,113,296,354,2022-06-23T01:08:13.000Z,7,C575979309564923,Dubai Islamic Bank,"Qena Governorate, Matareya, Gamal Abdel Nasser St.",Spain,Germany,Salary,USD,328740916,5118,22.6,168.53,84.8,7677.0,Transfer,Rejected
48094,1454,796,456,2016-07-01T15:25:39.000Z,7,C715624038573098,QNB Al Ahli,"Port Said Governorate, El-Salam, El-Gomhoreya St.",UAE,Egypt,Bill Payment,USD,317790719,5085,21.87,163.61,77.74,7627.5,Deposit,Successful
13095,1104,18,389,2022-11-22T08:38:42.000Z,4,C248713471385488,Ahli Bank of Qatar,"Luxor Governorate, Ain Shams, El-Orouba St.",Egypt,Egypt,Salary,EGP,176405421,19144,75.5,153.72,86.14,28716.0,Withdrawal,Rejected
23095,866,1686,386,2018-04-19T03:48:14.000Z,1,C253230965771979,Arab Investment Bank,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",Egypt,Egypt,Salary,EUR,367744891,4890,119.05,48.09,19.54,7335.0,Withdrawal,Rejected
8095,538,1766,224,2020-09-10T18:42:06.000Z,3,C660594624446124,Egyptian Arab Land Bank,"Giza Governorate, Sheikh Zayed, El-Mohandiseen St.",Lebanon,UK,Bill Payment,EGP,221674868,7399,34.31,355.29,93.12,11098.5,Transfer,Rejected
18095,1228,1575,374,2016-01-26T10:28:10.000Z,2,C455563872693919,Arab African International Bank (AAIB),"Beni Suef Governorate, Agouza, El-Safwa St.",Spain,France,Bill Payment,EUR,750731363,631,102.05,170.53,2.31,946.5,Transfer,Rejected
28095,1611,603,163,2020-02-10T05:27:04.000Z,7,C638991629624016,Qatar National Bank (QNB),"Damanhur Governorate, 6th of October, El-Ahrar St.",Italy,Egypt,Bill Payment,USD,933339478,18578,119.25,78.74,94.13,27867.0,Withdrawal,Rejected
38095,588,1545,299,2019-05-22T03:07:02.000Z,5,C787603989593405,Housing and Development Bank (HDB),"Alexandria Governorate, Agouza, Cleopatra St.",USA,Egypt,Salary,USD,315439071,745,117.46,234.23,26.06,1117.5,Deposit,Rejected
43095,1346,519,499,2016-10-09T02:52:05.000Z,3,C735562972812869,National Commercial Bank (NCB),"Tanta Governorate, Hadayek El-Qobba, Talaat Harb St.",USA,USA,Transfer,EGP,194310565,11093,66.46,368.79,97.52,16639.5,Transfer,Successful
48095,594,1903,249,2025-08-14T15:33:54.000Z,5,C571654227123422,Jordan Ahli Bank,"Giza Governorate, Nasr City, El-Azhar St.",USA,Egypt,Bill Payment,EGP,134188517,7857,90.4,145.89,84.12,11785.5,Deposit,Rejected
33095,1685,511,103,2018-01-09T05:20:48.000Z,7,C235121797891167,Mashreq Bank,"Fayyum Governorate, Sheikh Zayed, Cleopatra St.",Jordan,Australia,Transfer,EGP,609969234,3188,26.27,262.3,1.21,4782.0,Transfer,Rejected
3095,1359,1428,460,2015-02-04T04:04:41.000Z,7,C278197700959331,National Bank of Egypt,"Marsa Matrouh Governorate, El-Obour City, Salah Salem St.",Lebanon,Egypt,Salary,EUR,446196937,16738,56.97,242.86,83.49,25107.0,Withdrawal,Rejected
13096,780,1634,150,2016-12-24T13:14:11.000Z,7,C514917662948948,Saudi National Bank (SNB),"Zagazig Governorate, Ain Shams, Adly St.",Lebanon,Canada,Shopping,EGP,468545581,13864,54.57,467.82,96.09,20796.0,Transfer,Successful
18096,956,1408,220,2025-11-07T18:10:20.000Z,4,C214147103116887,Suez Canal Bank,"Mansoura Governorate, Boulak, Adly St.",UAE,Egypt,Salary,EUR,320790193,1414,73.72,458.85,12.22,2121.0,Deposit,Rejected
28096,961,1231,230,2023-03-01T00:56:15.000Z,5,C290315918565113,Arab Bank,"Ismailia Governorate, El-Shorouk, El-Galaa St.",USA,Australia,Shopping,EUR,391177798,4012,67.78,155.58,23.18,6018.0,Transfer,Successful
23096,67,1626,280,2018-05-08T04:29:00.000Z,1,C465765028869608,Suez Canal Bank,"Hurghada Governorate, 6th of October, Champollion St.",Saudi Arabia,Canada,Salary,EGP,297844101,2103,89.44,219.97,35.5,3154.5,Transfer,Successful
38096,89,1386,350,2023-01-01T18:18:33.000Z,2,C973396238872595,Egyptian Arab Land Bank,"Ismailia Governorate, Boulak, Champollion St.",Italy,UK,Transfer,EUR,597774795,5703,59.06,268.42,74.54,8554.5,Transfer,Successful
8096,852,1689,198,2020-11-01T09:33:16.000Z,4,C985976656545747,Arab National Bank,"Ismailia Governorate, Dokki, El-Galaa St.",Jordan,USA,Salary,USD,178712207,13650,17.2,441.21,90.31,20475.0,Transfer,Rejected
33096,233,1167,426,2023-12-26T02:26:17.000Z,7,C950766587029455,BLOM Bank,"Tanta Governorate, El-Marg, Kasr El-Nil St.",Germany,Egypt,Transfer,USD,236148957,10031,100.91,478.1,86.6,15046.5,Withdrawal,Rejected
48096,1412,99,95,2023-10-25T20:42:03.000Z,6,C770577527583227,Arab Bank,"Arish Governorate, 6th of October, Kasr El-Nil St.",Spain,USA,Bill Payment,EGP,963721110,6942,74.89,300.33,84.61,10413.0,Transfer,Rejected
3096,1599,1509,87,2019-03-14T00:21:16.000Z,7,C101496370562701,Banque du Caire,"Beni Suef Governorate, Dokki, Makram Ebeid St.",UAE,Egypt,Bill Payment,EGP,605940654,3316,17.09,396.66,18.24,4974.0,Deposit,Successful
43096,1357,1993,43,2022-09-19T21:03:06.000Z,6,C704327542762168,Abu Dhabi Islamic Bank (ADIB),"Sohag Governorate, El-Marg, Merghany St.",Germany,Egypt,Shopping,USD,488696390,18192,5.3,9.61,75.55,27288.0,Withdrawal,Rejected
13097,1059,1398,252,2020-12-10T17:33:18.000Z,7,C719340976831174,Commercial Bank of Dubai,"Hurghada Governorate, Agouza, El-Tahrir St.",Saudi Arabia,Australia,Transfer,USD,484015653,7980,0.89,1.78,81.6,11970.0,Transfer,Successful
23097,323,693,358,2016-07-18T00:20:13.000Z,4,C293703303235833,Abu Dhabi Islamic Bank (ADIB),"Arish Governorate, Omraneya, Mohamed Naguib St.",Australia,Italy,Shopping,EUR,376952610,14603,98.73,256.08,78.56,21904.5,Transfer,Rejected
8097,1334,623,3,2021-09-17T05:41:09.000Z,1,C180264786073189,Wael Lotfy Naguib Tawfik,"Alexandria Governorate, Boulak, El-Nasr St.",Jordan,USA,Salary,EUR,979122015,10305,62.5,399.28,95.66,15457.5,Transfer,Rejected
38097,323,693,20,2025-12-10T14:34:39.000Z,2,C381368565142062,Abu Dhabi Islamic Bank (ADIB),"Tanta Governorate, Hadayek El-Qobba, El-Gomhoreya St.",France,Egypt,Bill Payment,EUR,421071429,623,50.45,128.42,33.31,934.5,Withdrawal,Rejected
18097,1980,1164,334,2017-12-04T18:51:56.000Z,4,C756557545147786,QNB Al Ahli,"Port Said Governorate, El-Salam, El-Azhar St.",USA,Egypt,Salary,EGP,367251906,11674,72.11,427.57,73.16,17511.0,Withdrawal,Successful
28097,906,1444,56,2020-04-26T16:42:53.000Z,7,C551080122559455,Faisal Islamic Bank of Egypt,"Alexandria Governorate, El-Haram, El-Safwa St.",UK,Egypt,Salary,EGP,337562178,15956,40.6,191.38,71.05,23934.0,Deposit,Successful
33097,1282,364,44,2019-01-06T14:43:19.000Z,2,C351826367275884,Hany Tantawy Zidan Ragab,"Asyut Governorate, Garden City, Kasr El-Nil St.",UAE,USA,Salary,USD,780279719,12744,114.78,117.86,82.68,19116.0,Transfer,Successful
48097,669,1968,101,2018-03-02T17:52:30.000Z,7,C477983712372695,Emirates NBD Egypt,"Qena Governorate, Boulak, El-Alfy St.",UAE,Egypt,Bill Payment,EUR,602012586,7188,93.04,308.43,85.71,10782.0,Deposit,Rejected
3097,247,1910,270,2015-06-24T09:20:46.000Z,3,C677576963926278,Arab Investment Bank,"Sohag Governorate, El-Basatin, El-Haram St.",Egypt,Germany,Shopping,EUR,697521287,5460,86.37,293.36,93.3,8190.0,Transfer,Rejected
43097,792,62,206,2018-02-24T07:37:53.000Z,2,C180909968066814,QNB Al Ahli,"Alexandria Governorate, El-Basatin, El-Nasr St.",Australia,Egypt,Salary,EUR,556858153,4375,28.74,430.71,30.01,6562.5,Deposit,Rejected
13098,387,1045,490,2020-02-07T15:51:47.000Z,5,C452048967354270,Banque Saudi Fransi,"Sohag Governorate, El-Tagammu El-Khames, El-Mohandiseen St.",Egypt,Egypt,Salary,EUR,415673140,10475,27.78,246.16,96.46,15712.5,Withdrawal,Successful
18098,1948,293,308,2025-12-17T10:19:58.000Z,2,C314753496649836,Arab Bank,"Luxor Governorate, El-Basatin, Salah Salem St.",USA,France,Transfer,EGP,434970074,2287,54.44,189.91,3.35,3430.5,Transfer,Successful
