trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
5368,1817,846,214,2023-05-18T21:27:23.000Z,7,C206249064047203,National Commercial Bank (NCB),"Beni Suef Governorate, Badr City, El-Gomhoreya St.",Saudi Arabia,Egypt,Transfer,EGP,449047265,5261,18.7,18.72,77.36,7891.5,Withdrawal,Successful
45368,1954,1296,9,2020-02-24T02:36:50.000Z,5,C527163957876787,Commercial Bank of Qatar,"Aswan Governorate, Hadayek El-Qobba, Salah Salem St.",Jordan,Egypt,Salary,EGP,971573677,9344,70.89,278.46,70.71,14016.0,Deposit,Successful
30368,356,218,23,2018-12-05T17:50:00.000Z,6,C962396814403023,Qatar National Bank (QNB),"Aswan Governorate, Zamalek, El-Azhar St.",France,Canada,Bill Payment,EGP,718450377,13532,29.47,239.57,97.1,20298.0,Transfer,Successful
35368,1741,2,273,2021-08-23T01:44:51.000Z,6,C288180004930393,Al Ahly Bank,"Mansoura Governorate, Boulak, Champollion St.",Saudi Arabia,Egypt,Transfer,USD,415779430,14918,43.42,73.64,70.33,22377.0,Withdrawal,Successful
20368,334,1356,321,2016-04-20T15:42:26.000Z,6,C430080672077526,Arab Bank,"Alexandria Governorate, Mohandiseen, El-Galaa St.",Spain,Canada,Transfer,EUR,973275366,14215,81.55,415.82,84.18,21322.5,Transfer,Successful
368,306,543,263,2018-08-09T23:57:36.000Z,2,C658040104412672,Hussein Saleh Saleh Gaber,"Giza Governorate, 6th of October, Salah Salem St.",Jordan,Canada,Transfer,USD,250901380,17333,110.76,157.02,72.0,25999.5,Transfer,Rejected
15368,894,527,41,2020-10-04T07:07:43.000Z,7,C589237246601789,Rana Eid Nasser Saad,"Sohag Governorate, Heliopolis, El-Alfy St.",France,UK,Shopping,USD,612459605,9700,57.4,187.73,96.27,14550.0,Transfer,Rejected
10368,498,1486,113,2018-11-23T00:00:09.000Z,1,C154784952430217,Fransabank,"Beni Suef Governorate, Madinaty, Makram Ebeid St.",Egypt,Australia,Bill Payment,EGP,281410032,4283,69.51,478.42,35.22,6424.5,Transfer,Successful
40369,106,1562,468,2019-03-01T23:29:42.000Z,11,C820825468262396,Banque du Caire,"Fayyum Governorate, Zamalek, Abbas El-Akkad St.",Spain,Egypt,Transfer,EGP,563398931,17333,84.31,121.0,96.81,25999.5,Withdrawal,Successful
30369,1524,1677,273,2018-07-10T10:47:34.000Z,1,C389425915345824,Commercial Bank of Dubai,"Mansoura Governorate, Boulak, Champollion St.",France,Egypt,Salary,EUR,106640414,18476,22.43,90.98,81.98,27714.0,Deposit,Successful
45369,1967,826,389,2025-04-19T07:32:17.000Z,3,C316707274133356,First Abu Dhabi Bank (FAB),"Luxor Governorate, Ain Shams, El-Orouba St.",Spain,Egypt,Salary,EUR,506885940,4126,108.73,137.7,29.92,6189.0,Deposit,Rejected
5369,1108,1220,245,2017-09-24T07:07:27.000Z,10,C782773796867791,Ahli United Bank Egypt,"Aswan Governorate, Badr City, Abbas El-Akkad St.",UAE,Egypt,Shopping,EGP,722525221,19920,82.85,28.08,95.63,29880.0,Withdrawal,Successful
25369,28,1723,277,2019-03-07T15:36:00.000Z,4,C196745266532469,Emirates NBD Egypt,"Marsa Matrouh Governorate, Shubra, Merghany St.",Saudi Arabia,Egypt,Shopping,EGP,933970565,15741,73.08,131.7,97.43,23611.5,Withdrawal,Rejected
369,1003,449,22,2022-11-26T23:26:47.000Z,3,C599001991294701,Asmaa Tawfik Gomaa Ragab,"Fayyum Governorate, Garden City, Kasr El-Nil St.",Egypt,Egypt,Transfer,EUR,786922370,9322,37.16,138.0,77.9,13983.0,Withdrawal,Rejected
35369,1470,493,91,2021-09-02T11:52:02.000Z,2,C674966572077801,Bank Misr,"Mansoura Governorate, El-Shorouk, Talaat Harb St.",Spain,Egypt,Bill Payment,USD,436986335,1886,1.2,85.27,9.24,2829.0,Deposit,Successful
20369,558,1558,249,2021-04-23T10:52:39.000Z,10,C631335159843575,Abu Dhabi Islamic Bank (ADIB),"Giza Governorate, Nasr City, El-Azhar St.",UK,Egypt,Transfer,EGP,562398102,9972,24.15,50.66,87.45,14958.0,Deposit,Successful
15369,882,1311,34,2023-07-19T02:33:54.000Z,1,C138921657419576,Lebanese French Bank (LFB),"Asyut Governorate, Boulak, El-Mohandiseen St.",Egypt,Australia,Transfer,USD,843728236,8219,64.41,332.55,93.93,12328.5,Transfer,Rejected
10369,603,127,84,2021-03-07T02:47:24.000Z,7,C378700278140303,Bank Misr,"Fayyum Governorate, Nasr City, El-Bustan St.",Egypt,Egypt,Transfer,EUR,612131712,10513,36.87,449.6,72.29,15769.5,Withdrawal,Successful
40370,1972,1607,230,2016-01-05T08:20:00.000Z,10,C100078079178450,Kuwait Finance House,"Ismailia Governorate, El-Shorouk, El-Galaa St.",UK,Germany,Shopping,EUR,761494088,12433,34.44,40.28,95.54,18649.5,Transfer,Successful
45370,977,24,434,2015-06-22T09:11:56.000Z,5,C539747279027266,Samira Hamdy Tantawy Mohamed,"Cairo Governorate, El-Tagammu El-Khames, El-Mohandiseen St.",Jordan,Egypt,Bill Payment,EUR,149320682,6800,116.98,138.0,81.26,10200.0,Deposit,Rejected
5370,1700,1922,25,2022-12-19T10:49:33.000Z,4,C815396591209709,Emirates NBD,"Shubra El-Kheima Governorate, El-Basatin, Cleopatra St.",Canada,UK,Bill Payment,USD,596804641,17456,65.71,246.75,74.74,26184.0,Transfer,Successful
30370,498,1568,183,2019-01-15T10:17:48.000Z,10,C773756935120894,Arab Investment Bank,"Minya Governorate, El-Shorouk, El-Mohandiseen St.",UAE,Egypt,Shopping,EGP,460827109,8196,12.96,137.76,79.43,12294.0,Deposit,Rejected
25370,690,1695,233,2024-12-27T01:15:14.000Z,7,C924448312088468,Qatar National Bank (QNB),"Hurghada Governorate, Garden City, El-Gomhoreya St.",Egypt,Egypt,Shopping,EUR,642428654,1740,39.28,464.01,31.18,2610.0,Deposit,Rejected
20370,1040,1262,129,2017-10-06T20:50:53.000Z,9,C320158387170743,Al Baraka Bank Egypt,"Giza Governorate, Imbaba, Champollion St.",Egypt,UK,Shopping,EGP,213498518,4299,8.94,367.57,8.37,6448.5,Transfer,Successful
10370,111,187,302,2023-11-30T11:01:55.000Z,5,C755317793331629,Gulf Bank Kuwait,"Hurghada Governorate, Agouza, El-Azhar St.",France,UK,Transfer,EGP,176550694,7123,76.22,32.26,81.5,10684.5,Transfer,Rejected
35370,156,144,71,2015-06-04T14:08:02.000Z,8,C224812100566895,Emirates NBD,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",Egypt,Egypt,Bill Payment,EGP,536501493,8470,54.79,376.33,98.99,12705.0,Withdrawal,Successful
15370,1516,1679,475,2015-04-02T03:29:45.000Z,5,C214214588473152,Arab African International Bank (AAIB),"Tanta Governorate, Zamalek, El-Sheikh Rihan St.",Saudi Arabia,France,Salary,EGP,424171719,19047,114.76,378.77,93.57,28570.5,Transfer,Successful
370,1761,1571,249,2016-10-31T02:56:02.000Z,2,C260922015930956,Al Baraka Bank Egypt,"Giza Governorate, Nasr City, El-Azhar St.",Jordan,Egypt,Transfer,USD,895021751,5512,35.31,54.09,76.03,8268.0,Withdrawal,Successful
