trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12613,1655,259,206,2016-03-13T06:25:50.000Z,7,C696630574871275,Arab African International Bank (AAIB),"Alexandria Governorate, El-Basatin, El-Nasr St.",Lebanon,Italy,Salary,EUR,422219328,1713,9.29,184.59,24.22,2569.5,Transfer,Rejected
22613,1022,513,461,2019-04-27T10:35:04.000Z,6,C240379714288467,Kuwait Finance House,"Qena Governorate, El-Shorouk, Gamal Abdel Nasser St.",USA,Canada,Salary,USD,195826679,3005,89.58,90.05,34.54,4507.5,Transfer,Successful
17613,1537,1718,151,2024-06-13T15:05:20.000Z,4,C804772753693902,Riyad Bank,"Suez Governorate, El-Obour City, El-Galaa St.",Spain,Egypt,Transfer,EGP,751830239,6315,71.56,355.97,97.21,9472.5,Deposit,Rejected
7613,640,9,11,2019-05-03T19:07:07.000Z,5,C543580893577708,Lebanese French Bank (LFB),"Hurghada Governorate, Imbaba, Mohamed Naguib St.",Italy,Egypt,Transfer,USD,442023071,16569,106.54,356.89,83.93,24853.5,Deposit,Successful
37613,777,96,473,2016-01-16T02:16:04.000Z,3,C247705049166717,Abu Dhabi Islamic Bank (ADIB),"Damietta Governorate, El-Basatin, El-Galaa St.",USA,USA,Salary,EUR,467049221,9230,56.26,228.48,88.02,13845.0,Transfer,Rejected
27613,1638,971,491,2015-03-12T18:37:45.000Z,6,C113298125841391,Arab African International Bank (AAIB),"Qena Governorate, Zamalek, Adly St.",USA,Egypt,Salary,USD,553640257,15980,108.69,139.18,87.12,23970.0,Deposit,Rejected
32613,2,960,27,2025-05-29T09:12:26.000Z,5,C773333389746195,National Bank of Kuwait,"Marsa Matrouh Governorate, El-Salam, Port Said St.",Germany,Egypt,Transfer,EUR,520355550,13893,110.89,58.58,82.17,20839.5,Withdrawal,Successful
2613,1071,1349,35,2017-03-03T07:44:45.000Z,6,C374509827374259,Emirates NBD,"Alexandria Governorate, El-Shorouk, Cleopatra St.",Saudi Arabia,UK,Shopping,EGP,380653262,10438,91.97,340.33,90.26,15657.0,Transfer,Rejected
42613,839,1450,435,2019-12-10T14:05:37.000Z,6,C854253291528101,National Commercial Bank (NCB),"Shubra El-Kheima Governorate, El-Salam, Champollion St.",Jordan,Egypt,Bill Payment,EGP,580617398,14796,23.69,400.9,97.34,22194.0,Deposit,Rejected
47613,924,1039,305,2018-02-14T21:41:02.000Z,2,C879149722449959,Kuwait Finance House,"Asyut Governorate, Dokki, El-Sheikh Rihan St.",UK,Egypt,Salary,USD,980740804,6600,63.99,33.63,87.91,9900.0,Withdrawal,Rejected
