trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
31676,1711,117,270,2018-08-17T13:29:54.000Z,5,C171537047984832,Youssef Ibrahim Ali Khalil,"Sohag Governorate, El-Basatin, El-Haram St.",Australia,Egypt,Transfer,USD,806470439,18327,35.03,438.34,75.9,27490.5,Deposit,Successful
46676,672,1453,144,2015-06-06T21:55:21.000Z,3,C164301837832400,National Bank of Kuwait,"Minya Governorate, Omraneya, Abbas El-Akkad St.",Australia,Egypt,Transfer,USD,651463992,8893,3.26,484.07,74.13,13339.5,Withdrawal,Successful
41677,137,1272,383,2022-08-08T05:47:18.000Z,11,C536655077611156,BNP Paribas,"Port Said Governorate, Faisal, El-Batal Ahmed Abdel Aziz St.",Italy,Italy,Transfer,EGP,496698200,1245,21.97,321.27,3.84,1867.5,Transfer,Rejected
6676,1537,1081,192,2016-02-19T06:18:15.000Z,1,C805095449584987,Emirates NBD Egypt,"Alexandria Governorate, Faisal, Corniche El-Nil St.",UAE,Egypt,Salary,EUR,958797802,10310,79.28,181.04,88.67,15465.0,Deposit,Rejected
26676,726,1705,485,2018-08-30T18:01:33.000Z,8,C667973922360931,Al Ahly Bank,"Suez Governorate, New Cairo, El-Alfy St.",Italy,Egypt,Shopping,EUR,627877246,407,53.58,194.06,8.75,610.5,Deposit,Successful
11676,230,1373,478,2020-06-21T02:04:03.000Z,10,C610852985282423,Kuwait Finance House,"Beni Suef Governorate, El-Haram, El-Haram St.",USA,Egypt,Shopping,EGP,126299491,16672,73.37,401.15,98.46,25008.0,Withdrawal,Successful
16676,1572,731,472,2021-12-28T00:32:15.000Z,9,C940056591130761,National Bank of Egypt,"Minya Governorate, Imbaba, El-Batal Ahmed Abdel Aziz St.",Germany,Canada,Salary,USD,725597344,11195,74.28,32.62,82.12,16792.5,Transfer,Rejected
1676,1589,688,395,2019-01-31T13:00:53.000Z,4,C483954461948759,Commercial Bank of Qatar,"Marsa Matrouh Governorate, Faisal, El-Safwa St.",Germany,Egypt,Bill Payment,USD,203745655,7829,19.75,285.73,71.35,11743.5,Deposit,Successful
21676,1665,1630,387,2019-06-21T08:38:33.000Z,3,C218007861248093,Fatima Saleh Gomaa Hilal,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Italy,Egypt,Salary,USD,622990796,12120,91.33,100.82,86.94,18180.0,Deposit,Successful
46677,1151,176,42,2021-11-27T11:26:49.000Z,3,C992910592728801,BLOM Bank,"Alexandria Governorate, Imbaba, El-Azhar St.",Jordan,Egypt,Salary,EUR,704694683,19693,7.2,340.57,80.67,29539.5,Withdrawal,Rejected
36676,476,314,148,2017-08-29T03:43:39.000Z,6,C392772509119403,Bank Misr,"Marsa Matrouh Governorate, Faisal, Champollion St.",UAE,Canada,Shopping,EUR,560029454,6810,80.3,10.44,91.55,10215.0,Transfer,Rejected
31677,862,1500,319,2019-03-21T04:08:24.000Z,4,C286670885623702,Arab Jordan Investment Bank,"Shubra El-Kheima Governorate, El-Sharabia, Adly St.",Australia,Italy,Bill Payment,EUR,730719550,4592,15.07,158.87,4.15,6888.0,Transfer,Rejected
26677,1586,1196,291,2021-02-10T04:22:50.000Z,8,C151709071394575,Al Rajhi Bank,"Arish Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Lebanon,Egypt,Transfer,EGP,468552103,13270,4.55,124.25,84.7,19905.0,Deposit,Rejected
6677,1498,1039,433,2020-10-28T17:51:22.000Z,2,C334593009973835,Suez Canal Bank,"Fayyum Governorate, Shubra, El-Orouba St.",Spain,Canada,Bill Payment,EUR,485692158,6812,92.5,31.16,87.18,10218.0,Transfer,Successful
41678,1903,928,179,2016-07-10T12:38:07.000Z,6,C969784499371488,Commercial Bank of Qatar,"Suez Governorate, Sheikh Zayed, El-Haram St.",Germany,Italy,Shopping,USD,722810013,17134,16.69,50.6,74.08,25701.0,Transfer,Successful
11677,48,1764,464,2025-01-08T09:33:49.000Z,7,C515462574937521,Iman Okasha Khalil Mansour,"Minya Governorate, Matareya, Champollion St.",USA,Egypt,Bill Payment,USD,525371686,4185,95.23,271.99,33.72,6277.5,Deposit,Successful
1677,352,1570,204,2017-06-30T16:51:18.000Z,4,C354108217852009,Al Rajhi Bank,"Suez Governorate, Faisal, El-Safwa St.",Saudi Arabia,Germany,Transfer,USD,486140222,16871,87.52,400.11,78.28,25306.5,Transfer,Rejected
21677,477,1963,380,2019-11-25T15:18:34.000Z,7,C843162686229003,Gulf Bank Kuwait,"Shubra El-Kheima Governorate, El-Haram, Champollion St.",Egypt,Egypt,Salary,EUR,366095471,3449,67.08,118.85,7.5,5173.5,Deposit,Successful
16677,817,355,203,2020-12-22T01:27:27.000Z,5,C135351333810039,Bank of Alexandria,"Shubra El-Kheima Governorate, El-Salam, Salah Salem St.",USA,Egypt,Salary,EGP,280031483,9432,41.23,49.46,74.79,14148.0,Deposit,Rejected
36677,1900,63,363,2024-03-05T08:12:00.000Z,1,C427548579074106,Mashreq Bank,"Luxor Governorate, Zamalek, Sudan St.",Jordan,Egypt,Transfer,USD,548587073,3177,88.72,230.7,2.92,4765.5,Withdrawal,Successful
26678,720,495,322,2023-07-21T00:19:00.000Z,4,C357671301821492,Ahli United Bank Egypt,"New Valley Governorate, El-Haram, El-Galaa St.",Lebanon,Italy,Transfer,EGP,416681742,14892,16.59,80.33,75.13,22338.0,Transfer,Successful
46678,181,1500,360,2019-06-30T05:54:34.000Z,2,C324054779483508,Saeed Bishara Amer Hamdy,"Marsa Matrouh Governorate, Boulak, El-Azhar St.",Canada,Egypt,Bill Payment,EUR,550960532,5264,63.95,401.64,73.26,7896.0,Deposit,Rejected
6678,1787,1489,136,2018-05-18T22:09:28.000Z,8,C317731380339607,Suez Canal Bank,"Marsa Matrouh Governorate, Nasr City, Kasr El-Nil St.",France,Egypt,Bill Payment,USD,170446100,11550,26.84,227.17,92.13,17325.0,Deposit,Successful
41679,1364,1487,101,2021-09-28T16:44:36.000Z,4,C188107244966085,National Bank of Kuwait,"Qena Governorate, Boulak, El-Alfy St.",Egypt,Italy,Salary,EGP,208691403,19334,14.88,360.93,81.96,29001.0,Transfer,Rejected
31678,1300,521,367,2020-10-05T21:22:09.000Z,8,C791903634346110,Riyad Bank,"Zagazig Governorate, Omraneya, El-Azhar St.",Australia,UK,Shopping,EUR,740469633,11225,55.06,185.75,95.34,16837.5,Transfer,Successful
36678,462,791,392,2016-02-07T06:59:06.000Z,5,C228564600498057,Ahli United Bank Kuwait,"Beni Suef Governorate, Badr City, El-Orouba St.",Saudi Arabia,Egypt,Shopping,EUR,850345675,7120,26.68,134.42,99.03,10680.0,Withdrawal,Rejected
