trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
27972,731,1843,427,2024-05-08T22:43:41.000Z,7,C939723411557188,Commercial Bank of Dubai,"Luxor Governorate, Heliopolis, El-Ahrar St.",Spain,Egypt,Transfer,USD,954598258,10987,0.51,325.64,82.97,16480.5,Withdrawal,Successful
22972,474,1127,453,2025-12-08T17:45:20.000Z,5,C125234158988729,Commercial Bank of Dubai,"Shubra El-Kheima Governorate, Faisal, El-Azhar St.",France,Canada,Transfer,EUR,502417393,2971,73.19,32.08,33.41,4456.5,Transfer,Rejected
7972,491,53,56,2024-05-05T17:13:05.000Z,2,C664073939484014,Gulf Bank Kuwait,"Alexandria Governorate, El-Haram, El-Safwa St.",UK,France,Bill Payment,USD,989528047,10472,1.18,387.74,76.36,15708.0,Transfer,Successful
37972,343,836,321,2022-01-04T12:22:23.000Z,7,C987785996508861,Nour Othman Saleh Gomaa,"Alexandria Governorate, Mohandiseen, El-Galaa St.",Jordan,Egypt,Bill Payment,USD,326517981,3240,80.82,82.39,13.68,4860.0,Deposit,Rejected
17972,598,789,420,2022-08-17T01:44:38.000Z,7,C464784618765975,Arab Jordan Investment Bank,"Beni Suef Governorate, Mohandiseen, Cleopatra St.",Jordan,Egypt,Bill Payment,EGP,903366928,1960,57.05,100.29,6.4,2940.0,Withdrawal,Rejected
32972,1946,529,185,2018-10-19T16:34:09.000Z,6,C101845301282183,Dubai Islamic Bank,"Minya Governorate, Ain Shams, Abbas El-Akkad St.",Spain,Egypt,Salary,EUR,430701167,6572,17.84,231.33,88.06,9858.0,Withdrawal,Rejected
47972,1519,1602,29,2026-02-27T17:35:24.000Z,6,C378134119270562,BNP Paribas,"Mansoura Governorate, Rehab City, El-Safwa St.",Canada,Egypt,Salary,EGP,605235316,12582,84.5,200.04,89.14,18873.0,Withdrawal,Successful
2972,1954,718,474,2022-08-02T21:02:24.000Z,3,C777428048518457,Jordan Ahli Bank,"Giza Governorate, Boulak, Champollion St.",UK,Egypt,Bill Payment,USD,347765219,182,62.82,44.12,12.58,273.0,Withdrawal,Rejected
42972,998,1914,74,2016-08-11T14:55:49.000Z,6,C548975910878569,Housing and Development Bank (HDB),"Asyut Governorate, Rehab City, El-Haram St.",UK,Egypt,Transfer,EUR,190812650,10021,16.29,340.4,92.26,15031.5,Withdrawal,Rejected
12973,1839,48,199,2020-11-09T03:09:41.000Z,6,C322340605179005,Byblos Bank,"Ismailia Governorate, 6th of October, Sudan St.",Lebanon,Egypt,Bill Payment,USD,851912349,17909,84.56,367.23,90.72,26863.5,Withdrawal,Rejected
7973,506,1163,303,2020-07-17T21:45:07.000Z,2,C198595151957103,Faisal Islamic Bank of Egypt,"Suez Governorate, Omraneya, El-Alfy St.",Italy,Egypt,Shopping,EUR,228882498,6995,58.32,405.08,91.4,10492.5,Deposit,Rejected
37973,1096,1899,212,2018-12-26T02:16:07.000Z,2,C966801255437758,Riyad Bank,"Port Said Governorate, Dokki, Corniche El-Nil St.",USA,Egypt,Salary,USD,444924164,10905,30.31,421.19,85.44,16357.5,Withdrawal,Successful
