trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19469,1931,717,118,2020-01-28T06:15:09.000Z,7,C230157493016999,Al Ahly Bank,"Minya Governorate, Mohandiseen, El-Galaa St.",Germany,Egypt,Transfer,EUR,396766858,2636,54.89,123.67,16.61,3954.0,Deposit,Successful
29469,1494,1765,367,2021-12-12T18:50:25.000Z,2,C459225925568104,Commercial Bank of Qatar,"Zagazig Governorate, Omraneya, El-Azhar St.",UK,Egypt,Shopping,EUR,172723108,1346,12.97,190.75,25.25,2019.0,Deposit,Successful
9469,532,1937,456,2015-09-16T18:06:55.000Z,2,C353303308900417,First Abu Dhabi Bank (FAB),"Port Said Governorate, El-Salam, El-Gomhoreya St.",UK,Egypt,Transfer,EUR,788978048,6093,99.04,216.09,73.04,9139.5,Deposit,Rejected
24469,1959,1896,114,2017-04-15T21:32:13.000Z,4,C223662747798060,UBS,"Marsa Matrouh Governorate, Faisal, El-Mohandiseen St.",Germany,Egypt,Bill Payment,EUR,312094716,15966,52.69,108.7,93.46,23949.0,Withdrawal,Rejected
39469,467,175,461,2025-03-27T14:32:15.000Z,2,C854853759520095,Nadia Othman Shafik Gomaa,"Qena Governorate, El-Shorouk, Gamal Abdel Nasser St.",Saudi Arabia,Egypt,Shopping,EUR,556769837,417,51.66,327.02,23.93,625.5,Deposit,Successful
34469,299,1320,113,2017-04-12T04:48:12.000Z,2,C243409101637322,Arab National Bank,"Beni Suef Governorate, Madinaty, Makram Ebeid St.",Germany,France,Bill Payment,EUR,734677764,18968,18.16,493.57,97.57,28452.0,Transfer,Rejected
49469,1262,1967,108,2025-10-23T08:21:39.000Z,5,C749457563785832,Ahli United Bank Egypt,"Port Said Governorate, 6th of October, Champollion St.",Canada,USA,Transfer,EUR,976656447,9702,93.94,371.6,87.71,14553.0,Transfer,Successful
4469,461,3,463,2016-06-10T03:20:55.000Z,1,C405073638121361,Bank of Alexandria,"Minya Governorate, Hadayek El-Qobba, El-Orouba St.",France,Egypt,Salary,EGP,367019208,11250,73.14,94.91,71.49,16875.0,Withdrawal,Rejected
44469,1592,29,12,2022-07-18T09:35:18.000Z,7,C417888991074526,Jordan Ahli Bank,"Beni Suef Governorate, Sheikh Zayed, El-Nasr St.",Spain,Egypt,Salary,EGP,145386777,12293,104.12,421.61,71.99,18439.5,Withdrawal,Rejected
14470,1951,1137,424,2017-04-16T02:27:05.000Z,4,C548632823639895,Kuwait Finance House,"Fayyum Governorate, El-Salam, Gamal Abdel Nasser St.",France,Egypt,Transfer,USD,815886796,3075,90.04,251.2,38.7,4612.5,Withdrawal,Rejected
19470,448,906,44,2019-07-01T06:32:26.000Z,5,C149718433216167,Suez Canal Bank,"Asyut Governorate, Garden City, Kasr El-Nil St.",Germany,Egypt,Bill Payment,EUR,796081778,9617,61.17,409.98,95.6,14425.5,Withdrawal,Successful
