trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
9948,1468,1221,387,2022-04-02T04:38:22.000Z,7,C651534523177968,Gulf Bank Kuwait,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Australia,Australia,Bill Payment,USD,321816830,3055,13.65,283.77,5.61,4582.5,Transfer,Rejected
39948,922,363,68,2017-01-20T13:00:18.000Z,7,C341180004089278,First Abu Dhabi Bank (FAB),"Qena Governorate, Ain Shams, Adly St.",Germany,Egypt,Bill Payment,EGP,440483193,17203,91.51,337.77,94.11,25804.5,Deposit,Successful
24948,1805,851,323,2020-07-26T17:12:45.000Z,5,C226371776278793,Deutsche Bank,"New Valley Governorate, Nasr City, Merghany St.",Jordan,France,Shopping,EUR,763563892,259,18.44,141.13,9.17,388.5,Transfer,Rejected
19948,437,553,172,2016-01-10T09:17:27.000Z,2,C285313120830466,Commercial Bank of Dubai,"Ismailia Governorate, Dokki, Champollion St.",Jordan,Egypt,Salary,EUR,547584522,1668,29.34,483.36,38.98,2502.0,Deposit,Successful
29948,274,1000,235,2021-03-05T15:43:29.000Z,5,C902375422928275,Al Rajhi Bank,"Shubra El-Kheima Governorate, Imbaba, El-Safwa St.",Germany,Egypt,Salary,EUR,977431038,12982,108.41,437.14,98.48,19473.0,Withdrawal,Successful
49948,476,403,143,2017-03-12T23:48:26.000Z,2,C473318340251733,Ahli United Bank Egypt,"Beni Suef Governorate, El-Basatin, Makram Ebeid St.",UAE,Egypt,Bill Payment,USD,935873716,10613,83.39,300.09,88.59,15919.5,Withdrawal,Rejected
4948,890,1082,407,2015-06-27T06:48:23.000Z,5,C855211618579026,Commercial International Bank (CIB),"Tanta Governorate, Matareya, Champollion St.",Canada,Australia,Salary,EUR,955580023,15054,95.51,304.52,92.84,22581.0,Transfer,Successful
34948,965,1871,363,2016-09-30T05:07:22.000Z,1,C122918980379378,Suez Canal Bank,"Luxor Governorate, Zamalek, Sudan St.",USA,Egypt,Bill Payment,EUR,672157796,12062,70.92,144.0,92.47,18093.0,Deposit,Rejected
44948,1864,1758,382,2021-08-04T09:22:43.000Z,2,C595566102310005,Banque Saudi Fransi,"Fayyum Governorate, Hadayek El-Qobba, Port Said St.",Italy,Egypt,Salary,USD,474141355,4644,106.7,339.25,26.07,6966.0,Withdrawal,Rejected
14949,1254,260,218,2016-06-14T08:05:13.000Z,4,C336295472689469,Bank Audi,"Minya Governorate, Badr City, Abbas El-Akkad St.",France,Egypt,Transfer,USD,111130110,19559,3.25,390.72,80.53,29338.5,Withdrawal,Successful
19949,951,403,493,2020-03-14T01:22:19.000Z,7,C349747123481001,JPMorgan Chase,"Cairo Governorate, Maadi, Emad El-Din St.",Lebanon,Canada,Salary,EUR,987681718,3775,4.05,259.85,2.62,5662.5,Transfer,Rejected
24949,905,1422,289,2018-04-07T11:47:07.000Z,4,C820114490155949,First Abu Dhabi Bank Egypt,"Cairo Governorate, Mohandiseen, El-Orouba St.",Lebanon,Egypt,Shopping,USD,472401485,4819,100.11,470.74,16.67,7228.5,Withdrawal,Successful
29949,809,1252,175,2019-02-21T11:23:53.000Z,2,C268079873753590,Commercial Bank of Qatar,"Alexandria Governorate, El-Shorouk, El-Sheikh Rihan St.",USA,Egypt,Salary,EUR,823239945,17165,48.44,64.36,82.77,25747.5,Withdrawal,Rejected
39949,1350,1595,302,2021-01-19T19:52:47.000Z,5,C796895126516410,Al Baraka Bank Egypt,"Hurghada Governorate, Agouza, El-Azhar St.",Germany,Egypt,Transfer,EGP,924230090,17944,5.56,20.65,81.3,26916.0,Withdrawal,Successful
9949,791,902,57,2024-08-03T03:19:06.000Z,3,C106556390766546,Al Baraka Bank Egypt,"Ismailia Governorate, Imbaba, El-Nasr St.",Egypt,Egypt,Bill Payment,EUR,799488408,19401,82.27,211.44,91.86,29101.5,Withdrawal,Rejected
