trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
14829,851,1627,325,2016-04-10T08:32:58.000Z,2,C402519311405946,Ahli United Bank Egypt,"Port Said Governorate, Madinaty, El-Bustan St.",Saudi Arabia,Egypt,Bill Payment,EGP,680694707,16445,81.55,110.37,73.1,24667.5,Deposit,Successful
19829,1114,1300,363,2016-03-25T15:07:00.000Z,4,C997368622348679,Commercial International Bank (CIB),"Luxor Governorate, Zamalek, Sudan St.",USA,UK,Shopping,EGP,108297455,10388,19.89,371.01,97.49,15582.0,Transfer,Successful
39829,160,726,175,2022-02-18T19:33:08.000Z,5,C508201340805829,Faisal Islamic Bank of Egypt,"Alexandria Governorate, El-Shorouk, El-Sheikh Rihan St.",UAE,Italy,Bill Payment,EUR,499010098,19358,28.4,366.04,83.45,29037.0,Transfer,Successful
9829,584,316,315,2020-04-24T20:19:35.000Z,3,C466492924805849,Fransabank,"Ismailia Governorate, Zamalek, El-Galaa St.",Spain,Australia,Salary,EUR,316580013,17190,28.18,152.26,85.77,25785.0,Transfer,Successful
29829,1615,131,8,2025-03-27T08:30:42.000Z,3,C558819392953650,Mashreq Bank,"Alexandria Governorate, Sheikh Zayed, Ramses St.",Egypt,Egypt,Bill Payment,EUR,696482452,9671,1.78,147.81,71.24,14506.5,Withdrawal,Successful
24829,489,1732,189,2020-11-10T09:34:24.000Z,4,C967548058360878,Saudi National Bank (SNB),"Tanta Governorate, Mohandiseen, El-Galaa St.",France,Egypt,Salary,EGP,242445710,17656,53.32,57.49,72.57,26484.0,Withdrawal,Rejected
34829,498,706,208,2022-07-04T09:43:41.000Z,7,C427193552670584,Bank Misr,"Port Said Governorate, Agouza, El-Sheikh Rihan St.",Jordan,Egypt,Salary,USD,867205071,14869,91.87,459.34,98.36,22303.5,Deposit,Rejected
4829,729,1149,68,2017-06-07T10:13:38.000Z,7,C256536411004317,National Bank of Egypt,"Qena Governorate, Ain Shams, Adly St.",UAE,Germany,Shopping,USD,156823282,11688,52.49,368.16,91.63,17532.0,Transfer,Successful
49829,1751,1314,258,2026-01-06T09:29:58.000Z,3,C865770084297055,Riyad Bank,"Qena Governorate, Rehab City, Ramses St.",Spain,France,Shopping,EUR,533997667,6126,111.31,335.88,76.59,9189.0,Transfer,Successful
44829,1935,425,430,2018-09-04T02:50:13.000Z,4,C723423771673912,Egyptian Arab Land Bank,"Zagazig Governorate, Boulak, El-Azhar St.",Jordan,Egypt,Bill Payment,USD,145616513,12580,77.3,215.87,97.92,18870.0,Deposit,Successful
14830,1863,954,387,2016-07-24T20:54:02.000Z,3,C780819739758996,Gulf Bank Kuwait,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Lebanon,Egypt,Transfer,EGP,968205130,15907,14.18,470.1,75.22,23860.5,Withdrawal,Successful
24830,16,74,312,2026-01-14T15:32:59.000Z,6,C231705500019192,Arab Bank,"Zagazig Governorate, Rehab City, Port Said St.",USA,Egypt,Transfer,EGP,836492303,5756,2.15,458.44,97.14,8634.0,Deposit,Rejected
