trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
38930,433,708,7,2025-04-09T18:05:46.000Z,7,C262436884780971,National Bank of Egypt,"Asyut Governorate, Maadi, El-Safwa St.",Jordan,Germany,Salary,EUR,441278043,19900,43.89,103.29,99.91,29850.0,Transfer,Rejected
28930,1776,1836,184,2022-10-11T00:48:03.000Z,6,C263001054001144,First Abu Dhabi Bank Egypt,"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",Egypt,Egypt,Shopping,EUR,113404070,18737,76.59,164.89,75.19,28105.5,Deposit,Rejected
18930,1807,1839,378,2023-09-29T00:35:46.000Z,6,C230589434213355,BLOM Bank,"Luxor Governorate, El-Salam, Emad El-Din St.",Canada,Australia,Shopping,EGP,585018001,17351,23.47,53.61,74.91,26026.5,Transfer,Successful
8930,1621,1450,3,2022-06-29T13:42:48.000Z,4,C199682817427132,Nader Zidan Farouk Farhat,"Alexandria Governorate, Boulak, El-Nasr St.",Jordan,Egypt,Transfer,USD,669030197,7738,16.52,270.12,74.89,11607.0,Deposit,Rejected
33930,57,1880,130,2020-01-03T21:06:35.000Z,4,C452196058069199,Wael Mansour Zaki Farhat,"Tanta Governorate, Ain Shams, Port Said St.",Australia,Egypt,Transfer,EGP,665869492,16071,18.82,286.58,99.92,24106.5,Deposit,Rejected
43930,1902,248,316,2024-10-31T07:59:40.000Z,4,C827218798222028,Bank of Alexandria,"Damanhur Governorate, El-Tagammu El-Khames, Port Said St.",USA,Egypt,Transfer,USD,770386427,16563,76.75,19.68,85.88,24844.5,Deposit,Rejected
3930,1822,1465,378,2018-10-15T09:28:15.000Z,3,C899858983745738,Riyad Bank,"Luxor Governorate, El-Salam, Emad El-Din St.",Germany,Egypt,Bill Payment,EGP,575441169,10740,29.15,398.35,72.11,16110.0,Withdrawal,Rejected
48930,1851,1419,220,2019-02-08T13:57:15.000Z,3,C892676758354723,Commercial International Bank (CIB),"Mansoura Governorate, Boulak, Adly St.",Spain,Egypt,Bill Payment,USD,133511866,14002,108.99,407.44,70.77,21003.0,Withdrawal,Rejected
13931,1355,1923,496,2015-10-06T05:50:37.000Z,1,C225873424622646,QNB Al Ahli,"New Valley Governorate, Dokki, Merghany St.",USA,Egypt,Salary,USD,812345104,13817,13.3,72.19,76.21,20725.5,Deposit,Rejected
28931,82,1142,50,2021-11-26T18:18:55.000Z,3,C967436170734873,Standard Chartered,"Fayyum Governorate, El-Obour City, Cleopatra St.",UAE,Spain,Transfer,USD,497715118,6730,65.63,490.57,98.67,10095.0,Transfer,Rejected
23931,1168,1812,250,2025-07-23T11:55:01.000Z,1,C189328204040041,Al Ahly Bank,"Asyut Governorate, Faisal, El-Ahrar St.",Spain,Canada,Salary,USD,202643084,7067,77.67,229.67,79.45,10600.5,Transfer,Rejected
18931,1500,1029,181,2020-09-12T18:25:19.000Z,2,C695865874901575,Banque Saudi Fransi,"Marsa Matrouh Governorate, El-Sharabia, Abbas El-Akkad St.",Saudi Arabia,Egypt,Shopping,EUR,417379810,11775,94.37,238.74,84.7,17662.5,Deposit,Successful
38931,1425,432,26,2024-04-03T20:01:02.000Z,5,C130910969296841,Egyptian Arab Land Bank,"Luxor Governorate, 6th of October, El-Haram St.",Jordan,Australia,Transfer,EGP,106075660,17223,59.06,162.32,99.99,25834.5,Transfer,Successful
8931,1858,733,175,2024-04-27T22:25:36.000Z,1,C899496383564124,Arab Bank,"Alexandria Governorate, El-Shorouk, El-Sheikh Rihan St.",Germany,Italy,Shopping,USD,590435571,1571,83.88,95.29,3.77,2356.5,Transfer,Rejected
33931,1001,1173,421,2019-04-15T19:26:58.000Z,3,C690651770985474,Faisal Islamic Bank of Egypt,"Mansoura Governorate, El-Marg, El-Ahrar St.",Jordan,Egypt,Salary,EGP,196376020,2427,64.86,225.81,5.85,3640.5,Deposit,Successful
43931,1915,1889,172,2015-12-02T18:26:04.000Z,4,C983269131063220,Arab African International Bank (AAIB),"Ismailia Governorate, Dokki, Champollion St.",Italy,Egypt,Bill Payment,USD,103831696,11392,29.09,124.02,89.47,17088.0,Deposit,Rejected
3931,1820,1439,217,2023-10-17T13:14:37.000Z,4,C321495076131212,Al Ahly Bank,"Ismailia Governorate, Zamalek, Emad El-Din St.",Australia,Egypt,Shopping,USD,720422393,6001,110.59,444.8,70.31,9001.5,Withdrawal,Rejected
48931,240,1832,404,2025-06-08T16:09:24.000Z,7,C943337361401590,Al Rajhi Bank,"Marsa Matrouh Governorate, El-Marg, Talaat Harb St.",Saudi Arabia,Australia,Salary,EGP,620474941,18899,99.7,78.54,93.02,28348.5,Transfer,Successful
13932,1270,135,225,2021-01-12T06:43:08.000Z,6,C443596909407621,Arab Bank,"Port Said Governorate, Matareya, Makram Ebeid St.",Spain,Egypt,Transfer,EUR,514360662,7191,23.1,254.73,80.15,10786.5,Deposit,Successful
28932,882,1311,404,2020-09-13T08:47:57.000Z,3,C137005662987262,Ahli United Bank Kuwait,"Marsa Matrouh Governorate, El-Marg, Talaat Harb St.",Canada,Egypt,Transfer,EUR,636916617,15824,68.48,373.15,88.93,23736.0,Deposit,Successful
23932,1331,1756,395,2021-06-15T17:24:05.000Z,5,C924155161266644,First Abu Dhabi Bank (FAB),"Marsa Matrouh Governorate, Faisal, El-Safwa St.",Spain,Egypt,Salary,USD,465960908,3191,104.63,147.58,9.1,4786.5,Withdrawal,Successful
18932,1059,1398,198,2022-07-22T07:40:33.000Z,6,C854105461968244,Mashreq Bank,"Ismailia Governorate, Dokki, El-Galaa St.",Lebanon,Egypt,Transfer,USD,355863518,3070,94.44,466.52,1.12,4605.0,Deposit,Successful
8932,24,840,143,2026-04-21T09:10:38.000Z,7,C658871830205821,HSBC,"Beni Suef Governorate, El-Basatin, Makram Ebeid St.",USA,Egypt,Shopping,EGP,498208538,8190,9.63,162.2,81.71,12285.0,Withdrawal,Successful
38932,1239,518,305,2024-03-26T20:22:51.000Z,7,C338574083127850,Riyad Bank,"Asyut Governorate, Dokki, El-Sheikh Rihan St.",Saudi Arabia,France,Salary,EUR,317963106,13799,39.3,339.91,91.7,20698.5,Transfer,Rejected
43932,33,796,236,2018-08-13T08:21:21.000Z,4,C177461690335262,Faisal Islamic Bank of Egypt,"Sohag Governorate, El-Shorouk, Makram Ebeid St.",France,Egypt,Bill Payment,EGP,307399998,7801,39.45,376.09,89.66,11701.5,Deposit,Rejected
33932,962,457,66,2019-03-17T08:19:55.000Z,4,C962970232092331,Byblos Bank,"Shubra El-Kheima Governorate, Maadi, Emad El-Din St.",Egypt,Egypt,Bill Payment,USD,916951129,935,17.66,161.88,4.06,1402.5,Withdrawal,Rejected
48932,430,9,67,2020-04-20T12:13:06.000Z,1,C607476198850058,Ahmed Helal Khalil Saad,"Aswan Governorate, Imbaba, El-Batal Ahmed Abdel Aziz St.",Germany,Egypt,Bill Payment,USD,609011192,6951,59.23,157.29,85.97,10426.5,Withdrawal,Rejected
3932,1076,1852,142,2025-10-01T20:57:03.000Z,4,C370421093072372,Suez Canal Bank,"Beni Suef Governorate, El-Sharabia, El-Tahrir St.",Canada,Egypt,Transfer,EUR,584668255,15097,80.48,180.37,88.65,22645.5,Withdrawal,Successful
13933,1050,481,274,2016-01-16T09:40:07.000Z,7,C585399188889151,Bank of Alexandria,"Arish Governorate, Hadayek El-Qobba, El-Orouba St.",Australia,Egypt,Bill Payment,EUR,446367477,5912,74.42,219.96,98.1,8868.0,Withdrawal,Rejected
23933,851,398,73,2023-11-23T05:40:20.000Z,1,C976353500901657,Jordan Ahli Bank,"Minya Governorate, Omraneya, El-Tahrir St.",UAE,Egypt,Salary,USD,922548012,13379,21.28,60.38,78.24,20068.5,Deposit,Successful
