trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
5001,1720,1514,32,2016-10-25T07:59:23.000Z,6,C782050006328678,Riyad Bank,"Damietta Governorate, Garden City, Gamal Abdel Nasser St.",Jordan,Canada,Salary,EUR,896046329,6262,54.1,170.83,70.76,9393.0,Transfer,Successful
1,1857,967,54,2020-09-11T07:13:11.000Z,6,C603540110671776,Fransabank,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Canada,Egypt,Transfer,EUR,134026764,761,11.57,181.15,35.78,1141.5,Withdrawal,Rejected
30001,523,60,412,2018-02-17T19:59:27.000Z,7,C302097452084687,QNB Al Ahli,"Giza Governorate, Garden City, Ramses St.",Germany,Germany,Transfer,USD,416733602,7258,49.63,307.39,72.33,10887.0,Transfer,Successful
40001,549,891,296,2025-06-16T22:38:48.000Z,6,C322189967656713,Ahli United Bank Egypt,"Arish Governorate, Faisal, Mohamed Naguib St.",Jordan,UK,Salary,USD,219642537,11913,70.93,37.17,91.69,17869.5,Transfer,Successful
20001,737,797,321,2015-04-23T21:19:31.000Z,7,C876117119336098,Suez Canal Bank,"Alexandria Governorate, Mohandiseen, El-Galaa St.",Germany,Egypt,Bill Payment,EGP,986688431,8312,22.21,256.47,85.22,12468.0,Deposit,Successful
10001,221,1033,469,2024-11-08T02:23:46.000Z,6,C835123684660096,Byblos Bank,"Luxor Governorate, Badr City, Sudan St.",Germany,Egypt,Shopping,EGP,432629497,15178,10.89,220.76,71.81,22767.0,Withdrawal,Rejected
45001,1492,1731,126,2018-11-09T22:34:13.000Z,4,C464589333314320,Saudi National Bank (SNB),"Marsa Matrouh Governorate, 6th of October, Port Said St.",Australia,Egypt,Bill Payment,EUR,889626654,8554,66.58,184.17,94.25,12831.0,Withdrawal,Successful
35001,1604,431,179,2026-03-06T01:35:02.000Z,1,C977652182755987,Housing and Development Bank (HDB),"Suez Governorate, Sheikh Zayed, El-Haram St.",Saudi Arabia,Egypt,Shopping,EGP,407499212,9792,117.31,28.46,83.06,14688.0,Deposit,Rejected
25001,353,715,229,2015-04-07T22:51:30.000Z,6,C267166721490800,Arab Investment Bank,"Ismailia Governorate, Omraneya, Salah Salem St.",Germany,Canada,Salary,USD,439943510,2522,103.39,363.42,20.68,3783.0,Transfer,Rejected
15001,1207,1336,166,2016-05-12T21:32:00.000Z,2,C903397791959220,Al Rajhi Bank,"Giza Governorate, Ain Shams, El-Batal Ahmed Abdel Aziz St.",Canada,Australia,Salary,USD,333345027,11960,8.52,318.51,93.75,17940.0,Transfer,Successful
5002,876,1403,464,2016-05-29T15:23:32.000Z,3,C166178050649641,Arab Investment Bank,"Minya Governorate, Matareya, Champollion St.",USA,Egypt,Transfer,USD,438319543,17786,54.85,22.73,87.41,26679.0,Deposit,Successful
35002,194,435,479,2017-07-05T20:19:11.000Z,2,C327872189515814,Saudi National Bank (SNB),"Asyut Governorate, El-Salam, Port Said St.",Australia,Egypt,Salary,EGP,744212816,8894,61.5,244.07,94.81,13341.0,Deposit,Rejected
