trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
22493,321,253,95,2020-03-09T20:00:57.000Z,7,C987602552446816,Arab Bank,"Arish Governorate, 6th of October, Kasr El-Nil St.",Jordan,France,Transfer,EUR,320482993,8807,46.56,35.29,99.07,13210.5,Transfer,Rejected
7493,308,212,337,2015-08-31T10:39:15.000Z,6,C696705299555399,Arab African International Bank (AAIB),"Hurghada Governorate, Faisal, El-Nasr St.",France,Germany,Shopping,EUR,737970604,5763,102.72,293.08,87.8,8644.5,Transfer,Rejected
37493,649,281,188,2015-03-21T20:58:52.000Z,5,C203882737809050,Bank Audi,"Beni Suef Governorate, Imbaba, El-Mohandiseen St.",Italy,UK,Shopping,EUR,874356105,5731,117.71,84.97,99.57,8596.5,Transfer,Rejected
27493,1768,17,157,2024-03-10T02:37:36.000Z,2,C219900364324638,Arab Bank,"Tanta Governorate, El-Salam, Emad El-Din St.",Spain,Canada,Transfer,EGP,936101617,18032,3.6,476.49,83.67,27048.0,Transfer,Successful
17493,1194,602,213,2015-09-14T16:52:51.000Z,3,C167088227283041,Gulf Bank Kuwait,"Fayyum Governorate, Garden City, El-Ahrar St.",UK,Egypt,Salary,USD,351827269,17264,47.48,387.43,77.82,25896.0,Deposit,Successful
32493,107,148,485,2022-11-20T03:26:37.000Z,1,C127534293260159,Ahli Bank of Qatar,"Suez Governorate, New Cairo, El-Alfy St.",Egypt,Egypt,Shopping,EUR,984900375,8634,62.43,162.16,84.65,12951.0,Withdrawal,Successful
47493,637,128,275,2015-12-04T13:54:00.000Z,6,C843574010614401,Riyad Bank,"New Valley Governorate, Rehab City, El-Batal Ahmed Abdel Aziz St.",Jordan,Egypt,Transfer,EGP,190593284,7123,105.58,9.03,91.67,10684.5,Withdrawal,Successful
2493,765,1337,278,2021-04-29T04:36:00.000Z,6,C904051081333452,Al Rajhi Bank,"Shubra El-Kheima Governorate, Boulak, Kasr El-Nil St.",Italy,Egypt,Bill Payment,EGP,730059498,366,26.96,41.23,1.32,549.0,Withdrawal,Rejected
42493,33,517,103,2018-01-08T10:08:48.000Z,2,C262669698921694,Standard Chartered,"Fayyum Governorate, Sheikh Zayed, Cleopatra St.",France,Egypt,Salary,USD,812901831,11683,116.51,67.0,94.88,17524.5,Withdrawal,Rejected
12494,1896,1438,497,2021-07-15T15:23:27.000Z,5,C293792167257103,First Abu Dhabi Bank Egypt,"Giza Governorate, Sheikh Zayed, El-Sheikh Rihan St.",Canada,UK,Transfer,USD,558047871,17780,36.15,128.23,93.13,26670.0,Transfer,Successful
22494,1735,1568,321,2015-06-15T10:17:23.000Z,3,C900474111929770,Hassan Sayed Ibrahim Saad,"Alexandria Governorate, Mohandiseen, El-Galaa St.",Canada,Egypt,Bill Payment,EGP,342879263,19531,35.59,11.37,75.28,29296.5,Deposit,Rejected
7494,167,1825,230,2021-05-03T06:40:19.000Z,6,C736610902419417,First Abu Dhabi Bank (FAB),"Ismailia Governorate, El-Shorouk, El-Galaa St.",USA,Egypt,Shopping,EUR,955120776,13410,24.47,289.04,92.34,20115.0,Deposit,Successful
17494,1101,28,277,2023-09-16T09:13:51.000Z,2,C401848886376229,Suez Canal Bank,"Marsa Matrouh Governorate, Shubra, Merghany St.",Germany,Egypt,Salary,USD,686848340,17230,62.63,79.62,86.65,25845.0,Deposit,Rejected
27494,1817,846,194,2023-08-28T08:01:50.000Z,7,C601874927964306,Emirates NBD,"Zagazig Governorate, Zamalek, El-Alfy St.",France,Egypt,Bill Payment,USD,405827345,17378,81.28,145.34,79.54,26067.0,Withdrawal,Rejected
37494,260,1940,485,2019-07-25T09:06:14.000Z,2,C814636421489397,Ahli United Bank Kuwait,"Suez Governorate, New Cairo, El-Alfy St.",UK,Australia,Transfer,EGP,984018460,12760,94.48,227.58,84.74,19140.0,Transfer,Rejected
47494,1110,502,413,2019-01-25T12:21:58.000Z,3,C234880382506662,Byblos Bank,"Aswan Governorate, El-Salam, Salah Salem St.",Lebanon,Egypt,Bill Payment,USD,613527269,13663,7.33,256.87,80.2,20494.5,Withdrawal,Successful
32494,1202,1893,315,2023-06-29T05:48:35.000Z,6,C661994167127064,Saudi National Bank (SNB),"Ismailia Governorate, Zamalek, El-Galaa St.",Jordan,Egypt,Transfer,EUR,158831482,14455,101.92,440.29,98.61,21682.5,Withdrawal,Successful
2494,1849,1968,192,2015-06-11T15:04:22.000Z,4,C727472143368026,Ahli Bank of Qatar,"Alexandria Governorate, Faisal, Corniche El-Nil St.",Egypt,Australia,Shopping,EGP,428494206,1856,62.12,274.46,22.27,2784.0,Transfer,Rejected
42494,1223,1173,180,2026-02-03T12:45:49.000Z,7,C290784404178786,BLOM Bank,"Qena Governorate, Imbaba, Adly St.",Egypt,Egypt,Shopping,EGP,636673080,4624,14.38,398.01,0.65,6936.0,Deposit,Successful
12495,1441,343,100,2015-05-16T11:35:37.000Z,5,C497929023990268,Jordan Ahli Bank,"Beni Suef Governorate, Badr City, El-Orouba St.",Spain,Australia,Salary,USD,421872382,1134,36.24,291.7,19.55,1701.0,Transfer,Successful
7495,842,253,264,2021-07-26T00:15:17.000Z,2,C552634727802040,Bank Audi,"Alexandria Governorate, Nasr City, El-Tahrir St.",UK,Egypt,Salary,USD,661142163,12514,9.32,486.84,74.01,18771.0,Deposit,Successful
22495,1078,127,9,2019-02-07T10:40:00.000Z,6,C532449785952390,Emad Ali Mansour Hassan,"Aswan Governorate, Hadayek El-Qobba, Salah Salem St.",France,Egypt,Transfer,EUR,447546369,15644,16.09,361.68,80.23,23466.0,Deposit,Successful
27495,1622,430,36,2025-02-28T22:55:57.000Z,3,C721737425969227,Gulf Bank Kuwait,"Tanta Governorate, Shubra, El-Safwa St.",Egypt,Egypt,Shopping,EGP,751698540,3937,3.55,64.48,34.25,5905.5,Withdrawal,Rejected
17495,897,1226,332,2020-10-04T11:03:32.000Z,1,C508667976884447,Qatar National Bank (QNB),"Sohag Governorate, 6th of October, Emad El-Din St.",France,Germany,Salary,USD,998482221,8206,25.41,92.09,98.18,12309.0,Transfer,Rejected
37495,329,1578,68,2020-02-16T04:49:37.000Z,5,C948642496428546,Fransabank,"Qena Governorate, Ain Shams, Adly St.",Italy,Egypt,Bill Payment,EUR,444860990,13825,91.28,25.04,74.89,20737.5,Withdrawal,Successful
42495,1620,443,264,2018-10-25T08:31:19.000Z,7,C314408931962459,Arab Bank,"Alexandria Governorate, Nasr City, El-Tahrir St.",Saudi Arabia,Egypt,Shopping,EGP,312433101,5579,20.33,83.64,88.88,8368.5,Withdrawal,Successful
2495,1849,901,218,2023-04-10T04:46:29.000Z,2,C601308519690716,Arab Investment Bank,"Minya Governorate, Badr City, Abbas El-Akkad St.",USA,Egypt,Bill Payment,EUR,220808485,2295,97.47,493.97,21.1,3442.5,Deposit,Successful
47495,1077,772,134,2017-12-13T17:35:05.000Z,2,C126755711226129,Abu Dhabi Islamic Bank (ADIB),"Tanta Governorate, Maadi, Ramses St.",USA,Egypt,Transfer,USD,878443980,15095,13.41,433.35,71.25,22642.5,Withdrawal,Rejected
32495,1130,1520,66,2015-08-29T11:58:22.000Z,6,C273178947761285,Gulf Bank Kuwait,"Shubra El-Kheima Governorate, Maadi, Emad El-Din St.",Australia,France,Salary,USD,775804802,14538,22.06,101.03,91.54,21807.0,Transfer,Successful
12496,1113,361,297,2019-01-05T06:13:37.000Z,2,C621729475132811,Banque du Caire,"Ismailia Governorate, El-Shorouk, El-Ahrar St.",Lebanon,USA,Bill Payment,USD,621972178,13345,105.95,194.77,82.81,20017.5,Transfer,Rejected
22496,406,1409,444,2015-06-17T12:01:47.000Z,3,C857200141619519,Faisal Islamic Bank of Egypt,"Cairo Governorate, Garden City, Gamal Abdel Nasser St.",UAE,France,Bill Payment,EGP,756960986,13627,67.55,287.08,77.75,20440.5,Transfer,Rejected
37496,1649,1675,485,2023-03-27T04:25:13.000Z,4,C857311254880104,Qatar National Bank (QNB),"Suez Governorate, New Cairo, El-Alfy St.",Italy,Egypt,Shopping,USD,882980248,9789,38.46,450.58,73.57,14683.5,Withdrawal,Successful
7496,1222,648,56,2024-11-12T02:03:07.000Z,2,C364866443417666,Banque du Caire,"Alexandria Governorate, El-Haram, El-Safwa St.",Germany,Egypt,Salary,EUR,564406571,9326,73.15,371.17,93.28,13989.0,Withdrawal,Successful
17496,1380,43,123,2020-07-31T02:45:50.000Z,1,C233232133664883,Byblos Bank,"Sohag Governorate, El-Haram, Champollion St.",Italy,Egypt,Transfer,EGP,917844576,2504,60.88,322.37,26.85,3756.0,Deposit,Rejected
27496,167,1825,351,2022-06-09T10:41:08.000Z,3,C639508813167744,Housing and Development Bank (HDB),"Zagazig Governorate, Zamalek, El-Tahrir St.",UK,Egypt,Transfer,EUR,981465423,10313,91.41,154.75,76.62,15469.5,Deposit,Successful
32496,1093,1555,322,2022-10-11T03:11:23.000Z,3,C616242648122557,Jordan Ahli Bank,"New Valley Governorate, El-Haram, El-Galaa St.",UAE,Egypt,Transfer,EGP,645747500,8409,33.03,216.27,89.91,12613.5,Withdrawal,Successful
47496,970,57,350,2020-05-09T16:14:47.000Z,7,C259984638545568,Al Rajhi Bank,"Ismailia Governorate, Boulak, Champollion St.",Lebanon,Egypt,Shopping,EGP,445321590,19642,64.26,149.33,88.29,29463.0,Withdrawal,Successful
2496,115,1114,58,2023-11-18T19:57:29.000Z,2,C280275150492771,Saudi National Bank (SNB),"New Valley Governorate, El-Basatin, Salah Salem St.",Saudi Arabia,Spain,Salary,EUR,630905160,3989,1.91,186.67,25.0,5983.5,Transfer,Successful
42496,239,1682,456,2024-08-31T21:03:29.000Z,3,C206810285956205,National Bank of Kuwait,"Port Said Governorate, El-Salam, El-Gomhoreya St.",Jordan,Egypt,Salary,EGP,139577789,17946,55.58,343.25,80.41,26919.0,Withdrawal,Successful
12497,456,171,200,2024-11-06T15:51:08.000Z,7,C613428220867116,Mashreq Bank,"Zagazig Governorate, New Cairo, El-Gomhoreya St.",France,Egypt,Shopping,EGP,823942685,5085,94.78,196.39,89.86,7627.5,Deposit,Rejected
27497,15,1258,133,2015-01-18T00:38:15.000Z,4,C171758571401892,Sara Gomaa Younis Ibrahim,"Damietta Governorate, Zamalek, Champollion St.",USA,UK,Bill Payment,EGP,195387965,6683,19.15,169.76,79.48,10024.5,Transfer,Rejected
17497,458,945,209,2015-03-19T00:50:26.000Z,2,C407375459022970,Aya Amer Younis Gaber,"Port Said Governorate, Hadayek El-Qobba, Cleopatra St.",France,Egypt,Shopping,EGP,343395483,985,91.32,467.75,36.58,1477.5,Withdrawal,Successful
37497,1562,354,422,2021-08-16T14:17:04.000Z,4,C992909462924936,First Abu Dhabi Bank Egypt,"Damanhur Governorate, Badr City, Talaat Harb St.",Canada,Egypt,Bill Payment,USD,503327981,3778,103.59,463.93,20.72,5667.0,Withdrawal,Rejected
7497,464,899,285,2015-10-19T15:20:33.000Z,6,C115401725576343,Riyad Bank,"Giza Governorate, El-Marg, El-Orouba St.",USA,Egypt,Salary,USD,222853145,6265,1.25,487.06,99.92,9397.5,Withdrawal,Successful
22497,412,701,220,2024-09-12T18:46:58.000Z,1,C128511049109766,QNB Al Ahli,"Mansoura Governorate, Boulak, Adly St.",Saudi Arabia,Egypt,Salary,EUR,166914293,19452,96.47,149.67,97.4,29178.0,Deposit,Successful
47497,1788,447,294,2020-12-25T12:45:37.000Z,5,C644310110956284,National Bank of Kuwait,"New Valley Governorate, Heliopolis, Gamal Abdel Nasser St.",France,Egypt,Shopping,USD,295616912,11740,51.13,255.85,76.73,17610.0,Withdrawal,Successful
42497,1157,1066,126,2015-05-26T15:26:46.000Z,1,C331227288499624,Abu Dhabi Islamic Bank (ADIB),"Marsa Matrouh Governorate, 6th of October, Port Said St.",UAE,France,Shopping,EGP,900941711,15844,15.68,220.22,78.71,23766.0,Transfer,Successful
32497,746,1897,162,2016-04-29T14:41:28.000Z,2,C212340647847498,Kuwait Finance House,"Minya Governorate, Rehab City, Ramses St.",Italy,Germany,Shopping,EGP,709094273,2072,69.68,315.1,12.37,3108.0,Transfer,Successful
2497,1132,1418,100,2021-04-21T16:40:36.000Z,7,C670215162780631,Banque du Caire,"Beni Suef Governorate, Badr City, El-Orouba St.",Egypt,Egypt,Transfer,USD,251190265,443,79.34,339.68,31.23,664.5,Withdrawal,Successful
12498,567,1115,137,2015-02-27T06:34:26.000Z,1,C731995708366339,Housing and Development Bank (HDB),"Asyut Governorate, Nasr City, El-Galaa St.",Saudi Arabia,USA,Transfer,EGP,238748444,10419,84.95,485.47,98.49,15628.5,Transfer,Rejected
27498,38,1263,299,2021-02-24T10:31:49.000Z,5,C337496242592789,Emirates NBD,"Alexandria Governorate, Agouza, Cleopatra St.",Saudi Arabia,Egypt,Salary,EUR,566085772,3149,81.97,463.43,10.4,4723.5,Deposit,Rejected
7498,854,148,117,2024-12-27T21:33:59.000Z,6,C448091849727986,Ahli United Bank Egypt,"Cairo Governorate, 6th of October, Champollion St.",Jordan,Egypt,Transfer,EGP,345088238,2587,51.65,150.72,22.35,3880.5,Deposit,Rejected
22498,704,1386,299,2024-10-23T16:29:21.000Z,1,C595008964806472,National Bank of Kuwait,"Alexandria Governorate, Agouza, Cleopatra St.",USA,Egypt,Salary,USD,373654574,5219,31.27,327.12,98.22,7828.5,Withdrawal,Successful
