trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13152,505,1951,107,2016-05-31T08:10:41.000Z,4,C846180356474646,Al Baraka Bank Egypt,"New Valley Governorate, Sheikh Zayed, El-Safwa St.",UAE,USA,Shopping,USD,701957177,4262,37.03,326.62,26.7,6393.0,Transfer,Rejected
28152,1612,856,289,2022-02-13T03:51:17.000Z,2,C404799589025101,Bank Audi,"Cairo Governorate, Mohandiseen, El-Orouba St.",France,Egypt,Salary,USD,147032038,19012,106.67,254.9,99.3,28518.0,Deposit,Rejected
18152,453,672,94,2018-04-04T06:59:31.000Z,4,C153057838962129,Commercial Bank of Dubai,"Aswan Governorate, Garden City, Cleopatra St.",France,Germany,Salary,USD,485231186,15087,20.29,187.8,84.97,22630.5,Transfer,Successful
38152,975,1600,98,2017-11-12T21:29:24.000Z,3,C378302179040448,National Bank of Kuwait,"Aswan Governorate, Omraneya, Ramses St.",France,USA,Shopping,USD,264279169,1311,116.89,331.82,31.44,1966.5,Transfer,Rejected
8152,1509,1885,43,2025-10-07T22:07:37.000Z,7,C223141273970743,National Bank of Kuwait,"Sohag Governorate, El-Marg, Merghany St.",Italy,Australia,Transfer,EUR,116726827,7823,93.43,427.09,98.99,11734.5,Transfer,Successful
23152,1392,1541,365,2024-10-10T22:05:57.000Z,2,C705125539448178,Suez Canal Bank,"Giza Governorate, Maadi, El-Ahrar St.",UK,Spain,Salary,EGP,612026562,7742,105.66,394.17,70.72,11613.0,Transfer,Rejected
3152,833,147,189,2024-03-16T00:01:08.000Z,6,C166633747682375,Lebanese French Bank (LFB),"Tanta Governorate, Mohandiseen, El-Galaa St.",UK,Egypt,Salary,EUR,978471083,19619,8.73,222.11,84.15,29428.5,Deposit,Successful
48152,1571,1810,245,2024-07-03T01:07:28.000Z,1,C462364023398380,Al Ahly Bank,"Aswan Governorate, Badr City, Abbas El-Akkad St.",Canada,Italy,Bill Payment,EUR,903862791,617,93.06,90.02,22.83,925.5,Transfer,Successful
43152,799,1248,206,2024-12-24T10:28:57.000Z,7,C927664816133552,Suez Canal Bank,"Alexandria Governorate, El-Basatin, El-Nasr St.",Egypt,Egypt,Transfer,USD,670795794,17724,45.06,297.35,89.05,26586.0,Deposit,Successful
33152,955,461,268,2015-12-06T13:49:05.000Z,6,C170155272440273,Commercial Bank of Qatar,"Port Said Governorate, El-Obour City, El-Tahrir St.",Lebanon,France,Transfer,EUR,475005850,12729,103.88,149.22,79.23,19093.5,Transfer,Rejected
13153,619,1076,429,2020-11-19T13:22:39.000Z,3,C101406985459049,Layla Naguib Gomaa Metwaly,"Port Said Governorate, El-Basatin, Salah Salem St.",UK,Egypt,Salary,EUR,140452373,16850,83.73,60.42,77.97,25275.0,Withdrawal,Rejected
8153,1616,1862,461,2023-03-23T09:54:58.000Z,4,C372841730861777,Emirates NBD,"Qena Governorate, El-Shorouk, Gamal Abdel Nasser St.",Italy,USA,Bill Payment,EUR,317554508,1954,12.08,385.23,4.85,2931.0,Transfer,Successful
18153,571,1487,147,2019-04-30T07:34:34.000Z,4,C552985735598196,Al Rajhi Bank,"Fayyum Governorate, El-Haram, El-Nasr St.",Lebanon,Egypt,Shopping,EUR,754215527,9686,42.68,393.93,93.75,14529.0,Withdrawal,Rejected
23153,1142,216,453,2015-10-03T09:16:10.000Z,5,C557704371094206,Egyptian Arab Land Bank,"Shubra El-Kheima Governorate, Faisal, El-Azhar St.",UK,Egypt,Transfer,EUR,548282836,18056,111.31,359.34,84.89,27084.0,Withdrawal,Rejected
28153,909,1588,315,2023-09-30T02:19:21.000Z,4,C855685883585120,Suez Canal Bank,"Ismailia Governorate, Zamalek, El-Galaa St.",UAE,Egypt,Salary,EGP,686507907,9517,40.74,230.19,86.18,14275.5,Deposit,Rejected
38153,1244,1964,401,2020-10-22T08:39:17.000Z,6,C468090578777532,Dubai Islamic Bank,"Beni Suef Governorate, El-Haram, Champollion St.",Spain,Egypt,Salary,EGP,752246842,13781,99.63,35.51,82.53,20671.5,Deposit,Rejected
33153,898,800,21,2016-09-18T04:23:08.000Z,2,C286013098430352,BLOM Bank,"Shubra El-Kheima Governorate, Madinaty, Abbas El-Akkad St.",Canada,Italy,Shopping,EUR,952936301,4617,53.93,281.43,8.0,6925.5,Transfer,Rejected
3153,1092,442,369,2015-10-01T00:19:41.000Z,5,C555339737958560,Yahya Saad Helal Rashid,"New Valley Governorate, Shubra, El-Safwa St.",Italy,Egypt,Bill Payment,EGP,261209425,8462,50.08,495.57,74.5,12693.0,Deposit,Rejected
48153,1039,930,440,2019-04-05T18:21:55.000Z,2,C277948003459318,Egyptian Arab Land Bank,"Fayyum Governorate, El-Tagammu El-Khames, El-Gomhoreya St.",Lebanon,Egypt,Shopping,USD,979406275,11215,59.2,495.67,74.69,16822.5,Withdrawal,Rejected
43153,738,1208,104,2024-01-14T23:23:49.000Z,5,C752769101708777,QNB Al Ahli,"Cairo Governorate, Sheikh Zayed, El-Ahrar St.",Lebanon,UK,Transfer,USD,290497715,10000,41.51,16.22,81.93,15000.0,Transfer,Successful
13154,631,1981,71,2025-10-18T17:36:20.000Z,2,C216907024823455,Arab Investment Bank,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",UK,Egypt,Bill Payment,EUR,806600400,19163,38.18,407.39,83.91,28744.5,Withdrawal,Rejected
38154,314,1994,284,2015-04-10T14:45:40.000Z,1,C377523172911237,Fransabank,"Marsa Matrouh Governorate, Agouza, El-Gomhoreya St.",USA,Egypt,Shopping,EUR,549563429,9620,40.6,83.55,71.49,14430.0,Deposit,Rejected
23154,467,175,380,2020-12-18T01:44:04.000Z,1,C728614911776554,Alaa Gomaa Ali Shafik,"Shubra El-Kheima Governorate, El-Haram, Champollion St.",Canada,Spain,Bill Payment,EGP,624650087,10772,7.49,259.92,98.84,16158.0,Transfer,Successful
8154,1461,467,286,2019-03-16T17:30:01.000Z,2,C689587784377275,Qatar National Bank (QNB),"Mansoura Governorate, El-Marg, Kasr El-Nil St.",Spain,Egypt,Shopping,EGP,995290794,8271,2.8,290.43,92.4,12406.5,Deposit,Successful
28154,1123,1235,380,2018-04-06T07:54:56.000Z,2,C607946631136686,Ahli Bank of Qatar,"Shubra El-Kheima Governorate, El-Haram, Champollion St.",Egypt,Egypt,Transfer,EUR,539540507,5960,80.25,55.14,80.54,8940.0,Withdrawal,Successful
18154,1211,1288,48,2026-02-20T07:53:03.000Z,5,C459658473363513,Emad Saleh Ahmed Hassan,"Shubra El-Kheima Governorate, Badr City, El-Alfy St.",Germany,Germany,Transfer,EUR,306796186,12971,85.17,325.74,74.63,19456.5,Transfer,Rejected
33154,1678,377,169,2022-08-31T19:44:44.000Z,2,C765308090618600,Al Ahly Bank,"Damietta Governorate, New Cairo, Abbas El-Akkad St.",Canada,Egypt,Bill Payment,EGP,989630022,10734,61.93,484.98,77.44,16101.0,Withdrawal,Rejected
43154,354,1126,104,2016-07-22T16:33:12.000Z,7,C716687270050848,Mashreq Bank,"Cairo Governorate, Sheikh Zayed, El-Ahrar St.",Spain,Egypt,Shopping,EGP,243357518,14302,30.19,74.84,94.06,21453.0,Withdrawal,Successful
