trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19110,1167,1496,133,2016-03-28T06:13:45.000Z,3,C988200905396278,National Commercial Bank (NCB),"Damietta Governorate, Zamalek, Champollion St.",Australia,Egypt,Transfer,USD,810941275,1525,91.0,261.5,36.44,2287.5,Deposit,Rejected
39110,184,910,199,2017-04-28T15:37:34.000Z,5,C499872263788468,Qatar National Bank (QNB),"Ismailia Governorate, 6th of October, Sudan St.",Spain,Australia,Shopping,EUR,227922436,10501,8.57,178.39,71.34,15751.5,Transfer,Rejected
9110,1970,360,189,2015-03-31T13:08:18.000Z,2,C457692714600143,National Commercial Bank (NCB),"Tanta Governorate, Mohandiseen, El-Galaa St.",Italy,USA,Salary,EGP,633829888,13361,54.1,413.63,79.11,20041.5,Transfer,Successful
24110,1889,464,354,2019-04-28T00:27:03.000Z,4,C663809001930136,Jordan Ahli Bank,"Qena Governorate, Matareya, Gamal Abdel Nasser St.",Italy,Italy,Bill Payment,EGP,721452251,10324,15.94,236.67,94.7,15486.0,Transfer,Rejected
29110,1577,139,121,2018-02-15T03:23:24.000Z,5,C230394431154790,Banque du Caire,"Arish Governorate, El-Basatin, Makram Ebeid St.",France,Australia,Salary,EUR,288191104,11953,32.05,452.23,75.99,17929.5,Transfer,Successful
34110,984,1426,479,2018-12-27T04:20:52.000Z,7,C559302075963238,Emirates NBD,"Asyut Governorate, El-Salam, Port Said St.",Canada,Egypt,Transfer,USD,280480060,11179,5.9,225.54,76.8,16768.5,Deposit,Successful
44110,908,1408,449,2020-01-11T02:00:44.000Z,3,C606047393549740,Bank Audi,"Sohag Governorate, Zamalek, Champollion St.",UK,Egypt,Salary,USD,531059818,16089,54.33,233.75,77.63,24133.5,Deposit,Rejected
49110,1532,469,435,2025-07-21T01:10:11.000Z,7,C824071687288294,Housing and Development Bank (HDB),"Shubra El-Kheima Governorate, El-Salam, Champollion St.",Lebanon,Egypt,Bill Payment,USD,971118180,12551,102.58,174.8,90.63,18826.5,Withdrawal,Rejected
4110,780,763,353,2026-04-05T14:58:28.000Z,6,C895024994118187,Mona Qassem Shafik Helal,"Arish Governorate, Mohandiseen, Makram Ebeid St.",UK,Egypt,Salary,EGP,170099915,11054,92.22,453.44,80.7,16581.0,Deposit,Successful
14111,1024,113,96,2018-11-24T04:21:52.000Z,3,C991796161778029,QNB Al Ahli,"Shubra El-Kheima Governorate, El-Basatin, El-Bustan St.",Egypt,Egypt,Shopping,EUR,745942692,1771,69.16,227.19,26.65,2656.5,Deposit,Rejected
