trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
39011,1147,792,192,2019-02-15T18:38:54.000Z,10,C631277400724616,Commercial International Bank (CIB),"Alexandria Governorate, Faisal, Corniche El-Nil St.",UAE,Egypt,Bill Payment,USD,761836963,13087,64.97,383.38,88.67,19630.5,Deposit,Successful
4012,1970,360,344,2024-04-05T16:22:12.000Z,1,C585787123196750,Al Rajhi Bank,"Arish Governorate, Zamalek, El-Bustan St.",France,Egypt,Shopping,EUR,347214948,13422,94.79,398.52,98.41,20133.0,Deposit,Successful
49013,1244,1964,203,2018-10-08T21:59:06.000Z,2,C840081838666566,Fransabank,"Shubra El-Kheima Governorate, El-Salam, Salah Salem St.",Lebanon,Egypt,Transfer,USD,242194113,19264,77.77,43.57,74.14,28896.0,Deposit,Successful
29013,1705,151,443,2021-03-05T18:56:49.000Z,4,C111467379402031,First Abu Dhabi Bank (FAB),"Damanhur Governorate, Heliopolis, El-Azhar St.",Jordan,Egypt,Shopping,EUR,108645793,15116,31.45,120.5,92.61,22674.0,Withdrawal,Rejected
34013,1968,554,71,2020-12-06T08:23:55.000Z,5,C620660983126478,Mashreq Bank,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",Egypt,Egypt,Salary,EUR,908928870,12882,99.69,127.96,74.1,19323.0,Deposit,Rejected
14011,1456,804,24,2018-12-13T12:40:37.000Z,1,C573218877887073,Saudi National Bank (SNB),"Damanhur Governorate, Matareya, Talaat Harb St.",UAE,Spain,Shopping,USD,546226012,820,10.91,259.69,19.95,1230.0,Transfer,Successful
24011,751,1136,171,2015-07-01T14:18:31.000Z,4,C636878072072772,Banque Saudi Fransi,"Alexandria Governorate, Sheikh Zayed, Cleopatra St.",Jordan,Egypt,Salary,EGP,377867067,10518,84.52,62.94,81.77,15777.0,Deposit,Rejected
19011,255,613,184,2017-08-19T01:37:20.000Z,1,C641751346122866,Kuwait Finance House,"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",Canada,Egypt,Salary,USD,326094931,19599,89.78,168.71,83.87,29398.5,Deposit,Successful
9013,276,1209,235,2021-04-08T21:25:03.000Z,8,C204374526591742,Al Ahly Bank,"Shubra El-Kheima Governorate, Imbaba, El-Safwa St.",Spain,Spain,Salary,EUR,557350237,6120,52.93,60.81,71.14,9180.0,Transfer,Rejected
44015,1085,1733,2,2016-08-05T15:51:53.000Z,4,C450126621368022,Jordan Ahli Bank,"Arish Governorate, Matareya, El-Batal Ahmed Abdel Aziz St.",Spain,Egypt,Bill Payment,USD,351239380,9790,50.58,342.08,87.26,14685.0,Deposit,Successful
