trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13272,1981,1152,150,2020-06-06T03:38:59.000Z,5,C560708211685276,Arab Investment Bank,"Zagazig Governorate, Ain Shams, Adly St.",Italy,Italy,Bill Payment,EUR,163975678,1948,64.17,270.88,21.87,2922.0,Transfer,Rejected
8272,381,1909,324,2018-08-26T06:10:59.000Z,1,C429935988717260,Ahli Bank of Qatar,"Aswan Governorate, El-Shorouk, Champollion St.",Spain,UK,Transfer,EGP,494640758,16951,28.44,435.01,71.02,25426.5,Transfer,Rejected
18272,807,1931,186,2020-06-09T16:54:15.000Z,7,C713273107531072,Commercial International Bank (CIB),"Tanta Governorate, Garden City, El-Nasr St.",Egypt,Egypt,Bill Payment,EGP,908578013,1746,96.18,329.97,23.01,2619.0,Deposit,Rejected
23272,1826,1671,179,2021-08-26T10:46:26.000Z,4,C110045460146716,Housing and Development Bank (HDB),"Suez Governorate, Sheikh Zayed, El-Haram St.",Jordan,Egypt,Shopping,EGP,524084447,18355,99.89,496.49,87.9,27532.5,Deposit,Successful
28272,1601,1642,12,2025-04-30T15:37:40.000Z,1,C407250205663163,Arab National Bank,"Beni Suef Governorate, Sheikh Zayed, El-Nasr St.",Spain,Canada,Transfer,USD,199823104,19960,49.38,217.15,78.17,29940.0,Transfer,Rejected
38272,472,548,367,2026-02-16T16:53:26.000Z,1,C597700844099836,Bank Misr,"Zagazig Governorate, Omraneya, El-Azhar St.",Australia,USA,Transfer,USD,753191001,16770,41.29,233.13,95.07,25155.0,Transfer,Successful
43272,121,1105,245,2018-10-22T17:43:51.000Z,2,C975683863750594,Fransabank,"Aswan Governorate, Badr City, Abbas El-Akkad St.",Lebanon,Egypt,Transfer,EUR,188670784,6168,107.87,497.8,92.38,9252.0,Withdrawal,Rejected
33272,1228,1575,496,2017-06-12T09:00:36.000Z,2,C800289882670586,Mashreq Bank,"New Valley Governorate, Dokki, Merghany St.",Italy,France,Shopping,EGP,796323217,4672,77.4,132.85,32.68,7008.0,Transfer,Rejected
48272,884,1364,339,2015-01-09T19:37:31.000Z,5,C736692070742038,BLOM Bank,"Minya Governorate, Faisal, El-Azhar St.",France,Egypt,Transfer,USD,793938079,17306,119.13,385.68,82.53,25959.0,Withdrawal,Successful
3272,1801,1606,271,2017-03-09T14:17:26.000Z,5,C230180053586649,Al Ahly Bank,"Fayyum Governorate, Garden City, El-Haram St.",Egypt,Egypt,Shopping,USD,365770434,8208,24.85,183.39,94.55,12312.0,Deposit,Successful
13273,867,2000,474,2022-10-22T06:28:08.000Z,6,C926898332583125,Mashreq Bank,"Giza Governorate, Boulak, Champollion St.",Germany,France,Shopping,EUR,794058857,11215,52.6,494.41,90.78,16822.5,Transfer,Rejected
28273,1742,1084,385,2025-12-14T02:36:30.000Z,1,C618604986878901,Commercial Bank of Dubai,"Mansoura Governorate, Zamalek, Adly St.",Australia,Egypt,Salary,EUR,989637758,7904,91.8,30.26,90.37,11856.0,Deposit,Rejected
23273,848,1345,28,2025-08-29T10:55:02.000Z,4,C999723996175696,Dubai Islamic Bank,"Suez Governorate, Rehab City, El-Azhar St.",Jordan,Egypt,Salary,EUR,951739387,6663,20.53,301.16,94.59,9994.5,Withdrawal,Rejected
18273,1867,1531,323,2017-06-16T17:59:40.000Z,6,C892231768674038,Saudi National Bank (SNB),"New Valley Governorate, Nasr City, Merghany St.",Italy,Egypt,Shopping,EUR,498239172,16119,92.64,93.0,94.39,24178.5,Deposit,Rejected
8273,105,953,132,2021-03-16T12:45:15.000Z,1,C769232158845407,Kareem Ragab Abdel-Rahman Nasser,"Shubra El-Kheima Governorate, Shubra, El-Orouba St.",Canada,Egypt,Transfer,EGP,370115744,11388,65.36,23.41,90.5,17082.0,Withdrawal,Successful
38273,150,760,303,2021-07-27T11:20:12.000Z,3,C657374932939270,Faisal Islamic Bank of Egypt,"Suez Governorate, Omraneya, El-Alfy St.",Jordan,Germany,Transfer,EUR,974214054,14328,6.32,299.17,96.52,21492.0,Transfer,Rejected
48273,1499,1321,263,2025-01-26T10:57:41.000Z,1,C188668845862006,Egyptian Arab Land Bank,"Giza Governorate, 6th of October, Salah Salem St.",Lebanon,UK,Shopping,EUR,693972731,665,17.57,213.37,36.85,997.5,Transfer,Successful
43273,206,816,303,2016-09-07T04:37:22.000Z,1,C685316731385493,National Bank of Egypt,"Suez Governorate, Omraneya, El-Alfy St.",Spain,Egypt,Shopping,EUR,993660668,13151,42.75,182.71,95.16,19726.5,Deposit,Rejected
3273,58,78,428,2016-02-22T21:37:02.000Z,4,C950043678946801,Samy Shahin Metwaly Ismail,"Minya Governorate, Imbaba, El-Mohandiseen St.",Jordan,Spain,Transfer,EUR,461133816,6060,81.26,471.87,82.28,9090.0,Transfer,Rejected
33273,1690,1302,348,2015-03-17T20:22:41.000Z,2,C651493868239724,Ahli Bank of Qatar,"Asyut Governorate, Heliopolis, El-Orouba St.",Jordan,Egypt,Bill Payment,USD,410404153,13219,83.26,300.37,100.0,19828.5,Deposit,Rejected
13274,1994,677,291,2025-02-02T16:55:59.000Z,6,C291758528803753,Ahli United Bank Egypt,"Arish Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Egypt,Egypt,Shopping,EGP,450976719,6419,3.3,458.53,89.71,9628.5,Withdrawal,Successful
