trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13811,53,78,336,2022-11-12T14:20:19.000Z,7,C666290518451253,Kuwait Finance House,"Asyut Governorate, El-Marg, Ramses St.",Egypt,Egypt,Salary,EGP,378581281,12958,92.44,379.81,82.15,19437.0,Withdrawal,Rejected
38811,1935,425,477,2023-09-06T03:19:12.000Z,7,C338681676013008,Riyad Bank,"Alexandria Governorate, Ain Shams, Corniche El-Nil St.",Italy,Egypt,Salary,USD,501983910,14456,87.6,414.14,74.83,21684.0,Deposit,Successful
28811,1393,1361,353,2022-09-19T00:35:13.000Z,4,C181016796745139,Banque Saudi Fransi,"Arish Governorate, Mohandiseen, Makram Ebeid St.",Australia,Canada,Salary,USD,487359681,8856,116.53,59.39,73.55,13284.0,Transfer,Successful
18811,1288,226,127,2017-10-15T12:21:16.000Z,4,C670516252214900,Yasmine Okasha Ali Abdel-Rahman,"Giza Governorate, Rehab City, Salah Salem St.",France,Egypt,Shopping,EUR,494001964,15627,116.52,458.9,97.74,23440.5,Deposit,Successful
8811,723,949,497,2025-03-16T01:08:52.000Z,5,C742850732304135,First Abu Dhabi Bank (FAB),"Giza Governorate, Sheikh Zayed, El-Sheikh Rihan St.",Egypt,Egypt,Transfer,EUR,375908447,6140,112.94,483.47,76.09,9210.0,Deposit,Rejected
23811,1648,597,413,2023-09-11T20:49:54.000Z,3,C252200088976446,Nagwa Saleh Bishara Zidan,"Aswan Governorate, El-Salam, Salah Salem St.",Canada,France,Transfer,USD,189820239,16619,46.84,367.95,94.44,24928.5,Transfer,Successful
43811,1172,702,301,2015-03-23T06:57:49.000Z,6,C376229249327922,Banque du Caire,"Damietta Governorate, Heliopolis, El-Mohandiseen St.",UK,Egypt,Transfer,EGP,408744233,10417,62.47,436.89,72.94,15625.5,Withdrawal,Successful
33811,1277,783,239,2015-03-06T19:44:12.000Z,1,C406376098682648,Jordan Ahli Bank,"Asyut Governorate, El-Marg, Cleopatra St.",USA,Egypt,Salary,EGP,960892385,9251,60.04,0.86,84.51,13876.5,Deposit,Successful
48811,714,1968,401,2023-05-18T02:59:43.000Z,7,C442868796460868,Kareem Ali Gaber Ismail,"Beni Suef Governorate, El-Haram, Champollion St.",Jordan,Egypt,Transfer,EGP,264044533,17541,100.85,492.21,94.49,26311.5,Deposit,Rejected
3811,1899,89,405,2023-05-23T02:55:10.000Z,2,C420070090555833,Lebanese French Bank (LFB),"Mansoura Governorate, El-Marg, Champollion St.",Jordan,Egypt,Bill Payment,EUR,474020964,15809,110.27,319.33,78.17,23713.5,Withdrawal,Rejected
13812,1397,1737,4,2016-11-20T10:18:06.000Z,5,C475219976339043,Noha Dahab Mohamed Gaber,"Tanta Governorate, El-Obour City, Mohamed Naguib St.",Germany,Italy,Shopping,EUR,539408788,12427,60.8,180.19,82.29,18640.5,Transfer,Successful
28812,1565,598,17,2022-08-10T23:07:50.000Z,1,C861254075414547,Byblos Bank,"Suez Governorate, Maadi, El-Haram St.",Germany,Egypt,Transfer,EUR,625425005,3167,51.72,471.05,17.96,4750.5,Deposit,Rejected
38812,1828,1911,250,2017-02-20T21:22:40.000Z,2,C703955514039316,Bank Misr,"Asyut Governorate, Faisal, El-Ahrar St.",Lebanon,Egypt,Bill Payment,EUR,994909192,11438,115.47,494.31,80.78,17157.0,Deposit,Rejected
8812,1162,763,179,2019-03-13T04:54:10.000Z,4,C322361950257093,Kuwait Finance House,"Suez Governorate, Sheikh Zayed, El-Haram St.",Australia,Egypt,Shopping,EUR,577165329,6130,41.94,374.33,70.51,9195.0,Withdrawal,Successful
18812,472,1086,494,2025-02-07T09:21:47.000Z,3,C778893131782537,Arab Jordan Investment Bank,"Marsa Matrouh Governorate, El-Basatin, El-Safwa St.",UK,Egypt,Shopping,EUR,262410140,12433,41.92,117.36,96.81,18649.5,Deposit,Rejected
23812,935,980,473,2018-11-30T08:58:51.000Z,4,C683241226330515,Commercial Bank of Qatar,"Damietta Governorate, El-Basatin, El-Galaa St.",Italy,USA,Transfer,USD,755026349,19460,67.73,280.58,82.45,29190.0,Transfer,Rejected
43812,1466,1727,302,2025-07-01T03:58:27.000Z,2,C613328515566773,Emirates NBD Egypt,"Hurghada Governorate, Agouza, El-Azhar St.",Saudi Arabia,Egypt,Transfer,USD,332841717,4230,41.74,357.88,34.53,6345.0,Deposit,Rejected
33812,915,1705,421,2021-11-18T21:26:37.000Z,4,C503540604303670,Egyptian Arab Land Bank,"Mansoura Governorate, El-Marg, El-Ahrar St.",Spain,Germany,Shopping,EUR,108938328,2938,58.42,174.92,27.98,4407.0,Transfer,Successful
48812,150,760,332,2024-08-06T15:30:58.000Z,6,C339034861620638,Arab African International Bank (AAIB),"Sohag Governorate, 6th of October, Emad El-Din St.",Spain,Egypt,Shopping,EUR,715004806,19776,114.97,455.58,97.87,29664.0,Withdrawal,Rejected
3812,784,36,128,2018-09-14T06:37:08.000Z,5,C698723647037284,National Bank of Kuwait,"Qena Governorate, Nasr City, Mohamed Naguib St.",Italy,Egypt,Salary,USD,573216310,14660,87.5,231.57,80.01,21990.0,Deposit,Successful
13813,1076,1852,39,2023-01-18T01:43:29.000Z,7,C670308052935373,Banque Saudi Fransi,"New Valley Governorate, El-Salam, El-Gomhoreya St.",Italy,Spain,Salary,USD,834884399,15445,60.64,475.22,92.8,23167.5,Transfer,Rejected
8813,1203,754,363,2016-05-18T01:26:24.000Z,6,C480081805618172,Qatar National Bank (QNB),"Luxor Governorate, Zamalek, Sudan St.",France,Egypt,Transfer,EGP,751465546,8754,96.37,266.17,97.28,13131.0,Withdrawal,Rejected
38813,278,615,114,2016-07-08T18:11:08.000Z,3,C478198567997065,BLOM Bank,"Marsa Matrouh Governorate, Faisal, El-Mohandiseen St.",UK,Egypt,Bill Payment,EUR,446939634,1038,105.02,460.27,34.17,1557.0,Deposit,Rejected
28813,840,1518,60,2022-02-12T09:26:14.000Z,1,C441160954058296,Emirates NBD Egypt,"Shubra El-Kheima Governorate, El-Salam, El-Tahrir St.",Canada,Egypt,Shopping,EUR,281998436,13317,113.82,205.81,85.52,19975.5,Withdrawal,Successful
23813,505,1234,184,2022-09-27T23:05:20.000Z,3,C822259294150236,Abu Dhabi Islamic Bank (ADIB),"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",Jordan,Egypt,Salary,EUR,125863120,14618,86.41,143.75,72.95,21927.0,Withdrawal,Successful
