trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
28511,1759,443,37,2016-01-27T18:10:04.000Z,3,C655976756140162,Housing and Development Bank (HDB),"Qena Governorate, Sheikh Zayed, El-Azhar St.",Saudi Arabia,Egypt,Salary,EGP,361569729,18134,98.96,221.66,88.66,27201.0,Withdrawal,Rejected
18511,1064,1424,91,2016-07-27T22:13:28.000Z,1,C463061491873102,Commercial Bank of Qatar,"Mansoura Governorate, El-Shorouk, Talaat Harb St.",Saudi Arabia,Egypt,Salary,EUR,258857701,14661,35.3,115.95,71.35,21991.5,Withdrawal,Rejected
8511,111,115,298,2019-05-14T20:15:53.000Z,6,C554855652428350,National Bank of Kuwait,"Port Said Governorate, Matareya, El-Galaa St.",Italy,Egypt,Bill Payment,EUR,231701121,3178,25.37,172.92,3.41,4767.0,Deposit,Rejected
23511,1560,1847,160,2017-06-27T03:56:09.000Z,4,C228696760526443,Ehab Zaki Nasser Hassan,"Port Said Governorate, Heliopolis, El-Galaa St.",Australia,Egypt,Transfer,EGP,343648267,8439,71.61,44.43,81.59,12658.5,Deposit,Successful
38511,187,727,428,2020-10-15T15:56:50.000Z,1,C540589750920082,Kuwait Finance House,"Minya Governorate, Imbaba, El-Mohandiseen St.",USA,Egypt,Bill Payment,EGP,455002344,16593,53.72,441.79,72.01,24889.5,Withdrawal,Successful
3511,1517,1884,201,2021-01-25T21:50:12.000Z,5,C441488825096805,First Abu Dhabi Bank Egypt,"Damietta Governorate, Dokki, Emad El-Din St.",Germany,Egypt,Bill Payment,EGP,772261781,8290,80.71,21.49,94.19,12435.0,Deposit,Rejected
33511,1199,524,271,2024-04-27T15:35:11.000Z,5,C796379182198699,Commercial Bank of Qatar,"Fayyum Governorate, Garden City, El-Haram St.",Italy,Germany,Transfer,EGP,980918081,8253,62.07,288.93,97.05,12379.5,Transfer,Rejected
43511,166,1386,38,2025-03-14T20:12:10.000Z,3,C627194065436887,Suez Canal Bank,"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",UK,Egypt,Shopping,USD,255806039,3666,45.59,11.28,37.79,5499.0,Withdrawal,Rejected
48511,576,1433,411,2023-10-21T21:33:36.000Z,4,C410617761635887,Arab African International Bank (AAIB),"Luxor Governorate, Zamalek, Corniche El-Nil St.",Germany,Egypt,Bill Payment,USD,257655599,18713,32.54,79.02,80.57,28069.5,Withdrawal,Rejected
13512,720,1873,204,2020-02-20T09:37:24.000Z,4,C710333593614698,Emirates NBD,"Suez Governorate, Faisal, El-Safwa St.",Germany,Germany,Bill Payment,USD,361314411,2153,78.41,331.52,30.71,3229.5,Transfer,Successful
28512,441,936,195,2025-12-12T04:15:43.000Z,3,C147123224166583,Fady Mansour Helal Nasser,"Arish Governorate, El-Marg, Corniche El-Nil St.",Canada,Egypt,Salary,EGP,397507189,1351,13.1,171.99,19.41,2026.5,Withdrawal,Rejected
38512,1349,1047,16,2025-10-08T08:18:53.000Z,4,C733107720551320,Al Rajhi Bank,"New Valley Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",USA,Egypt,Bill Payment,USD,272478589,5708,113.25,492.26,95.87,8562.0,Deposit,Rejected
8512,105,423,296,2018-10-11T23:58:43.000Z,5,C995345694324757,Ahli United Bank Egypt,"Arish Governorate, Faisal, Mohamed Naguib St.",Jordan,USA,Salary,EUR,316131703,18294,91.37,24.92,74.75,27441.0,Transfer,Successful
18512,1834,1299,459,2024-03-20T00:18:48.000Z,3,C536358014116093,Banque Saudi Fransi,"Alexandria Governorate, El-Marg, Abbas El-Akkad St.",Spain,Egypt,Bill Payment,EGP,143837021,19117,87.43,151.88,75.18,28675.5,Withdrawal,Successful
23512,1389,886,6,2018-11-14T17:18:19.000Z,6,C236198678345490,National Bank of Egypt,"Luxor Governorate, Garden City, Merghany St.",Canada,UK,Salary,EGP,838068024,16457,54.83,243.48,83.47,24685.5,Transfer,Rejected
43512,1746,1563,463,2024-12-28T02:49:49.000Z,3,C630654341114558,Wael Metwaly Zaher Metwaly,"Minya Governorate, Hadayek El-Qobba, El-Orouba St.",Australia,Egypt,Transfer,EGP,278520790,12231,106.36,437.93,79.49,18346.5,Deposit,Rejected
48512,815,431,382,2019-07-24T12:42:13.000Z,2,C107937795986441,Gulf Bank Kuwait,"Fayyum Governorate, Hadayek El-Qobba, Port Said St.",Spain,Germany,Bill Payment,EUR,886059458,17074,98.49,356.29,72.65,25611.0,Transfer,Successful
33512,612,279,391,2021-06-24T20:55:06.000Z,4,C877700725419377,BLOM Bank,"Beni Suef Governorate, Mohandiseen, Port Said St.",Jordan,Egypt,Shopping,EUR,890393430,4746,114.19,52.07,3.55,7119.0,Deposit,Rejected
3512,45,1652,230,2017-08-22T23:21:28.000Z,3,C451214041290602,Al Baraka Bank Egypt,"Ismailia Governorate, El-Shorouk, El-Galaa St.",Egypt,Egypt,Salary,EUR,434107425,2466,56.45,40.16,10.99,3699.0,Withdrawal,Rejected
13513,1289,1074,455,2020-11-12T03:58:17.000Z,4,C715142376683603,Arab Investment Bank,"Qena Governorate, Boulak, Ramses St.",Spain,Spain,Salary,EUR,366630518,2071,102.68,473.7,4.21,3106.5,Transfer,Rejected
38513,1372,658,343,2021-03-06T15:14:55.000Z,4,C871501210872667,Alaa Ali Othman Badr,"Cairo Governorate, El-Tagammu El-Khames, El-Galaa St.",Italy,Egypt,Salary,EUR,878304222,10791,46.1,275.16,88.84,16186.5,Deposit,Successful
18513,1671,1521,235,2026-02-12T16:38:54.000Z,2,C514435541979364,Emirates NBD Egypt,"Shubra El-Kheima Governorate, Imbaba, El-Safwa St.",France,Egypt,Salary,EUR,466816036,6077,56.87,458.22,87.44,9115.5,Deposit,Rejected
