trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
14230,1787,74,390,2017-12-23T01:28:54.000Z,6,C733247009515705,Mashreq Bank,"Damanhur Governorate, Rehab City, Champollion St.",Saudi Arabia,Egypt,Bill Payment,USD,635894847,3103,118.51,274.43,30.41,4654.5,Withdrawal,Rejected
19230,170,543,377,2018-12-14T22:03:56.000Z,4,C202762608463467,Arab Jordan Investment Bank,"Tanta Governorate, Agouza, El-Mohandiseen St.",Saudi Arabia,Egypt,Transfer,EGP,289040987,10758,117.41,278.74,95.51,16137.0,Deposit,Rejected
29230,509,1607,391,2023-10-18T09:48:54.000Z,7,C344044200402481,Al Baraka Bank Egypt,"Beni Suef Governorate, Mohandiseen, Port Said St.",UK,Germany,Shopping,USD,349476584,17129,74.73,65.57,82.17,25693.5,Transfer,Rejected
9230,390,1379,266,2020-03-24T11:14:03.000Z,5,C947613783009008,Aya Sobhi Okasha Nasser,"Minya Governorate, El-Sharabia, El-Bustan St.",France,Egypt,Bill Payment,EUR,199336107,7454,114.59,425.46,77.2,11181.0,Withdrawal,Rejected
39230,318,1849,311,2025-11-17T23:57:48.000Z,6,C679537465815552,Arab Investment Bank,"Fayyum Governorate, Madinaty, El-Batal Ahmed Abdel Aziz St.",Italy,Canada,Shopping,EUR,472910737,1847,93.86,363.46,9.71,2770.5,Transfer,Rejected
24230,1707,27,343,2023-08-06T01:32:34.000Z,1,C653456446499517,Emirates NBD Egypt,"Cairo Governorate, El-Tagammu El-Khames, El-Galaa St.",UAE,Spain,Bill Payment,EUR,191471637,15368,93.13,183.68,84.3,23052.0,Transfer,Rejected
34230,1612,856,44,2021-05-10T06:32:25.000Z,7,C438303617878260,Ismail Gaber Galal Bishara,"Asyut Governorate, Garden City, Kasr El-Nil St.",Saudi Arabia,Australia,Transfer,USD,678619596,11323,8.87,8.94,82.19,16984.5,Transfer,Successful
4230,1278,1577,38,2020-07-09T16:05:19.000Z,6,C814376026496444,Alaa Khalil Metwaly Galal,"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",Italy,Egypt,Salary,EUR,328649485,4435,48.16,365.27,18.31,6652.5,Withdrawal,Successful
44230,1300,244,96,2018-11-22T13:57:08.000Z,3,C857882744580608,Commercial International Bank (CIB),"Shubra El-Kheima Governorate, El-Basatin, El-Bustan St.",Canada,Egypt,Bill Payment,EUR,373086245,4768,97.77,51.99,6.05,7152.0,Deposit,Successful
49230,1880,494,136,2020-08-29T12:49:07.000Z,1,C181324239368618,National Bank of Egypt,"Marsa Matrouh Governorate, Nasr City, Kasr El-Nil St.",Spain,Egypt,Salary,EUR,851990572,11624,68.61,348.78,93.54,17436.0,Withdrawal,Successful
14231,423,391,129,2023-12-04T10:23:05.000Z,5,C894003903508893,Suez Canal Bank,"Giza Governorate, Imbaba, Champollion St.",Egypt,Spain,Shopping,USD,895558367,3929,15.57,220.84,3.07,5893.5,Transfer,Rejected
29231,687,1410,351,2026-04-03T20:56:43.000Z,1,C975718235136940,Byblos Bank,"Zagazig Governorate, Zamalek, El-Tahrir St.",Italy,Germany,Salary,USD,819758703,15901,111.04,97.77,83.28,23851.5,Transfer,Rejected
19231,1358,32,117,2023-11-29T15:31:00.000Z,2,C471351538535469,Dubai Islamic Bank,"Cairo Governorate, 6th of October, Champollion St.",Canada,Egypt,Salary,USD,214846926,10503,100.77,397.11,74.94,15754.5,Withdrawal,Rejected
9231,1726,1990,109,2020-03-24T21:23:55.000Z,4,C752160465265374,Arab African International Bank (AAIB),"Port Said Governorate, El-Sharabia, Merghany St.",Egypt,Australia,Shopping,EGP,983748612,2358,106.91,478.17,18.32,3537.0,Transfer,Successful
39231,591,498,446,2024-08-01T12:49:48.000Z,7,C417739378570659,Commercial International Bank (CIB),"Tanta Governorate, Rehab City, El-Azhar St.",Jordan,France,Shopping,EGP,236826126,13179,92.65,363.24,96.06,19768.5,Transfer,Successful
24231,431,1710,351,2016-03-08T06:28:58.000Z,2,C646020758257402,Mashreq Bank,"Zagazig Governorate, Zamalek, El-Tahrir St.",France,Egypt,Shopping,EUR,762250587,10014,28.79,183.37,90.1,15021.0,Withdrawal,Rejected
44231,713,173,408,2020-08-13T15:57:19.000Z,3,C432956866596111,Banque du Caire,"Damietta Governorate, Hadayek El-Qobba, El-Ahrar St.",UAE,Egypt,Shopping,EUR,495928886,8497,47.73,171.54,90.4,12745.5,Withdrawal,Rejected
34231,304,168,495,2022-03-30T14:26:02.000Z,6,C265695933872734,Commercial International Bank (CIB),"Alexandria Governorate, Nasr City, Champollion St.",Saudi Arabia,Germany,Bill Payment,USD,896817912,1702,19.88,401.98,28.56,2553.0,Transfer,Successful
49231,542,1933,161,2018-10-25T14:44:08.000Z,2,C939163689820965,Khaled Helal Amer Fawzy,"Hurghada Governorate, Agouza, Champollion St.",Saudi Arabia,USA,Shopping,EGP,539469365,12322,2.04,339.51,79.88,18483.0,Transfer,Rejected
4231,82,763,286,2015-07-29T03:06:02.000Z,2,C792442455747147,Gulf Bank Kuwait,"Mansoura Governorate, El-Marg, Kasr El-Nil St.",Canada,France,Bill Payment,USD,160349068,16466,37.52,392.12,91.7,24699.0,Transfer,Successful
14232,98,913,389,2018-10-27T04:50:33.000Z,2,C842384167538717,Commercial Bank of Qatar,"Luxor Governorate, Ain Shams, El-Orouba St.",Canada,Spain,Shopping,USD,740325741,6985,85.65,311.53,73.96,10477.5,Transfer,Successful
9232,35,1146,428,2020-10-10T01:37:43.000Z,3,C743485304594300,National Commercial Bank (NCB),"Minya Governorate, Imbaba, El-Mohandiseen St.",USA,Egypt,Bill Payment,EUR,288237135,4859,81.05,370.12,35.28,7288.5,Withdrawal,Successful
24232,104,729,163,2025-07-02T20:18:56.000Z,4,C370813977413738,Banque du Caire,"Damanhur Governorate, 6th of October, El-Ahrar St.",France,Egypt,Bill Payment,EUR,495144399,16943,69.63,439.02,94.21,25414.5,Deposit,Successful
39232,1844,68,464,2018-03-05T08:31:17.000Z,6,C700299782210424,Faisal Islamic Bank of Egypt,"Minya Governorate, Matareya, Champollion St.",Germany,Spain,Bill Payment,EGP,640768130,19479,11.94,177.6,95.35,29218.5,Transfer,Successful
29232,1575,338,364,2019-03-16T18:06:17.000Z,2,C481465988546175,National Commercial Bank (NCB),"Sohag Governorate, Garden City, Makram Ebeid St.",Italy,Egypt,Transfer,EGP,191288872,17718,68.27,377.01,90.25,26577.0,Withdrawal,Successful
19232,897,1644,1,2017-07-26T15:27:14.000Z,3,C112691524191564,Société Générale,"Minya Governorate, Imbaba, El-Bustan St.",Jordan,Egypt,Shopping,EGP,925103844,920,71.52,340.84,14.9,1380.0,Withdrawal,Successful
49232,619,1076,326,2025-01-21T16:15:30.000Z,5,C794960901899133,Faisal Islamic Bank of Egypt,"Cairo Governorate, Badr City, Corniche El-Nil St.",USA,UK,Transfer,EUR,685242013,2288,15.9,427.75,28.55,3432.0,Transfer,Successful
34232,942,1396,457,2016-07-10T04:37:52.000Z,5,C811055681158553,Riyad Bank,"Shubra El-Kheima Governorate, Shubra, Corniche El-Nil St.",Saudi Arabia,Egypt,Shopping,EGP,815724800,13455,14.46,405.4,90.54,20182.5,Deposit,Successful
