trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
47912,903,1892,71,2016-05-07T21:26:17.000Z,1,C776900858080581,Ahli United Bank Egypt,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",Italy,Spain,Transfer,EUR,257974045,7525,29.02,60.91,79.43,11287.5,Transfer,Rejected
12913,510,1716,155,2024-10-23T22:05:45.000Z,5,C641175227087456,National Commercial Bank (NCB),"Fayyum Governorate, Maadi, El-Ahrar St.",Australia,Egypt,Bill Payment,EUR,232973717,5662,54.72,357.66,89.57,8493.0,Deposit,Successful
22913,987,289,416,2015-04-11T16:02:44.000Z,6,C447850630575959,Emirates NBD,"Ismailia Governorate, Shubra, El-Haram St.",USA,Egypt,Transfer,EGP,221999339,10176,30.7,227.07,76.17,15264.0,Deposit,Successful
7913,1439,1891,473,2015-03-12T11:29:32.000Z,4,C606805330683077,Housing and Development Bank (HDB),"Damietta Governorate, El-Basatin, El-Galaa St.",UAE,Egypt,Transfer,USD,231278941,6266,87.19,75.92,86.91,9399.0,Deposit,Successful
37913,190,544,311,2018-05-14T04:31:39.000Z,4,C818724124404469,Byblos Bank,"Fayyum Governorate, Madinaty, El-Batal Ahmed Abdel Aziz St.",Egypt,Egypt,Shopping,USD,602228820,3944,13.97,379.27,2.91,5916.0,Withdrawal,Successful
17913,1429,100,140,2020-03-10T11:59:40.000Z,1,C187211486681146,Commercial Bank of Qatar,"Luxor Governorate, Hadayek El-Qobba, Makram Ebeid St.",USA,Egypt,Transfer,EUR,922375589,13255,98.03,243.2,79.94,19882.5,Withdrawal,Rejected
27913,14,890,311,2024-09-15T17:31:23.000Z,1,C696035685244984,Ahli United Bank Kuwait,"Fayyum Governorate, Madinaty, El-Batal Ahmed Abdel Aziz St.",Egypt,Egypt,Salary,EUR,160167053,11168,27.14,253.54,73.35,16752.0,Deposit,Successful
2913,1003,1479,387,2023-01-08T15:42:10.000Z,6,C311221929637302,Al Baraka Bank Egypt,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Jordan,Egypt,Shopping,EGP,798381324,11714,6.33,166.28,97.18,17571.0,Withdrawal,Rejected
32913,967,900,250,2015-12-23T00:47:37.000Z,3,C717270114769795,Arab Investment Bank,"Asyut Governorate, Faisal, El-Ahrar St.",Saudi Arabia,Egypt,Shopping,USD,546504688,7313,33.84,218.11,87.1,10969.5,Withdrawal,Successful
47913,1052,1570,444,2015-12-19T21:01:15.000Z,2,C991474474373230,First Abu Dhabi Bank Egypt,"Cairo Governorate, Garden City, Gamal Abdel Nasser St.",USA,Egypt,Salary,EGP,461894571,8185,41.04,200.94,95.71,12277.5,Deposit,Successful
42913,133,1530,424,2020-07-12T11:13:18.000Z,1,C642471173923530,First Abu Dhabi Bank (FAB),"Fayyum Governorate, El-Salam, Gamal Abdel Nasser St.",Spain,Spain,Transfer,EGP,619756610,12188,77.47,226.15,85.41,18282.0,Transfer,Rejected
12914,1170,1904,255,2024-11-27T10:29:14.000Z,1,C916963067434532,Emirates NBD Egypt,"Damietta Governorate, El-Haram, El-Ahrar St.",Italy,Italy,Transfer,USD,908960065,13778,56.75,241.38,71.72,20667.0,Transfer,Rejected
22914,1296,1947,140,2018-08-24T23:18:15.000Z,4,C675631531466610,Bank of Alexandria,"Luxor Governorate, Hadayek El-Qobba, Makram Ebeid St.",France,Egypt,Transfer,EGP,919695568,3085,9.92,447.93,37.54,4627.5,Withdrawal,Successful
7914,788,329,498,2024-08-21T05:51:03.000Z,7,C204601695683642,Mona Shahin Gomaa Badr,"Cairo Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",Spain,Egypt,Transfer,EUR,811196206,17496,8.95,67.58,76.15,26244.0,Deposit,Rejected
17914,1007,700,121,2022-08-01T23:48:23.000Z,6,C334169008425124,Mashreq Bank,"Arish Governorate, El-Basatin, Makram Ebeid St.",Australia,Egypt,Transfer,EGP,133586714,7478,47.15,351.03,92.41,11217.0,Deposit,Successful
27914,1424,1824,170,2025-01-28T01:30:30.000Z,7,C656245656979297,Banque Saudi Fransi,"New Valley Governorate, Dokki, Emad El-Din St.",UAE,Egypt,Shopping,EUR,835936833,17290,60.03,414.2,74.16,25935.0,Deposit,Rejected
37914,1215,1261,438,2022-12-10T22:10:12.000Z,1,C995601740964362,Iman Ragab Hassan Naguib,"Beni Suef Governorate, Heliopolis, Merghany St.",UAE,Egypt,Transfer,EUR,373434142,9456,9.74,58.86,87.93,14184.0,Deposit,Rejected
32914,975,1600,362,2023-10-30T17:32:06.000Z,5,C883081825823966,Arab Jordan Investment Bank,"Minya Governorate, Heliopolis, Ramses St.",Saudi Arabia,Canada,Transfer,USD,519252873,15197,11.4,465.91,94.81,22795.5,Transfer,Rejected
2914,1667,635,297,2020-12-29T04:33:38.000Z,4,C192204546838631,Rania Hassan Fawzy Zidan,"Ismailia Governorate, El-Shorouk, El-Ahrar St.",Jordan,Spain,Salary,USD,691113302,16955,14.82,357.5,98.91,25432.5,Transfer,Successful
47914,1136,1271,212,2017-10-31T15:14:16.000Z,3,C833818807438833,Kuwait Finance House,"Port Said Governorate, Dokki, Corniche El-Nil St.",Australia,Egypt,Shopping,EUR,863400968,2285,86.22,158.34,20.23,3427.5,Withdrawal,Successful
42914,576,1433,454,2021-03-07T18:24:45.000Z,5,C698786283470121,Lebanese French Bank (LFB),"Alexandria Governorate, El-Shorouk, El-Ahrar St.",Egypt,Egypt,Salary,EGP,796257657,3116,1.08,108.49,2.15,4674.0,Deposit,Rejected
12915,1087,228,446,2025-08-28T08:10:23.000Z,5,C858503913767865,Ramzy Zaki Naguib Abdel-Rahman,"Tanta Governorate, Rehab City, El-Azhar St.",Canada,UK,Shopping,EUR,565275098,13061,91.72,235.74,78.11,19591.5,Transfer,Rejected
37915,489,1732,52,2024-06-28T16:04:11.000Z,4,C119656267828624,National Commercial Bank (NCB),"Marsa Matrouh Governorate, Mohandiseen, Champollion St.",Australia,France,Salary,USD,903959064,931,68.0,231.37,3.03,1396.5,Transfer,Successful
22915,783,1811,337,2025-08-12T22:54:43.000Z,4,C650821273949668,Samir Helal Zidan Zaki,"Hurghada Governorate, Faisal, El-Nasr St.",Italy,France,Transfer,USD,483820572,11620,51.37,270.56,89.01,17430.0,Transfer,Rejected
17915,26,614,196,2021-08-04T08:57:57.000Z,2,C108346899645374,Arab Jordan Investment Bank,"Giza Governorate, Agouza, Kasr El-Nil St.",UAE,UK,Transfer,USD,532444354,5269,109.67,462.8,86.7,7903.5,Transfer,Rejected
27915,357,474,165,2015-06-10T13:59:17.000Z,3,C233836285924927,Doaa Othman Othman Helal,"Asyut Governorate, El-Shorouk, El-Azhar St.",Egypt,France,Shopping,EGP,511461199,4287,38.45,304.23,36.46,6430.5,Transfer,Rejected
7915,1571,1810,324,2015-10-03T01:23:45.000Z,2,C581573863795066,Arab African International Bank (AAIB),"Aswan Governorate, El-Shorouk, Champollion St.",Italy,Spain,Shopping,EGP,112776551,7628,62.09,239.92,84.87,11442.0,Transfer,Successful
2915,1476,1378,193,2021-12-31T05:37:23.000Z,5,C325521752798655,Saudi National Bank (SNB),"Aswan Governorate, El-Tagammu El-Khames, El-Haram St.",UAE,Egypt,Salary,EUR,954270612,5505,11.05,349.57,99.05,8257.5,Deposit,Successful
42915,709,1081,394,2025-01-28T04:00:00.000Z,7,C470463581970949,Riyad Bank,"Marsa Matrouh Governorate, El-Tagammu El-Khames, El-Orouba St.",UAE,Egypt,Salary,EGP,828711532,5268,71.4,37.93,75.4,7902.0,Deposit,Rejected
32915,1774,930,220,2016-10-13T03:07:59.000Z,7,C801931627201297,Arab Bank,"Mansoura Governorate, Boulak, Adly St.",Australia,Egypt,Transfer,EUR,593174363,1134,28.81,242.78,31.29,1701.0,Withdrawal,Rejected
47915,1825,1718,149,2020-11-14T17:13:50.000Z,5,C772568848388090,First Abu Dhabi Bank Egypt,"Cairo Governorate, El-Salam, Port Said St.",UAE,Egypt,Salary,EGP,286417854,13378,5.65,242.08,97.49,20067.0,Deposit,Successful
12916,402,378,370,2021-04-14T06:34:06.000Z,5,C868008679326816,Arab Jordan Investment Bank,"Damanhur Governorate, Boulak, Cleopatra St.",USA,Egypt,Bill Payment,EUR,774100339,10885,50.27,32.9,77.27,16327.5,Withdrawal,Rejected
