trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12853,1301,1357,317,2024-10-30T02:59:55.000Z,4,C693474654991934,Shimaa Metwaly Zaher Ahmed,"Aswan Governorate, Dokki, El-Galaa St.",Australia,Italy,Bill Payment,USD,353772631,18631,114.68,485.79,91.21,27946.5,Transfer,Successful
17853,1559,1497,415,2017-07-05T22:31:41.000Z,3,C386806472603315,Emirates NBD,"Zagazig Governorate, El-Marg, El-Gomhoreya St.",Jordan,Germany,Shopping,USD,721305842,451,110.79,65.54,29.9,676.5,Transfer,Successful
27853,190,544,344,2015-11-23T14:27:00.000Z,5,C833456202291899,Mashreq Bank,"Arish Governorate, Zamalek, El-Bustan St.",UAE,Egypt,Shopping,USD,183405098,13067,107.0,164.61,82.47,19600.5,Withdrawal,Rejected
7853,720,802,83,2026-04-12T13:34:51.000Z,5,C798309675348471,Ahli Bank of Qatar,"Damanhur Governorate, El-Shorouk, El-Safwa St.",UAE,Egypt,Bill Payment,EUR,817674561,15716,44.87,322.38,72.76,23574.0,Deposit,Successful
37853,514,1338,159,2023-12-14T00:33:03.000Z,1,C423797351282938,Byblos Bank,"Alexandria Governorate, Omraneya, El-Azhar St.",Saudi Arabia,Egypt,Transfer,USD,569950488,3729,39.75,160.09,11.72,5593.5,Deposit,Rejected
22853,874,759,39,2017-02-02T02:11:50.000Z,1,C924638456279317,Abu Dhabi Islamic Bank (ADIB),"New Valley Governorate, El-Salam, El-Gomhoreya St.",Saudi Arabia,Egypt,Transfer,USD,310351680,11506,66.36,189.87,93.81,17259.0,Withdrawal,Successful
32853,684,471,288,2022-01-14T02:10:11.000Z,5,C505789971432622,Byblos Bank,"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",France,Egypt,Shopping,EGP,693920019,3923,49.21,314.13,26.63,5884.5,Withdrawal,Rejected
2853,736,1033,83,2022-07-06T08:01:54.000Z,7,C476928090656250,Commercial International Bank (CIB),"Damanhur Governorate, El-Shorouk, El-Safwa St.",UAE,Egypt,Shopping,USD,366668551,2484,26.08,239.24,11.16,3726.0,Withdrawal,Successful
47853,265,1083,3,2019-02-24T22:56:36.000Z,6,C113161747512559,Aya Okasha Othman Saleh,"Alexandria Governorate, Boulak, El-Nasr St.",Germany,Egypt,Bill Payment,EUR,112869923,7773,119.81,465.34,81.79,11659.5,Deposit,Successful
42853,798,669,471,2018-02-08T19:05:04.000Z,4,C432841298928268,Lebanese French Bank (LFB),"Ismailia Governorate, New Cairo, Gamal Abdel Nasser St.",USA,Egypt,Bill Payment,EUR,459416867,7122,24.01,349.03,84.71,10683.0,Withdrawal,Rejected
