trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
13871,1849,955,282,2016-04-08T13:28:59.000Z,6,C700333923722011,Riyad Bank,"Port Said Governorate, Agouza, Salah Salem St.",Germany,Egypt,Transfer,EGP,424736386,11192,113.55,16.91,87.02,16788.0,Withdrawal,Rejected
28871,831,776,355,2017-06-25T22:59:39.000Z,2,C719163790186672,Hamdy Abdel-Rahman Gomaa Rashid,"Damietta Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",UK,Italy,Transfer,EGP,100866471,4407,68.37,273.71,16.32,6610.5,Transfer,Rejected
18871,1781,1143,450,2024-12-18T17:50:41.000Z,3,C681964503369535,Al Rajhi Bank,"Ismailia Governorate, Mohandiseen, Adly St.",Australia,Egypt,Shopping,USD,420813379,14634,5.14,425.12,84.21,21951.0,Deposit,Rejected
38871,1538,1243,214,2024-09-17T11:30:24.000Z,6,C751183878898881,Commercial International Bank (CIB),"Beni Suef Governorate, Badr City, El-Gomhoreya St.",Egypt,Egypt,Transfer,EGP,543973469,13134,100.33,183.74,77.99,19701.0,Withdrawal,Successful
23871,1030,1544,82,2018-12-08T10:16:23.000Z,6,C707243818874523,Arab National Bank,"Zagazig Governorate, El-Obour City, El-Galaa St.",Germany,Italy,Salary,EGP,869610419,7931,93.73,323.74,97.78,11896.5,Transfer,Successful
8871,987,705,317,2019-11-20T23:41:21.000Z,3,C970794704339650,Lebanese French Bank (LFB),"Aswan Governorate, Dokki, El-Galaa St.",USA,France,Shopping,EGP,948146396,10546,27.24,435.2,85.29,15819.0,Transfer,Rejected
33871,414,1540,309,2022-12-21T05:14:17.000Z,3,C115603656418884,Commercial Bank of Qatar,"Suez Governorate, Dokki, Adly St.",Germany,Spain,Salary,EUR,935190611,6493,35.28,200.77,70.73,9739.5,Transfer,Rejected
48871,1233,786,360,2021-10-08T15:50:56.000Z,3,C469358285734400,Arab Investment Bank,"Marsa Matrouh Governorate, Boulak, El-Azhar St.",Saudi Arabia,USA,Salary,USD,623389338,1754,32.21,47.5,24.6,2631.0,Transfer,Successful
43871,989,78,403,2021-08-15T17:50:02.000Z,4,C433662479075680,Emirates NBD,"Shubra El-Kheima Governorate, Agouza, Ramses St.",Egypt,Egypt,Salary,EGP,796244129,5498,72.65,373.64,79.66,8247.0,Withdrawal,Successful
3871,1277,1978,54,2024-06-22T11:52:40.000Z,7,C125111792894383,Fransabank,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",USA,Egypt,Transfer,EGP,903769399,18844,42.36,295.04,84.43,28266.0,Withdrawal,Successful
13872,849,1412,280,2021-02-03T09:59:19.000Z,4,C691786500885299,Gulf Bank Kuwait,"Hurghada Governorate, 6th of October, Champollion St.",Egypt,Egypt,Salary,USD,416383339,8378,51.98,14.07,75.08,12567.0,Deposit,Rejected
28872,1196,477,167,2021-07-05T03:29:17.000Z,7,C633721755721768,Bank Audi,"Sohag Governorate, Agouza, El-Galaa St.",Jordan,Egypt,Bill Payment,EGP,159546458,6651,69.1,425.55,91.75,9976.5,Deposit,Rejected
