trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
24261,168,708,32,2018-02-06T17:28:51.000Z,3,C104581102993099,Barclays,"Damietta Governorate, Garden City, Gamal Abdel Nasser St.",UAE,Egypt,Transfer,USD,654814163,9777,78.23,468.37,94.27,14665.5,Withdrawal,Rejected
29261,693,1044,418,2023-06-03T04:07:22.000Z,6,C499646686584919,Ahli United Bank Egypt,"Marsa Matrouh Governorate, Shubra, Merghany St.",Saudi Arabia,Egypt,Salary,USD,160967018,619,19.43,482.71,7.32,928.5,Withdrawal,Rejected
19261,1934,510,466,2021-08-14T17:03:32.000Z,6,C117018790873784,Sherif Rashid Naguib Nasser,"Fayyum Governorate, El-Basatin, Port Said St.",USA,Egypt,Transfer,EUR,206483944,6714,83.74,316.1,74.67,10071.0,Deposit,Rejected
34261,1116,506,244,2022-04-27T01:49:40.000Z,6,C176877959516768,Emirates NBD Egypt,"Suez Governorate, El-Haram, Cleopatra St.",Germany,Egypt,Bill Payment,EGP,466714386,12291,103.18,93.5,95.11,18436.5,Deposit,Successful
14261,1937,844,218,2026-03-23T11:00:26.000Z,2,C149082409523814,Faisal Islamic Bank of Egypt,"Minya Governorate, Badr City, Abbas El-Akkad St.",Canada,Egypt,Salary,EUR,421981095,8013,14.96,240.95,79.68,12019.5,Withdrawal,Successful
49261,1861,1194,376,2024-07-18T01:19:27.000Z,5,C659961188843240,Arab National Bank,"Minya Governorate, Badr City, Ramses St.",Egypt,Egypt,Salary,EUR,962205577,10702,58.04,348.24,82.78,16053.0,Withdrawal,Successful
39261,1952,872,194,2022-04-19T07:45:58.000Z,1,C704713531325465,Arab Jordan Investment Bank,"Zagazig Governorate, Zamalek, El-Alfy St.",Australia,Egypt,Transfer,USD,928989794,7534,112.78,55.53,96.05,11301.0,Deposit,Successful
9261,1119,590,119,2019-11-21T08:35:49.000Z,3,C110450893963689,Qatar National Bank (QNB),"Luxor Governorate, Hadayek El-Qobba, Champollion St.",Saudi Arabia,Egypt,Bill Payment,USD,593119373,19869,26.68,120.45,71.01,29803.5,Deposit,Rejected
44261,891,1198,74,2020-08-29T19:09:53.000Z,1,C862568300302744,Nabil Wahba Zaki Ramadan,"Asyut Governorate, Rehab City, El-Haram St.",Saudi Arabia,Egypt,Salary,EGP,146962153,134,47.1,19.89,27.12,201.0,Withdrawal,Rejected
4261,1676,834,102,2017-03-27T17:03:25.000Z,6,C374837223998372,Housing and Development Bank (HDB),"Damietta Governorate, Matareya, El-Azhar St.",Lebanon,Egypt,Transfer,USD,576444521,1698,28.71,59.81,1.81,2547.0,Deposit,Successful
34262,124,472,388,2019-04-14T12:07:05.000Z,7,C986661379202689,Arab National Bank,"Asyut Governorate, El-Shorouk, El-Azhar St.",UK,Germany,Shopping,EGP,282507806,10860,59.88,123.12,75.06,16290.0,Transfer,Rejected
19262,78,1257,174,2021-10-21T04:46:08.000Z,6,C201268258128100,Emirates NBD,"Zagazig Governorate, Madinaty, Merghany St.",Australia,Egypt,Salary,EGP,174875182,5661,36.39,269.8,93.92,8491.5,Withdrawal,Successful
24262,1586,1196,143,2024-07-22T20:27:33.000Z,4,C513907717981471,Abu Dhabi Islamic Bank (ADIB),"Beni Suef Governorate, El-Basatin, Makram Ebeid St.",Egypt,Egypt,Shopping,EUR,990430355,14684,61.9,341.82,80.7,22026.0,Deposit,Successful
29262,1730,1377,153,2023-05-17T08:19:35.000Z,6,C507996162379955,Ahli United Bank Egypt,"Fayyum Governorate, El-Obour City, El-Batal Ahmed Abdel Aziz St.",Jordan,France,Bill Payment,USD,143670404,13939,51.23,467.22,73.62,20908.5,Transfer,Successful
14262,1929,124,304,2018-04-27T07:45:49.000Z,4,C421355821156115,Commercial International Bank (CIB),"Damanhur Governorate, El-Obour City, Champollion St.",USA,Egypt,Transfer,EUR,808842951,917,115.2,97.62,12.62,1375.5,Withdrawal,Successful
49262,1164,895,494,2024-02-23T16:22:38.000Z,7,C822095251080956,Kuwait Finance House,"Marsa Matrouh Governorate, El-Basatin, El-Safwa St.",USA,Egypt,Transfer,EGP,370869381,18171,50.41,97.96,76.9,27256.5,Deposit,Successful
9262,1958,849,183,2022-12-19T14:31:50.000Z,4,C113422057907712,Abu Dhabi Islamic Bank (ADIB),"Minya Governorate, El-Shorouk, El-Mohandiseen St.",Saudi Arabia,Spain,Bill Payment,USD,403593869,8639,98.03,150.66,88.28,12958.5,Transfer,Rejected
4262,440,686,83,2018-01-13T08:25:19.000Z,7,C114479693425516,Ahli United Bank Kuwait,"Damanhur Governorate, El-Shorouk, El-Safwa St.",Lebanon,UK,Bill Payment,USD,488074712,7302,102.11,336.85,74.92,10953.0,Transfer,Rejected
44262,184,836,305,2021-01-15T16:18:02.000Z,5,C307057796953693,Byblos Bank,"Asyut Governorate, Dokki, El-Sheikh Rihan St.",Germany,Egypt,Bill Payment,USD,444040139,4873,95.61,365.12,17.24,7309.5,Deposit,Successful
39262,557,620,134,2024-04-07T23:24:51.000Z,5,C889136393549529,Commercial International Bank (CIB),"Tanta Governorate, Maadi, Ramses St.",UK,Egypt,Transfer,USD,325121511,15846,103.22,314.47,80.15,23769.0,Deposit,Rejected
24263,964,347,209,2021-03-03T11:41:33.000Z,3,C951173856257473,First Abu Dhabi Bank Egypt,"Port Said Governorate, Hadayek El-Qobba, Cleopatra St.",Jordan,Egypt,Salary,EGP,599290913,8822,81.99,217.44,82.45,13233.0,Withdrawal,Rejected
34263,88,173,183,2017-01-12T13:48:39.000Z,1,C256944300119919,Banque Saudi Fransi,"Minya Governorate, El-Shorouk, El-Mohandiseen St.",Canada,Egypt,Shopping,EUR,524115949,15188,107.33,381.12,82.63,22782.0,Withdrawal,Rejected
