trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19769,1394,783,401,2020-01-20T02:49:13.000Z,7,C465518324284723,Emirates NBD,"Beni Suef Governorate, El-Haram, Champollion St.",UAE,Egypt,Transfer,EUR,841101309,11940,88.43,373.28,91.53,17910.0,Deposit,Successful
24769,30,1746,2,2016-08-30T19:51:20.000Z,1,C616583033346997,Arab Investment Bank,"Arish Governorate, Matareya, El-Batal Ahmed Abdel Aziz St.",Australia,Egypt,Transfer,EUR,284505068,7188,3.83,51.25,79.1,10782.0,Withdrawal,Successful
9769,851,1701,416,2022-12-13T00:33:02.000Z,1,C225458941325556,National Commercial Bank (NCB),"Ismailia Governorate, Shubra, El-Haram St.",USA,Egypt,Bill Payment,EGP,652354329,17925,67.24,63.2,77.31,26887.5,Withdrawal,Rejected
29769,14,1557,392,2024-04-04T13:15:13.000Z,2,C711586750870634,Commercial Bank of Qatar,"Beni Suef Governorate, Badr City, El-Orouba St.",Lebanon,Egypt,Bill Payment,EUR,532789234,7439,6.12,119.06,75.15,11158.5,Deposit,Rejected
39769,1010,1711,322,2022-04-24T23:08:05.000Z,3,C411835304091133,Faisal Islamic Bank of Egypt,"New Valley Governorate, El-Haram, El-Galaa St.",UK,Egypt,Bill Payment,EUR,595594848,11736,58.15,486.99,78.88,17604.0,Deposit,Rejected
44769,333,809,414,2021-02-02T23:19:58.000Z,2,C212925769173442,Saudi National Bank (SNB),"Damanhur Governorate, El-Obour City, Sudan St.",Egypt,Egypt,Bill Payment,EGP,645000148,9065,90.05,214.03,89.81,13597.5,Withdrawal,Successful
34769,855,1469,38,2021-01-15T20:12:14.000Z,5,C543965141282583,Egyptian Arab Land Bank,"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",Jordan,Australia,Salary,EGP,739018321,16206,75.76,163.05,85.78,24309.0,Transfer,Rejected
49769,1130,1757,118,2018-02-28T10:44:24.000Z,7,C661485878380207,Riyad Bank,"Minya Governorate, Mohandiseen, El-Galaa St.",Germany,Egypt,Shopping,EGP,579547352,3694,53.09,498.97,30.68,5541.0,Withdrawal,Rejected
4769,584,316,204,2018-06-29T13:28:56.000Z,5,C367512535850459,HSBC,"Suez Governorate, Faisal, El-Safwa St.",Spain,Egypt,Transfer,USD,772742363,11683,27.14,266.51,70.65,17524.5,Withdrawal,Successful
14770,1089,1698,138,2019-10-24T02:05:42.000Z,2,C616246061491676,Ahli United Bank Egypt,"Cairo Governorate, El-Shorouk, Ramses St.",Germany,Canada,Salary,USD,339895380,14492,53.44,154.63,84.39,21738.0,Transfer,Rejected
29770,173,1617,178,2024-06-20T18:10:06.000Z,1,C733560459830727,Arab African International Bank (AAIB),"Qena Governorate, Nasr City, Cleopatra St.",Jordan,Egypt,Shopping,USD,658184192,18921,66.94,476.51,99.3,28381.5,Deposit,Rejected
9770,879,405,202,2021-01-24T13:33:47.000Z,3,C449888843489642,Gulf Bank Kuwait,"Cairo Governorate, El-Salam, Salah Salem St.",Saudi Arabia,Egypt,Salary,EGP,136801113,10339,107.93,360.67,76.01,15508.5,Withdrawal,Rejected
19770,1450,378,315,2018-12-08T05:36:40.000Z,4,C194563990466783,Arab Investment Bank,"Ismailia Governorate, Zamalek, El-Galaa St.",Egypt,Egypt,Salary,USD,353503361,19998,73.55,300.59,86.47,29997.0,Deposit,Rejected
24770,1797,776,246,2022-07-15T19:05:47.000Z,3,C197858282682985,Bank of Alexandria,"Giza Governorate, Badr City, Cleopatra St.",Spain,Australia,Shopping,EUR,623203462,3134,35.69,93.62,12.75,4701.0,Transfer,Successful
39770,616,1846,438,2019-06-26T04:03:36.000Z,4,C928438361740897,Qatar National Bank (QNB),"Beni Suef Governorate, Heliopolis, Merghany St.",Italy,Egypt,Salary,EGP,717407880,11321,44.12,489.23,81.32,16981.5,Deposit,Rejected
49770,604,805,460,2020-07-18T15:56:37.000Z,6,C483662099409871,Byblos Bank,"Marsa Matrouh Governorate, El-Obour City, Salah Salem St.",Germany,Egypt,Transfer,USD,223069856,18224,60.19,220.83,99.27,27336.0,Withdrawal,Successful
