trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
27553,1659,1480,4,2026-03-28T19:11:53.000Z,5,C354533036921005,Ahli Bank of Qatar,"Tanta Governorate, El-Obour City, Mohamed Naguib St.",Lebanon,Egypt,Transfer,EUR,320754697,17312,106.31,494.44,90.77,25968.0,Withdrawal,Rejected
37553,1992,1544,156,2023-12-07T13:50:47.000Z,3,C861629838748106,Arab Jordan Investment Bank,"Cairo Governorate, Ain Shams, Emad El-Din St.",Egypt,Germany,Salary,EUR,372356167,18361,47.77,75.76,91.72,27541.5,Transfer,Successful
22553,1768,1537,258,2018-03-27T02:55:57.000Z,4,C555317363623315,Emirates NBD,"Qena Governorate, Rehab City, Ramses St.",Saudi Arabia,USA,Bill Payment,EUR,347732948,4923,71.57,22.6,35.73,7384.5,Transfer,Successful
7553,1369,1248,25,2021-04-07T07:47:37.000Z,1,C150490744382270,National Commercial Bank (NCB),"Shubra El-Kheima Governorate, El-Basatin, Cleopatra St.",UAE,Egypt,Bill Payment,EGP,758898002,1082,84.09,478.96,10.95,1623.0,Withdrawal,Successful
17553,1203,1914,374,2015-05-02T01:26:52.000Z,4,C122297804066419,Arab National Bank,"Beni Suef Governorate, Agouza, El-Safwa St.",UAE,Egypt,Salary,EUR,582305697,6357,21.4,126.19,80.8,9535.5,Withdrawal,Rejected
42553,610,1664,93,2019-10-11T02:46:00.000Z,2,C239970521598159,Commercial Bank of Dubai,"Suez Governorate, Rehab City, Salah Salem St.",Saudi Arabia,UK,Bill Payment,EUR,264000765,8615,107.68,458.8,97.24,12922.5,Transfer,Rejected
32553,1868,70,487,2025-11-06T11:38:48.000Z,3,C575842134354671,Kuwait Finance House,"Damanhur Governorate, Madinaty, El-Alfy St.",UK,Egypt,Bill Payment,USD,655370472,6279,10.29,290.72,95.85,9418.5,Deposit,Rejected
47553,989,954,104,2016-04-29T14:51:50.000Z,4,C822213875281596,Arab National Bank,"Cairo Governorate, Sheikh Zayed, El-Ahrar St.",UAE,Egypt,Transfer,EGP,910589648,17705,49.82,383.83,71.6,26557.5,Deposit,Rejected
2553,440,686,298,2022-04-14T10:32:39.000Z,2,C675409097782437,Al Baraka Bank Egypt,"Port Said Governorate, Matareya, El-Galaa St.",Spain,Egypt,Shopping,USD,165837940,19510,64.38,156.96,96.72,29265.0,Withdrawal,Rejected
12554,1808,164,15,2016-06-20T06:56:22.000Z,7,C795622330929643,Kuwait Finance House,"Qena Governorate, Rehab City, El-Safwa St.",Lebanon,Germany,Salary,USD,605300259,1666,22.57,144.51,34.16,2499.0,Transfer,Successful
27554,1253,465,102,2026-03-28T11:12:24.000Z,5,C542291460409422,Ahli United Bank Kuwait,"Damietta Governorate, Matareya, El-Azhar St.",Jordan,Egypt,Shopping,EGP,957775770,11955,51.93,121.86,78.94,17932.5,Withdrawal,Successful
22554,428,935,214,2015-09-25T20:22:38.000Z,7,C143177979755337,Lebanese French Bank (LFB),"Beni Suef Governorate, Badr City, El-Gomhoreya St.",Egypt,Egypt,Salary,EGP,421459395,10135,42.57,67.91,75.77,15202.5,Withdrawal,Successful
7554,893,1902,218,2022-08-09T23:23:31.000Z,2,C475399715256548,Qatar National Bank (QNB),"Minya Governorate, Badr City, Abbas El-Akkad St.",Egypt,Egypt,Shopping,EGP,728724363,3202,12.4,104.68,11.91,4803.0,Deposit,Rejected
37554,1511,778,388,2021-06-04T22:13:51.000Z,4,C421212724452813,Faisal Islamic Bank of Egypt,"Asyut Governorate, El-Shorouk, El-Azhar St.",UAE,Egypt,Shopping,EUR,573954567,8898,41.65,129.27,94.3,13347.0,Withdrawal,Successful
17554,1316,1333,43,2015-05-18T14:26:28.000Z,3,C270426240603753,Emirates NBD,"Sohag Governorate, El-Marg, Merghany St.",UAE,Egypt,Shopping,EUR,951239907,19903,48.79,123.0,79.36,29854.5,Withdrawal,Rejected
47554,93,1997,367,2026-01-08T14:39:20.000Z,5,C255619438104212,Salma Othman Ali Tantawy,"Zagazig Governorate, Omraneya, El-Azhar St.",France,Egypt,Transfer,EUR,322213003,5448,68.28,420.0,95.63,8172.0,Withdrawal,Successful
42554,1628,426,142,2015-08-22T21:54:57.000Z,5,C325694880522186,Al Rajhi Bank,"Beni Suef Governorate, El-Sharabia, El-Tahrir St.",Egypt,Spain,Transfer,USD,863335020,18839,20.95,277.88,99.44,28258.5,Transfer,Rejected
2554,1276,336,498,2020-02-08T05:47:54.000Z,2,C274607095329176,Bank of Alexandria,"Cairo Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",Canada,Spain,Shopping,EGP,602408404,13748,60.36,123.88,73.73,20622.0,Transfer,Successful
32554,301,75,257,2024-05-05T21:19:44.000Z,7,C126735976127414,National Commercial Bank (NCB),"Luxor Governorate, Ain Shams, El-Gomhoreya St.",Italy,Egypt,Salary,EGP,326624439,10613,89.03,406.83,86.41,15919.5,Deposit,Rejected
12555,316,508,149,2019-01-20T19:23:22.000Z,2,C284003694374445,Bank of Alexandria,"Cairo Governorate, El-Salam, Port Said St.",Canada,Egypt,Shopping,EUR,238361761,15635,79.54,385.31,86.47,23452.5,Deposit,Successful
22555,1577,139,282,2024-06-10T19:11:27.000Z,4,C817334861689736,Arab African International Bank (AAIB),"Port Said Governorate, Agouza, Salah Salem St.",Australia,France,Shopping,EGP,645224428,9242,69.19,369.45,79.29,13863.0,Transfer,Rejected
7555,1830,512,44,2016-03-01T06:59:20.000Z,4,C105000666527951,Qatar National Bank (QNB),"Asyut Governorate, Garden City, Kasr El-Nil St.",Egypt,Egypt,Transfer,EUR,735550662,4394,44.55,100.3,33.6,6591.0,Withdrawal,Rejected
37555,1490,1745,483,2025-09-27T16:06:15.000Z,7,C933577558352053,Commercial Bank of Dubai,"Cairo Governorate, El-Sharabia, Champollion St.",Lebanon,Australia,Shopping,USD,203491596,5022,34.04,378.05,80.54,7533.0,Transfer,Rejected
27555,203,1035,395,2015-02-22T15:37:20.000Z,2,C276804115252285,First Abu Dhabi Bank Egypt,"Marsa Matrouh Governorate, Faisal, El-Safwa St.",France,Egypt,Transfer,EUR,999838139,2986,97.58,106.48,10.71,4479.0,Withdrawal,Successful
17555,1043,1688,497,2018-02-11T18:48:53.000Z,1,C915488561824781,Arab Investment Bank,"Giza Governorate, Sheikh Zayed, El-Sheikh Rihan St.",Lebanon,Egypt,Shopping,USD,227199201,13095,22.09,238.14,76.27,19642.5,Withdrawal,Successful
47555,39,1319,147,2024-11-23T04:10:35.000Z,3,C147547084135406,Arab Investment Bank,"Fayyum Governorate, El-Haram, El-Nasr St.",Germany,Egypt,Shopping,EGP,146649172,11465,78.88,180.76,72.83,17197.5,Deposit,Successful
42555,75,1247,75,2022-11-08T11:51:12.000Z,1,C839410665645870,Ahli United Bank Kuwait,"Zagazig Governorate, 6th of October, El-Gomhoreya St.",Canada,Germany,Bill Payment,EUR,365429207,15292,72.42,1.76,93.05,22938.0,Transfer,Rejected
32555,1847,1858,412,2024-01-17T07:40:05.000Z,5,C492747448821502,Faisal Islamic Bank of Egypt,"Giza Governorate, Garden City, Ramses St.",Canada,Egypt,Shopping,EUR,975691349,13504,10.64,317.07,73.15,20256.0,Withdrawal,Rejected
2555,1626,163,328,2017-10-05T02:24:42.000Z,5,C477526385092368,Gulf Bank Kuwait,"Damanhur Governorate, Omraneya, Gamal Abdel Nasser St.",Germany,Egypt,Bill Payment,EUR,770727236,4611,76.99,377.88,21.23,6916.5,Withdrawal,Successful
12556,605,1492,437,2016-08-17T02:48:28.000Z,3,C962180510533132,Al Baraka Bank Egypt,"Minya Governorate, Faisal, El-Tahrir St.",Germany,Egypt,Shopping,EUR,496232946,2463,113.77,392.1,32.28,3694.5,Withdrawal,Successful
7556,1151,1361,193,2016-01-06T18:56:07.000Z,1,C201554975075365,Al Rajhi Bank,"Aswan Governorate, El-Tagammu El-Khames, El-Haram St.",Spain,Egypt,Shopping,EGP,108081869,9073,22.29,208.66,92.46,13609.5,Deposit,Rejected
27556,1208,469,387,2017-02-08T14:25:53.000Z,3,C868569802549755,Al Rajhi Bank,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Canada,Egypt,Bill Payment,USD,401577972,15322,7.49,426.8,87.81,22983.0,Deposit,Successful
37556,1674,1141,110,2015-09-21T02:35:58.000Z,2,C130403316114342,Ziad Hussein Saleh Bishara,"Suez Governorate, Shubra, Gamal Abdel Nasser St.",France,Egypt,Transfer,EUR,389268984,12308,100.43,188.14,93.96,18462.0,Withdrawal,Rejected
