trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
4599,214,75,356,2022-05-21T00:10:24.000Z,1,C600323216477454,First Abu Dhabi Bank (FAB),"Port Said Governorate, Zamalek, Salah Salem St.",Canada,Egypt,Salary,EUR,312730422,16142,94.56,406.85,88.16,24213.0,Withdrawal,Successful
24598,891,1594,44,2023-12-22T22:08:26.000Z,4,C693477901515561,BLOM Bank,"Asyut Governorate, Garden City, Kasr El-Nil St.",France,Egypt,Transfer,USD,354580693,19302,106.09,14.77,81.13,28953.0,Withdrawal,Successful
19598,1168,1042,423,2020-10-05T05:23:54.000Z,4,C216941263772178,QNB Al Ahli,"Cairo Governorate, Madinaty, Merghany St.",Egypt,Egypt,Bill Payment,USD,429840069,13131,117.58,185.02,73.63,19696.5,Withdrawal,Successful
14598,1147,792,291,2017-06-15T14:55:15.000Z,10,C150946133635802,Ramy Ragab Hassan Gaber,"Arish Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Saudi Arabia,Germany,Salary,USD,350348315,7155,65.41,40.43,74.39,10732.5,Transfer,Successful
39598,606,7,384,2022-07-11T17:57:46.000Z,2,C477450058544387,First Abu Dhabi Bank (FAB),"Beni Suef Governorate, El-Sharabia, El-Bustan St.",Saudi Arabia,France,Shopping,EUR,112924640,5893,79.46,428.24,70.92,8839.5,Transfer,Rejected
29600,308,212,273,2016-03-02T13:44:32.000Z,1,C167294719118705,Commercial International Bank (CIB),"Mansoura Governorate, Boulak, Champollion St.",Germany,Egypt,Bill Payment,EGP,708190840,19624,111.66,403.57,95.16,29436.0,Withdrawal,Rejected
49600,976,516,133,2024-09-20T23:49:44.000Z,4,C994647816021657,Arab Investment Bank,"Damietta Governorate, Zamalek, Champollion St.",Saudi Arabia,Egypt,Salary,USD,445499242,9837,116.67,431.83,73.72,14755.5,Deposit,Successful
44602,1985,1413,437,2020-06-17T13:04:22.000Z,9,C485298816825079,Saudi National Bank (SNB),"Minya Governorate, Faisal, El-Tahrir St.",Egypt,Canada,Transfer,USD,535308741,10048,98.56,166.62,80.03,15072.0,Transfer,Rejected
9600,876,1403,159,2015-07-19T04:43:32.000Z,11,C481391690307729,Emirates NBD Egypt,"Alexandria Governorate, Omraneya, El-Azhar St.",UAE,Egypt,Shopping,USD,427075421,9005,112.43,394.03,78.38,13507.5,Withdrawal,Rejected
34600,832,670,482,2023-07-04T16:46:50.000Z,4,C884785299533631,Emirates NBD Egypt,"Alexandria Governorate, Badr City, Kasr El-Nil St.",Lebanon,Egypt,Bill Payment,USD,945383296,16219,73.99,11.06,87.84,24328.5,Withdrawal,Rejected
4600,300,775,423,2015-04-23T13:24:29.000Z,11,C636094499614355,Magdy Zidan Hussein Ramadan,"Cairo Governorate, Madinaty, Merghany St.",France,Egypt,Salary,USD,314728794,7412,8.32,391.0,71.48,11118.0,Withdrawal,Rejected
14599,229,1009,67,2025-04-06T06:18:19.000Z,3,C151479793509983,Arab African International Bank (AAIB),"Aswan Governorate, Imbaba, El-Batal Ahmed Abdel Aziz St.",France,Egypt,Shopping,USD,424236449,13946,119.25,144.45,83.87,20919.0,Withdrawal,Rejected
39599,1988,925,411,2025-04-24T10:49:56.000Z,9,C750262388036904,Bank Misr,"Luxor Governorate, Zamalek, Corniche El-Nil St.",Jordan,Egypt,Bill Payment,EGP,543266383,2493,101.32,499.51,7.41,3739.5,Withdrawal,Rejected
24599,1836,951,186,2017-08-11T12:50:47.000Z,1,C963888142470730,Bank Misr,"Tanta Governorate, Garden City, El-Nasr St.",Australia,Egypt,Bill Payment,USD,846625778,14788,23.99,2.03,76.33,22182.0,Withdrawal,Successful
