trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
28571,227,456,168,2022-06-27T07:19:04.000Z,2,C579927316283622,Arab Investment Bank,"Port Said Governorate, Nasr City, El-Galaa St.",USA,Egypt,Bill Payment,EUR,290970676,4083,107.72,108.56,24.57,6124.5,Withdrawal,Rejected
8571,719,1078,85,2018-04-27T17:59:20.000Z,4,C525959913251955,Al Ahly Bank,"Asyut Governorate, Ain Shams, Champollion St.",USA,Egypt,Transfer,USD,752157477,17601,5.72,140.5,77.0,26401.5,Deposit,Successful
18571,1053,816,272,2021-05-05T23:14:51.000Z,5,C565102233091209,Dubai Islamic Bank,"Damietta Governorate, El-Shorouk, Port Said St.",UAE,Egypt,Shopping,EGP,598611080,6144,38.71,243.71,71.53,9216.0,Withdrawal,Successful
23571,964,89,263,2024-10-19T17:36:10.000Z,5,C865811704276915,Noha Hilal Lotfy Zaher,"Giza Governorate, 6th of October, Salah Salem St.",Egypt,Egypt,Transfer,USD,975215567,7210,37.53,31.41,76.67,10815.0,Deposit,Rejected
38571,1867,408,5,2015-05-23T09:21:11.000Z,4,C902709246789102,Arab African International Bank (AAIB),"Damietta Governorate, Maadi, Adly St.",Egypt,Egypt,Transfer,USD,309889762,2161,25.47,220.16,10.6,3241.5,Withdrawal,Successful
33571,1246,1618,454,2018-07-14T12:48:18.000Z,7,C793752739253730,Abu Dhabi Islamic Bank (ADIB),"Alexandria Governorate, El-Shorouk, El-Ahrar St.",Jordan,France,Salary,EGP,225044107,19171,67.02,4.96,97.85,28756.5,Transfer,Successful
48571,774,1078,155,2017-07-28T23:55:44.000Z,2,C622880689493135,Suez Canal Bank,"Fayyum Governorate, Maadi, El-Ahrar St.",France,Egypt,Shopping,USD,402821834,11526,85.0,63.29,87.26,17289.0,Deposit,Rejected
43571,1587,300,324,2024-09-16T04:07:27.000Z,6,C695315828720763,Dubai Islamic Bank,"Aswan Governorate, El-Shorouk, Champollion St.",Italy,Germany,Transfer,EUR,635777699,580,13.33,41.65,2.78,870.0,Transfer,Rejected
3571,1954,718,217,2017-09-25T15:53:44.000Z,7,C606009733010677,National Commercial Bank (NCB),"Ismailia Governorate, Zamalek, Emad El-Din St.",USA,Egypt,Salary,EGP,929156766,10718,13.47,246.41,99.92,16077.0,Deposit,Successful
13572,715,1868,247,2020-06-12T07:35:18.000Z,2,C803501213316494,BLOM Bank,"Damanhur Governorate, Rehab City, El-Sheikh Rihan St.",Italy,Egypt,Salary,EUR,856023640,13113,29.06,229.37,78.16,19669.5,Withdrawal,Rejected
28572,560,1051,53,2025-07-20T08:10:54.000Z,7,C718001867160916,Qatar National Bank (QNB),"Aswan Governorate, New Cairo, Emad El-Din St.",Italy,Egypt,Salary,EUR,185035834,10041,6.6,92.79,91.27,15061.5,Withdrawal,Rejected
18572,448,906,57,2016-01-01T21:06:02.000Z,5,C358586243939699,Ahli United Bank Egypt,"Ismailia Governorate, Imbaba, El-Nasr St.",Italy,UK,Bill Payment,EUR,627685387,17249,18.08,227.41,77.38,25873.5,Transfer,Rejected
23572,352,723,152,2025-09-25T14:43:09.000Z,7,C519818602009498,Mashreq Bank,"Arish Governorate, Omraneya, Salah Salem St.",Jordan,Egypt,Transfer,USD,867928320,16406,0.37,384.88,86.92,24609.0,Withdrawal,Successful
8572,1713,595,96,2015-02-25T19:04:41.000Z,3,C396340903215074,QNB Al Ahli,"Shubra El-Kheima Governorate, El-Basatin, El-Bustan St.",France,Canada,Bill Payment,EGP,370669362,11206,79.85,53.21,78.34,16809.0,Transfer,Successful
38572,1185,1798,39,2021-01-28T03:36:34.000Z,4,C439066124138494,Bank Misr,"New Valley Governorate, El-Salam, El-Gomhoreya St.",USA,Italy,Transfer,EUR,482182542,7517,78.32,301.7,88.23,11275.5,Transfer,Successful
