trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12254,257,1073,411,2023-05-28T01:41:24.000Z,2,C575243431785037,Al Rajhi Bank,"Luxor Governorate, Zamalek, Corniche El-Nil St.",Saudi Arabia,Egypt,Bill Payment,EUR,534682629,8946,52.44,41.8,78.29,13419.0,Deposit,Successful
17254,936,1492,427,2018-10-08T08:21:27.000Z,1,C106667954131477,Arab Investment Bank,"Luxor Governorate, Heliopolis, El-Ahrar St.",UK,Egypt,Bill Payment,USD,700286820,12478,84.83,245.21,97.44,18717.0,Withdrawal,Successful
7254,1375,157,498,2021-05-24T12:09:43.000Z,6,C305290971398564,Ahli Bank of Qatar,"Cairo Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",Saudi Arabia,Egypt,Transfer,EUR,441891063,18006,50.19,228.87,95.91,27009.0,Deposit,Rejected
22254,1732,633,489,2017-01-06T00:39:50.000Z,7,C647497043382892,Arab Jordan Investment Bank,"Beni Suef Governorate, El-Salam, El-Galaa St.",Egypt,Germany,Salary,EUR,772180101,5169,59.11,112.11,70.73,7753.5,Transfer,Rejected
37254,1180,564,372,2022-01-10T17:11:03.000Z,1,C727322225629780,National Bank of Kuwait,"New Valley Governorate, El-Shorouk, El-Ahrar St.",UK,Italy,Transfer,EGP,639440809,17920,97.9,141.34,88.66,26880.0,Transfer,Rejected
27254,1423,508,431,2017-11-07T13:33:48.000Z,4,C908328382390410,Bank of Alexandria,"Ismailia Governorate, El-Salam, Emad El-Din St.",UAE,Egypt,Transfer,EUR,231995839,8590,30.69,484.72,95.79,12885.0,Deposit,Rejected
32254,106,1562,335,2021-06-07T15:03:28.000Z,5,C325387133416336,Aya Amer Ibrahim Dahab,"Suez Governorate, El-Salam, El-Ahrar St.",Saudi Arabia,Egypt,Salary,USD,576163303,956,107.57,294.08,32.83,1434.0,Withdrawal,Rejected
2254,1738,398,193,2016-11-09T09:12:03.000Z,1,C324187468705253,Banque du Caire,"Aswan Governorate, El-Tagammu El-Khames, El-Haram St.",Germany,Egypt,Salary,EUR,118143991,3035,57.17,433.61,4.33,4552.5,Deposit,Rejected
42254,257,1073,35,2024-04-24T00:28:45.000Z,1,C920099562471439,Byblos Bank,"Alexandria Governorate, El-Shorouk, Cleopatra St.",Italy,USA,Shopping,USD,342741097,4188,32.88,496.38,37.46,6282.0,Transfer,Successful
47254,1249,1272,313,2015-12-03T04:06:34.000Z,1,C967512008679898,Arab African International Bank (AAIB),"Damanhur Governorate, Sheikh Zayed, Port Said St.",Germany,Australia,Salary,EGP,237393882,10413,79.33,189.89,80.37,15619.5,Transfer,Rejected
12255,658,1484,115,2023-01-01T05:16:42.000Z,6,C618271874193582,Emirates NBD,"Aswan Governorate, Maadi, Abbas El-Akkad St.",Italy,Egypt,Shopping,EUR,890740860,8435,59.04,492.11,95.0,12652.5,Deposit,Successful
22255,1415,1489,288,2020-02-06T22:20:11.000Z,4,C339275192760046,Kuwait Finance House,"Fayyum Governorate, Hadayek El-Qobba, El-Bustan St.",UK,Egypt,Bill Payment,EGP,818479087,18721,119.3,330.44,73.75,28081.5,Withdrawal,Rejected
17255,469,1921,180,2022-06-11T11:31:54.000Z,5,C266277194407497,Arab African International Bank (AAIB),"Qena Governorate, Imbaba, Adly St.",Spain,Egypt,Shopping,EUR,897120823,10693,28.73,224.95,82.69,16039.5,Withdrawal,Successful
27255,475,482,235,2017-09-10T19:07:52.000Z,5,C844275628429926,Emirates NBD,"Shubra El-Kheima Governorate, Imbaba, El-Safwa St.",UK,Canada,Transfer,USD,276490247,13004,50.64,282.68,98.8,19506.0,Transfer,Rejected
7255,540,502,259,2018-07-07T13:05:16.000Z,6,C529718043282496,National Bank of Egypt,"Marsa Matrouh Governorate, El-Salam, Talaat Harb St.",Italy,Egypt,Salary,EUR,272546056,10292,91.59,384.69,92.96,15438.0,Deposit,Rejected
37255,1274,1628,145,2016-01-10T02:38:28.000Z,4,C444492913925692,Wael Bishara Sayed Ismail,"Shubra El-Kheima Governorate, El-Obour City, El-Mohandiseen St.",Spain,Spain,Shopping,EGP,544324741,1741,109.4,388.66,35.69,2611.5,Transfer,Successful
32255,1356,607,383,2020-06-21T10:58:11.000Z,5,C963818308854673,HSBC,"Port Said Governorate, Faisal, El-Batal Ahmed Abdel Aziz St.",Jordan,Egypt,Transfer,USD,986149528,13483,25.54,251.66,78.01,20224.5,Deposit,Rejected
47255,1218,1250,431,2016-12-30T14:38:14.000Z,2,C994814831120139,Osama Naguib Wahba Mohamed,"Ismailia Governorate, El-Salam, Emad El-Din St.",Jordan,Egypt,Transfer,EUR,615886450,17085,86.92,466.02,74.28,25627.5,Withdrawal,Successful
42255,1514,1569,386,2024-04-27T07:16:08.000Z,4,C153999109207873,Al Ahly Bank,"Mansoura Governorate, Zamalek, Kasr El-Nil St.",Jordan,Egypt,Bill Payment,EGP,246007921,3334,7.17,1.31,27.94,5001.0,Deposit,Successful
2255,787,1332,27,2023-01-10T15:04:56.000Z,4,C339539309164790,Emirates NBD,"Marsa Matrouh Governorate, El-Salam, Port Said St.",UK,Egypt,Salary,EGP,417014909,12505,113.62,496.87,76.06,18757.5,Withdrawal,Rejected
12256,1722,604,264,2025-08-29T12:23:28.000Z,5,C358300289977162,Emirates NBD,"Alexandria Governorate, Nasr City, El-Tahrir St.",Egypt,USA,Shopping,USD,748902397,2836,29.29,429.95,2.59,4254.0,Transfer,Successful
7256,1578,189,471,2023-04-13T02:06:02.000Z,5,C741725839419260,Saudi National Bank (SNB),"Ismailia Governorate, New Cairo, Gamal Abdel Nasser St.",USA,Egypt,Shopping,EGP,292732015,9018,32.0,52.4,88.85,13527.0,Deposit,Successful
17256,511,475,231,2022-05-29T17:24:19.000Z,2,C390268055523749,Arab African International Bank (AAIB),"Alexandria Governorate, Omraneya, Kasr El-Nil St.",France,Egypt,Transfer,EGP,793405607,18181,108.54,371.11,78.64,27271.5,Withdrawal,Rejected
27256,677,376,448,2019-11-20T22:39:10.000Z,2,C202150205698464,Ahli United Bank Kuwait,"Beni Suef Governorate, Matareya, El-Tahrir St.",Germany,Egypt,Transfer,EGP,576669585,17621,25.21,50.17,93.38,26431.5,Withdrawal,Rejected
