trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
42433,1406,1307,254,2019-11-25T23:07:36.000Z,1,C129211379365407,Kuwait Finance House,"Minya Governorate, Heliopolis, Port Said St.",UK,USA,Transfer,USD,638057402,4971,96.62,306.86,25.77,7456.5,Transfer,Successful
2433,651,523,367,2015-06-26T22:59:15.000Z,1,C393639711307718,Fransabank,"Zagazig Governorate, Omraneya, El-Azhar St.",UK,Spain,Transfer,EGP,167451976,11862,32.54,183.76,91.03,17793.0,Transfer,Successful
47433,1662,1198,346,2020-05-02T00:01:40.000Z,2,C337721679312961,Alaa Nofal Zaher Okasha,"New Valley Governorate, El-Haram, Emad El-Din St.",Saudi Arabia,Egypt,Shopping,EGP,580229204,17176,44.2,283.73,76.14,25764.0,Withdrawal,Successful
32433,1277,1040,139,2020-01-05T11:42:40.000Z,2,C280459546966441,Al Baraka Bank Egypt,"New Valley Governorate, Madinaty, Champollion St.",Saudi Arabia,Egypt,Bill Payment,USD,877369907,3592,72.42,396.06,33.54,5388.0,Withdrawal,Successful
12434,961,1768,298,2026-04-18T00:35:12.000Z,6,C418395606914723,Lebanese French Bank (LFB),"Port Said Governorate, Matareya, El-Galaa St.",Egypt,Egypt,Bill Payment,EUR,241005070,910,88.47,378.63,29.9,1365.0,Deposit,Rejected
7434,980,1894,137,2015-04-28T06:32:11.000Z,2,C403371048966407,Mashreq Bank,"Asyut Governorate, Nasr City, El-Galaa St.",Spain,Egypt,Bill Payment,EGP,211392771,6746,90.78,6.35,87.5,10119.0,Deposit,Rejected
37434,10,1560,142,2018-08-17T21:55:06.000Z,6,C608200509337374,Ibrahim Farouk Amer Mohamed,"Beni Suef Governorate, El-Sharabia, El-Tahrir St.",USA,Egypt,Bill Payment,USD,415821016,19213,22.36,374.64,99.96,28819.5,Withdrawal,Successful
17434,1533,65,30,2023-09-19T16:22:21.000Z,5,C897849964905112,Al Ahly Bank,"Damanhur Governorate, Dokki, El-Ahrar St.",Italy,France,Transfer,EUR,418729698,15775,54.9,487.22,80.42,23662.5,Transfer,Successful
22434,749,1477,77,2018-04-10T06:32:52.000Z,3,C917073484475191,Bank of Alexandria,"Minya Governorate, Shubra, Mohamed Naguib St.",Saudi Arabia,Egypt,Transfer,EUR,146363775,5042,92.07,35.76,96.82,7563.0,Withdrawal,Successful
27434,1547,1405,9,2016-11-01T08:17:01.000Z,7,C999943847246402,Gulf Bank Kuwait,"Aswan Governorate, Hadayek El-Qobba, Salah Salem St.",Italy,Egypt,Shopping,EGP,782439837,19631,72.42,493.68,92.7,29446.5,Deposit,Rejected
32434,3,1131,179,2022-06-07T03:17:16.000Z,3,C403714272659087,Fransabank,"Suez Governorate, Sheikh Zayed, El-Haram St.",Germany,Canada,Bill Payment,USD,474533158,8930,51.56,462.63,78.65,13395.0,Transfer,Rejected
2434,292,768,492,2019-06-18T16:46:51.000Z,5,C466167573009019,First Abu Dhabi Bank Egypt,"Zagazig Governorate, Omraneya, Emad El-Din St.",Australia,Egypt,Shopping,EGP,458631886,1247,37.44,450.62,32.64,1870.5,Deposit,Successful
42434,1238,553,36,2019-10-19T02:17:40.000Z,2,C728825251641778,Ahli United Bank Egypt,"Tanta Governorate, Shubra, El-Safwa St.",Australia,UK,Transfer,EUR,641295181,11409,22.43,26.0,83.63,17113.5,Transfer,Successful
47434,1386,645,95,2022-10-15T01:01:01.000Z,5,C387555098828675,Arab Investment Bank,"Arish Governorate, 6th of October, Kasr El-Nil St.",Egypt,Egypt,Bill Payment,USD,614722018,6503,64.13,483.56,96.66,9754.5,Withdrawal,Rejected
12435,1752,1125,202,2018-06-24T13:15:11.000Z,5,C127471714522705,Commercial International Bank (CIB),"Cairo Governorate, El-Salam, Salah Salem St.",Saudi Arabia,Egypt,Salary,USD,981111158,13892,50.42,390.54,98.1,20838.0,Withdrawal,Rejected
17435,392,578,333,2017-07-30T00:03:32.000Z,7,C669046890353361,National Bank of Kuwait,"Cairo Governorate, El-Sharabia, El-Tahrir St.",Saudi Arabia,Egypt,Shopping,EGP,988088554,2099,67.04,160.83,27.92,3148.5,Deposit,Successful
7435,521,1462,69,2021-05-26T08:57:10.000Z,7,C770265786940597,Dina Okasha Morsy Ragab,"Beni Suef Governorate, Madinaty, Talaat Harb St.",Australia,Italy,Salary,EUR,383172349,4452,47.76,414.07,30.45,6678.0,Transfer,Successful
37435,265,1083,49,2020-07-11T02:24:14.000Z,7,C570404122500217,BLOM Bank,"Damanhur Governorate, New Cairo, Abbas El-Akkad St.",Lebanon,Egypt,Transfer,EUR,258345544,4757,17.41,486.28,24.37,7135.5,Withdrawal,Successful
27435,962,81,435,2018-03-19T02:33:25.000Z,3,C315878176227601,Saudi National Bank (SNB),"Shubra El-Kheima Governorate, El-Salam, Champollion St.",USA,Egypt,Transfer,EGP,209551759,14866,41.35,313.0,76.29,22299.0,Deposit,Successful
22435,1548,1799,367,2016-10-22T23:35:14.000Z,2,C327652063813699,Emirates NBD Egypt,"Zagazig Governorate, Omraneya, El-Azhar St.",Egypt,Egypt,Shopping,EUR,664072291,942,103.0,223.43,35.84,1413.0,Deposit,Rejected
32435,1996,426,346,2021-09-21T23:45:54.000Z,2,C915716458853182,Qatar National Bank (QNB),"New Valley Governorate, El-Haram, Emad El-Din St.",USA,Egypt,Bill Payment,EGP,978100485,12118,7.11,39.1,92.58,18177.0,Deposit,Successful
47435,1750,382,132,2018-04-11T12:26:01.000Z,4,C879941983181739,Dubai Islamic Bank,"Shubra El-Kheima Governorate, Shubra, El-Orouba St.",Saudi Arabia,Egypt,Salary,EGP,110812447,914,17.63,247.44,25.26,1371.0,Deposit,Successful
2435,1102,1401,53,2019-10-04T20:55:56.000Z,1,C175194869646236,Yahya Saleh Rashid Zidan,"Aswan Governorate, New Cairo, Emad El-Din St.",Jordan,Egypt,Bill Payment,EGP,264427976,18431,31.71,213.61,80.89,27646.5,Deposit,Successful
42435,1130,1738,59,2019-03-29T10:19:00.000Z,6,C675566167444169,Ahli United Bank Egypt,"Qena Governorate, Madinaty, El-Orouba St.",Germany,Egypt,Salary,USD,433530404,4141,88.35,366.42,24.85,6211.5,Deposit,Successful
12436,1419,927,431,2020-06-29T10:41:29.000Z,4,C504727953550826,Hana Bishara Badr Zidan,"Ismailia Governorate, El-Salam, Emad El-Din St.",Lebanon,Egypt,Salary,USD,406196891,10777,101.3,491.13,90.34,16165.5,Withdrawal,Rejected
37436,1043,1433,85,2022-12-25T16:45:30.000Z,4,C199876565158269,Mona Hussein Nofal Amer,"Asyut Governorate, Ain Shams, Champollion St.",Saudi Arabia,Egypt,Transfer,EGP,991931374,9671,83.16,388.58,80.21,14506.5,Withdrawal,Rejected
22436,989,1669,121,2018-03-17T22:21:43.000Z,2,C612347599820036,First Abu Dhabi Bank (FAB),"Arish Governorate, El-Basatin, Makram Ebeid St.",Lebanon,Egypt,Salary,EUR,195474752,1013,92.16,168.96,38.06,1519.5,Withdrawal,Rejected
27436,208,334,55,2023-12-18T08:57:35.000Z,6,C833513765834335,Arab Bank,"Hurghada Governorate, 6th of October, Merghany St.",Jordan,Egypt,Salary,EGP,436549852,896,65.99,396.07,6.86,1344.0,Withdrawal,Successful
17436,1370,434,262,2021-04-25T15:50:41.000Z,1,C835310708267516,Shereen Saad Bishara Khalil,"Arish Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Germany,Egypt,Salary,EGP,468718730,6400,4.01,499.21,80.16,9600.0,Deposit,Successful
