trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
10834,1099,217,460,2023-11-11T15:28:59.000Z,5,C289926414031196,Banque Saudi Fransi,"Marsa Matrouh Governorate, El-Obour City, Salah Salem St.",USA,Egypt,Shopping,EUR,199912073,1252,45.59,37.56,35.29,1878.0,Withdrawal,Rejected
15834,200,663,56,2020-10-19T00:05:58.000Z,5,C712086711340470,Bank Misr,"Alexandria Governorate, El-Haram, El-Safwa St.",Italy,Egypt,Shopping,USD,428454772,16848,94.01,45.13,76.62,25272.0,Withdrawal,Rejected
20834,36,732,450,2022-01-28T21:06:33.000Z,4,C139542738685728,Ayman Zidan Ali Shahin,"Ismailia Governorate, Mohandiseen, Adly St.",Spain,Germany,Salary,EUR,517845378,7856,21.65,344.05,90.3,11784.0,Transfer,Rejected
5834,1993,190,276,2018-03-06T00:00:34.000Z,6,C823896246854054,Jordan Ahli Bank,"Port Said Governorate, Matareya, Mohamed Naguib St.",Canada,Egypt,Bill Payment,EUR,536009188,7523,16.83,288.42,93.96,11284.5,Withdrawal,Rejected
25834,577,307,143,2018-12-13T14:58:52.000Z,6,C252794034423320,Banque du Caire,"Beni Suef Governorate, El-Basatin, Makram Ebeid St.",Australia,Spain,Bill Payment,EUR,329055200,16023,84.21,240.06,87.91,24034.5,Transfer,Successful
35834,545,359,430,2024-09-14T11:49:02.000Z,4,C401771380615273,Shimaa Helal Lotfy Shafik,"Zagazig Governorate, Boulak, El-Azhar St.",Saudi Arabia,Egypt,Transfer,EUR,422968921,16685,27.7,390.21,72.29,25027.5,Withdrawal,Successful
30834,200,491,51,2017-04-10T18:36:32.000Z,1,C531286370450535,First Abu Dhabi Bank Egypt,"New Valley Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",Italy,Egypt,Bill Payment,EUR,362017515,3729,51.15,151.46,39.95,5593.5,Withdrawal,Rejected
834,112,250,192,2020-12-14T20:07:57.000Z,4,C857418533347326,Kuwait Finance House,"Alexandria Governorate, Faisal, Corniche El-Nil St.",USA,Egypt,Bill Payment,EUR,257795635,4572,90.21,109.79,38.0,6858.0,Withdrawal,Successful
40834,1947,1982,61,2022-08-29T17:05:05.000Z,5,C204707420727644,Dubai Islamic Bank,"Cairo Governorate, Garden City, El-Sheikh Rihan St.",Lebanon,Egypt,Shopping,EGP,614530972,6809,32.58,390.93,78.05,10213.5,Withdrawal,Rejected
45834,363,1858,368,2015-01-07T10:07:01.000Z,6,C411932042692717,BLOM Bank,"Tanta Governorate, El-Basatin, Emad El-Din St.",Egypt,Egypt,Bill Payment,USD,692407870,14993,105.3,458.61,87.8,22489.5,Withdrawal,Rejected
10835,460,119,180,2019-02-17T18:16:24.000Z,4,C643923671884029,Jordan Ahli Bank,"Qena Governorate, Imbaba, Adly St.",Canada,Egypt,Transfer,EUR,121649268,4076,90.37,380.49,20.95,6114.0,Deposit,Successful
20835,381,1298,12,2023-06-24T03:51:27.000Z,7,C957688763112686,Alaa Amer Tantawy Naguib,"Beni Suef Governorate, Sheikh Zayed, El-Nasr St.",Saudi Arabia,Egypt,Transfer,USD,320530177,4231,104.87,88.04,34.84,6346.5,Deposit,Successful
25835,776,1144,368,2022-10-26T23:26:36.000Z,5,C275869506395304,Arab African International Bank (AAIB),"Tanta Governorate, El-Basatin, Emad El-Din St.",UK,Egypt,Transfer,EGP,336354456,3887,117.06,120.49,9.82,5830.5,Deposit,Rejected
15835,354,1784,333,2022-12-11T12:48:06.000Z,5,C286942800345882,Arab Investment Bank,"Cairo Governorate, El-Sharabia, El-Tahrir St.",Lebanon,Egypt,Salary,EGP,540350445,7748,29.82,4.56,71.3,11622.0,Deposit,Rejected
5835,742,1837,129,2023-10-03T22:35:26.000Z,6,C693312012333539,Qatar National Bank (QNB),"Giza Governorate, Imbaba, Champollion St.",France,Spain,Salary,USD,308215628,6924,31.31,417.24,74.48,10386.0,Transfer,Rejected
35835,723,949,332,2025-04-23T03:23:13.000Z,5,C879008319293103,Saudi National Bank (SNB),"Sohag Governorate, 6th of October, Emad El-Din St.",Canada,UK,Salary,USD,538497233,9155,119.12,467.84,80.15,13732.5,Transfer,Rejected
40835,802,1776,280,2020-03-04T13:58:10.000Z,7,C818272475787073,National Bank of Kuwait,"Hurghada Governorate, 6th of October, Champollion St.",Australia,Egypt,Bill Payment,EUR,117953629,18032,72.45,211.22,90.61,27048.0,Withdrawal,Successful
45835,266,1507,243,2017-05-26T21:42:56.000Z,3,C169266846476182,Byblos Bank,"Zagazig Governorate, El-Obour City, Merghany St.",Saudi Arabia,Egypt,Salary,EUR,443992098,421,53.85,333.68,10.55,631.5,Withdrawal,Successful
835,977,1159,343,2016-04-11T01:37:51.000Z,5,C270775712952391,Fransabank,"Cairo Governorate, El-Tagammu El-Khames, El-Galaa St.",USA,Spain,Salary,EUR,860597868,17465,89.11,43.68,86.57,26197.5,Transfer,Successful
30835,728,1295,388,2019-07-28T16:32:43.000Z,7,C740211114383903,Jordan Ahli Bank,"Asyut Governorate, El-Shorouk, El-Azhar St.",Spain,Egypt,Shopping,USD,327929070,16101,2.88,254.27,90.59,24151.5,Withdrawal,Successful
10836,87,362,478,2018-10-09T10:54:25.000Z,5,C124076169059225,Arab Bank,"Beni Suef Governorate, El-Haram, El-Haram St.",Egypt,Egypt,Transfer,EUR,386452712,10300,112.29,118.25,91.17,15450.0,Deposit,Successful
25836,406,1327,200,2016-10-30T21:44:26.000Z,7,C805072596638247,Mariam Dahab Sobhi Tantawy,"Zagazig Governorate, New Cairo, El-Gomhoreya St.",Saudi Arabia,Australia,Salary,EUR,240140794,11211,119.54,436.43,99.8,16816.5,Transfer,Rejected
