trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12733,1864,1758,387,2016-10-17T12:48:56.000Z,5,C634385933406745,Al Rajhi Bank,"Ismailia Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Jordan,Spain,Transfer,USD,214965651,4990,0.39,330.44,18.06,7485.0,Transfer,Successful
17733,484,1686,211,2019-01-19T00:06:36.000Z,2,C341480227871418,Fady Badr Dahab Othman,"Aswan Governorate, El-Salam, El-Alfy St.",Egypt,Egypt,Transfer,EUR,996291568,5262,64.6,267.95,73.47,7893.0,Withdrawal,Successful
7733,799,1864,180,2023-04-30T03:38:08.000Z,2,C226414537959015,Al Ahly Bank,"Qena Governorate, Imbaba, Adly St.",France,Germany,Salary,EUR,718567742,3875,22.83,355.0,31.75,5812.5,Transfer,Rejected
27733,948,692,240,2025-06-01T18:40:52.000Z,7,C789003182738045,Riyad Bank,"Damietta Governorate, Mohandiseen, Adly St.",Lebanon,Italy,Salary,EUR,246775030,16107,54.9,463.7,81.1,24160.5,Transfer,Rejected
37733,1308,1757,45,2024-05-26T04:38:23.000Z,5,C319508815600533,Jordan Ahli Bank,"Alexandria Governorate, Garden City, Abbas El-Akkad St.",Italy,Egypt,Transfer,USD,346444222,727,91.1,64.09,26.01,1090.5,Deposit,Successful
22733,24,840,95,2016-07-17T17:03:48.000Z,5,C251797033833850,Ahli United Bank Egypt,"Arish Governorate, 6th of October, Kasr El-Nil St.",Canada,Egypt,Shopping,USD,680698684,14713,111.36,425.42,98.91,22069.5,Deposit,Successful
2733,25,370,78,2019-05-23T13:09:44.000Z,6,C898605569336196,Abu Dhabi Islamic Bank (ADIB),"Aswan Governorate, El-Basatin, El-Gomhoreya St.",Lebanon,Egypt,Salary,EGP,844581852,2124,64.82,328.45,33.83,3186.0,Withdrawal,Successful
32733,377,1684,245,2015-09-17T16:57:24.000Z,5,C798798866293062,Al Ahly Bank,"Aswan Governorate, Badr City, Abbas El-Akkad St.",Jordan,Italy,Shopping,USD,755287756,1233,17.12,64.6,1.86,1849.5,Transfer,Rejected
42733,1396,603,261,2016-09-19T12:31:21.000Z,5,C512984228262138,Arab National Bank,"Zagazig Governorate, Agouza, El-Alfy St.",USA,Egypt,Shopping,EUR,867151619,8515,55.36,288.57,87.92,12772.5,Withdrawal,Rejected
47733,697,889,149,2024-02-04T09:09:02.000Z,1,C277123629672636,Abu Dhabi Islamic Bank (ADIB),"Cairo Governorate, El-Salam, Port Said St.",UAE,Egypt,Salary,EGP,468121047,2490,20.57,21.13,28.42,3735.0,Withdrawal,Successful
12734,821,268,231,2015-04-30T17:57:36.000Z,3,C511293814149444,Egyptian Arab Land Bank,"Alexandria Governorate, Omraneya, Kasr El-Nil St.",Saudi Arabia,Egypt,Salary,EUR,650853622,4468,10.72,369.64,1.26,6702.0,Withdrawal,Successful
22734,1316,1283,182,2025-10-13T09:47:22.000Z,5,C103026497704148,Kuwait Finance House,"Qena Governorate, Mohandiseen, Champollion St.",Lebanon,France,Bill Payment,USD,918412579,17848,39.33,81.2,95.67,26772.0,Transfer,Rejected
7734,233,112,382,2020-03-17T08:06:56.000Z,5,C715100314234602,Commercial Bank of Qatar,"Fayyum Governorate, Hadayek El-Qobba, Port Said St.",France,Egypt,Shopping,EGP,485793545,15073,19.78,19.99,77.37,22609.5,Deposit,Rejected
37734,95,1552,98,2025-07-07T16:41:39.000Z,1,C415241237962861,Riyad Bank,"Aswan Governorate, Omraneya, Ramses St.",USA,Egypt,Transfer,EUR,340246032,7222,83.75,309.03,71.04,10833.0,Withdrawal,Rejected
27734,1896,959,328,2019-12-23T15:33:24.000Z,1,C349081550315021,Qatar National Bank (QNB),"Damanhur Governorate, Omraneya, Gamal Abdel Nasser St.",USA,Egypt,Bill Payment,USD,446199740,11616,35.65,322.32,91.68,17424.0,Deposit,Rejected
17734,1702,1249,257,2025-06-12T04:35:35.000Z,4,C276956306924053,Mohamed Farhat Nasser Morsy,"Luxor Governorate, Ain Shams, El-Gomhoreya St.",Germany,USA,Salary,USD,455261467,4202,0.82,403.04,37.82,6303.0,Transfer,Successful
2734,1834,1513,328,2017-11-12T01:10:03.000Z,7,C626122438299340,Al Rajhi Bank,"Damanhur Governorate, Omraneya, Gamal Abdel Nasser St.",USA,Egypt,Shopping,USD,284307499,7049,43.19,495.78,82.63,10573.5,Deposit,Successful
47734,1964,1780,286,2024-04-28T20:57:11.000Z,3,C998682306713794,Qatar National Bank (QNB),"Mansoura Governorate, El-Marg, Kasr El-Nil St.",Spain,Germany,Shopping,USD,196799590,2268,118.22,454.78,12.45,3402.0,Transfer,Successful
32734,1604,431,260,2018-06-14T20:02:15.000Z,4,C728461673725280,Lobna Farouk Qassem Gaber,"Cairo Governorate, Dokki, El-Alfy St.",Canada,Egypt,Shopping,EGP,679809926,9729,113.75,256.41,96.54,14593.5,Deposit,Rejected
42734,1541,11,421,2025-12-17T03:01:41.000Z,2,C827530854326419,Jordan Ahli Bank,"Mansoura Governorate, El-Marg, El-Ahrar St.",Canada,Egypt,Bill Payment,USD,779984984,4730,29.73,386.59,33.82,7095.0,Withdrawal,Successful
12735,624,499,191,2019-03-28T09:26:14.000Z,6,C314583406952680,First Abu Dhabi Bank Egypt,"Tanta Governorate, Ain Shams, Merghany St.",Lebanon,Canada,Transfer,EUR,787378513,7971,108.75,178.11,87.4,11956.5,Transfer,Rejected
