trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
25001,353,715,229,2015-04-07T22:51:30.000Z,5,C267166721490800,Arab Investment Bank,"Ismailia Governorate, Omraneya, Salah Salem St.",Germany,Canada,Salary,USD,439943510,2522,38.18,343.32,0.03,3783.0,Transfer,Rejected
40001,549,891,296,2025-06-16T22:38:48.000Z,5,C322189967656713,Ahli United Bank Egypt,"Arish Governorate, Faisal, Mohamed Naguib St.",Jordan,UK,Salary,USD,219642537,11913,43.98,131.3,90.1,17869.5,Transfer,Successful
5001,1720,1514,32,2016-10-25T07:59:23.000Z,8,C782050006328678,Riyad Bank,"Damietta Governorate, Garden City, Gamal Abdel Nasser St.",Jordan,Canada,Salary,EUR,896046329,6262,77.13,487.22,99.09,9393.0,Transfer,Successful
30001,523,60,412,2018-02-17T19:59:27.000Z,4,C302097452084687,QNB Al Ahli,"Giza Governorate, Garden City, Ramses St.",Germany,Germany,Transfer,USD,416733602,7258,56.21,2.34,79.3,10887.0,Transfer,Successful
45001,1492,1731,126,2018-11-09T22:34:13.000Z,11,C464589333314320,Saudi National Bank (SNB),"Marsa Matrouh Governorate, 6th of October, Port Said St.",Australia,Egypt,Bill Payment,EUR,889626654,8554,6.59,467.72,82.74,12831.0,Withdrawal,Successful
35001,1604,431,179,2026-03-06T01:35:02.000Z,1,C977652182755987,Housing and Development Bank (HDB),"Suez Governorate, Sheikh Zayed, El-Haram St.",Saudi Arabia,Egypt,Shopping,EGP,407499212,9792,0.06,320.2,92.89,14688.0,Deposit,Rejected
10001,221,1033,469,2024-11-08T02:23:46.000Z,2,C835123684660096,Byblos Bank,"Luxor Governorate, Badr City, Sudan St.",Germany,Egypt,Shopping,EGP,432629497,15178,104.0,191.77,86.89,22767.0,Withdrawal,Rejected
15001,1207,1336,166,2016-05-12T21:32:00.000Z,5,C903397791959220,Al Rajhi Bank,"Giza Governorate, Ain Shams, El-Batal Ahmed Abdel Aziz St.",Canada,Australia,Salary,USD,333345027,11960,60.26,212.73,91.49,17940.0,Transfer,Successful
20001,737,797,321,2015-04-23T21:19:31.000Z,9,C876117119336098,Suez Canal Bank,"Alexandria Governorate, Mohandiseen, El-Galaa St.",Germany,Egypt,Bill Payment,EGP,986688431,8312,95.84,274.61,90.91,12468.0,Deposit,Successful
40002,1860,1949,128,2021-01-31T11:00:02.000Z,6,C857725802517507,Ayman Ali Galal Wahba,"Qena Governorate, Nasr City, Mohamed Naguib St.",Lebanon,Egypt,Transfer,EUR,121230850,13359,103.83,182.6,85.6,20038.5,Withdrawal,Successful
45002,991,1838,167,2016-08-04T11:25:01.000Z,9,C890832766209022,Al Baraka Bank Egypt,"Sohag Governorate, Agouza, El-Galaa St.",USA,UK,Salary,EGP,671614034,8043,31.11,13.06,91.73,12064.5,Transfer,Rejected
30002,1033,69,243,2019-09-07T06:58:20.000Z,4,C482025013561771,Riyad Bank,"Zagazig Governorate, El-Obour City, Merghany St.",UAE,UK,Bill Payment,USD,841641262,8611,46.57,176.82,79.16,12916.5,Transfer,Successful
5002,876,1403,464,2016-05-29T15:23:32.000Z,10,C166178050649641,Arab Investment Bank,"Minya Governorate, Matareya, Champollion St.",USA,Egypt,Transfer,USD,438319543,17786,78.44,291.92,90.14,26679.0,Deposit,Successful
25002,108,1,449,2015-04-11T10:48:56.000Z,10,C584810913099039,Arab Investment Bank,"Sohag Governorate, Zamalek, Champollion St.",Egypt,Egypt,Shopping,EGP,404117806,16428,36.84,328.92,97.29,24642.0,Withdrawal,Rejected
1,1857,967,54,2020-09-11T07:13:11.000Z,8,C603540110671776,Fransabank,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Canada,Egypt,Transfer,EUR,134026764,761,78.19,299.37,19.87,1141.5,Withdrawal,Rejected
2,1022,513,177,2017-01-28T23:07:10.000Z,7,C270934822109546,Arab Bank,"Suez Governorate, Shubra, Talaat Harb St.",Egypt,Egypt,Shopping,USD,354796202,9930,38.97,380.02,82.12,14895.0,Withdrawal,Successful
10002,37,1366,69,2015-11-13T21:24:35.000Z,2,C184797807288289,Mostafa Hamdy Eid Nasser,"Beni Suef Governorate, Madinaty, Talaat Harb St.",UAE,Egypt,Salary,EGP,780342797,15038,57.38,331.71,98.04,22557.0,Deposit,Successful
15002,221,1132,315,2022-10-02T06:17:05.000Z,7,C276825302235696,Dubai Islamic Bank,"Ismailia Governorate, Zamalek, El-Galaa St.",Egypt,Egypt,Salary,USD,163123915,16404,93.26,52.99,72.28,24606.0,Deposit,Rejected
20002,748,759,405,2022-07-11T15:27:47.000Z,7,C130064502449273,Hany Metwaly Metwaly Mansour,"Mansoura Governorate, El-Marg, Champollion St.",Canada,USA,Shopping,EGP,423463411,1451,25.41,376.13,2.42,2176.5,Transfer,Rejected
35002,194,435,479,2017-07-05T20:19:11.000Z,7,C327872189515814,Saudi National Bank (SNB),"Asyut Governorate, El-Salam, Port Said St.",Australia,Egypt,Salary,EGP,744212816,8894,100.51,457.55,85.05,13341.0,Deposit,Rejected
40003,89,1711,104,2021-12-07T04:58:59.000Z,11,C560699462498204,Faisal Islamic Bank of Egypt,"Cairo Governorate, Sheikh Zayed, El-Ahrar St.",Lebanon,Egypt,Salary,EGP,150292977,2306,1.9,455.86,38.23,3459.0,Withdrawal,Rejected
25003,908,1961,420,2026-03-10T21:02:31.000Z,5,C799952484469639,Al Baraka Bank Egypt,"Beni Suef Governorate, Mohandiseen, Cleopatra St.",Canada,Egypt,Salary,USD,147977752,715,39.16,201.69,29.23,1072.5,Deposit,Successful
30003,129,680,282,2015-05-13T23:01:13.000Z,6,C298482506860108,Arab Bank,"Port Said Governorate, Agouza, Salah Salem St.",Spain,Egypt,Bill Payment,EUR,345014945,15013,58.27,424.72,82.31,22519.5,Withdrawal,Rejected
5003,615,1431,325,2017-11-22T19:21:46.000Z,7,C324076476796240,Arab Bank,"Port Said Governorate, Madinaty, El-Bustan St.",UK,Italy,Shopping,EUR,236216052,4223,96.97,257.75,24.9,6334.5,Transfer,Successful
45003,654,19,201,2024-12-17T06:44:58.000Z,1,C199469163194870,Ahli United Bank Egypt,"Damietta Governorate, Dokki, Emad El-Din St.",UAE,Egypt,Salary,USD,238229018,17027,98.81,364.35,83.27,25540.5,Withdrawal,Successful
10003,222,255,174,2024-03-08T15:57:57.000Z,6,C137971293863538,National Commercial Bank (NCB),"Zagazig Governorate, Madinaty, Merghany St.",Saudi Arabia,Egypt,Shopping,EUR,192049967,1604,106.23,215.23,19.55,2406.0,Withdrawal,Rejected
3,877,874,82,2025-08-02T06:41:53.000Z,5,C828968951112153,Riyad Bank,"Zagazig Governorate, El-Obour City, El-Galaa St.",Jordan,Egypt,Salary,EUR,414336592,12830,103.1,107.61,88.36,19245.0,Deposit,Rejected
20003,771,1352,341,2022-09-26T19:33:51.000Z,2,C888430200641407,Arab National Bank,"Alexandria Governorate, Nasr City, Corniche El-Nil St.",UK,UK,Bill Payment,EGP,686994464,4716,113.95,119.26,25.24,7074.0,Transfer,Rejected
15003,1881,1814,498,2018-01-16T03:38:02.000Z,3,C390218133476361,Emirates NBD Egypt,"Cairo Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",Italy,Egypt,Bill Payment,EGP,629117840,14625,2.15,398.04,83.51,21937.5,Withdrawal,Successful
35003,1149,1439,145,2018-11-14T16:49:47.000Z,10,C513969626161656,Mostafa Ali Zidan Abdel-Rahman,"Shubra El-Kheima Governorate, El-Obour City, El-Mohandiseen St.",USA,Egypt,Transfer,EUR,565261172,7509,87.34,297.47,74.5,11263.5,Withdrawal,Successful
