trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12194,1811,380,437,2018-02-17T16:35:38.000Z,5,C441511372314608,Banque du Caire,"Minya Governorate, Faisal, El-Tahrir St.",France,Egypt,Transfer,EGP,172529964,9149,97.5,23.62,88.76,13723.5,Deposit,Successful
7194,25,370,475,2024-05-23T12:16:16.000Z,6,C217954589842490,Bank of Alexandria,"Tanta Governorate, Zamalek, El-Sheikh Rihan St.",Italy,UK,Bill Payment,EUR,226329979,19610,74.34,191.67,84.46,29415.0,Transfer,Rejected
17194,1653,291,227,2017-10-20T17:41:36.000Z,5,C761726299911145,Ahli United Bank Egypt,"Shubra El-Kheima Governorate, El-Haram, El-Azhar St.",Egypt,France,Transfer,USD,314377992,19342,102.15,231.88,87.88,29013.0,Transfer,Successful
37194,1921,926,375,2018-06-09T14:43:24.000Z,2,C807973692705211,Ahli Bank of Qatar,"Minya Governorate, Shubra, El-Orouba St.",USA,Italy,Salary,USD,359953723,11922,81.94,198.65,88.79,17883.0,Transfer,Rejected
22194,456,171,267,2015-10-05T15:09:43.000Z,3,C359411299571396,Saudi National Bank (SNB),"Aswan Governorate, Matareya, El-Mohandiseen St.",Canada,Germany,Bill Payment,EUR,238768209,11614,61.42,285.36,94.56,17421.0,Transfer,Rejected
27194,1179,1204,93,2023-07-14T03:23:05.000Z,7,C270129745374188,Lebanese French Bank (LFB),"Suez Governorate, Rehab City, Salah Salem St.",UAE,Egypt,Shopping,USD,687905648,995,52.62,123.89,7.56,1492.5,Withdrawal,Rejected
32194,1107,520,277,2019-10-27T11:37:57.000Z,1,C982111475467977,Dubai Islamic Bank,"Marsa Matrouh Governorate, Shubra, Merghany St.",Egypt,Egypt,Transfer,EUR,654166257,8603,78.48,203.97,97.44,12904.5,Deposit,Rejected
47194,246,454,51,2015-01-27T13:13:54.000Z,6,C945477387609857,Al Ahly Bank,"New Valley Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",Germany,France,Bill Payment,EGP,100267297,6145,95.63,411.09,97.23,9217.5,Transfer,Successful
42194,1766,755,94,2026-02-21T00:12:04.000Z,2,C697615056678240,Byblos Bank,"Aswan Governorate, Garden City, Cleopatra St.",UAE,Australia,Bill Payment,EGP,711329554,4705,26.42,163.69,6.98,7057.5,Transfer,Rejected
2194,381,1326,453,2025-06-12T15:34:28.000Z,7,C565489709857666,Faisal Islamic Bank of Egypt,"Shubra El-Kheima Governorate, Faisal, El-Azhar St.",Canada,Egypt,Transfer,EUR,433556573,9225,119.93,323.94,98.7,13837.5,Deposit,Successful
12195,1723,994,316,2025-08-19T23:18:53.000Z,7,C897841688906964,Saudi National Bank (SNB),"Damanhur Governorate, El-Tagammu El-Khames, Port Said St.",Canada,Egypt,Shopping,EGP,579994937,5481,67.25,428.0,87.15,8221.5,Withdrawal,Successful
17195,1184,679,113,2026-03-17T22:51:36.000Z,6,C294573045623986,Shereen Galal Kamal Zaher,"Beni Suef Governorate, Madinaty, Makram Ebeid St.",Germany,Egypt,Bill Payment,EUR,939808300,120,43.35,244.53,15.73,180.0,Deposit,Rejected
27195,55,1559,473,2024-06-17T19:02:13.000Z,2,C876627437601754,National Bank of Kuwait,"Damietta Governorate, El-Basatin, El-Galaa St.",UAE,Egypt,Transfer,EGP,644472086,17027,27.63,271.46,90.76,25540.5,Withdrawal,Rejected
22195,1211,1288,220,2016-07-11T09:59:04.000Z,5,C786604863585705,Qatar National Bank (QNB),"Mansoura Governorate, Boulak, Adly St.",Lebanon,Egypt,Shopping,EGP,151766346,9302,27.95,284.81,79.31,13953.0,Deposit,Rejected
7195,1330,324,173,2023-11-17T20:21:22.000Z,3,C651390340812914,Banque du Caire,"New Valley Governorate, Badr City, El-Sheikh Rihan St.",Germany,Egypt,Shopping,EUR,138699177,526,28.44,194.01,23.49,789.0,Deposit,Successful
37195,175,843,99,2024-10-01T09:58:26.000Z,2,C773866501837311,Ahli United Bank Kuwait,"Cairo Governorate, New Cairo, Kasr El-Nil St.",Jordan,Germany,Bill Payment,USD,906202808,9369,105.75,327.02,82.1,14053.5,Transfer,Successful
42195,170,543,443,2019-02-08T16:20:45.000Z,4,C142686805508049,National Bank of Egypt,"Damanhur Governorate, Heliopolis, El-Azhar St.",Egypt,Egypt,Shopping,USD,731839792,5421,11.96,303.15,82.97,8131.5,Withdrawal,Successful
32195,1042,1785,266,2020-05-11T00:35:23.000Z,7,C198510277713854,QNB Al Ahli,"Minya Governorate, El-Sharabia, El-Bustan St.",UAE,Egypt,Salary,USD,644164815,18020,47.19,130.55,71.65,27030.0,Deposit,Successful
2195,1293,1095,452,2020-08-10T14:22:37.000Z,4,C905316153829304,Khaled Hassan Khalil Bishara,"Luxor Governorate, Agouza, El-Nasr St.",Canada,Egypt,Bill Payment,USD,181457377,17653,111.05,210.03,94.87,26479.5,Withdrawal,Successful
47195,21,96,464,2020-06-03T21:38:32.000Z,3,C161006607532780,Arab African International Bank (AAIB),"Minya Governorate, Matareya, Champollion St.",USA,Egypt,Bill Payment,EUR,828931891,14320,92.12,442.11,73.11,21480.0,Withdrawal,Rejected
12196,944,1740,363,2019-08-07T00:25:31.000Z,1,C749883892886446,Al Ahly Bank,"Luxor Governorate, Zamalek, Sudan St.",UAE,Egypt,Transfer,USD,893113796,4843,111.72,289.34,22.16,7264.5,Withdrawal,Successful
27196,1947,771,177,2019-05-20T17:33:09.000Z,4,C741867438094050,Qatar National Bank (QNB),"Suez Governorate, Shubra, Talaat Harb St.",Jordan,Egypt,Shopping,USD,571638835,5066,91.93,304.74,92.69,7599.0,Deposit,Rejected
17196,139,1697,128,2015-04-12T05:14:07.000Z,6,C268671327810757,First Abu Dhabi Bank Egypt,"Qena Governorate, Nasr City, Mohamed Naguib St.",Canada,UK,Transfer,EUR,673362751,3789,118.62,391.23,2.99,5683.5,Transfer,Rejected
37196,1893,79,319,2024-02-07T20:07:10.000Z,2,C519379635134267,Fatima Ahmed Younis Bishara,"Shubra El-Kheima Governorate, El-Sharabia, Adly St.",UK,Egypt,Shopping,EUR,656536002,9396,28.25,351.78,96.06,14094.0,Withdrawal,Successful
7196,1749,1852,97,2020-07-05T00:25:23.000Z,7,C198478979642608,Banque du Caire,"Minya Governorate, New Cairo, El-Tahrir St.",Egypt,Egypt,Transfer,EGP,608487924,4470,91.01,358.96,33.52,6705.0,Withdrawal,Successful
22196,720,846,455,2015-06-23T15:06:18.000Z,7,C138086595262774,Banque Saudi Fransi,"Qena Governorate, Boulak, Ramses St.",Spain,Australia,Salary,EUR,219290530,18098,10.01,185.67,95.22,27147.0,Transfer,Rejected
47196,1825,1688,149,2022-06-22T20:21:12.000Z,6,C992816925510841,Iman Helal Hamdy Wahba,"Cairo Governorate, El-Salam, Port Said St.",Lebanon,Egypt,Bill Payment,EUR,440369843,8930,43.81,164.45,87.05,13395.0,Withdrawal,Successful
2196,1503,1876,62,2022-08-27T16:34:31.000Z,2,C684294262769387,Al Rajhi Bank,"New Valley Governorate, Heliopolis, El-Alfy St.",France,Egypt,Salary,EUR,874539476,3958,43.36,345.8,7.1,5937.0,Deposit,Successful
42196,1561,1020,23,2020-11-18T19:39:19.000Z,2,C673275184999159,Commercial Bank of Qatar,"Aswan Governorate, Zamalek, El-Azhar St.",Jordan,Egypt,Shopping,USD,837245269,17739,7.56,377.58,85.72,26608.5,Deposit,Successful
32196,202,108,358,2015-12-11T12:52:55.000Z,2,C840130256521243,Al Baraka Bank Egypt,"Arish Governorate, Omraneya, Mohamed Naguib St.",Canada,Egypt,Shopping,USD,489230544,5193,65.42,309.44,92.99,7789.5,Withdrawal,Rejected
12197,185,1793,344,2021-11-16T01:19:28.000Z,7,C837201370118801,Bank Misr,"Arish Governorate, Zamalek, El-Bustan St.",UK,UK,Transfer,EGP,382411609,1180,107.76,14.47,37.63,1770.0,Transfer,Successful
22197,1533,65,448,2025-02-28T12:53:39.000Z,5,C837765963638343,Lebanese French Bank (LFB),"Beni Suef Governorate, Matareya, El-Tahrir St.",Italy,France,Salary,EUR,523967404,17048,47.39,223.9,78.14,25572.0,Transfer,Successful
17197,1712,1546,432,2017-02-27T17:51:12.000Z,2,C418936804573374,Abu Dhabi Islamic Bank (ADIB),"Arish Governorate, Heliopolis, Corniche El-Nil St.",France,Egypt,Transfer,EUR,703488062,10694,9.56,284.89,91.07,16041.0,Deposit,Successful
27197,29,510,53,2015-01-29T04:34:20.000Z,4,C231248152871874,Egyptian Arab Land Bank,"Aswan Governorate, New Cairo, Emad El-Din St.",Australia,Spain,Bill Payment,USD,718287288,13272,20.16,5.18,93.37,19908.0,Transfer,Successful
37197,1666,1285,16,2015-02-17T20:00:31.000Z,6,C123896176649287,Arab Investment Bank,"New Valley Governorate, Sheikh Zayed, Gamal Abdel Nasser St.",France,Egypt,Bill Payment,EUR,225584089,18708,83.89,19.8,79.67,28062.0,Withdrawal,Successful
7197,1174,721,320,2018-12-26T06:14:34.000Z,6,C888979452006993,Amira Tawfik Zidan Ahmed,"Hurghada Governorate, El-Salam, Sudan St.",Lebanon,France,Bill Payment,EUR,291392193,11881,46.9,449.58,74.56,17821.5,Transfer,Successful
2197,154,1309,390,2016-10-01T04:29:39.000Z,6,C893356973993663,Arab African International Bank (AAIB),"Damanhur Governorate, Rehab City, Champollion St.",UAE,Egypt,Bill Payment,EGP,832806500,12049,106.17,404.83,75.67,18073.5,Deposit,Rejected
32197,500,433,341,2015-11-29T20:18:28.000Z,4,C307281311871594,Arab Investment Bank,"Alexandria Governorate, Nasr City, Corniche El-Nil St.",Lebanon,Egypt,Bill Payment,EGP,940035672,2627,9.66,222.13,5.78,3940.5,Withdrawal,Successful
42197,338,1427,180,2016-04-21T20:53:05.000Z,3,C103486564041682,Jordan Ahli Bank,"Qena Governorate, Imbaba, Adly St.",Lebanon,France,Shopping,USD,523256627,2751,97.84,159.85,0.58,4126.5,Transfer,Rejected
47197,946,938,254,2019-09-12T12:23:09.000Z,3,C167530096841502,Arab Investment Bank,"Minya Governorate, Heliopolis, Port Said St.",Jordan,Egypt,Shopping,USD,258670843,1542,37.93,418.38,14.34,2313.0,Deposit,Successful
12198,1630,1967,12,2023-01-02T12:38:37.000Z,1,C174784006454817,Al Baraka Bank Egypt,"Beni Suef Governorate, Sheikh Zayed, El-Nasr St.",Spain,Spain,Bill Payment,EUR,516133238,5216,25.52,95.85,81.81,7824.0,Transfer,Rejected
17198,1952,872,317,2024-11-26T14:42:13.000Z,7,C104433001625687,Hany Younis Gaber Galal,"Aswan Governorate, Dokki, El-Galaa St.",Jordan,Egypt,Bill Payment,EGP,743670562,12847,40.1,46.74,94.25,19270.5,Deposit,Rejected
22198,1114,1300,176,2020-08-17T15:57:11.000Z,7,C117090822523923,QNB Al Ahli,"Beni Suef Governorate, New Cairo, Kasr El-Nil St.",Canada,Egypt,Transfer,EGP,790793411,16016,54.78,349.55,81.62,24024.0,Withdrawal,Rejected
7198,489,1732,168,2026-02-28T02:50:14.000Z,1,C924872816806141,Adel Naguib Zidan Zidan,"Port Said Governorate, Nasr City, El-Galaa St.",UAE,Egypt,Salary,USD,474814483,9899,104.38,401.83,73.57,14848.5,Withdrawal,Successful
27198,449,891,23,2020-11-14T14:41:11.000Z,2,C930429318393403,Arab National Bank,"Aswan Governorate, Zamalek, El-Azhar St.",UAE,Egypt,Shopping,EGP,325528317,10806,7.62,8.06,94.28,16209.0,Deposit,Successful
37198,650,1549,79,2017-12-04T00:10:22.000Z,1,C809759058632309,Banque Saudi Fransi,"Shubra El-Kheima Governorate, Sheikh Zayed, El-Mohandiseen St.",Jordan,France,Salary,USD,304667711,919,37.33,40.14,38.96,1378.5,Transfer,Rejected
42198,1610,1447,106,2024-04-02T21:32:41.000Z,6,C571397561364087,Bank Misr,"Damietta Governorate, Shubra, Gamal Abdel Nasser St.",Italy,Egypt,Transfer,EGP,366743816,15450,109.67,163.5,80.4,23175.0,Withdrawal,Rejected
32198,1096,1899,54,2022-06-14T09:51:57.000Z,1,C938244222931550,Standard Chartered,"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Egypt,Egypt,Transfer,USD,472978121,11091,89.59,377.69,71.33,16636.5,Deposit,Successful
47198,445,959,136,2021-06-10T00:16:20.000Z,6,C793192089479548,First Abu Dhabi Bank Egypt,"Marsa Matrouh Governorate, Nasr City, Kasr El-Nil St.",France,Italy,Bill Payment,EGP,354227505,16495,10.18,352.49,86.64,24742.5,Transfer,Rejected
2198,1271,970,421,2018-02-07T06:24:32.000Z,1,C948984871907858,Faisal Islamic Bank of Egypt,"Mansoura Governorate, El-Marg, El-Ahrar St.",UK,Germany,Salary,EGP,181915798,16694,103.31,416.57,89.5,25041.0,Transfer,Rejected
12199,1843,331,334,2021-03-03T20:10:09.000Z,3,C997559710141137,Ahli United Bank Kuwait,"Port Said Governorate, El-Salam, El-Azhar St.",Spain,Egypt,Shopping,EUR,743047685,10435,55.79,436.49,71.98,15652.5,Deposit,Successful
7199,1456,804,466,2024-03-13T04:32:49.000Z,5,C725783603817202,Fransabank,"Fayyum Governorate, El-Basatin, Port Said St.",Australia,USA,Salary,EUR,229904322,15917,71.09,277.01,76.3,23875.5,Transfer,Rejected
37199,827,1888,209,2017-05-27T06:06:11.000Z,3,C830156602554450,National Bank of Kuwait,"Port Said Governorate, Hadayek El-Qobba, Cleopatra St.",USA,UK,Shopping,EUR,616368250,2696,94.94,476.08,11.03,4044.0,Transfer,Rejected
17199,1187,1336,369,2023-07-14T05:13:50.000Z,2,C167424228725157,Mashreq Bank,"New Valley Governorate, Shubra, El-Safwa St.",Egypt,Italy,Transfer,EGP,761423880,12899,47.55,428.62,76.5,19348.5,Transfer,Rejected
22199,495,1323,103,2025-07-09T11:53:02.000Z,3,C125790920226082,Gulf Bank Kuwait,"Fayyum Governorate, Sheikh Zayed, Cleopatra St.",Egypt,Egypt,Transfer,EUR,122420399,11853,0.85,174.59,76.23,17779.5,Deposit,Rejected
27199,1799,869,221,2020-08-06T12:25:15.000Z,5,C754835421156229,Noha Nasser Zidan Abdel-Rahman,"Alexandria Governorate, Nasr City, El-Ahrar St.",Egypt,Australia,Bill Payment,EGP,920998270,14918,85.37,347.3,85.82,22377.0,Transfer,Successful
42199,1318,1117,112,2016-06-10T20:51:43.000Z,6,C577107994037037,Commercial Bank of Dubai,"Cairo Governorate, Faisal, El-Gomhoreya St.",Jordan,Egypt,Salary,USD,183390126,13700,26.07,303.1,82.9,20550.0,Withdrawal,Successful
47199,1078,1666,234,2020-11-22T10:03:06.000Z,5,C133942653731187,Emirates NBD,"Ismailia Governorate, El-Obour City, Cleopatra St.",Australia,Spain,Salary,USD,159251325,17106,13.56,460.05,75.96,25659.0,Transfer,Rejected
