trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
24649,1645,1390,11,2021-06-14T21:39:40.000Z,4,C122920605642493,Arab Investment Bank,"Hurghada Governorate, Imbaba, Mohamed Naguib St.",France,Egypt,Transfer,EGP,925417590,13481,106.76,226.88,97.1,20221.5,Withdrawal,Rejected
39649,1230,1676,262,2020-01-09T00:25:37.000Z,7,C738543276863977,Al Rajhi Bank,"Arish Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Lebanon,Egypt,Bill Payment,EGP,809655831,14024,11.86,60.18,99.17,21036.0,Deposit,Successful
9649,172,1413,344,2019-11-21T15:34:12.000Z,1,C520447765249036,Dubai Islamic Bank,"Arish Governorate, Zamalek, El-Bustan St.",USA,Egypt,Bill Payment,USD,669862882,5012,59.81,354.05,91.56,7518.0,Withdrawal,Successful
19649,1655,617,82,2021-06-29T19:53:59.000Z,7,C975260743220784,Egyptian Arab Land Bank,"Zagazig Governorate, El-Obour City, El-Galaa St.",UAE,Egypt,Shopping,EUR,251559212,1947,76.35,236.49,16.36,2920.5,Deposit,Successful
29649,1569,1882,151,2015-02-20T14:29:59.000Z,4,C744071790387073,Arab National Bank,"Suez Governorate, El-Obour City, El-Galaa St.",USA,USA,Bill Payment,EGP,556723995,14570,37.53,444.78,71.91,21855.0,Transfer,Successful
34649,176,1455,329,2017-09-09T02:58:20.000Z,3,C696831558392248,National Bank of Kuwait,"Marsa Matrouh Governorate, El-Basatin, El-Mohandiseen St.",Egypt,Egypt,Shopping,EGP,710078021,11164,29.11,211.39,74.51,16746.0,Withdrawal,Successful
49649,1948,293,159,2016-01-20T13:50:00.000Z,6,C873562111490193,Commercial Bank of Qatar,"Alexandria Governorate, Omraneya, El-Azhar St.",Germany,Egypt,Transfer,USD,825703014,17742,12.14,126.56,87.8,26613.0,Deposit,Rejected
4649,888,1818,2,2016-02-16T06:31:30.000Z,3,C755699192660642,National Commercial Bank (NCB),"Arish Governorate, Matareya, El-Batal Ahmed Abdel Aziz St.",France,France,Transfer,USD,886008453,7412,39.27,407.61,97.62,11118.0,Transfer,Rejected
44649,1839,48,322,2022-03-15T23:26:19.000Z,5,C507791640964395,National Bank of Egypt,"New Valley Governorate, El-Haram, El-Galaa St.",Saudi Arabia,Australia,Bill Payment,EGP,464943956,3054,94.22,41.92,2.57,4581.0,Transfer,Successful
14650,588,1545,83,2026-03-18T15:00:03.000Z,6,C664817869634197,Riyad Bank,"Damanhur Governorate, El-Shorouk, El-Safwa St.",Canada,Germany,Bill Payment,EGP,443418557,17107,3.65,329.28,81.58,25660.5,Transfer,Successful
