trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
30747,1412,99,58,2020-10-09T07:04:05.000Z,4,C450309920940585,Dubai Islamic Bank,"New Valley Governorate, El-Basatin, Salah Salem St.",Canada,Egypt,Salary,EUR,616517207,7229,29.4,455.42,99.26,10843.5,Deposit,Rejected
15747,1717,759,161,2024-09-21T22:06:08.000Z,7,C291237050051191,Commercial Bank of Dubai,"Hurghada Governorate, Agouza, Champollion St.",Australia,Egypt,Transfer,EUR,542774727,19540,1.66,64.22,70.21,29310.0,Deposit,Successful
20747,1518,1689,102,2020-08-07T08:49:18.000Z,4,C486606423337285,Saudi National Bank (SNB),"Damietta Governorate, Matareya, El-Azhar St.",Italy,Egypt,Bill Payment,EGP,137038970,17960,55.66,337.65,98.36,26940.0,Deposit,Rejected
35747,1824,917,204,2025-05-01T14:12:14.000Z,3,C720535459234103,National Commercial Bank (NCB),"Suez Governorate, Faisal, El-Safwa St.",Jordan,Egypt,Transfer,EUR,431567355,5722,87.85,372.31,82.62,8583.0,Deposit,Successful
10747,58,890,162,2016-06-20T19:42:24.000Z,1,C540629138937166,Al Ahly Bank,"Minya Governorate, Rehab City, Ramses St.",UK,Egypt,Transfer,EGP,704788079,8733,85.11,65.2,85.11,13099.5,Withdrawal,Rejected
5747,918,1840,242,2017-11-05T12:51:21.000Z,5,C860332392636765,Emirates NBD Egypt,"Fayyum Governorate, Rehab City, El-Ahrar St.",UAE,Egypt,Salary,EUR,233056345,4032,111.65,90.85,30.22,6048.0,Deposit,Successful
25747,1033,69,449,2024-11-08T08:28:13.000Z,5,C889731942531693,Arab Bank,"Sohag Governorate, Zamalek, Champollion St.",Australia,USA,Transfer,EGP,906557793,16281,65.2,233.12,95.08,24421.5,Transfer,Rejected
45747,1844,68,75,2019-11-25T17:52:25.000Z,7,C387617257357740,Bank of Alexandria,"Zagazig Governorate, 6th of October, El-Gomhoreya St.",Lebanon,Egypt,Transfer,USD,195710944,14085,93.52,74.38,75.65,21127.5,Withdrawal,Successful
747,1970,360,262,2017-08-04T09:08:53.000Z,3,C885051659293599,Commercial Bank of Dubai,"Arish Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Germany,Egypt,Bill Payment,USD,369662725,14381,0.52,124.42,99.07,21571.5,Deposit,Successful
40747,1558,835,215,2022-06-22T13:01:15.000Z,5,C910187883893690,National Bank of Kuwait,"Zagazig Governorate, Badr City, Sudan St.",Jordan,France,Salary,USD,739803912,19564,74.6,266.31,86.84,29346.0,Transfer,Rejected
20748,1618,1334,466,2018-03-22T22:43:47.000Z,2,C422734526575941,National Commercial Bank (NCB),"Fayyum Governorate, El-Basatin, Port Said St.",France,Egypt,Transfer,USD,212391608,10370,57.52,447.98,97.86,15555.0,Withdrawal,Rejected
30748,1304,735,252,2020-06-10T21:52:08.000Z,5,C324519907928269,Arab Jordan Investment Bank,"Hurghada Governorate, Agouza, El-Tahrir St.",UAE,Egypt,Shopping,EGP,798961913,12545,67.44,191.91,71.95,18817.5,Withdrawal,Rejected
15748,1283,773,404,2020-05-28T15:28:21.000Z,4,C816958956172043,First Abu Dhabi Bank Egypt,"Marsa Matrouh Governorate, El-Marg, Talaat Harb St.",Egypt,Germany,Bill Payment,EUR,836370079,18177,106.56,84.72,96.87,27265.5,Transfer,Rejected
35748,80,1878,96,2018-05-24T21:51:48.000Z,3,C865968496431049,Mashreq Bank,"Shubra El-Kheima Governorate, El-Basatin, El-Bustan St.",Spain,Egypt,Salary,EUR,828040184,12659,5.87,323.67,77.77,18988.5,Deposit,Successful
25748,1344,13,329,2024-02-12T02:20:04.000Z,4,C803542331100357,Jordan Ahli Bank,"Marsa Matrouh Governorate, El-Basatin, El-Mohandiseen St.",Egypt,Egypt,Shopping,EGP,525320090,2725,26.28,274.93,16.81,4087.5,Deposit,Rejected
748,1979,164,425,2021-11-11T04:24:51.000Z,1,C480224710768881,Shereen Rashid Rashid Dahab,"Tanta Governorate, Madinaty, El-Galaa St.",Jordan,Egypt,Transfer,EGP,289389221,3671,81.05,436.94,24.93,5506.5,Withdrawal,Rejected
10748,1219,74,19,2018-04-11T20:27:04.000Z,6,C215839942199486,Emirates NBD Egypt,"Ismailia Governorate, Badr City, El-Sheikh Rihan St.",UK,Germany,Shopping,USD,371332350,3905,28.09,198.94,5.35,5857.5,Transfer,Rejected
45748,189,1741,105,2020-11-10T12:12:05.000Z,2,C888872678393444,Housing and Development Bank (HDB),"Minya Governorate, New Cairo, El-Galaa St.",Lebanon,Egypt,Transfer,EGP,205698707,837,56.67,95.43,24.92,1255.5,Deposit,Rejected
40748,636,975,276,2017-01-21T11:34:47.000Z,3,C941479912696476,Ahli United Bank Kuwait,"Port Said Governorate, Matareya, Mohamed Naguib St.",Lebanon,Egypt,Transfer,USD,752486017,11581,79.72,487.22,99.5,17371.5,Withdrawal,Successful
5748,1333,808,230,2020-04-07T16:28:07.000Z,2,C620490850398823,Arab Investment Bank,"Ismailia Governorate, El-Shorouk, El-Galaa St.",Saudi Arabia,USA,Shopping,EGP,657141831,5412,76.07,62.32,78.15,8118.0,Transfer,Rejected
15749,663,1671,166,2021-09-02T00:22:35.000Z,3,C949274632872472,Suez Canal Bank,"Giza Governorate, Ain Shams, El-Batal Ahmed Abdel Aziz St.",Australia,Egypt,Salary,EUR,462819286,4251,37.0,405.79,32.47,6376.5,Deposit,Rejected
30749,460,459,22,2021-12-18T14:20:57.000Z,4,C605155849109681,Al Ahly Bank,"Fayyum Governorate, Garden City, Kasr El-Nil St.",USA,Egypt,Transfer,USD,253170198,10116,78.24,383.09,79.78,15174.0,Withdrawal,Rejected
35749,52,887,145,2023-11-03T01:23:49.000Z,4,C361099739695101,Abu Dhabi Islamic Bank (ADIB),"Shubra El-Kheima Governorate, El-Obour City, El-Mohandiseen St.",UK,Egypt,Shopping,USD,339139510,4746,16.0,473.42,17.88,7119.0,Deposit,Rejected
20749,297,525,332,2016-08-26T04:03:59.000Z,6,C166640674270130,Arab African International Bank (AAIB),"Sohag Governorate, 6th of October, Emad El-Din St.",Lebanon,USA,Bill Payment,EUR,372163054,8858,56.23,239.59,92.06,13287.0,Transfer,Rejected
10749,778,903,48,2018-04-11T19:54:36.000Z,7,C408951835190781,Egyptian Arab Land Bank,"Shubra El-Kheima Governorate, Badr City, El-Alfy St.",USA,Egypt,Bill Payment,EUR,667255547,9198,86.71,2.71,81.06,13797.0,Withdrawal,Successful
749,734,364,422,2022-02-03T19:35:57.000Z,1,C447495792735927,Emirates NBD Egypt,"Damanhur Governorate, Badr City, Talaat Harb St.",Spain,Egypt,Transfer,EUR,767118492,15267,7.01,243.54,84.87,22900.5,Deposit,Rejected
40749,853,109,1,2017-05-03T11:05:20.000Z,6,C879880369445763,BLOM Bank,"Minya Governorate, Imbaba, El-Bustan St.",Lebanon,Egypt,Salary,EGP,673821623,7963,38.33,26.33,73.98,11944.5,Withdrawal,Successful
25749,588,1545,233,2023-01-18T11:14:04.000Z,3,C426243997798512,Samy Nofal Hassan Morsy,"Hurghada Governorate, Garden City, El-Gomhoreya St.",Spain,Egypt,Transfer,EUR,300981373,4220,35.55,359.78,17.4,6330.0,Withdrawal,Successful
5749,1898,1958,279,2020-11-29T01:59:09.000Z,7,C216457800473382,Amr Gaber Tawfik Gomaa,"Tanta Governorate, Badr City, Emad El-Din St.",Jordan,Egypt,Salary,EUR,447416236,11056,106.91,393.03,96.98,16584.0,Withdrawal,Successful
45749,836,832,14,2025-03-21T08:32:20.000Z,1,C421929229375517,National Bank of Kuwait,"Suez Governorate, Maadi, El-Orouba St.",Jordan,Egypt,Salary,EGP,717841647,19097,12.62,330.66,72.66,28645.5,Withdrawal,Rejected
30750,64,372,283,2017-03-20T03:15:07.000Z,6,C314878521117183,QNB Al Ahli,"Tanta Governorate, El-Shorouk, El-Alfy St.",Spain,Egypt,Salary,USD,100780071,6954,89.3,338.7,99.96,10431.0,Withdrawal,Successful
20750,1568,616,448,2024-09-23T19:49:47.000Z,3,C304226118397515,Fransabank,"Beni Suef Governorate, Matareya, El-Tahrir St.",Australia,Egypt,Salary,USD,431341340,10788,103.84,313.99,74.55,16182.0,Deposit,Successful
15750,1812,1742,354,2021-12-15T06:11:49.000Z,5,C775251239029914,Gulf Bank Kuwait,"Qena Governorate, Matareya, Gamal Abdel Nasser St.",UK,Egypt,Transfer,EUR,830173021,5296,102.12,20.9,97.39,7944.0,Withdrawal,Successful
35750,1416,641,253,2025-07-21T11:15:15.000Z,6,C574059008330783,Jordan Ahli Bank,"New Valley Governorate, Faisal, Port Said St.",Spain,Egypt,Shopping,EUR,900833624,17110,60.24,300.39,92.11,25665.0,Withdrawal,Rejected
5750,1758,1324,245,2024-07-02T05:35:54.000Z,2,C342759667746337,Dubai Islamic Bank,"Aswan Governorate, Badr City, Abbas El-Akkad St.",Jordan,Egypt,Transfer,EGP,223367172,3161,108.15,256.91,13.11,4741.5,Deposit,Rejected
45750,438,1160,292,2016-01-19T15:06:02.000Z,5,C413458335627318,Bank Audi,"Suez Governorate, Badr City, El-Gomhoreya St.",Spain,Australia,Salary,EGP,250733860,11668,17.58,318.58,75.72,17502.0,Transfer,Rejected
