trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
45047,467,175,222,2021-09-12T18:04:27.000Z,3,C255188121192826,Emirates NBD,"Hurghada Governorate, Faisal, El-Galaa St.",UAE,Canada,Bill Payment,EUR,671800842,4124,62.2,468.71,7.92,6186.0,Transfer,Successful
40047,422,56,479,2023-06-23T19:32:31.000Z,4,C800215346530398,Faisal Islamic Bank of Egypt,"Asyut Governorate, El-Salam, Port Said St.",Saudi Arabia,Germany,Transfer,EUR,748250853,17851,101.39,161.6,75.89,26776.5,Transfer,Rejected
10047,1893,79,173,2017-02-18T15:35:13.000Z,7,C452691630828422,Qatar National Bank (QNB),"New Valley Governorate, Badr City, El-Sheikh Rihan St.",USA,Spain,Bill Payment,USD,543040026,8535,50.89,467.06,74.21,12802.5,Transfer,Successful
35047,1548,305,324,2017-05-11T15:01:22.000Z,5,C328064324643373,National Commercial Bank (NCB),"Aswan Governorate, El-Shorouk, Champollion St.",Germany,Egypt,Bill Payment,EGP,848495670,5982,100.26,234.54,80.5,8973.0,Withdrawal,Rejected
15047,796,1844,272,2015-06-28T18:27:17.000Z,4,C637074786102423,National Commercial Bank (NCB),"Damietta Governorate, El-Shorouk, Port Said St.",France,Egypt,Bill Payment,EGP,962161805,9579,7.26,399.75,92.32,14368.5,Deposit,Rejected
30047,1628,1630,343,2023-01-25T00:40:55.000Z,3,C605234232375106,Egyptian Arab Land Bank,"Cairo Governorate, El-Tagammu El-Khames, El-Galaa St.",Canada,Egypt,Shopping,EGP,583836360,4188,34.17,106.14,39.58,6282.0,Deposit,Rejected
20047,314,1994,161,2019-12-18T08:31:27.000Z,1,C337066922424501,Banque du Caire,"Hurghada Governorate, Agouza, Champollion St.",Jordan,Spain,Salary,EGP,413782676,3256,102.94,374.52,0.78,4884.0,Transfer,Rejected
47,1571,1810,312,2019-09-04T02:12:09.000Z,6,C112083919583969,Lebanese French Bank (LFB),"Zagazig Governorate, Rehab City, Port Said St.",Jordan,Italy,Bill Payment,USD,321652142,14768,115.79,115.18,80.92,22152.0,Transfer,Rejected
25047,1586,1196,207,2019-05-14T19:17:05.000Z,1,C139863203052331,Lebanese French Bank (LFB),"New Valley Governorate, Maadi, El-Tahrir St.",Saudi Arabia,Egypt,Salary,EGP,859385484,18088,99.29,308.2,89.36,27132.0,Deposit,Rejected
5047,582,1560,209,2023-07-02T10:22:56.000Z,3,C597496453021137,Arab Bank,"Port Said Governorate, Hadayek El-Qobba, Cleopatra St.",Saudi Arabia,Egypt,Shopping,USD,484617742,19153,80.49,328.47,82.42,28729.5,Withdrawal,Successful
