trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
12793,1347,83,48,2020-07-03T15:43:05.000Z,3,C617518746310992,National Bank of Kuwait,"Shubra El-Kheima Governorate, Badr City, El-Alfy St.",Spain,Spain,Salary,EGP,817403971,17717,109.21,39.0,71.95,26575.5,Transfer,Successful
17793,794,1468,26,2018-04-29T07:48:24.000Z,3,C453731263372265,Al Rajhi Bank,"Luxor Governorate, 6th of October, El-Haram St.",Jordan,Egypt,Salary,EUR,375269314,2124,68.77,334.45,12.99,3186.0,Deposit,Successful
7793,1921,765,162,2017-03-12T22:13:31.000Z,6,C933232727490614,Samira Hussein Hassan Bishara,"Minya Governorate, Rehab City, Ramses St.",UK,Egypt,Transfer,EUR,660271054,8195,41.55,489.71,72.88,12292.5,Withdrawal,Successful
37793,383,724,158,2015-10-13T12:01:46.000Z,6,C118817363416524,Bank Misr,"Asyut Governorate, El-Haram, Salah Salem St.",Germany,Egypt,Salary,EUR,178942764,7059,52.63,317.55,84.1,10588.5,Withdrawal,Rejected
27793,1062,51,55,2025-11-20T19:44:04.000Z,1,C470702368362967,Mohamed Hamdy Okasha Tawfik,"Hurghada Governorate, 6th of October, Merghany St.",France,USA,Salary,USD,249238657,9020,90.48,89.47,79.6,13530.0,Transfer,Rejected
22793,1097,620,183,2022-10-08T00:38:47.000Z,5,C118920989712424,Arab Investment Bank,"Minya Governorate, El-Shorouk, El-Mohandiseen St.",Saudi Arabia,Egypt,Bill Payment,EUR,795185554,4189,111.76,376.51,10.61,6283.5,Withdrawal,Successful
2793,739,1204,424,2018-02-13T12:27:12.000Z,6,C539553897000320,Al Rajhi Bank,"Fayyum Governorate, El-Salam, Gamal Abdel Nasser St.",Spain,Egypt,Transfer,EGP,774870020,3495,60.12,126.06,26.94,5242.5,Withdrawal,Rejected
47793,542,1933,247,2016-04-02T11:30:17.000Z,4,C761487373911271,Iman Gomaa Mansour Othman,"Damanhur Governorate, Rehab City, El-Sheikh Rihan St.",Jordan,Egypt,Shopping,EGP,492944258,12315,108.47,263.98,94.62,18472.5,Withdrawal,Successful
32793,1811,539,39,2015-06-07T10:41:28.000Z,5,C279463119102171,Bank Audi,"New Valley Governorate, El-Salam, El-Gomhoreya St.",France,Egypt,Transfer,USD,111567369,4784,28.67,103.69,8.81,7176.0,Deposit,Rejected
42793,65,1547,388,2015-04-06T04:52:24.000Z,1,C756961611274357,QNB Al Ahli,"Asyut Governorate, El-Shorouk, El-Azhar St.",Jordan,Italy,Shopping,EGP,357515538,1585,64.8,124.63,15.54,2377.5,Transfer,Rejected
12794,212,960,205,2017-07-15T07:13:04.000Z,3,C754519530134797,Mashreq Bank,"Qena Governorate, 6th of October, Port Said St.",Egypt,Egypt,Transfer,USD,199427656,18953,41.04,247.59,78.23,28429.5,Withdrawal,Successful
17794,1458,888,344,2016-04-14T05:31:59.000Z,2,C854502175034097,Jordan Ahli Bank,"Arish Governorate, Zamalek, El-Bustan St.",Saudi Arabia,USA,Shopping,EGP,684198738,3057,58.46,285.86,11.05,4585.5,Transfer,Rejected
7794,1310,608,234,2018-01-13T08:44:59.000Z,4,C226936268854772,Arab National Bank,"Ismailia Governorate, El-Obour City, Cleopatra St.",Jordan,Egypt,Transfer,EUR,346377889,14153,42.34,387.98,74.17,21229.5,Withdrawal,Successful
27794,944,1740,368,2015-12-24T23:44:53.000Z,3,C632279453151600,Arab African International Bank (AAIB),"Tanta Governorate, El-Basatin, Emad El-Din St.",France,Egypt,Shopping,EGP,323042996,19527,48.28,258.25,71.24,29290.5,Deposit,Successful
22794,1662,1198,146,2015-12-13T05:24:49.000Z,6,C860530084604984,Citibank,"Asyut Governorate, Dokki, El-Batal Ahmed Abdel Aziz St.",Saudi Arabia,Egypt,Bill Payment,EGP,708900205,6569,62.81,332.69,84.59,9853.5,Withdrawal,Successful
37794,682,136,296,2023-06-04T03:05:21.000Z,5,C387404112206628,Fransabank,"Arish Governorate, Faisal, Mohamed Naguib St.",Germany,Egypt,Bill Payment,EGP,139649362,13341,88.91,481.17,76.28,20011.5,Withdrawal,Rejected
2794,702,1560,237,2021-03-24T09:44:34.000Z,5,C698949700144463,Samir Rashid Zaki Wahba,"Ismailia Governorate, Omraneya, El-Safwa St.",Germany,Egypt,Salary,USD,291180193,4192,114.84,167.64,2.88,6288.0,Withdrawal,Rejected
42794,80,687,283,2020-09-26T02:33:42.000Z,7,C139913519333599,Al Rajhi Bank,"Tanta Governorate, El-Shorouk, El-Alfy St.",Australia,Egypt,Salary,USD,363574322,1891,70.74,252.82,4.39,2836.5,Deposit,Rejected
47794,170,543,49,2020-06-13T08:34:27.000Z,3,C141074518332783,Ahli United Bank Kuwait,"Damanhur Governorate, New Cairo, Abbas El-Akkad St.",France,Egypt,Transfer,EGP,823538774,9600,55.04,14.05,90.18,14400.0,Withdrawal,Rejected
32794,195,1000,483,2015-04-05T16:16:15.000Z,7,C227094256157157,Ahli Bank of Qatar,"Cairo Governorate, El-Sharabia, Champollion St.",Germany,Egypt,Salary,EUR,736483615,16791,49.56,286.66,80.13,25186.5,Deposit,Successful
12795,159,1603,218,2016-10-31T12:54:45.000Z,4,C206607712213957,Standard Chartered,"Minya Governorate, Badr City, Abbas El-Akkad St.",Egypt,Egypt,Shopping,EUR,435282006,19245,12.17,276.43,82.09,28867.5,Deposit,Rejected
17795,786,946,390,2019-01-22T14:11:48.000Z,2,C898442950705056,Jordan Ahli Bank,"Damanhur Governorate, Rehab City, Champollion St.",Saudi Arabia,Egypt,Transfer,EUR,591830614,14211,112.21,282.91,76.04,21316.5,Withdrawal,Rejected
27795,54,1967,58,2017-09-10T11:14:14.000Z,1,C996020418489943,Abu Dhabi Islamic Bank (ADIB),"New Valley Governorate, El-Basatin, Salah Salem St.",Lebanon,Egypt,Transfer,EGP,455592121,9217,100.35,411.8,83.37,13825.5,Withdrawal,Rejected
7795,158,1694,264,2022-09-25T13:06:37.000Z,3,C569610336174893,Byblos Bank,"Alexandria Governorate, Nasr City, El-Tahrir St.",UAE,Egypt,Shopping,EGP,675942142,16291,59.46,153.49,74.3,24436.5,Withdrawal,Successful
37795,897,1226,489,2024-06-19T02:41:35.000Z,3,C564205588593105,Bank Misr,"Beni Suef Governorate, El-Salam, El-Galaa St.",Italy,Egypt,Salary,EGP,915761826,19202,19.2,441.89,78.21,28803.0,Withdrawal,Rejected
22795,359,1990,402,2018-09-02T04:27:15.000Z,3,C333447500739568,Riyad Bank,"Alexandria Governorate, El-Marg, El-Alfy St.",Italy,Egypt,Shopping,USD,743308300,9548,72.19,289.52,81.71,14322.0,Withdrawal,Rejected
42795,284,790,3,2025-01-01T17:50:00.000Z,5,C551544526486534,Emirates NBD,"Alexandria Governorate, Boulak, El-Nasr St.",UK,Canada,Bill Payment,USD,465104993,14445,51.37,273.37,81.81,21667.5,Transfer,Successful
2795,2000,658,185,2020-08-14T15:35:51.000Z,7,C974810393228145,Sherif Helal Morsy Morsy,"Minya Governorate, Ain Shams, Abbas El-Akkad St.",Canada,Egypt,Transfer,EGP,218290182,6208,79.08,364.17,88.14,9312.0,Deposit,Successful
47795,1581,617,216,2016-10-05T07:01:57.000Z,3,C763687057206929,Arab African International Bank (AAIB),"New Valley Governorate, Omraneya, El-Sheikh Rihan St.",Lebanon,Italy,Bill Payment,USD,268737984,10466,117.0,149.11,70.19,15699.0,Transfer,Successful
32795,737,797,87,2019-11-06T12:36:05.000Z,6,C749153600185301,Ziad Tawfik Galal Ali,"Beni Suef Governorate, Dokki, Makram Ebeid St.",Canada,Egypt,Shopping,USD,471394123,10930,46.04,76.14,78.45,16395.0,Withdrawal,Successful
12796,1618,727,278,2015-03-31T12:13:03.000Z,7,C569367439646710,Commercial International Bank (CIB),"Shubra El-Kheima Governorate, Boulak, Kasr El-Nil St.",France,Egypt,Transfer,USD,831964414,815,12.02,397.66,35.95,1222.5,Withdrawal,Successful
22796,1873,1068,284,2022-07-21T08:50:52.000Z,2,C828820179202587,Egyptian Arab Land Bank,"Marsa Matrouh Governorate, Agouza, El-Gomhoreya St.",Egypt,Egypt,Bill Payment,EGP,501559371,15777,75.3,315.65,78.35,23665.5,Deposit,Successful
37796,90,1588,84,2015-12-28T03:17:00.000Z,1,C437297702922356,Kareem Sayed Fawzy Dahab,"Fayyum Governorate, Nasr City, El-Bustan St.",Canada,Egypt,Transfer,EUR,356666913,19572,46.06,313.85,93.41,29358.0,Withdrawal,Rejected
17796,1133,1999,40,2019-02-23T15:55:44.000Z,2,C961021051397312,Commercial International Bank (CIB),"Mansoura Governorate, Mohandiseen, Emad El-Din St.",USA,Egypt,Salary,EUR,922877897,1738,12.79,495.69,22.0,2607.0,Withdrawal,Rejected
27796,934,458,83,2025-10-16T10:17:13.000Z,7,C915838348976457,National Commercial Bank (NCB),"Damanhur Governorate, El-Shorouk, El-Safwa St.",UAE,Egypt,Bill Payment,USD,727520417,9246,5.08,33.2,96.41,13869.0,Deposit,Successful
7796,1159,1901,293,2024-08-07T14:40:12.000Z,6,C483345999366109,Dubai Islamic Bank,"Marsa Matrouh Governorate, El-Obour City, Gamal Abdel Nasser St.",UK,Egypt,Transfer,EUR,486121519,7569,97.29,26.24,92.52,11353.5,Deposit,Successful
32796,558,1558,307,2024-08-29T23:49:07.000Z,1,C782895468896605,Al Rajhi Bank,"Cairo Governorate, Agouza, El-Bustan St.",UAE,Egypt,Salary,EUR,631125081,17506,2.73,405.35,84.99,26259.0,Deposit,Successful
42796,83,668,327,2021-12-01T09:14:18.000Z,1,C754547886994553,Barclays,"Damietta Governorate, Badr City, El-Batal Ahmed Abdel Aziz St.",UAE,Spain,Salary,USD,915060075,6999,35.29,221.05,92.3,10498.5,Transfer,Rejected
47796,1810,1380,38,2026-02-20T16:50:12.000Z,5,C536745614661916,Byblos Bank,"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",Spain,Egypt,Salary,EGP,338402642,3906,18.83,482.12,20.79,5859.0,Deposit,Successful
2796,1390,1453,297,2019-12-23T20:37:22.000Z,6,C849065990645017,National Commercial Bank (NCB),"Ismailia Governorate, El-Shorouk, El-Ahrar St.",USA,Egypt,Transfer,EGP,658947618,17485,96.54,264.67,88.57,26227.5,Deposit,Rejected
12797,329,1014,423,2015-06-04T09:00:31.000Z,6,C402275920789531,Housing and Development Bank (HDB),"Cairo Governorate, Madinaty, Merghany St.",USA,Canada,Salary,EUR,449095865,5540,112.67,79.84,83.54,8310.0,Transfer,Successful
27797,358,907,87,2018-05-23T23:46:11.000Z,4,C409261981868698,Al Baraka Bank Egypt,"Beni Suef Governorate, Dokki, Makram Ebeid St.",UK,USA,Shopping,EGP,221770880,17921,8.7,343.99,73.04,26881.5,Transfer,Successful
7797,1291,1494,410,2021-05-26T02:38:45.000Z,5,C445858470067567,Fransabank,"Damanhur Governorate, Sheikh Zayed, Abbas El-Akkad St.",Australia,Italy,Shopping,EUR,624896816,5172,40.41,462.6,97.42,7758.0,Transfer,Successful
17797,605,1804,317,2020-08-05T23:54:58.000Z,2,C715787287688249,Jordan Ahli Bank,"Aswan Governorate, Dokki, El-Galaa St.",Spain,Egypt,Bill Payment,EGP,377298153,10626,73.47,289.17,95.7,15939.0,Deposit,Rejected
37797,701,546,134,2022-07-27T08:39:32.000Z,1,C538548061956105,Al Baraka Bank Egypt,"Tanta Governorate, Maadi, Ramses St.",UK,France,Salary,EGP,753086466,18975,47.25,382.47,90.48,28462.5,Transfer,Successful
22797,1724,17,37,2017-11-18T11:55:36.000Z,7,C597696607666909,Banque du Caire,"Qena Governorate, Sheikh Zayed, El-Azhar St.",France,Egypt,Salary,EUR,243908500,1002,43.35,380.64,18.37,1503.0,Withdrawal,Successful
42797,514,1338,55,2022-12-29T15:14:24.000Z,1,C169516645646579,Shereen Sobhi Shafik Amer,"Hurghada Governorate, 6th of October, Merghany St.",Jordan,Egypt,Transfer,USD,654797156,13327,49.2,270.99,82.93,19990.5,Withdrawal,Successful
2797,513,1285,10,2020-07-01T14:13:14.000Z,2,C659688127721872,Al Ahly Bank,"Damanhur Governorate, 6th of October, Sudan St.",Spain,Germany,Salary,EGP,119108785,8745,93.11,429.12,72.06,13117.5,Transfer,Rejected
47797,647,581,41,2017-12-28T09:55:50.000Z,3,C966881496315654,Jordan Ahli Bank,"Sohag Governorate, Heliopolis, El-Alfy St.",Italy,Egypt,Transfer,USD,698685688,4020,109.75,65.68,35.03,6030.0,Withdrawal,Successful
32797,1519,237,327,2017-07-16T01:22:38.000Z,1,C360992969332909,Arab Investment Bank,"Damietta Governorate, Badr City, El-Batal Ahmed Abdel Aziz St.",Canada,Egypt,Salary,EGP,398151565,5186,20.55,466.54,73.96,7779.0,Withdrawal,Successful
12798,1521,116,103,2017-05-22T00:49:31.000Z,3,C636104977767916,Al Ahly Bank,"Fayyum Governorate, Sheikh Zayed, Cleopatra St.",Germany,Egypt,Shopping,EUR,102710172,8452,118.09,411.89,83.75,12678.0,Deposit,Rejected
27798,874,1966,87,2022-12-26T04:26:02.000Z,1,C603775296198385,Bank of Alexandria,"Beni Suef Governorate, Dokki, Makram Ebeid St.",France,Egypt,Bill Payment,USD,716504596,8301,112.87,49.58,97.0,12451.5,Withdrawal,Rejected
17798,357,300,167,2026-03-04T17:02:09.000Z,4,C538572271158567,Commercial Bank of Qatar,"Sohag Governorate, Agouza, El-Galaa St.",Italy,Egypt,Salary,EUR,544699206,11025,78.85,206.52,80.51,16537.5,Deposit,Rejected
37798,969,820,151,2017-09-01T18:36:39.000Z,3,C456291968653392,Saudi National Bank (SNB),"Suez Governorate, El-Obour City, El-Galaa St.",France,Egypt,Bill Payment,EGP,757864716,15390,112.63,209.37,95.69,23085.0,Withdrawal,Rejected
7798,321,184,342,2024-08-25T23:53:48.000Z,7,C213269675034528,Qatar National Bank (QNB),"Luxor Governorate, Imbaba, El-Tahrir St.",Italy,Egypt,Salary,EUR,811097311,18330,36.95,226.86,85.77,27495.0,Withdrawal,Rejected
22798,1499,1083,121,2018-08-14T06:56:02.000Z,1,C726648038758386,Ahli Bank of Qatar,"Arish Governorate, El-Basatin, Makram Ebeid St.",Germany,Egypt,Salary,USD,457535550,9203,18.53,92.61,78.46,13804.5,Deposit,Rejected
2798,505,1310,245,2020-03-10T14:09:40.000Z,7,C792619640040567,Bank Audi,"Aswan Governorate, Badr City, Abbas El-Akkad St.",Germany,Egypt,Shopping,EUR,128921800,14465,68.02,323.27,94.45,21697.5,Withdrawal,Successful
47798,788,329,206,2018-01-25T16:49:16.000Z,4,C447663662533068,Ibrahim Tawfik Abdel-Rahman Hamdy,"Alexandria Governorate, El-Basatin, El-Nasr St.",Italy,Egypt,Salary,EUR,735609981,10504,84.28,349.09,88.52,15756.0,Withdrawal,Rejected
42798,141,1091,111,2019-04-27T12:48:26.000Z,4,C788601461310098,Ahli Bank of Qatar,"Tanta Governorate, 6th of October, El-Tahrir St.",Italy,Egypt,Shopping,USD,655326214,14743,72.23,366.61,91.27,22114.5,Deposit,Rejected
32798,1428,659,170,2016-06-01T11:10:09.000Z,4,C604355213343957,BLOM Bank,"New Valley Governorate, Dokki, Emad El-Din St.",Australia,UK,Transfer,USD,108115203,4879,34.37,164.5,38.92,7318.5,Transfer,Rejected
12799,1862,1539,93,2017-09-14T23:48:18.000Z,7,C855465186134593,Bank of Alexandria,"Suez Governorate, Rehab City, Salah Salem St.",Canada,Egypt,Bill Payment,USD,353533381,19679,37.85,92.4,96.72,29518.5,Withdrawal,Rejected
27799,614,1738,366,2016-07-03T07:43:50.000Z,4,C346215300464455,Housing and Development Bank (HDB),"Tanta Governorate, Mohandiseen, El-Alfy St.",Canada,Egypt,Salary,EGP,346551869,10693,26.2,442.44,75.88,16039.5,Withdrawal,Successful
17799,1752,1125,302,2019-08-22T12:49:05.000Z,2,C218586316390991,Al Rajhi Bank,"Hurghada Governorate, Agouza, El-Azhar St.",Italy,Egypt,Salary,EGP,648195059,2245,68.3,325.76,33.25,3367.5,Withdrawal,Rejected
7799,966,263,263,2021-08-01T08:06:22.000Z,1,C402657683164161,Bank of Alexandria,"Giza Governorate, 6th of October, Salah Salem St.",USA,Egypt,Salary,EUR,228705261,19457,2.05,441.9,87.4,29185.5,Withdrawal,Successful
37799,353,1946,228,2018-08-06T01:28:52.000Z,3,C891569869889005,Banque du Caire,"Hurghada Governorate, Sheikh Zayed, Mohamed Naguib St.",France,Egypt,Shopping,EUR,933421964,3398,61.89,407.04,17.51,5097.0,Withdrawal,Successful
22799,1003,1479,226,2019-12-09T19:06:29.000Z,3,C936267733514597,Dubai Islamic Bank,"Fayyum Governorate, El-Tagammu El-Khames, El-Nasr St.",Egypt,Egypt,Shopping,EUR,620126266,10301,45.68,42.23,74.69,15451.5,Withdrawal,Successful
42799,506,1163,82,2025-11-23T05:05:10.000Z,5,C840475466144405,Mashreq Bank,"Zagazig Governorate, El-Obour City, El-Galaa St.",Egypt,Italy,Salary,EGP,718750741,9503,31.05,411.85,94.62,14254.5,Transfer,Successful
32799,65,786,282,2023-02-23T05:46:22.000Z,6,C891305322828596,Arab Jordan Investment Bank,"Port Said Governorate, Agouza, Salah Salem St.",Germany,Egypt,Salary,EGP,649245599,102,26.4,327.41,3.93,153.0,Withdrawal,Rejected
47799,1262,1967,101,2023-10-30T18:47:01.000Z,4,C731543026802826,Bank of Alexandria,"Qena Governorate, Boulak, El-Alfy St.",UAE,France,Salary,USD,788975122,9182,100.54,362.75,78.95,13773.0,Transfer,Rejected
2799,1729,1048,367,2019-03-26T20:42:24.000Z,6,C347046542312837,Gulf Bank Kuwait,"Zagazig Governorate, Omraneya, El-Azhar St.",Italy,Egypt,Bill Payment,USD,241249753,13725,8.64,161.51,70.26,20587.5,Withdrawal,Successful
12800,190,544,85,2023-08-25T16:16:43.000Z,4,C471991465198760,Banque du Caire,"Asyut Governorate, Ain Shams, Champollion St.",Lebanon,Germany,Transfer,USD,212551116,11266,1.54,430.33,73.58,16899.0,Transfer,Rejected
7800,405,715,38,2026-02-28T10:35:06.000Z,6,C611598707043833,Commercial International Bank (CIB),"Shubra El-Kheima Governorate, Ain Shams, Mohamed Naguib St.",UAE,Egypt,Salary,USD,973134852,14790,68.56,255.97,92.12,22185.0,Withdrawal,Rejected
37800,1398,1075,378,2016-12-31T02:37:08.000Z,2,C484009432643057,Suez Canal Bank,"Luxor Governorate, El-Salam, Emad El-Din St.",Canada,Egypt,Transfer,EUR,319663837,17043,73.96,184.46,76.71,25564.5,Deposit,Successful
17800,763,1071,179,2024-07-12T01:35:31.000Z,6,C623977822302086,Dubai Islamic Bank,"Suez Governorate, Sheikh Zayed, El-Haram St.",Egypt,USA,Shopping,USD,317240981,13774,50.24,219.85,79.24,20661.0,Transfer,Rejected
27800,309,332,22,2023-08-29T09:24:47.000Z,3,C256102711137990,Bank of Alexandria,"Fayyum Governorate, Garden City, Kasr El-Nil St.",USA,France,Salary,EUR,363188882,124,107.31,343.48,12.38,186.0,Transfer,Rejected
22800,1307,1600,89,2024-01-09T08:50:50.000Z,5,C878566603013760,Saudi National Bank (SNB),"Aswan Governorate, Mohandiseen, Emad El-Din St.",Lebanon,Egypt,Shopping,EUR,585843989,17259,84.89,6.71,96.2,25888.5,Withdrawal,Successful
2800,633,1229,297,2019-09-10T16:11:21.000Z,7,C714231578893498,Al Baraka Bank Egypt,"Ismailia Governorate, El-Shorouk, El-Ahrar St.",Canada,Egypt,Salary,USD,972206515,14697,51.97,427.97,73.92,22045.5,Withdrawal,Rejected
47800,1760,1331,155,2019-07-17T05:15:46.000Z,6,C112455977330706,Emirates NBD,"Fayyum Governorate, Maadi, El-Ahrar St.",Jordan,Egypt,Transfer,EGP,176708904,17148,30.45,404.85,91.82,25722.0,Withdrawal,Successful
32800,1811,1344,256,2019-10-01T13:57:26.000Z,7,C320873692421781,Fransabank,"Marsa Matrouh Governorate, Imbaba, Salah Salem St.",UAE,UK,Bill Payment,EGP,630007127,16664,4.54,223.06,80.44,24996.0,Transfer,Rejected
42800,1259,991,155,2018-12-18T04:32:41.000Z,5,C821401920939055,HSBC,"Fayyum Governorate, Maadi, El-Ahrar St.",Egypt,France,Bill Payment,EUR,334933484,14480,4.97,58.75,92.19,21720.0,Transfer,Rejected
12801,374,849,214,2024-10-15T03:50:48.000Z,1,C814201221631726,Suez Canal Bank,"Beni Suef Governorate, Badr City, El-Gomhoreya St.",Australia,Egypt,Transfer,EUR,274483466,16379,99.84,150.56,83.54,24568.5,Deposit,Successful
7801,369,1593,19,2022-11-22T19:28:55.000Z,3,C575426527981178,Gulf Bank Kuwait,"Ismailia Governorate, Badr City, El-Sheikh Rihan St.",Germany,Egypt,Transfer,EUR,381091951,13689,45.69,362.22,90.0,20533.5,Deposit,Rejected
17801,213,1143,204,2025-04-21T20:07:33.000Z,3,C625304861285853,Neveen Tantawy Okasha Bishara,"Suez Governorate, Faisal, El-Safwa St.",Australia,Egypt,Bill Payment,USD,141357994,18336,56.98,229.57,95.98,27504.0,Deposit,Successful
