trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
10877,1565,1805,329,2022-02-03T06:14:07.000Z,2,C723083078342249,Fransabank,"Marsa Matrouh Governorate, El-Basatin, El-Mohandiseen St.",Egypt,Egypt,Salary,USD,573474153,2991,77.4,95.79,8.24,4486.5,Withdrawal,Rejected
15877,667,1753,101,2023-03-30T02:36:07.000Z,7,C302664555056815,Commercial Bank of Qatar,"Qena Governorate, Boulak, El-Alfy St.",Spain,Egypt,Shopping,EUR,167853445,7852,20.6,269.56,72.51,11778.0,Withdrawal,Rejected
20877,1692,490,149,2024-10-01T09:29:59.000Z,4,C850487145924148,Iman Shafik Amer Gaber,"Cairo Governorate, El-Salam, Port Said St.",Saudi Arabia,USA,Salary,EGP,752981839,8567,55.94,9.32,94.69,12850.5,Transfer,Rejected
35877,961,415,185,2025-11-09T11:16:28.000Z,5,C336705950452328,Ahli United Bank Kuwait,"Minya Governorate, Ain Shams, Abbas El-Akkad St.",Italy,Egypt,Salary,EUR,991076428,3666,51.95,468.79,16.85,5499.0,Deposit,Rejected
5877,1164,834,263,2023-04-11T01:09:18.000Z,5,C787234761714773,Commercial Bank of Dubai,"Giza Governorate, 6th of October, Salah Salem St.",Spain,Egypt,Transfer,EUR,105571549,8872,12.35,405.72,93.57,13308.0,Deposit,Successful
25877,512,1900,394,2017-03-09T17:32:08.000Z,2,C768988971959023,Commercial Bank of Dubai,"Marsa Matrouh Governorate, El-Tagammu El-Khames, El-Orouba St.",UAE,Egypt,Salary,EGP,236406929,11266,109.29,209.92,94.22,16899.0,Withdrawal,Successful
30877,337,1516,291,2015-06-24T09:31:19.000Z,5,C800871383675498,Fransabank,"Arish Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Australia,Spain,Bill Payment,EUR,166021385,5556,116.52,77.73,94.49,8334.0,Transfer,Successful
45877,193,1860,18,2022-01-05T22:04:04.000Z,2,C969015716431598,BLOM Bank,"Minya Governorate, El-Salam, El-Alfy St.",UAE,Italy,Transfer,EUR,773583282,9405,33.26,62.72,99.15,14107.5,Transfer,Successful
40877,382,757,407,2019-05-16T12:35:34.000Z,5,C975070785743626,Suez Canal Bank,"Tanta Governorate, Matareya, Champollion St.",Jordan,Egypt,Salary,EUR,140090671,3841,29.76,499.68,9.88,5761.5,Deposit,Rejected
877,581,452,56,2022-01-01T16:58:58.000Z,1,C687679858192643,Housing and Development Bank (HDB),"Alexandria Governorate, El-Haram, El-Safwa St.",France,Canada,Salary,EUR,999662251,15171,104.83,148.35,70.05,22756.5,Transfer,Rejected
10878,1593,958,175,2022-11-08T09:59:28.000Z,2,C275387275403471,Jordan Ahli Bank,"Alexandria Governorate, El-Shorouk, El-Sheikh Rihan St.",Canada,Egypt,Shopping,EUR,931374279,14147,66.17,0.25,84.5,21220.5,Deposit,Rejected
5878,1057,968,410,2020-11-05T07:17:05.000Z,3,C215500799192724,Commercial Bank of Qatar,"Damanhur Governorate, Sheikh Zayed, Abbas El-Akkad St.",UAE,Canada,Transfer,USD,421671809,16489,69.81,429.19,74.79,24733.5,Transfer,Rejected
35878,389,67,214,2025-01-06T00:37:50.000Z,2,C246235708882860,Barclays,"Beni Suef Governorate, Badr City, El-Gomhoreya St.",Lebanon,Egypt,Salary,EGP,696139986,15301,58.65,204.43,92.69,22951.5,Withdrawal,Rejected
15878,1392,1795,375,2025-01-08T22:00:09.000Z,1,C978409881141317,Gulf Bank Kuwait,"Minya Governorate, Shubra, El-Orouba St.",Germany,Egypt,Salary,EGP,100569199,15072,41.3,161.17,84.84,22608.0,Withdrawal,Rejected
25878,1639,1991,247,2017-08-11T15:28:44.000Z,7,C693912180999799,Nabil Lotfy Ibrahim Lotfy,"Damanhur Governorate, Rehab City, El-Sheikh Rihan St.",France,Egypt,Bill Payment,EUR,530627994,3647,19.71,154.46,33.21,5470.5,Withdrawal,Successful
20878,274,442,451,2025-06-24T17:56:59.000Z,5,C148232549232717,Suez Canal Bank,"Giza Governorate, Badr City, El-Haram St.",Saudi Arabia,Spain,Salary,EGP,997580687,811,48.17,189.48,23.14,1216.5,Transfer,Successful
40878,371,1510,45,2022-11-01T00:50:48.000Z,1,C931384154425993,Saudi National Bank (SNB),"Alexandria Governorate, Garden City, Abbas El-Akkad St.",Spain,Egypt,Transfer,EUR,557193621,11018,113.67,64.61,99.0,16527.0,Deposit,Rejected
30878,106,1562,430,2021-05-31T18:12:00.000Z,5,C574863021314131,Egyptian Arab Land Bank,"Zagazig Governorate, Boulak, El-Azhar St.",Saudi Arabia,Egypt,Shopping,EGP,867808468,4393,29.84,115.16,6.22,6589.5,Withdrawal,Successful
45878,1707,27,303,2016-07-23T22:05:14.000Z,2,C524183536787645,First Abu Dhabi Bank Egypt,"Suez Governorate, Omraneya, El-Alfy St.",Spain,Egypt,Salary,EGP,715356595,14631,58.27,308.48,71.39,21946.5,Deposit,Successful
878,304,1425,50,2025-05-25T09:58:20.000Z,3,C208128861763332,Banque du Caire,"Fayyum Governorate, El-Obour City, Cleopatra St.",Germany,Egypt,Shopping,EUR,399272226,4679,43.41,227.22,22.39,7018.5,Withdrawal,Rejected
10879,914,773,247,2015-11-08T10:01:30.000Z,7,C774233999991486,Bank Misr,"Damanhur Governorate, Rehab City, El-Sheikh Rihan St.",Lebanon,Egypt,Salary,EGP,969240558,18967,8.4,200.4,83.53,28450.5,Withdrawal,Successful
25879,1364,1784,486,2015-11-02T02:37:22.000Z,7,C429059972445612,Banque Saudi Fransi,"Ismailia Governorate, El-Haram, Emad El-Din St.",Germany,Canada,Transfer,EGP,599794039,11817,67.08,478.03,73.43,17725.5,Transfer,Rejected
35879,1568,616,171,2019-01-24T05:52:48.000Z,2,C842663282056418,Arab African International Bank (AAIB),"Alexandria Governorate, Sheikh Zayed, Cleopatra St.",France,Egypt,Transfer,USD,450399653,6728,48.61,435.54,74.86,10092.0,Withdrawal,Successful
20879,489,1732,474,2021-08-11T08:57:23.000Z,3,C480299410820837,Mashreq Bank,"Giza Governorate, Boulak, Champollion St.",Canada,Egypt,Transfer,EUR,485181974,16073,77.12,484.69,74.99,24109.5,Deposit,Successful
15879,1151,1361,88,2026-01-06T12:27:11.000Z,2,C957728208129790,Housing and Development Bank (HDB),"Arish Governorate, El-Sharabia, El-Bustan St.",Spain,Egypt,Salary,USD,616524222,5808,9.75,328.14,81.32,8712.0,Deposit,Rejected
5879,495,400,283,2018-06-06T18:20:03.000Z,6,C957794699126509,Banque Saudi Fransi,"Tanta Governorate, El-Shorouk, El-Alfy St.",UAE,Egypt,Bill Payment,EUR,689822384,9030,96.87,88.06,74.81,13545.0,Deposit,Rejected
30879,192,853,475,2020-12-17T05:06:33.000Z,5,C775474823884094,Banque Saudi Fransi,"Tanta Governorate, Zamalek, El-Sheikh Rihan St.",Canada,Egypt,Bill Payment,EGP,591369907,11358,87.81,491.83,95.06,17037.0,Withdrawal,Rejected
40879,1334,1450,17,2025-01-30T09:44:28.000Z,2,C763230757710934,Bank Audi,"Suez Governorate, Maadi, El-Haram St.",Germany,Egypt,Salary,EUR,897951472,15355,25.54,302.39,85.83,23032.5,Deposit,Rejected
45879,645,549,276,2023-07-08T03:56:53.000Z,7,C133284110203471,Ahli United Bank Egypt,"Port Said Governorate, Matareya, Mohamed Naguib St.",Australia,Australia,Salary,USD,367822970,15917,41.12,209.05,97.41,23875.5,Transfer,Rejected
879,1951,1137,28,2019-11-09T08:44:10.000Z,1,C729434926213552,Suez Canal Bank,"Suez Governorate, Rehab City, El-Azhar St.",USA,Germany,Bill Payment,USD,979306911,16092,82.27,96.36,71.61,24138.0,Transfer,Rejected
10880,465,1046,491,2018-08-09T09:39:02.000Z,4,C337723187263521,Jordan Ahli Bank,"Qena Governorate, Zamalek, Adly St.",UAE,Spain,Bill Payment,USD,541849448,19680,11.03,21.35,81.42,29520.0,Transfer,Rejected
15880,849,1412,179,2021-01-18T09:29:09.000Z,7,C329908325738881,Gulf Bank Kuwait,"Suez Governorate, Sheikh Zayed, El-Haram St.",UAE,Egypt,Shopping,USD,395407354,4883,104.48,151.91,22.08,7324.5,Withdrawal,Rejected
