trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
34888,1895,1370,416,2015-02-05T15:33:34.000Z,7,C243036629079685,Samira Tantawy Helal Metwaly,"Ismailia Governorate, Shubra, El-Haram St.",UK,USA,Bill Payment,EUR,459019257,15998,64.03,241.91,90.57,23997.0,Transfer,Successful
44888,1393,1042,388,2021-12-18T13:11:03.000Z,2,C723303041989423,Al Rajhi Bank,"Asyut Governorate, El-Shorouk, El-Azhar St.",UK,Egypt,Bill Payment,EUR,329922693,14952,117.97,368.57,71.89,22428.0,Withdrawal,Successful
49888,180,334,320,2015-12-31T18:11:59.000Z,4,C896054332510140,Arab Investment Bank,"Hurghada Governorate, El-Salam, Sudan St.",UAE,Egypt,Transfer,USD,367135674,10757,60.99,70.18,76.58,16135.5,Deposit,Successful
4888,667,1781,145,2022-11-18T10:00:08.000Z,1,C249698157765814,Deutsche Bank,"Shubra El-Kheima Governorate, El-Obour City, El-Mohandiseen St.",Germany,Egypt,Transfer,EGP,648206711,11167,55.93,490.82,87.92,16750.5,Deposit,Rejected
14889,1281,1109,19,2015-12-31T22:14:12.000Z,4,C889812911024845,First Abu Dhabi Bank (FAB),"Ismailia Governorate, Badr City, El-Sheikh Rihan St.",Jordan,Spain,Transfer,EGP,768657944,12111,76.44,59.0,76.63,18166.5,Transfer,Successful
19889,1643,1680,129,2015-08-23T12:26:25.000Z,1,C379188620583274,BLOM Bank,"Giza Governorate, Imbaba, Champollion St.",UAE,Egypt,Transfer,USD,670012481,15455,38.01,421.62,79.82,23182.5,Withdrawal,Rejected
29889,893,1902,363,2015-12-08T03:30:40.000Z,3,C337096092146400,Byblos Bank,"Luxor Governorate, Zamalek, Sudan St.",Lebanon,Germany,Bill Payment,EGP,932893870,3716,29.54,252.4,31.93,5574.0,Transfer,Rejected
24889,534,905,75,2016-02-11T21:35:27.000Z,4,C498014818081839,National Commercial Bank (NCB),"Zagazig Governorate, 6th of October, El-Gomhoreya St.",Egypt,Egypt,Salary,EGP,551470627,1635,47.06,351.93,0.64,2452.5,Withdrawal,Successful
9889,1291,1494,499,2019-07-12T12:21:27.000Z,5,C804642224321779,Kuwait Finance House,"Tanta Governorate, Hadayek El-Qobba, Talaat Harb St.",Italy,France,Transfer,USD,377906063,8651,44.42,442.19,85.91,12976.5,Transfer,Rejected
39889,1670,1626,307,2023-10-12T13:29:41.000Z,4,C432316287180250,Emirates NBD Egypt,"Cairo Governorate, Agouza, El-Bustan St.",Australia,Egypt,Salary,USD,549952171,5288,86.72,148.35,85.37,7932.0,Withdrawal,Rejected
44889,1667,635,111,2026-03-30T07:46:29.000Z,1,C922243405045065,Ahli United Bank Kuwait,"Tanta Governorate, 6th of October, El-Tahrir St.",Lebanon,Italy,Shopping,EGP,917792896,2870,1.59,478.61,5.41,4305.0,Transfer,Successful
49889,916,1907,183,2023-02-17T17:53:56.000Z,6,C443077907323881,Dubai Islamic Bank,"Minya Governorate, El-Shorouk, El-Mohandiseen St.",Australia,Italy,Salary,EGP,950030465,6515,91.67,491.3,94.63,9772.5,Transfer,Rejected
34889,627,1961,39,2022-06-06T04:23:10.000Z,4,C498646437077440,Ahli United Bank Egypt,"New Valley Governorate, El-Salam, El-Gomhoreya St.",Lebanon,Egypt,Salary,EUR,767549654,12535,14.81,8.28,90.37,18802.5,Withdrawal,Rejected
4889,1336,626,22,2020-01-19T20:04:51.000Z,3,C177846492450155,Al Rajhi Bank,"Fayyum Governorate, Garden City, Kasr El-Nil St.",UK,Germany,Bill Payment,EGP,447908867,16950,72.96,403.39,83.96,25425.0,Transfer,Rejected
14890,991,1925,144,2024-03-05T10:11:25.000Z,7,C243837482538762,Bank Misr,"Minya Governorate, Omraneya, Abbas El-Akkad St.",Canada,France,Transfer,EUR,334436644,6534,18.27,77.11,76.79,9801.0,Transfer,Rejected
24890,1996,426,306,2025-07-29T01:50:58.000Z,4,C771163717143686,Banque du Caire,"Damanhur Governorate, El-Marg, Champollion St.",Saudi Arabia,Egypt,Transfer,EUR,905742541,19588,83.68,375.84,88.14,29382.0,Deposit,Successful
29890,1911,731,164,2018-12-15T21:15:37.000Z,2,C246304605174233,Lebanese French Bank (LFB),"Sohag Governorate, Ain Shams, El-Gomhoreya St.",Australia,Egypt,Transfer,EUR,359542223,8658,32.57,212.3,94.42,12987.0,Withdrawal,Rejected
19890,694,105,123,2022-09-12T11:42:12.000Z,4,C440930187589578,Arab Investment Bank,"Sohag Governorate, El-Haram, Champollion St.",France,USA,Shopping,EUR,674571003,5558,111.49,348.7,92.25,8337.0,Transfer,Successful
9890,596,1142,385,2018-07-29T06:22:24.000Z,7,C761635800633952,Commercial Bank of Qatar,"Mansoura Governorate, Zamalek, Adly St.",Egypt,USA,Shopping,EUR,968738451,3351,81.5,189.38,27.28,5026.5,Transfer,Rejected
39890,1325,1264,55,2015-11-11T03:15:16.000Z,5,C126271817315709,Faisal Islamic Bank of Egypt,"Hurghada Governorate, 6th of October, Merghany St.",USA,Canada,Transfer,EUR,546676872,11887,77.87,154.15,79.54,17830.5,Transfer,Rejected
49890,726,1049,146,2015-11-11T07:55:28.000Z,7,C812527670276677,National Bank of Kuwait,"Asyut Governorate, Dokki, El-Batal Ahmed Abdel Aziz St.",Australia,Egypt,Shopping,USD,703877118,3517,89.45,139.19,24.84,5275.5,Withdrawal,Rejected
34890,1071,1349,182,2016-04-18T08:31:11.000Z,1,C184383568756582,JPMorgan Chase,"Qena Governorate, Mohandiseen, Champollion St.",Saudi Arabia,France,Transfer,USD,957006474,14775,91.28,271.65,96.9,22162.5,Transfer,Rejected
44890,395,1673,121,2024-10-31T03:28:18.000Z,1,C767672160268425,Commercial Bank of Dubai,"Arish Governorate, El-Basatin, Makram Ebeid St.",USA,Egypt,Bill Payment,EUR,914287045,7258,14.09,412.74,82.47,10887.0,Withdrawal,Successful
4890,1069,1225,481,2023-02-22T22:52:28.000Z,7,C801593983538906,Faisal Islamic Bank of Egypt,"Hurghada Governorate, Garden City, El-Sheikh Rihan St.",Canada,UK,Shopping,EUR,648306406,16570,12.02,254.18,89.31,24855.0,Transfer,Successful
14891,1560,129,25,2019-08-31T23:28:47.000Z,7,C651270406144159,Commercial Bank of Qatar,"Shubra El-Kheima Governorate, El-Basatin, Cleopatra St.",Saudi Arabia,Egypt,Salary,USD,894206996,18671,59.51,234.0,95.08,28006.5,Deposit,Successful
39891,704,672,459,2024-01-14T08:42:46.000Z,4,C840467853354572,Emirates NBD Egypt,"Alexandria Governorate, El-Marg, Abbas El-Akkad St.",Saudi Arabia,Egypt,Salary,EGP,533101878,2863,12.57,260.09,30.38,4294.5,Withdrawal,Rejected
9891,1716,1471,277,2025-02-26T15:10:12.000Z,3,C751105920923659,Ahli Bank of Qatar,"Marsa Matrouh Governorate, Shubra, Merghany St.",Saudi Arabia,USA,Shopping,EUR,422376740,7182,95.85,168.22,77.96,10773.0,Transfer,Successful
19891,1355,1923,313,2020-05-07T11:10:23.000Z,7,C741453582666014,Riyad Bank,"Damanhur Governorate, Sheikh Zayed, Port Said St.",Jordan,UK,Transfer,EGP,427619286,5549,11.85,491.27,82.13,8323.5,Transfer,Rejected
29891,150,760,152,2016-10-23T22:16:02.000Z,4,C743298072612655,Housing and Development Bank (HDB),"Arish Governorate, Omraneya, Salah Salem St.",UK,Egypt,Shopping,EGP,693338057,4426,100.01,451.25,38.81,6639.0,Withdrawal,Successful
24891,1240,1413,463,2020-07-13T07:19:38.000Z,6,C152903183023050,National Bank of Egypt,"Minya Governorate, Hadayek El-Qobba, El-Orouba St.",Germany,Italy,Bill Payment,EGP,342566285,11319,31.25,477.6,96.71,16978.5,Transfer,Rejected
44891,1069,1225,50,2026-01-21T21:07:33.000Z,3,C224805884025479,Al Ahly Bank,"Fayyum Governorate, El-Obour City, Cleopatra St.",Lebanon,Germany,Shopping,EGP,150507138,13428,99.68,276.12,85.81,20142.0,Transfer,Successful
49891,997,333,137,2025-08-25T19:48:07.000Z,5,C261232677326929,Faisal Islamic Bank of Egypt,"Asyut Governorate, Nasr City, El-Galaa St.",Germany,Egypt,Transfer,EUR,325855515,5337,99.52,361.3,76.08,8005.5,Deposit,Successful
4891,709,1890,90,2018-09-28T02:32:19.000Z,7,C529029465153903,Emirates NBD,"Arish Governorate, Zamalek, Port Said St.",Lebanon,Egypt,Transfer,EGP,649674645,12458,115.21,343.8,93.96,18687.0,Withdrawal,Successful
34891,1038,1291,243,2019-09-25T07:24:00.000Z,7,C724077588965466,Suez Canal Bank,"Zagazig Governorate, El-Obour City, Merghany St.",Germany,Spain,Transfer,EGP,929310884,8230,60.12,133.32,82.8,12345.0,Transfer,Successful
14892,971,206,157,2021-06-08T04:19:24.000Z,7,C703977312108720,Arab Jordan Investment Bank,"Tanta Governorate, El-Salam, Emad El-Din St.",UAE,Egypt,Bill Payment,USD,823274489,6710,100.56,344.15,80.41,10065.0,Withdrawal,Successful
