trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
14290,626,768,262,2021-11-26T19:07:33.000Z,1,C246199100860000,Al Rajhi Bank,"Arish Governorate, El-Tagammu El-Khames, Gamal Abdel Nasser St.",Spain,Egypt,Salary,USD,277624278,7318,54.57,308.15,94.31,10977.0,Deposit,Rejected
29290,906,1662,51,2018-08-30T03:58:16.000Z,7,C392359994003345,Byblos Bank,"New Valley Governorate, Boulak, El-Batal Ahmed Abdel Aziz St.",UK,Egypt,Transfer,USD,227396448,13706,33.77,154.71,70.38,20559.0,Withdrawal,Successful
19290,1218,1250,245,2025-06-28T02:27:36.000Z,6,C151638297207884,Suez Canal Bank,"Aswan Governorate, Badr City, Abbas El-Akkad St.",Germany,France,Transfer,USD,240750485,17928,44.36,147.24,71.22,26892.0,Transfer,Successful
9290,646,416,278,2016-11-06T10:46:13.000Z,3,C943850109688511,Bank Audi,"Shubra El-Kheima Governorate, Boulak, Kasr El-Nil St.",Egypt,Egypt,Transfer,USD,627585361,14182,39.12,301.81,91.32,21273.0,Withdrawal,Successful
39290,1097,620,154,2026-01-12T03:51:21.000Z,6,C241142896105814,Al Baraka Bank Egypt,"Aswan Governorate, Mohandiseen, Sudan St.",Canada,Egypt,Salary,EUR,613046609,14830,106.96,50.41,94.08,22245.0,Deposit,Rejected
24290,1372,1793,206,2018-02-17T04:52:34.000Z,3,C251744782501056,Mohamed Fawzy Abdel-Rahman Ramadan,"Alexandria Governorate, El-Basatin, El-Nasr St.",USA,Egypt,Salary,USD,553025318,4130,17.09,86.44,19.18,6195.0,Withdrawal,Rejected
44290,352,167,462,2018-11-30T23:02:21.000Z,7,C873733091004395,Arab Jordan Investment Bank,"Ismailia Governorate, El-Obour City, El-Mohandiseen St.",UK,France,Shopping,EUR,342942232,5694,56.56,309.41,91.73,8541.0,Transfer,Successful
4290,957,1186,81,2018-08-19T22:20:23.000Z,1,C844166710095808,Hana Zaher Nofal Tawfik,"Arish Governorate, El-Tagammu El-Khames, El-Haram St.",Italy,Egypt,Shopping,EGP,914723922,7308,20.82,473.97,76.69,10962.0,Withdrawal,Successful
34290,469,1921,122,2024-08-11T08:59:56.000Z,5,C840027438633666,National Bank of Kuwait,"Zagazig Governorate, Shubra, El-Safwa St.",USA,Egypt,Bill Payment,USD,574335433,5105,102.19,280.97,70.79,7657.5,Withdrawal,Rejected
49290,595,1733,264,2016-08-08T09:16:17.000Z,5,C922686207811517,Fransabank,"Alexandria Governorate, Nasr City, El-Tahrir St.",UK,Egypt,Transfer,EGP,634349620,15640,112.03,19.6,91.21,23460.0,Withdrawal,Rejected
14291,1981,1060,61,2021-05-08T11:55:35.000Z,3,C896584841501513,BLOM Bank,"Cairo Governorate, Garden City, El-Sheikh Rihan St.",Egypt,Germany,Salary,USD,457187928,5200,27.11,477.39,79.57,7800.0,Transfer,Rejected
9291,1163,1562,265,2018-05-01T13:50:24.000Z,3,C297547158753916,Dubai Islamic Bank,"Qena Governorate, Badr City, El-Batal Ahmed Abdel Aziz St.",Australia,Egypt,Transfer,USD,579348937,15094,118.83,13.86,73.01,22641.0,Withdrawal,Rejected
39291,184,583,176,2024-05-20T07:29:35.000Z,4,C877191248305517,Layla Ismail Ibrahim Shafik,"Beni Suef Governorate, New Cairo, Kasr El-Nil St.",UK,France,Bill Payment,USD,267535677,6295,52.32,427.28,79.37,9442.5,Transfer,Rejected
24291,1798,1612,64,2017-12-13T21:40:14.000Z,3,C630578543554948,Al Baraka Bank Egypt,"Asyut Governorate, New Cairo, Ramses St.",Lebanon,Egypt,Transfer,EUR,785813256,2151,112.94,441.02,10.62,3226.5,Deposit,Rejected
19291,1293,1095,62,2025-03-27T00:05:20.000Z,5,C706244147898500,Al Rajhi Bank,"New Valley Governorate, Heliopolis, El-Alfy St.",Germany,Egypt,Salary,USD,620946551,11680,39.92,278.52,98.78,17520.0,Withdrawal,Rejected
29291,845,1007,456,2018-07-01T09:53:08.000Z,5,C586223655239691,Byblos Bank,"Port Said Governorate, El-Salam, El-Gomhoreya St.",Spain,Egypt,Shopping,EUR,821923107,11664,53.79,402.58,88.59,17496.0,Withdrawal,Successful
4291,1856,854,24,2018-03-07T15:20:24.000Z,5,C827472107145863,Mohamed Bishara Metwaly Nofal,"Damanhur Governorate, Matareya, Talaat Harb St.",USA,Egypt,Shopping,USD,299377284,9316,74.5,85.66,98.16,13974.0,Deposit,Successful
34291,1858,733,131,2021-10-02T15:50:20.000Z,6,C172677345312511,Suez Canal Bank,"Hurghada Governorate, Imbaba, El-Orouba St.",Australia,Australia,Shopping,USD,137130850,5318,110.48,280.38,87.96,7977.0,Transfer,Successful
49291,450,1953,439,2024-11-25T07:31:11.000Z,5,C182263540176045,Jordan Ahli Bank,"Damanhur Governorate, Shubra, El-Azhar St.",Australia,Egypt,Salary,EUR,269213011,5423,55.51,493.1,78.94,8134.5,Withdrawal,Successful
44291,839,457,409,2023-09-16T21:41:07.000Z,5,C127713769750656,BNP Paribas,"Arish Governorate, Faisal, Kasr El-Nil St.",Italy,Egypt,Salary,EUR,541087500,18885,79.09,267.83,89.28,28327.5,Withdrawal,Successful
14292,1109,1760,357,2025-02-25T06:53:30.000Z,2,C537121697505330,Arab Bank,"Marsa Matrouh Governorate, El-Marg, Mohamed Naguib St.",Spain,USA,Shopping,USD,783797469,6567,68.62,497.2,94.4,9850.5,Transfer,Rejected
29292,120,1375,281,2025-11-11T15:54:28.000Z,3,C504481517087114,Abu Dhabi Islamic Bank (ADIB),"Cairo Governorate, Faisal, Emad El-Din St.",Lebanon,Germany,Bill Payment,EUR,353538844,5233,30.87,327.35,93.05,7849.5,Transfer,Rejected
