trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
14350,932,1746,426,2022-01-27T00:35:23.000Z,7,C533785275901486,BLOM Bank,"Tanta Governorate, El-Marg, Kasr El-Nil St.",Italy,Egypt,Transfer,EGP,246753914,10004,40.12,140.52,86.44,15006.0,Deposit,Rejected
9350,1545,929,63,2022-11-25T02:19:25.000Z,7,C251831541940143,Commercial Bank of Qatar,"New Valley Governorate, El-Haram, El-Haram St.",Spain,Egypt,Shopping,EUR,455335209,17404,54.91,246.15,81.74,26106.0,Withdrawal,Rejected
24350,419,54,435,2021-09-09T22:00:55.000Z,7,C902790537359563,BLOM Bank,"Shubra El-Kheima Governorate, El-Salam, Champollion St.",Italy,Egypt,Bill Payment,EGP,547594805,8033,74.04,16.93,78.19,12049.5,Deposit,Successful
39350,1531,1791,126,2026-01-05T22:34:44.000Z,1,C251045172474101,Arab African International Bank (AAIB),"Marsa Matrouh Governorate, 6th of October, Port Said St.",Spain,France,Shopping,USD,556191816,206,36.32,92.03,13.52,309.0,Transfer,Rejected
19350,266,162,162,2021-10-09T16:38:46.000Z,2,C950076151354995,Bank of Alexandria,"Minya Governorate, Rehab City, Ramses St.",Egypt,Egypt,Shopping,USD,468603404,19624,114.64,178.93,92.91,29436.0,Withdrawal,Rejected
29350,70,160,435,2016-09-14T07:40:19.000Z,2,C930550464049668,Dubai Islamic Bank,"Shubra El-Kheima Governorate, El-Salam, Champollion St.",Jordan,Italy,Shopping,EUR,414493855,5014,14.14,169.85,74.03,7521.0,Transfer,Rejected
34350,704,1958,313,2018-04-03T18:31:32.000Z,7,C676894234293903,Bank Misr,"Damanhur Governorate, Sheikh Zayed, Port Said St.",Germany,Egypt,Bill Payment,EGP,349271661,17080,40.6,218.75,92.14,25620.0,Withdrawal,Rejected
4350,759,950,305,2025-04-22T20:27:48.000Z,7,C301457208144848,National Bank of Kuwait,"Asyut Governorate, Dokki, El-Sheikh Rihan St.",USA,France,Transfer,EUR,829785844,4761,93.17,249.83,29.8,7141.5,Transfer,Rejected
49350,1950,1110,481,2015-02-15T23:25:49.000Z,2,C961020308646332,Al Rajhi Bank,"Hurghada Governorate, Garden City, El-Sheikh Rihan St.",Spain,Australia,Salary,USD,130502614,11137,17.96,97.43,76.01,16705.5,Transfer,Successful
44350,759,1763,158,2017-02-18T19:48:24.000Z,5,C910097412816479,Commercial Bank of Qatar,"Asyut Governorate, El-Haram, Salah Salem St.",Jordan,Egypt,Transfer,USD,756205440,6787,76.18,333.09,70.0,10180.5,Withdrawal,Rejected
14351,1310,240,382,2019-06-15T07:08:06.000Z,5,C618582487202149,Magdy Ahmed Ibrahim Lotfy,"Fayyum Governorate, Hadayek El-Qobba, Port Said St.",Australia,Egypt,Bill Payment,EGP,566519044,13650,108.02,307.37,77.52,20475.0,Withdrawal,Rejected
9351,473,1368,189,2021-02-28T23:41:40.000Z,6,C474811906843027,Dubai Islamic Bank,"Tanta Governorate, Mohandiseen, El-Galaa St.",Germany,Egypt,Bill Payment,USD,676285797,4680,77.27,24.17,11.18,7020.0,Deposit,Successful
24351,599,1462,215,2017-01-22T18:55:42.000Z,4,C461328082702457,Gulf Bank Kuwait,"Zagazig Governorate, Badr City, Sudan St.",Germany,Egypt,Shopping,USD,373231653,1804,19.28,281.04,36.21,2706.0,Withdrawal,Rejected
19351,991,1391,474,2020-08-21T08:00:23.000Z,5,C142783186818439,Emirates NBD,"Giza Governorate, Boulak, Champollion St.",Spain,Egypt,Bill Payment,EUR,662414272,13240,15.39,201.59,95.62,19860.0,Withdrawal,Rejected
29351,235,1959,172,2019-05-02T15:53:06.000Z,6,C422582127855186,Mahmoud Rashid Eid Mansour,"Ismailia Governorate, Dokki, Champollion St.",UK,Egypt,Shopping,EGP,114393137,18146,37.34,230.94,89.58,27219.0,Deposit,Successful
39351,1067,1512,62,2024-07-08T16:20:52.000Z,4,C372715074864889,Jordan Ahli Bank,"New Valley Governorate, Heliopolis, El-Alfy St.",France,Spain,Shopping,EGP,576864730,1784,48.95,177.83,35.08,2676.0,Transfer,Successful
4351,1546,1281,400,2017-02-25T09:29:35.000Z,5,C367168492353877,Banque du Caire,"Qena Governorate, Maadi, Salah Salem St.",Italy,Egypt,Shopping,USD,344973991,18055,12.9,450.27,93.65,27082.5,Withdrawal,Successful
34351,470,1109,380,2015-09-09T16:34:02.000Z,7,C656932148619584,Ahli United Bank Egypt,"Shubra El-Kheima Governorate, El-Haram, Champollion St.",UK,Egypt,Bill Payment,USD,132469564,13775,53.91,497.97,96.62,20662.5,Deposit,Successful
49351,1968,651,133,2017-10-25T16:23:56.000Z,7,C966834777713006,Commercial International Bank (CIB),"Damietta Governorate, Zamalek, Champollion St.",UAE,Egypt,Bill Payment,EGP,983078111,4381,48.26,19.47,20.19,6571.5,Deposit,Rejected
44351,367,57,9,2021-09-27T13:00:40.000Z,3,C620744087498268,Banque du Caire,"Aswan Governorate, Hadayek El-Qobba, Salah Salem St.",Canada,UK,Transfer,USD,337654615,13555,56.44,271.19,77.18,20332.5,Transfer,Rejected
14352,478,254,453,2021-03-15T09:22:28.000Z,4,C801282303842937,Al Baraka Bank Egypt,"Shubra El-Kheima Governorate, Faisal, El-Azhar St.",UK,Australia,Shopping,USD,728692424,18092,19.78,142.47,96.35,27138.0,Transfer,Successful
19352,605,1478,54,2026-02-25T09:11:54.000Z,1,C702882197572683,Arab African International Bank (AAIB),"Alexandria Governorate, Hadayek El-Qobba, El-Sheikh Rihan St.",Germany,Germany,Salary,EGP,712371043,19868,77.63,108.07,96.8,29802.0,Transfer,Rejected
24352,247,875,120,2024-08-04T05:03:51.000Z,1,C915252011180409,Riyad Bank,"Damanhur Governorate, El-Shorouk, El-Batal Ahmed Abdel Aziz St.",Jordan,Egypt,Transfer,EUR,715878266,11043,78.54,5.84,84.08,16564.5,Withdrawal,Rejected
39352,1557,1245,485,2019-08-01T22:40:25.000Z,6,C337654708044472,Bank of Alexandria,"Suez Governorate, New Cairo, El-Alfy St.",Lebanon,Egypt,Salary,EGP,352096602,2779,37.52,153.28,23.99,4168.5,Withdrawal,Successful
9352,1273,567,4,2021-07-06T08:29:52.000Z,6,C589147895927668,Banque du Caire,"Tanta Governorate, El-Obour City, Mohamed Naguib St.",Canada,Australia,Shopping,USD,178241693,6414,26.04,92.44,75.66,9621.0,Transfer,Successful
29352,812,1812,376,2021-06-07T21:40:57.000Z,6,C750816778547059,National Commercial Bank (NCB),"Minya Governorate, Badr City, Ramses St.",UK,Australia,Transfer,EGP,280632264,17774,82.54,479.47,82.85,26661.0,Transfer,Successful
34352,1314,1009,495,2018-02-21T20:46:42.000Z,3,C145184231404215,Ahli Bank of Qatar,"Alexandria Governorate, Nasr City, Champollion St.",Canada,Egypt,Bill Payment,EUR,939627254,8080,21.17,389.96,75.75,12120.0,Withdrawal,Rejected
49352,1169,927,159,2023-09-16T08:12:25.000Z,5,C482627848442732,Bank of Alexandria,"Alexandria Governorate, Omraneya, El-Azhar St.",Saudi Arabia,Egypt,Bill Payment,EUR,212259103,14418,38.53,48.37,79.02,21627.0,Deposit,Successful
44352,1056,1921,3,2021-07-12T21:40:51.000Z,2,C878823693245743,Arab Jordan Investment Bank,"Alexandria Governorate, Boulak, El-Nasr St.",France,Egypt,Shopping,EUR,170338235,1516,50.02,256.58,38.73,2274.0,Deposit,Successful
4352,118,218,204,2016-07-14T03:11:58.000Z,7,C539126393975265,National Bank of Kuwait,"Suez Governorate, Faisal, El-Safwa St.",Italy,Egypt,Shopping,EUR,455210240,4982,88.0,296.14,35.24,7473.0,Withdrawal,Rejected
14353,1851,1419,303,2025-01-13T21:22:17.000Z,2,C395871922838323,Lebanese French Bank (LFB),"Suez Governorate, Omraneya, El-Alfy St.",Spain,Egypt,Transfer,EGP,268591996,18470,80.93,391.01,70.81,27705.0,Deposit,Successful
19353,410,1601,368,2024-09-27T05:05:55.000Z,7,C473698171973148,Al Rajhi Bank,"Tanta Governorate, El-Basatin, Emad El-Din St.",UK,UK,Salary,EGP,795922396,9414,69.5,273.3,95.7,14121.0,Transfer,Successful
29353,58,911,235,2023-07-14T17:27:14.000Z,5,C497829500566279,Ghada Ragab Mansour Farhat,"Shubra El-Kheima Governorate, Imbaba, El-Safwa St.",Canada,Egypt,Bill Payment,EUR,310104155,16940,65.43,457.8,71.69,25410.0,Withdrawal,Rejected
39353,1589,688,268,2021-12-01T09:56:10.000Z,2,C724319161915936,Nagwa Sobhi Gomaa Shafik,"Port Said Governorate, El-Obour City, El-Tahrir St.",Australia,Germany,Salary,USD,353053237,820,29.39,64.16,14.77,1230.0,Transfer,Rejected
9353,330,329,110,2020-08-15T05:38:19.000Z,2,C975659116069774,BLOM Bank,"Suez Governorate, Shubra, Gamal Abdel Nasser St.",Egypt,Egypt,Salary,EUR,577024619,7356,16.04,114.47,82.22,11034.0,Withdrawal,Successful
24353,1089,1414,340,2025-03-31T08:34:16.000Z,6,C426647146475925,Banque du Caire,"Sohag Governorate, Mohandiseen, Talaat Harb St.",Spain,Egypt,Salary,EGP,523394705,133,109.02,384.77,35.11,199.5,Deposit,Rejected
44353,1282,75,174,2023-02-05T22:40:10.000Z,5,C113999348665293,Adel Wahba Okasha Gaber,"Zagazig Governorate, Madinaty, Merghany St.",Egypt,Spain,Salary,EUR,566185081,9643,1.28,139.18,90.38,14464.5,Transfer,Rejected
34353,28,1723,318,2025-04-12T06:42:51.000Z,2,C216577503308093,Banque du Caire,"Ismailia Governorate, Hadayek El-Qobba, El-Tahrir St.",Australia,Egypt,Bill Payment,USD,844960350,13428,94.1,401.69,99.74,20142.0,Withdrawal,Rejected
49353,224,56,213,2025-09-28T03:13:44.000Z,5,C241186342528083,National Bank of Kuwait,"Fayyum Governorate, Garden City, El-Ahrar St.",Canada,Spain,Salary,EGP,869773286,9131,36.56,123.18,90.34,13696.5,Transfer,Rejected
4353,1597,560,69,2024-05-18T06:26:11.000Z,7,C605348960323698,National Commercial Bank (NCB),"Beni Suef Governorate, Madinaty, Talaat Harb St.",Lebanon,Australia,Shopping,USD,512593562,4662,84.44,391.04,30.21,6993.0,Transfer,Rejected
14354,1146,411,286,2024-04-03T20:32:50.000Z,1,C917535235908739,National Commercial Bank (NCB),"Mansoura Governorate, El-Marg, Kasr El-Nil St.",UK,Spain,Salary,USD,406333411,8427,100.71,454.21,88.77,12640.5,Transfer,Rejected
29354,1168,641,157,2016-04-27T15:04:27.000Z,7,C146182303361358,Bank of Alexandria,"Tanta Governorate, El-Salam, Emad El-Din St.",Lebanon,Egypt,Shopping,EUR,266304176,12572,71.39,477.74,91.02,18858.0,Withdrawal,Successful
19354,1285,1523,300,2021-11-18T05:35:10.000Z,4,C115051392255698,Dubai Islamic Bank,"Tanta Governorate, Sheikh Zayed, Makram Ebeid St.",France,Egypt,Transfer,EGP,300442197,11438,4.72,458.96,98.97,17157.0,Withdrawal,Rejected
9354,583,690,7,2018-12-24T19:19:51.000Z,7,C170044865097058,Arab Bank,"Asyut Governorate, Maadi, El-Safwa St.",Lebanon,Canada,Shopping,USD,514672657,14507,32.9,366.44,81.14,21760.5,Transfer,Successful
