trans_sk,clt_sk,card_sk,device_sk,event_timestamp,junk_sk,trans_ref_no,trans_destination,dev_ip_location,country_src,country_dest,trans_reason,currency,dest_account_no,trans_amount,time_since_last_trans,distance_from_last_loc,risk_score,new_current_amount,trans_type,trans_status
19050,1003,449,71,2018-10-20T12:28:35.000Z,7,C816039702902351,Rana Gomaa Metwaly Zaki,"Marsa Matrouh Governorate, El-Tagammu El-Khames, Salah Salem St.",France,UK,Salary,EGP,573210500,6685,104.62,255.89,83.81,10027.5,Transfer,Rejected
9050,1437,1887,114,2024-10-24T01:08:42.000Z,5,C143980195307181,Al Ahly Bank,"Marsa Matrouh Governorate, Faisal, El-Mohandiseen St.",Saudi Arabia,Egypt,Bill Payment,EUR,163113741,18739,89.91,314.2,91.16,28108.5,Withdrawal,Successful
29050,1278,1577,163,2015-08-27T03:18:14.000Z,4,C739530056761433,Ahli United Bank Kuwait,"Damanhur Governorate, 6th of October, El-Ahrar St.",Canada,USA,Transfer,USD,326958043,5323,12.94,449.3,83.49,7984.5,Transfer,Rejected
39050,635,775,195,2015-04-28T22:16:45.000Z,2,C871679673328592,Ahli Bank of Qatar,"Arish Governorate, El-Marg, Corniche El-Nil St.",USA,Egypt,Shopping,EGP,608335539,11702,62.15,430.17,87.38,17553.0,Withdrawal,Rejected
24050,1110,240,481,2026-05-15T11:11:35.000Z,2,C117635475141586,Mashreq Bank,"Hurghada Governorate, Garden City, El-Sheikh Rihan St.",Italy,UK,Shopping,EUR,864034641,4268,6.95,492.71,22.42,6402.0,Transfer,Rejected
44050,673,326,55,2016-02-24T11:47:06.000Z,2,C760425242885274,Qatar National Bank (QNB),"Hurghada Governorate, 6th of October, Merghany St.",UK,Egypt,Transfer,USD,588283011,8310,67.76,154.55,72.09,12465.0,Deposit,Successful
49050,969,820,444,2018-11-04T16:51:41.000Z,3,C147464145008735,Mostafa Farhat Badr Dahab,"Cairo Governorate, Garden City, Gamal Abdel Nasser St.",Egypt,Spain,Transfer,EUR,287937851,15877,74.11,96.91,70.87,23815.5,Transfer,Rejected
4050,113,655,487,2024-03-29T21:07:38.000Z,3,C784524450884635,Emirates NBD,"Damanhur Governorate, Madinaty, El-Alfy St.",Italy,USA,Shopping,USD,785296880,19227,97.37,127.24,82.62,28840.5,Transfer,Rejected
34050,1653,371,43,2024-11-27T20:34:49.000Z,2,C937852981171724,QNB Al Ahli,"Sohag Governorate, El-Marg, Merghany St.",Lebanon,Canada,Salary,EGP,191124177,2663,76.02,162.25,19.36,3994.5,Transfer,Rejected
14051,1060,1499,404,2023-03-01T01:30:56.000Z,4,C617580913158235,Byblos Bank,"Marsa Matrouh Governorate, El-Marg, Talaat Harb St.",France,Egypt,Transfer,EUR,911696011,8763,85.93,219.14,91.89,13144.5,Deposit,Rejected
39051,1494,1765,31,2015-08-23T09:12:18.000Z,6,C567558083569194,Al Baraka Bank Egypt,"Zagazig Governorate, El-Sharabia, Salah Salem St.",Canada,Egypt,Bill Payment,EUR,918040380,13682,21.77,132.85,94.9,20523.0,Deposit,Successful
19051,1392,910,122,2017-07-17T04:29:24.000Z,5,C289836128095387,JPMorgan Chase,"Zagazig Governorate, Shubra, El-Safwa St.",Egypt,Egypt,Bill Payment,EGP,906429699,13400,57.23,94.35,79.98,20100.0,Withdrawal,Rejected
24051,1569,1102,192,2022-10-11T17:13:36.000Z,6,C494088616283165,Arab Jordan Investment Bank,"Alexandria Governorate, Faisal, Corniche El-Nil St.",Saudi Arabia,Egypt,Bill Payment,EGP,443361343,5702,48.23,300.49,80.08,8553.0,Withdrawal,Successful
9051,85,986,415,2022-08-22T14:55:21.000Z,1,C714764649603229,Mashreq Bank,"Zagazig Governorate, El-Marg, El-Gomhoreya St.",Lebanon,Egypt,Salary,USD,946979098,3260,73.7,346.25,25.33,4890.0,Deposit,Rejected
29051,29,1347,252,2020-11-16T04:00:19.000Z,5,C475509915165104,Al Baraka Bank Egypt,"Hurghada Governorate, Agouza, El-Tahrir St.",Saudi Arabia,Egypt,Salary,USD,532492754,4080,92.52,86.55,12.28,6120.0,Withdrawal,Rejected
34051,1204,1202,79,2020-10-21T22:36:05.000Z,1,C335772286876717,Fransabank,"Shubra El-Kheima Governorate, Sheikh Zayed, El-Mohandiseen St.",Lebanon,France,Transfer,EGP,526757817,19929,40.35,310.41,90.8,29893.5,Transfer,Rejected
44051,1501,530,142,2020-02-27T05:48:22.000Z,2,C776171500541018,Arab National Bank,"Beni Suef Governorate, El-Sharabia, El-Tahrir St.",France,Egypt,Bill Payment,EGP,397454768,2173,89.27,167.62,9.8,3259.5,Withdrawal,Successful
4051,1221,724,174,2018-12-29T14:57:12.000Z,3,C791121731913051,Commercial International Bank (CIB),"Zagazig Governorate, Madinaty, Merghany St.",Saudi Arabia,Egypt,Transfer,EGP,156563551,8314,96.4,35.4,73.5,12471.0,Deposit,Rejected
49051,1626,163,144,2025-05-27T10:23:48.000Z,5,C186919210997698,Qatar National Bank (QNB),"Minya Governorate, Omraneya, Abbas El-Akkad St.",Australia,USA,Salary,USD,788125593,19300,38.51,322.27,82.12,28950.0,Transfer,Rejected
